en	es	fr	it	de	nl	sv	fi	ru	cs	hu	tr	mk	id	bg	ca	da	et	he	no	pl	pt	ro	sk	sl	uk	el	hr
i	puedo	je	sinceramente	ich	ik	jag	olen	понимаю	jsem	tudom	demiştiniz	кажав	saya	разбирам	entenc	jeg	arvan	הבנתי	jeg	chciałbym	eu	postez	°°°°	iw	думаю	κατάλαβες	misliš
one	uno	deux	uno	drei	één	tio	kaksi	один	jeden	két	iki	еден	dua	само	tres	tre	üks	אחד	fem	jeden	três	cele	šesť	pet	вісім	δύο	jedan	
two	dos	deux	due	zwei	twee	tre	kaksi	пять	šest	két	iki	три	dua	три	tres	tre	kaks	שלושה	tre	sześć	três	două	šesť	osem	шість	δύο	šest	
three	tres	trois	tre	drei	drie	tre	neljä	пять	pět	három	üç	пет	dua	четири	tres	tre	kaks	שלושה	fem	sześć	três	patru	šesť	osem	шість	πέντε	pet	
four	cuatro	quatre	quattro	vier	vier	fyra	neljä	шесть	šest	négy	dört	пет	empat	четири	vuit	fire	kaks	שישה	fem	sześć	quatro	patru	šesť	šest	шість	έξι	šest	
five	cinco	cinq	cinque	fünf	vijf	fem	viisi	пять	pět	nyolc	dört	пет	delapan	шест	vuit	seks	kaheksa	שישה	fem	sześć	cinco	cinci	osem	osem	вісім	έξι	pet	
big	big	big	big	big	big	big	big	большой	big	óriási	big	големa	big	„големият	little	big	suur	גדול	big	big	big	big	big	»velika	великий	μεγάλε	veliki	
long	larga	longue	lunga	lange	lange	lång	pitkä	длинный	dlouhé	hosszú	uzun	долга	berpanjang	дълъг	llarga	lange	pikk	ארוך	lang	długie	longa	lungă	dlhé	dolgo	довгі	μακρύ	dugi	
wide	amplia	large	ampia	breite	breed	bred	kapea	широкий	široké	széles	geniş	широк	beragam	широк	àmplia	bredt	lai	רחב	bredt	szeroki	ampla	largă	široké	širok	широкий	ευρύ	širok	
thick	gruesas	épais	spessa	dicken	dik	tjocka	paksu	толщиной	tmavošedé	vastag	kalınlıkta	подебели	tebalnya	дебел	gruixudes	tyk	paksud	עבה	tykke	grubościenne	espesso	groase	hrubší	belkaste	завтовшки	πριονωτά	duguljasto	
heavy	pesada	lourde	pesante	schweren	zware	tunga	raskasta	тяжёлый	těžkými	nehéztüzérség	hafif	тешки	heavy	тежки	pesats	tungt	rasked	כבדה	tunge	ciężkie	pesadas	grele	tankery	težke	важкий	βαρύ	teški	
small	pequeño	petites	piccole	kleinen	kleine	liten	pieni	небольшие	malé	kis	küçük	мали	kecil	малки	petita	lille	väike	קטן	liten	małe	pequena	mici	malé	majhni	невеликий	μικρό	mali	
short	corto	courte	corto	kurzen	korte	korta	lyhyt	короткий	krátký	rövid	kısa	кратки	pendek	кратки	curt	korte	lühike	קצר	korte	krótkie	curta	scurtă	krátke	kratke	короткий	σύντομη	kratke	
narrow	angosta	étroit	frastagliata	schmalen	smalle	smal	kapea	узкие	úzké	keskeny	dar	тесен	sempit	тесен	ample	brede	kitsas	צר	smal	wąskie	estreita	îngustă	strmšie	ozko	вузький	στενό	široka	
thin	delgadas	mince	sottile	dünnen	dunne	tunn	ohut	тонкие	tenké	vékony	ince	долгнавесто	setipis	слоеста	gruixut	tynde	õhuke	עבה	tynne	cienkie	espesso	fibroasă	hrubšie	luskasto	тонкі	ημιδιαφανές	bjelkasto	
woman	mujer	femme	donna	frau	vrouw	kvinna	nainen	женщина	žena	asszony	kadını	жена	wanita	жена	dona	kvinde	naine	אישה	kvinne	kobieta	mulher	femeie	žena	ženska	жінка	γυναίκα	žena	
man	hombre	homme	uomo	mann	man	mannen	mies	старик	muž	fiatalember	adam	човек	man	човек	home	mand	mees	האיש	mann	mężczyzna	homem	omul	muž	starec	людина	άνθρωπος	čovjek	
child	niño	enfant	bambino	kind	kind	barnet	lapsi	ребёнок	dítě	gyermek	çocuğun	дете	anak	дете	nen	barn	lapse	הילד	barn	dziecko	criança	copil	dieťa	otrok	дитина	παιδί	dijete	
wife	esposa	épouse	moglie	ehefrau	echtgenote	hustru	vaimo	жена	manželka	felesége	karısı	сопруга	istrinya	съпруга	esposa	steddatter	abikaasa	אשתו	kone	żona	esposa	soția	manželka	žena	дружина	σύζυγο	supruga	
husband	marido	époux	marito	ehemann	echtgenoot	hustru	vaimonsa	жена	manželkou	felesége	karısı	сопруг	istrinya	съпруг	marit	kone	abikaasa	בעלה	ektemann	żona	marido	soțul	manželka	žena	чоловіка	σύζυγο	suprugove	
mother	madre	mère	madre	mutter	moeder	mor	äiti	мать	matka	anyja	annesi	мајка	ibunya	майка	mare	mor	ema	אמו	mor	matka	mãe	mama	matka	mati	прабабуся	μητέρα	majka	
father	padre	père	padre	vater	vader	far	isänsä	отец	otec	apja	babası	татко	ayahnya	баща	pare	far	isa	אביו	far	ojciec	pai	tatăl	otec	oče	батько	πατέρας	otac	
animal	animal	animaux	animali	tiere	dieren	djuren	eläinten	животных	zvířat	állati	hayvan	животни	hewan	животни	animals	dyr	loomade	מבויתות	dyr	zwierząt	animais	animale	zvierat	živali	тварин	ζώα	životinja	
fish	pescados	poissons	pesci	fische	vis	fisk	kalaa	рыбы	ryby	édesvízi	balık	риби	ikan	риба	marisc	fisk	kalad	דגים	fisk	ryby	peixes	pești	ryby	ribe	риби	ψάρια	riba	
bird	pájaro	oiseau	uccelli	vögel	vogel	fåglar	lintu	птица	pták	madár	kuş	птица	burung	птици	ocell	fuglen	lind	ציפור	fugleunger	ptak	pássaros	păsări	vtáčik	ptica	птах	πτηνό	ptica	
dog	perro	chien	cane	hund	hond	hund	koira	собака	pes	kutya	köpek	куче	anjing	куче	gos	hund	koer	כלב	hund	pies	cachorro	câine	pes	prašiček	собака	κυνηγόσκυλα	pasa	
louse	parasitar	tique	pidocchi	ektoparasiten	ziekteverwekker	värddjuret	käärmekaulat	паразитов	toxocara	kullancs	paraziti	дебелоклуната	strepsirrhini	плезиозаври	ectoparàsits	stinkdyr	ussilakk	יתושי	nebbdyret	pasożytami	parasito	insectivor	vakomyš	caenorhabditis	комаха	πλατύποδας	gmazove	
snake	serpiente	serpent	serpente	schlangenart	slang	sköldpaddan	käärmekaulat	змея	hadů	háromfejű	yılan	змија	snake	змия	escamandre	kvælerslanger	kobra	נחש	slange	węża	serpente	peștișorul	klinochvost	kače	крокодила	τερατόμορφο	zmijoliko	
worm	gusano	suceur	worm	würmer	slijmerige	havslevande	heinäsirkka	червь	parazit	giliszta	solucan	инсект	cacing	червейници	cucs	skrubtudse	putukas	תולעת	kleptoparasitter	głowonogi	verme	viermele	červovitý	črve	хробаки	σαλιγκάρι	virusa	
tree	árbol	arbre	albero	baum	boom	träd	köynnöskasvi	дерево	stromu	fák	ağacı	дрво	pohon	дървета	arbre	træet	puu	עץ	treet	drzewa	árvore	copac	stromu	dreves	дерево	δέντρο	stablo	
forest	bosque	forêt	foresta	wälder	bos	skogen	metsä	леса	lesa	erdő	ormanı	шума	hutan	горите	bosc	skoven	metsapuude	היער	furuskogen	lasu	floresta	pădure	lesa	gozd	ліс	δάσος	šuma	
stick	agarrar	balancer	bastoncino	fingern	vastpakken	slagträ	pyöräyttää	палку	trsátko	csavarni	kabza	стапчето	menggesekkan	плюене	estirar	modhager	näppu	להקפיץ	kjefte	nogami	esticar	prindeți	kľude	žogice	пальцем	ακουμπήσουν	udarati	
fruit	fruta	fruits	frutti	früchte	vruchten	frukter	hedelmiä	плодов	plody	gyümölcs	meyve	овошјата	buahan	плодове	fruits	frugter	luuviljad	פירות	frukt	owoce	frutas	fructe	plody	sadeže	плодів	φρούτα	sjemenki	
seed	semilla	seed	seeding	seed	azarenka}}	seed	kier	семена	semena	seed	seed	берер	seed	семена	cîrstea	seed	seemnetaimed	זרע	seed	nasiona	seed	text_qf	rd	mandlíková	насіння	βλαστούς	sjemenja	
leaf	hojas	feuilles	foglie	blattnarben	bladeren	blad	luumarja	листьев	větévek	lombja	yaprakları	лиснат	epifit	листа	fulles	løvblade	lehetupp	עלים	laurbærblader	liści	folhas	frunziș	okvetie	listna	листя	φύλλωμά	stabljikama	
root	raíz	racines	radice	wurzel	wortelstokken	fältgrenarna	r_i	корня	kořenového	q^	kök	корен	akar	корени	arrel	smårødder	⌜	שורש	henvisning	korzenia	raiz	rădăcină	∂	koreni	кореня	ρίζα	korijenu	
bark	troncos	écorce	muschio	rinde	boomschors	växtsaft	neulasia	древесина	jehličí	fakéreg	kozalakları	дрвенест	pepagan	дървесината	tiges	træagtig	puukoort	עלים	kvister	drewniejące	casca	coajă	steblá	olesenelih	листя	άοσμα	stabljikama	
flower	flor	fleurs	fiori	blüten	bloemen	blommor	kukka	цветочные	květ	virágok	çiçekleri	цветчиња	bunga	цветчета	flors	blomster	õisik	פרח	blomster	kwiaty	flores	flori	kvet	cvet	квіткова	άνθη	cvijete	
grass	hierba	herbe	erba	grasen	gras	trädrötter	nurmikoilla	травы	tráva	talajú	otlaklar	трева	rumputan	трева	gespa	græs	muru	דשא	gress	trawy	grama	iarbă	trávy	trav	трави	αγκαθωτούς	trava	
rope	sogas	corde	corda	seil	touwen	ståltråd	köysi	верёвку	provazu	kötélen	halatla	јажето	tali	въжето	corretges	stålwire	nööri	מוט	kjetting	liny	corda	parâmă	skrutku	vrvjo	мотузка	σχοινί	užad	
skin	piel	peau	pelle	haut	huid	huden	iho	кожи	kůže	bőr	deride	кожата	kulitnya	кожата	pell	hud	nahk	העור	hud	skóry	pele	pielii	pokožky	kože	шкіри	δέρμα	kože	
meat	carne	viande	carne	fleisch	vlees	kött	lihaa	мясо	maso	hús	eti	месо	daging	месо	carn	kød	liha	בשר	kjøtt	mięsa	carne	carne	mäso	meso	ясо	κρέας	mesa	
blood	sangre	sang	sangue	blut	bloed	blod	verta	кровь	krev	vér	kan	крв	darah	кръвта	sang	blod	vere	דם	blod	krwi	sangue	sânge	krv	krvi	кров	αίμα	krvi	
bone	hueso	osseuse	osso	knochen	schedelbeenderen	skelettet	luuta	кости	kosti	csontok	kemik	коскен	tulang	кости	ossos	knogle	luude	לעצמות	kjevebeinet	kości	osso	osoasă	kostí	kosti	кістки	οστών	kostiju	
fat	grasa	graisseux	grasso	fat	vetten	fett	rasvainen	жира	lecitin	zsírtartalma	kabız	масно	lemak	тлъсто	greix	fedt	rasv	שומן	fettvev	szpik	gordura	gras	hlien	maščoba	жиру	λίπος	masni	
egg	huevo	œufs	uova	eier	ei	ägg	munia	яйца	vejce	tojásos	yumurta	јајцеклетката	telur	яйца	ous	æg	muna	ביצים	egg	jaja	ovo	sticluțe	žĺtok	jajčne	яйця	αυγά	jaja	
horn	cuerno	horn	corno	horn	hoorn	horn	poikkihuilu	вибрафон	roh	üstdob	korno	пијано	harpsichord	тромпета	contrafagot	horn	vibrafon	קסילופון	horn	fisharmonia	clavinete	trompete	tamburína	trobenta	флейта	πιάνο	gudača	
tail	cola	queue	coda	schwanz	staart	vingspetsar	siivenkärjet	хвост	ocas	farok	kuyruksokumu	опашката	ekor	опашката	cua	halefjer	sabaots	זנב	haleroten	ogona	cauda	coadă	chvost	repna	хвоста	πτερύγιο	rep	
feather	plumas	oiseau	piume	haarschopf	veren	stjärtfjädrarna	höyheniä	перья	peří	gallér	gökgerdan	пердувест	berleher	препаска	plomes	strudsfjer	hoosuled	נוצות	pelshår	piór	brincos	coada	nozdry	perje	криючі	φτερά»	perje	
hair	pelo	cheveux	capelli	haare	wenkbrauwen	hår	hiukset	волосы	vlasy	szőrzet	saç	кошулка	rambut	косата	cabell	hår	juuksekarva	שיער	hodehår	włosy	cabelo	părul	vlasy	nohta	волосся	μαλλιά	kosu	
head	cabeza	tête	capo	kopf	hoofd	huvud	apulaisvalmentaja	голова	hlava	feje	baş	главата	kepala	главата	capdavant	spidsen	abidirektor	ראש	hode	głowy	cabeça	fruntea	hlavou	glavak	голова	κεφάλι	čelo	
ear	nariz	oreille	orecchio	ohr	trommelvlies	munnen	kaulan	кончик	hrudník	szemgolyó	kulak	непцето	telinga	ноздрите	llavi	langefinger	silmalaud	באוזניים	øret	ucha	orelha	pleoapa	brucha	ušesa	вушні	λάρυγγα	noktiju	
eye	ojo	œil	occhio	auge	oog	ögat	silmä	глаз	oko	szem	gözü	око	mata	очите	ull	øje	silm	העיניים	øye	oko	olho	ochi	okom	očes	очей	μάτι	oka	
nose	nariz	nez	muso	nase	neus	nosen	jalat	подбородка	bříško	orr	burun	ноздри	hidung	задницата	panxell	næsen	ninasõõrmed	גחונו	nesen	nosa	nariz	nasul	ňufáku	sprednje	підборіддя	μυτερό	nosni	
mouth	embocadura	embouchure	bocca	mündung	monding	mynningen	suuta	протоки	řeky	torkolata	ağzında	голта	mulut	устието	boca	munding	suue	הנשפך	munningen	ujścia	boca	gurii	ústia	usta	гирло	στόμιό	ušću	
tooth	diente	mâchoire	denti	zähne	tanden	skelettet	raajapari	зуба	zubu	redő	kemik	коскести	rahang	зъбите	premaxil·lar	hugtænder	õlavarreluu	והשיניים	tennene	szczęki	dentes	mandibulă	kostí	nohta	зуби	δόντια	zubi	
tongue	mejilla	épiglotte	mento	zunge	gehemelte	struphuvudet	koukkumainen	язычок	jazylky	szájpad	ağızı	непцето	lidah	небцето	paladar	sproglyde	keeleluu	חך	kroppsspråket	języczek	lábios	flexiunea	jazylky	jeziček	язик»	μυτερό	noktima	
fingernail	dedos	doigts	polpastrello	fingernägeln	vingernagels	naglarna	sormen	кончик	škrábání	kézfej	deriyi	подлактицата	rahangnya	лапички	ungles	læberne	sõrmlaud	באצבעות	fingertuppene	podbródku	pescoço	pieptenele	prstoklad	prstih	нігті	δάχτυλα	noktiju	
foot	pies	pied	piedi	fuß	voet	fot	jalkaa	отвесной	metry	láb	yüksekliğinde	стапалото	kaki	крака	peu	fod	jalg	רגל	foten	stóp	pé	picioare	lakťa	metrov	футів	πόδια	stopalu	
leg	pierna	jambe	caviglia	sprunggelenk	benen	armbågen	nilkan	лодыжку	kotník	lábában	ayağın	ногата	pergelangan	крака	genoll	knæet	jalaluu	קרסולו	kneet	nogi	perna	gleznă	lakťa	kolena	ноги	πόδι	gležanj	
knee	tobillo	genou	ginocchio	knie	schouderblessure	armbågen	jalkansa	бедра	kotníku	térdsérülés	sakatlanma	зглобот	lutut	коляното	genoll	knæskade	jalaluu	בקרסול	kneet	kolana	joelho	gleznă	koleno	kolena	травму	γόνατο	ozljeda	
hand	mano	main	mano	hand	hand	händerna	kädessään	рукой	ruce	kézzel	parmağına	рака	tangannya	ръка	mà	hånd	käega	וביד	hånden	ręką	mão	mâna	ruky	roko	руку	χέρι	ruka	
wing	ala	aile	ala	flügel	vleugel	vingen	siiven	крыла	křídlo	szárnya	kanat	крило	sayap	крило	ala	højrefløjen	tiiva	כנף	vingen	skrzydła	asa	aripă	krídlu	krilo	крило	πτέρυγα	krila	
belly	vientre	ventre	ventre	bauch	buik	stjärten	jalat	брюхо	břicho	mellkasa	bacaklarında	опашката	pipinya	краката	ventre	bagkroppen	sabaots	והחזה	buken	brzuchu	queixo	picioarele	brucho	trebuh	тулуба	κοιλιά	trbuh	
guts	devorar	mordre	mostriciattoli	lecken	smijten	käft	raatoja	пожирает	bestie	szörnyeteggé	düşmanım	мрша	kumakan	изял	reptació	gnasty	lihasööjad	זולל	bite	wysysa	coices	enerveze	hlupákov	mesojedih	померти	νύχια	gaara	
neck	cuello	cou	collo	hals	nek	halsen	kaula	шеи	krku	nyakán	boynun	вратот	leher	главата	canell	hals	ninamik	ובצוואר	nakken	tułów	pescoço	pieptul	krku	vratu	шиї	λαιμό	vratu	
back	volver	revenir	indietro	zurück	terug	tillbaka	takaisin	обратно	zpátky	visszamenni	geri	назад	ke	обратно	enrere	tilbage	tagasi	אחורה	tilbake	wrócić	voltar	înapoi	späť	nazaj	назад	ξαναβγεί	natrag	
breast	mamarias	pancréas	mammella	brustkrebs	borstkanker	bröstcancer	rintasyövän	железы	prsu	mellrák	göğüste	тироидната	payudara	гърдата	cabellut	brystkræft	rinnanäärme	סרטן	brystkreft	piersi	mamária	canceroase	pŕs	dojke	пухлина	στήθους	dojke	
heart	corazón	cœur	cuore	herz	hart	hjärta	sydän	сердца	srdce	szív	kalp	срце	hati	сърцето	cor	hjerte	südame	הלב	hjerte	serca	coração	inima	srdca	srce	серця	καρδιά	srce	
liver	hígado	foie	fegato	nieren	lever	levern	munuaisten	печени	ledvin	májbetegség	karaciğer	бубрезите	ginjal	дроб	fetge	blodsygdom	vereringeelundite	בכבד	blodkreft	wątroby	fígado	rinichiul	žalúdka	hemolimfo	печінки	ήπαρ	jetre	
drink	bebida	boire	bere	trinken	drinken	dricka	juomaa	напитки	nápoje	italt	içecekler	пијалокот	minuman	напитки	beure	drikke	keeda	משקה	drikke	napoje	bebida	băutură	mäsu	napitek	напої	φαγητό	piće	
eat	comer	manger	mangiare	verzehren	eten	äta	syödä	съесть	jíst	enni	yiyebilir	јаде	makan	изядат	menjar	spise	süüa	לאכול	spise	spożywać	comer	mănâncă	skonzumovať	pojedo	їсти	τρώνε	pojesti	
bite	mordida	mordre	morso	gebissen	bijten	kräkas	pureman	укусить	kousnutí	harapni	ısırık	брадавицата	gigit	захапване	mossegar	knurhår	hammusta	לנשוך	bite	ugryzienia	mordidas	mușcă	obštipkávať	ugriznejo	укус	τσίμπημα	ugrize	
suck	succionar	sucer	succhiare	saugen	zuigen	svälja	sylkeä	тереть	pročistit	szívni	ısırarak	голтаат	menghisap	смучат	remenar	sluge	närida	להזיע	sprute	wysysa	entupido	umfle	zožerie	nabiramo	чистити	ρουφάει	pljuvati	
spit	comerla	jetée	spiaggia	meeresarm	zandbank	skölja	suustaan	косы	vychladnout	morzsa	çamurla	песочниот	pantat	заливка	polp	sandbanke	maasäär	המיצר	sprut	mielizna	escorrer	limanul	zátoky	plitvina	порізати	ποταμάκι	fliš	
vomit	vomitar	vomir	vomitare	schlucken	braaksel	kräkas	oksentaa	рвоту	pozřít	belélegzése	kaşıntı	голта	kencing	сдъвкване	orinar	indånder	kõhuvalu	להקיא	svette	mdłości	espirrar	înghite	preháňadla	vdihava	ковтати	αιμόπτυση	nasmijati	
blow	golpearse	souffler	colpirlo	schlag	klap	skaka	räjähtäisi	удар	zatáhnout	gyújtani	vurmak	удар	menghantamnya	ударила	colpejar	ødelægge	pikselöögist	מקליע	blåse	uderzy	arrebentar	lovește	uhasiť	pretresen	ударити	χτύπημα	udariti	
breathe	respirar	respirer	respirare	atmen	ademen	andas	hengittää	дышать	dýchat	lélegezni	solumak	дишат	bernapas	диша	respirar	indånder	hingata	לנשום	puste	oddychać	respirar	respira	dýchať	dihati	дихати	αναπνέει	disanje	
laugh	reír	rire	sorridere	lachen	lachen	skratta	huudahtaa	смеяться	smát	nevetni	fısıldar	слушнеш	tertawa	шегуваш	riure	drille	naerdes	ולבכות	latterlig	śmiech	rir	prostesc	zbláznim	nasmejal	сміятися	χαμογελάσει	nasmijati	
see	ver	voir	vedere	nachschauen	zie	tycker	katso	добавлю	vidím	megnézed	mesela	разгледајте	lihat	„вижте	veure	se	kuskilt	תציין	se	wstawiasz	ver	linkurile	pozrieš	glej	глянути	δείτε	vidjet	
hear	oír	entendre	ascoltare	hören	luisteren	höra	kuulla	слышать	poslechnout	megszólalni	seslenmek	слушнеш	mendengarkan	чуят	escoltar	høre	kuulda	לשמוע	høre	słyszeć	ouvir	auzi	počúvať	poslušam	вислухати	ακούνε	čuti	
know	preguntarme	pense	capire	weißt	denk	vet	tiedä	знаете	říct	megmondani	bilmediğin	разбирам	mengerti	разбереш	coneixes	hvad	teaks	יודע	vet	wiem	dizer	știu	opýtať	razumeš	знати	καταλαβαίνετε	shvaćaš	
think	creo	pense	penso	denke	denk	tycker	minusta	думаю	myslím	gondolom	söylemiyorum	мислам	saya	мисля	crec	jeg	nojah	חושב	jeg	myślę	acho	cred	nesledujem	mislim	думаю	νομίζω	mislim	
smell	olor	odeur	odore	riechen	ruiken	lukt	hajun	запах	zápachu	szagok	kokusunda	мирис	seduhan	миризмите	olor	lugt	lõhnad	ריח	lukten	zapach	cheiro	mirosul	dráždivé	vonj	запах	οσμή	mirisa	
fear	miedo	crainte	paura	furcht	angst	rädsla	pelko	страх	strachu	félelem	umutsuzluk	страв	ketakutan	страх	temor	frygt	hirmust	פחד	frykt	strach	medo	frica	strachu	maščevalnost	ненависть	φόβο	straha	
sleep	dormir	sommeil	sonno	schlaf	slaap	sömnen	nukkua	бодрствования	spánku	alvás	uyku	неспиење	tidur	съня	dormir	søvnparalyse	söömishäire	לישון	søvn	snu	dormir	somn	spánku	spanje	сну	αϋπνία	spavanje	
live	live	live	live	live	live	live	live	жить	live	élő	canlı	живо	live	живо	live	live	live	לחיות	live	live	vivo	live	živé	živi	жити	ζωντανά	uživo	
die	die	die	die	sterben	menschlichen	die	sehnsucht	умереть	tragödie	letzten	deinem	лудендорф	französischen	берлихинген	die	die	aufl	למות	daß	betrachtungen	die	hochzeit	die	menschheit	померти	πεθάνει	zeit	
kill	matar	tuer	uccidere	töten	vermoorden	hämnas	tappaa	убить	zabít	megölni	öldürmek	убие	membunuh	убие	matar	dræbe	tappa	להרוג	drepe	zabić	matar	ucide	zabiť	ubije	вбити	σκοτώσει	ubiti	
fight	luchar	combat	combattere	kampf	vechten	slåss	taisteluaan	бой	bojovat	harc	dövüşerek	борбата	pertarungannya	битка	lluitar	kæmpe	võitlemas	להילחם	kjempe	walka	lutar	lupta	bojovať	boj	бій	πολεμάει	borbe	
hunt	hunt	hunt	cacciatore	jagd	jacht	jakt	hunt	охота	lovec	vadászata	avcısı	лов	pemburu	лов	cacera	jagte	hunt	לצוד	jakte	hunt	caçar	vânător	hogg	lov	полювання	ελαφοκυνηγός	lov	
hit	hit	touché	hit	hit	hit	förstaplatsen	hitti	хит	hit	telitalálat	hit	топ	hit	хит	disparat	hit	hitti	ללהיט	billboard	przebojem	hit	hit	hit	zavihtela	хіт	αστόχησε	hit	
cut	cortar	coupées	tagliata	weggeschnitten	weggesneden	skära	leikattu	вырезать	odstřihnout	vágták	kesilen	исече	dipotong	отрязаните	tallar	overskåret	vaheltlõiked	שנחתכו	kutte	wycięte	cortar	tăiat	rozrezaný	zarezan	вирізаний	προεξείχαν	odreže	
split	separarse	scission	scissi	aufgeteilt	gesplitste	splittrades	kahtia	разделено	rozdělen	szétváltak	bölünmüş	поделен	digabung	разделени	separar	splittes	jagatuna	פיצול	splittet	rozdzielone	dividir	separase	rozdelení	razdelitvijo	розділено	διαχωρίστηκαν	podijeljena	
stab	apuñalar	poignarder	pugnalarlo	kopfschuss	verwondt	såra	haavoittaa	ножом	bodne	sebet	yaralamak	прободе	menusuk	прободе	apunyalar	selvmorderisk	tulistada	לדקור	såret	zastrzelić	esfaqueá	rănească	postrelí	ustreliti	пораненого	τραυματίσει	ubojite	
scratch	trabajarlo	retravailler	scratch	scratch	wikificeren	mjukvaran	väsätä	заново	vylepšovat	inkscape	geliştirebilir	подобрам	scratch	перце	empastar	scrap	lihvida	העתק/הדבק	finpusse	ulepszać	scratching	stearga	odznovu	lotiš	витирати	ξεκινήσαμε	doraditi	
dig	excavar	fouiller	scavare	auszugraben	opgraven	gräva	kaivaa	копать	vykopat	ásni	kazmak	ископаат	menggali	изкопаят	excavar	udgraver	uuristada	לחפור	grave	wykopać	escavar	scoate	vykopať	izkopal	копати	σκάψει	iskopati	
