en	es	fr	it	de	nl	sv	fi	ru	cs	hu	tr	mk	id	bg	ca	da	et	he	no	pl	pt	ro	sk	sl	uk	el	hr
ability	habilidad	capacités	abilità	fähigkeit	vaardigheden	förmågan	kyky	способность	schopnost	képessége	yeteneğin	способноста	kemampuan	способноста	habilitat	evne	võimet	היכולת	evne	zdolności	habilidade	abilitatea	schopnosť	sposobnosti	здатність	ικανότητα	sposobnost
bird	pájaro	oiseau	uccelli	vögel	vogel	fåglar	lintu	птица	pták	madár	kuş	птица	burung	птици	ocell	fuglen	lind	ציפור	fugleunger	ptak	pássaros	păsări	vtáčik	ptica	птах	πτηνό	ptica	
blood	sangre	sang	sangue	blut	bloed	blod	verta	кровь	krev	vér	kan	крв	darah	кръвта	sang	blod	vere	דם	blod	krwi	sangue	sânge	krv	krvi	кров	αίμα	krvi	
body	cuerpo	corps	corpo	körper	lichaam	kroppen	ruumiin	тело	tělo	teste	vücudunun	тело	tubuhnya	тялото	cos	krop	keha	גוף	kropp	ciała	corpo	corpul	telo	telesa	тіла	σώμα	tijela	
brain	cerebro	cerveau	cervello	gehirn	hersenen	hjärna	aivojen	мозга	mozku	agy	beynin	мозокот	otak	мозъка	cervell	hjernen	ajukoe	המוח	hjernen	mózgu	cérebro	creierului	mozgu	nevroza	мозку	εγκέφαλο	moždana	
broken	roto	déchiré	rotto	gebrochen	gebroken	sönder	rikkinäinen	сломал	rozbité	összetörte	kırık	ногата	rusak	разкъсано	trencat	brudt	purunenud	נשבר	brukket	złamaną	quebrado	rupt	zlomený	zlomljena	зламаний	αποκολλήθηκε	zavezanih	
building	edificio	bâtiment	edificio	gebäude	gebouw	byggnaden	rakennus	здание	budova	épület	bina	зградта	bangunan	сграда	edifici	bygningen	hoone	בניין	bygningen	budynek	edifício	clădire	budovy	stavba	будівля	κτίριο	zgrada	
burn	quemar	brûler	bruciare	verbrennen	verbranden	bränna	polttaa	сжигать	spálit	elégetni	yakmak	запаллива	membakar	изгори	cremar	brænde	põleda	שורפת	brenne	spalić	queimar	arde	zrútiť	zažiganje	спалювати	καίγοντας	zapaljenje	
business	negocios	business	business	business	bedrijfsmanagement	finansbranschen	liiketoiminta	бизнес	podnikání	üzleti	işletme	бизниз	bisnis	бизнес	negocis	forretnings	ettevõtlus	עסקים	forretningsjus	biznesową	empresarial	business	podnikania,	podjetništvo	бізнес	επιχειρηματική	poslovni	
camera	videocámara	caméra	fotocamera	kamera	camera	kameran	kameran	видеокамера	kamery	kamera	kameralar	фотоапаратот	kamera	фотоапарата	càmera	kamera	kaamera	המצלמה	kamera	kamery	câmera	fotografiat	kamera	fotoaparatu	фотокамера	κάμερα	kamera	
carefully	cuidadosamente	soigneusement	accuratamente	sorgfältig	zorgvuldig	noggrant	huolellisesti	тщательно	pečlivěji	gondosan	dikkatlice	внимателно	teliti	внимателно	acuradament	omhyggeligt	hoolikalt	בקפידה	nøye	starannie	cuidadosamente	atent	premyslieť	skrbno	ретельно	προσεκτικά	pažljivo	
challenge	desafío	challenge	sfida	herausfordern	uitdaging	vinna	challenge	выиграть	vyhrát	megnyer	kazananını	натпреварување	penantang	надпреварите	desafiament	udfordrerne	võistlusprogramm	האתגר	utfordrerne	wygrać	desafio	competiție	etcc	zmagovalki	виграти	προκριματικής	pobijediti	
charity	benéfica	caritative	beneficenza	wohltätigkeitsorganisation	liefdadigheidsinstelling	välgörenhetsorganisation	hyväntekeväisyysjärjestö	благотворительная	charitativní	jótékonysági	dernek	добротворна	amal	благотворителна	benèfica	velgørenhed	heategevuslik	צדקה	veldedig	charytatywnej	caridade	caritabil	charitatívne	dobrodelni	благодійна	φιλανθρωπική	dobrotvorna	
charming	encantador	charmant	affascinante	liebenswürdige	charmante	älskvärda	viehättävä	очаровательный	okouzlující	szellemes	yakışıklı	преубава	tampan	очарователен	malhumorat	charmerende	imekaunis	ומצחיק	sjarmerende	zarozumiały	charmoso	încântător	láskavý	dobrosrčen	життєрадісний	όμορφη	snalažljiv	
clothes	ropas	vêtements	vestiti	kleider	kleren	kläder	vaatteita	одежду	oblečení	ruhák	giysileri	облека	pakaian	дрехи	roba	tøj	riided	בגדים	klær	ubrania	roupas	haine	oblečie	oblačila	одяг	ρούχα	odjeću	
cockroach	cucarachas	termites	scarafaggio	regenwurm	stinkdieren	fjärilslarver	ampiaishämähäkki	насекомое	parazit	csótány	hamamböceği	инсект	arachnida	насекомоядна	insectívora	insekt	küüsikloomad	ועכבישים	kleptoparasitter	owady	besouros	heloderma	hlodavec	žuželke	паразит	νυχτοπεταλούδες	kukca	
code	código	code	codice	code	code	kod	koodi	код	kód	kód	kodu	кодот	kode	код	codi	kode	koode	קוד	kode	kodu	código	codul	kód	kodo	код	κώδικα	kodne	
collection	colección	collections	collezione	sammlung	collectie	samlingen	kokoelma	коллекции	sbírky	gyűjtemény	koleksiyonu	збирка	koleksi	колекция	col·leccions	samling	kollektsioon	אוסף	samlingen	kolekcja	coleção	colecție	zbierky	zbirka	колекція	συλλογή	kolekcija	
computer	ordenador	informatique	computer	computer	computer	dator	tietokone	компьютерно	počítačové	számítógép	bilgisayar	компјутерски	komputer	компютър	ordinador	computer	arvutiriistvara	המחשב	datamaskin	komputerowy	computador	calculator	počítačovo	računalniško	комп	υπολογιστή	računalni	
construction	construcción	construction	costruzione	bau	bouw	byggandet	rakentaminen	строительство	výstavby	építése	inşaatı	изградба	konstruksi	строителството	construcció	byggeriet	ehitamine	בניית	bygging	budowy	construção	construcția	výstavba	gradnjo	будівництво	κατασκευή	izgradnja	
cook	cook	cook	cook	cook	cook	cook	cook	кук	cook	cook	cook	покахонтас	cook	кук	cook	cook	mccormick	קולינגווד	cook	cook	cook	cook	mcavoy	slaney	вайт	κουκ	mccook	
counting	contabilizando	décompter	conteggio	zusammengezählt	tellen	räkna	laskenta	подсчитать	zaokrouhlování	hatványozás	sayılarına	⟨e⟩	menghitung	броене	recompte	tælles	järjestamine	נספרים	opptelling	liczenia	contagem	numărare	odčítanie	številskih	підрахунку	καταμετρούνται	brojanje	
crazy	loco	flingueur	stupido	verrückt	gekke	daddy	hullut	сумасшедший	mámy	kissrác	çılgın	спиеш	babysitting	вярвай	caçafantasmes	jeezy	ihuüksi	שטותי	freaky	crazy	louco	excuse	„gypsy	»zdaj	віриш	χαμογέλασε	poludim	
damage	daños	dégâts	danneggiamento	schäden	schade	skador	vahinkoja	повреждения	poškození	károk	hasara	оштетувањето	rusaknya	щети	danys	skaderne	kahjustus	נזק	skader	uszkodzenia	danos	pagube	poškodenie	poškodovani	пошкодження	ζημιές	oštete	
dance	baile	danse	danza	tanz	dance	dans	tanssi	танцевальный	taneční	tánc	dans	танц	dance	танци	dansa	dansepop	tantsuõhtu	ריקוד	dansepop	dance	dança	dans	tanečná	ples	танцювальна	χορό	ples	
dangerous	peligroso	dangereux	pericoloso	gefährlich	gevaarlijke	farliga	vaarallinen	опасные	nebezpečné	veszélyes	tehlikeli	опасни	berbahaya	опасни	perillós	farlige	ohtlik	מסוכן	farlige	niebezpiecznie	perigoso	periculoase	nebezpečné	nevarno	небезпечні	επικίνδυνο	opasnima	
deceive	engañar	tromper	ingannare	täuschen	misleiden	avsikter	harhauttaa	обмануть	předstírat	megtéveszteni	yanıltmak	оправдаат	mengelabui	заблудят	enganyar	narre	vägistada	להטעות	lure	zwieść	enganar	îndrăznesc	klamať	opravičiti	виправдати	εξαπατηθεί	prevariti	
dedication	dedicación	dédicace	dedicazione	feierlichkeit	dankbetuiging	ära	kunnioitus	чествование	chvále	tisztelet	şerefine	посветеност	dedikasi	благодарността	dedicació	ære	tänulikkus	הנדיבות	ære	poświęcenie	dedicação	dedicația	dobročinnosť	počastitev	пошанування	δέηση	posvete	
deliberately	deliberadamente	délibérément	deliberatamente	absichtlich	opzettelijk	avsiktligt	tarkoituksellisesti	намеренно	záměrně	szándékosan	kasıtlı	намерно	disengaja	неумишлено	intencionadament	bevidst	tahtlikult	במכוון	bevisst	celowo	deliberadamente	neintenționat	zámerne	namerno	навмисно	εσκεμμένα	namjerno	
delivery	transportación	livraison	trasporto	anlieferung	levering	leverans	asiakkaille	доставки	doručení	szállítás	teslimat	услуги,	pengiriman	доставяне	transferència	levering	koostootmine	ושינוע	leveranse	dostarczenie	entregas	livrare	doručovanie	prenosnega	приймання	ταχυμεταφορές	transportnog	
dessert	postres	desserts	uvetta	süßspeise	nagerecht	maträtter	jälkiruoka	десерта	těstoviny	sütemény	peynirli	предјадења	hidangan	сладкиши	sopes	dessertvin	magustoit	וגבינה	kjøttkaker	desery	sobremesa	prăjituri	omáčok	omako	десерт	τηγανίτα	krumpir	
device	dispositivo	accéléromètre	dispositivo	gerät	apparaat	pekskärm	laite	устройствах	přístroj	eszköz	cihazında	сензор	portabel	сензорен	dispositiu	processorkraft	seade	המכשיר	skjermkortet	urządzenie	dispositivo	dispozitiv	firewire	naprava	пристрій	συσκευή	uređaj	
dig	excavar	fouiller	scavare	auszugraben	opgraven	gräva	kaivaa	копать	vykopat	ásni	kazmak	ископаат	menggali	изкопаят	excavar	udgraver	uuristada	לחפור	grave	wykopać	escavar	scoate	vykopať	izkopal	копати	σκάψει	iskopati	
dinner	cenar	dîner	pranzo	abendessen	diner	middag	tarjoili	обед	večírek	vacsorán	yemeğinde	вечерата	jamuan	вечерята	sopar	festmåltid	õhtusöögil	וארוחה	middag	obiad	jantar	cină	večierka	večerjo	вечерею	δεξίωση	večeru	
disease	enfermedad	maladie	malattia	infektionskrankheit	ziekte	sjukdomen	sairaus	заболевания	onemocnění	betegség	hastalık	болест	penyakit	заболявания	malaltia	sygdommen	haigus	מחלות	sykdommen	choroby	doença	boala	choroba	bolezni	захворювання	νόσο	bolesti	
dissolve	disolver	dissoudre	sciogliere	auflösen	kristalliseren	bilda	hajottaa	распустить	rozpustit	feloszlatni	çözeltiyi	распушти	membubarkan	разпусне	dissoldre	opløse	lahustada	להתפרק	oppløse	rozpuszczenie	dissolver	dizolvă	rozpustí	raztopijo	розчинити	διαλύεται	formirati	
disturb	perturbar	troubler	disturbare	stören	weghouden	störa	ahdistaa	воздействовать	nerušit	megzavarni	dengede	попречуваат	mengganggu	плашат	pertorbar	forstyrres	häirida	לחוש	forstyrre	zakłócać	perturbar	liniștesc	narušovať	zaspijo	затримувати	διαταράξουν	pljuvati	
do	deberíais	dois	devo	müsst	kunt	modifiera	viitsitä	скажите	nechcete	próbálod	bulmadığımı	разбирате	do	помоля	pregunto	kan/vil	nojah	לעשות	du/dere	mogę	quiser	gîndesc	nechcem	potrudimo	архівувати	επιτρέψτε	slucaju	
doctor	doctor	docteur	dottore	doktor	dokter	doktorn	tohtori	доктор	doktor	doktor	doktor	доктор	doctor	доктор	doctor	doktor	arsti	דוקטור	doktor	doktor	doutor	doctor	doktor	zdravnik	доктор	γιατρός	doktor	
dog	perro	chien	cane	hund	hond	hund	koira	собака	pes	kutya	köpek	куче	anjing	куче	gos	hund	koer	כלב	hund	pies	cachorro	câine	pes	prašiček	собака	κυνηγόσκυλα	pasa	
dressing	vestidor	habiller	biancheria	umkleiden	kleedkamer	omklädningsrum	pukuhuone	раздевалке	převlékání	öltöző	giyinme	пресоблекување	berdandan	престилки	vestidor	udklædning	pükse	בבגדים	antrekk	garderoby	vestido	îmbrăcau	oblečie	oblečeno	одягання	κρεβατιού	odjevena	
driver	piloto	pilote	pilota	fahrer	coureur	förare	kuljettaja	водитель	spolujezdec	versenyző	sürücüsü	возач	pembalap	автомобил	pilot	køreren	sõitja	הנהג	racerføreren	kierowca	motorista	pilotul	pretekár	dirkača	водій	συνοδηγός	vozač	
economy	economía	économie	economia	wirtschaft	economie	ekonomin	talous	экономика	ekonomiky	gazdaság	ekonominin	економијата	perekonomian	икономиката	economia	økonomien	majanduselus	הכלכלה	økonomien	gospodarki	economia	economia	ekonomika	gospodarstvo	економіка	οικονομία	gospodarstva	
election	elecciones	élection	elezioni	wahlen	verkiezingen	valet	parlamenttivaaleissa	выборах	voleb	választások	seçimlerde	избори	pemilu	изборите	eleccions	valget	valimised	בבחירות	valget	wyborach	eleições	alegerile	volieb	volitvah	вибори	εκλογές	izborima	
electron	electrones	électron	elettroni	elektronen	elektronen	elektroner	molekyyliin	электронов	elektronu	fotoelektron	elektronları	електронволти	elektron	микрочастиците	electrons	elektroner	elektronide	אלקטרונים	elektroner	elektronu	elétrons	electroni	elektrónovo	elektronov	електронів	ηλεκτρονίων	elektrona	
elegance	elegancia	élégance	eleganza	eleganz	elegantie	skönhet	ylellisyyttä	элегантность	elegance	elegancia	güzellikle	елеганција	elegan	елегантност	elegància	elegance	luksuslik	אלגנטיות	eleganse	elegancja	elegância	eleganță	elegancie	elegantni	елегантність	κομψότητα	ljepotu	
emotion	emoción	émotion	emotività	emotionen	emoties	känslor	tunteita	эмоциональность	emoce	érzelem	duygudan	емоционална	emosi	емоция	emoció	følelses	emotsioon	רגש	følelser	emocjonalne	emoção	emoție	citové	čustvo	емоція	συναίσθηση	emocija	
emotionally	emocionalmente	émotionnellement	emotivamente	emotional	emotioneel	känslomässigt	tunteitaan	эмоционально	emocionálně	érzelmileg	duygusal	емоционално	emosional	емоционално	emocionalment	følelsesmæssigt	emotsionaalselt	רגשית	deprimerende	emocjonalnie	emocionalmente	emoțional	citovo	čustveno	емоційно	συναισθηματικά	emocionalno	
engine	motor	moteur	motore	triebwerk	motoren	motorn	moottori	двигатель	motor	motor	motoru	мотор	mesin	двигател	motor	motoren	mootoril	מנוע	motoren	silnik	motor	motorul	motor	motorjet	двигун	κινητήρα	motor	
event	evento	évènement	evento	veranstaltung	evenement	tävlingarna	tapahtuma	событие	událost	esemény	etkinlikte	настан	event	събитието	esdeveniment	begivenheden	suurvõistlus	אירוע	arrangementet	wydarzenie	evento	eveniment	udalosť	dogodek	подія	εκδήλωση	događaj	
experiment	experimento	expériences	esperimento	experiment	experiment	experiment	kokeellisesti	эксперимент	experiment	kísérlet	deneyler	експеримент	eksperimen	експеримент	experiment	eksperiment	mõtteeksperimendi	וניסוי	eksperiment	eksperyment	experimento	experimente	experiment	eksperiment	експеримент	πείραμα	eksperimenta	
extremely	extremadamente	extrêmement	estremamente	äußerst	zeer	extremt	erittäin	очень	velmi	rendkívül	çok	многу	sangat	изключително	extremadament	meget	väga	מאוד	svært	bardzo	extremamente	foarte	veľmi	zelo	надзвичайно	εξαιρετικά	vrlo	
feeling	presentimiento	sentiment	sensazione	gefühl	gevoel	känslor	tunteen	чувство	pocit	érzése	duyguları	претчувство	perasaan	чувството	sentiments	følelsen	süütunne	ותחושה	følelsen	odczucie	sensação	sentimentele	pocit	občutenje	почуття	συναίσθηση	osjećajno	
fight	luchar	combat	combattere	kampf	vechten	slåss	taisteluaan	бой	bojovat	harc	dövüşerek	борбата	pertarungannya	битка	lluitar	kæmpe	võitlemas	להילחם	kjempe	walka	lutar	lupta	bojovať	boj	бій	πολεμάει	borbe	
fish	pescados	poissons	pesci	fische	vis	fisk	kalaa	рыбы	ryby	édesvízi	balık	риби	ikan	риба	marisc	fisk	kalad	דגים	fisk	ryby	peixes	pești	ryby	ribe	риби	ψάρια	riba	
flow	flujo	écoulement	flusso	abfließen	uitstromen	flöde	virtaus	потока	proudění	vízmennyiség	akış	водотекот	mengalirkan	потока	flux	vandstrømme	voolava	זרימת	vanngjennomstrømning	przepływ	fluxo	debitul	tok	pretoka	протіканні	ροή	protok	
food	alimentos	nourriture	cibo	lebensmittel	voedsel	mat	ruoka	пищи	potravinu	étel	yiyecek	храна	makanan	храна	aliments	fødevarer	toiduõli	מזון	mat	żywności	alimentos	alimente	mäso	hrano	харчування	φαγητού	hrane	
garbage	basura	poubelles	immondizia	müll	vuilnis	skräp	roskat	мусор	odpadky	szeméttel	çöp	чистачи	sampah	боклук	escombraries	affaldscontainere	prügikasti	זבל	søppel	śmieci	lixo	gunoiul	odpadky	odpadkom	сміття	σκουπίδια	smeće	
gold	oro	or	oro	gold	goud	guld	kultaa	золото	zlato	ezüst	altın	злато	emas	сребърни	plata	guld	hõbedale	זהב	gull	złoto	ouro	argint	zlato	zlato	золото	χρυσό	zlato	
great	gran	grande	grande	große	great	väldig	suuri	большой	velké	nagy	büyük	големo	great	огромния	gran	store	suur	עצום	great	ogromne	grande	mare	veľká	velikaš	великий	μεγάλη	velikm	
gun	ametralladora	mitrailleuse	mitragliatore	maschinengewehr	machinegeweer	eldhandvapen	tykki	пушки	ráže	géppuska	makineli	вооружан	berpeluru	скорострелно	metralladora	kanoner	kergekuulipilduja	ממקלע	kaliber	kalibru	metralhadora	mitraliera	kalibru	mitraljez	гармата	όπλο	pištolje	
hair	pelo	cheveux	capelli	haare	wenkbrauwen	hår	hiukset	волосы	vlasy	szőrzet	saç	кошулка	rambut	косата	cabell	hår	juuksekarva	שיער	hodehår	włosy	cabelo	părul	vlasy	nohta	волосся	μαλλιά	kosu	
help	ayudar	aider	aiuto	helfen	helpen	hjälpa	auttaa	помочь	pomohu	segíteni	yardımım	помогне	membantu	помогне	ajudar	hjælpe	aidata	לעזור	hjelpe	pomóc	ajudar	ajute	pomôcť	pomoč	допомогти	βοηθήσει	pomoći	
hurting	importarle	dégoûte	arrabbiare	hasst	ergeren	inser	satuttaa	задевает	naštvat	bosszantja	alıkoyamaz	навредува	menyakiti	съсипе	perjudicant	ærgrer	pahandab	פוגע	skjønner	obraża	atrapalhando	descurajăm	nenúti	zasmehuje	роздратування	φοβίζει	vrijeđati	
ignorance	ignorancia	ignorance	ignoranza	unwissenheit	onwetendheid	okunnighet	tietämättömyys	невежество	neznalosti	tudatlanság	inançsızlık	апсурдност	ketidaktahuan	невежество	ignorància	medmenneskelighed	moraalimõtlemine	בערות	likegyldighet	ignorancji	ignorância	ignoranță	nezmyselnosti	brezbrižnosti	абсурдність	άγνοια	apsurdnosti	
illness	enfermedad	maladie	malattia	krankheit	longontsteking	sjukdom	sairauteen	болезни	nemoci	betegsége	hastalıktan	болест	penyakitnya	заболяване	malaltia	sygdom	haigushoo	ממחלה	sykdom	choroby	enfermidade	boală	chorobu	boleha	хвороби	ασθένεια	bolesti	
impress	impresionar	impressionner	impressionare	beeindrucken	overtuigen	imponera	järkyttää	ревновать	předvést	elcsábítani	kıskandırmak	проси	menggemaskan	впечатли	impressionar	imponere	imestada	להרשים	imponere	zaimponować	impressionar	seducă	skúšať	razkaže	довірити	εντυπωσιάσει	nadmudriti	
invention	invención	invention	invenzione	erfindung	uitvinding	uppfinning	keksintö	изобретение	vynález	találmánya	mucidi	пронајдокот	penemuannya	изобретяване	invenció	opfindelse	leiutamine	המצאת	oppfinnelse	wynalezienie	invenção	invenția	vynálezu	iznajdba	винахід	εφεύρεση	izumio	
investigation	investigará	enquête	indagine	ermittlungen	politieonderzoek	förundersökning	rikostutkinta	расследование	vyšetřování	nyomozás	soruşturma	истрага	penyelidikan	разследване	investigació	efterforskning	uurimine	חקירה	etterforskning	śledztwo	investigações	investigații	vyšetrovanie	preiskava	розслідування	έρευνα	istrage	
invisible	invisible	invisible	invisibili	unsichtbaren	onzichtbare	osynliga	näkymätön	невидимых	neviditelné	láthatatlan	görünmez	„невидливи	invisible	невидимите	invisible	usynlige	nähtamatu	מכושף	usynlig	niewidzialne	invisível	invizibil	neviditeľný	nevidni	невидимим	αόρατο	nevidljivo	
job	trabajar	embaucher	lavoro	job	solliciteren	jobb	palkkansa	зарплату	zaměstnáním	munkakört	iş	работиш	pekerjaannya	работа	feina	job	oskustööline	עבודה	jobb	pracę	emprego	angajatul	zamestnal	samozaposlitev	працевлаштування	δουλειά	posao	
jungle	jungla	jungle	giungla	dschungel	jungle	djungeln	viidakkoa	джунглей	džungli	esőerdőben	savana	џунгла	jungle	джунглата	jungla	jungle	vihmametsadest	היער	jungelen	dżungli	selva	junglele	džunglí	divjina	джунглів	ζούγκλα	džungla	
kindness	compasión	compassion	compassione	freundlichkeit	goedheid	hjälpsamhet	kunnioitusta	сострадания	dobrotu	nagylelkűség	yardımseverlik	добродушност	ketulusan	добротата	afecte	medlidenhed	ligimesearmastus	ונדיבות	takknemlighet	życzliwość	compaixão	compasiunea	láskavosť	dobroto	доброту	αξιοπρέπειά	suosjećanje	
king	rey	roi	re	könig	koning	kung	kuningas	король	král	király	kral	крал	raja	крал	rei	kong	kuningas	המלך	kong	króla	rei	regele	kráľ	kralj	король	βασιλιάς	kralj	
lady	señora	dame	signora	lady	lady	lady	lady	леди	paní	grófkisasszony	lady	грофицата	lady	лейди	senyora	lady	leedi	ליידי	lady	pani	senhora	lady	lady	gospa	пані	κυρία	gospa	
land	tierras	terres	terreni	landflächen	landbouwgronden	tunnland	viljelysmaata	земель	pozemky	földterületek	arazi	земјиштата	tanahnya	земя	terres	landområde	maad	קרקעות	landområder	grunty	terras	terenurile	pôdu	zemljišča	земля	καλλιεργήσιμη	zemljište	
laugh	reír	rire	sorridere	lachen	lachen	skratta	huudahtaa	смеяться	smát	nevetni	fısıldar	слушнеш	tertawa	шегуваш	riure	drille	naerdes	ולבכות	latterlig	śmiech	rir	prostesc	zbláznim	nasmejal	сміятися	χαμογελάσει	nasmijati	
law	leyes	législation	legge	verfassungsrecht	strafrecht	lagstiftning	lakia	закон	právní	törvény	hukuku	закона	hukum	закони	lleis	advokats	võlaõigusseaduse	החוק	privatrett	prawa	leis	legislație	právna	zakonodajo	законодавство	δίκαιο	pravni	
left	left	gauche	lasciato	left	achterblijver	lämnade	vasemman	остался	levý	bal	align	лево	left	ляв	esquerre	venstre	vasakule	ימין	align	pozostał	deixado	stânga	nevrátil	desno	зліва	αριστερό	lijevoga	
level	nivel	niveau	livello	niveau	niveau	nivå	tasolla	уровень	úrovni	szint	seviye	нивои	level	ниво	nivell	niveau	tase	לרמה	nivå	poziomie	nível	nivelul	úrovni	nivoja	рівень	επίπεδο	razina	
liar	mentiroso	menteur	bugiardo	lügner	leugenaar	oförskämt	pelkuri	лжец	nepravdu	hazudozó	iftiracı	измамник	pembohong	обвиняваш	mentider	løgner	kahetsus	השקרן	løgn»	idiotą	mentiroso	mincinos	klame	zasmejal	брехун	ψεύτης	kažeš	
light	luz	lumière	light	licht	licht	ljus	valo	света	světlo	fény	ışıkla	светлиот	cahaya	светлина	llum	lys	„valgus	האור	lys	światło	luz	lumină	svetlo	svetlobe,	світло	φως	svjetla	
magic	magia	magie	magia	zauber	magische	magiska	magic	волшебство	magické	varázslatos	sihirli	магични	magic	магически	màgia	magiske	võluri	קסם	magiske	czarodziejskie	mágica	magick	kúzla	čarobni	магічні	μαγικό	čaroban	
marriage	matrimonio	mariage	matrimonio	eheschließung	huwelijk	äktenskap	avioliitto	брак	manželství	házasság	evliliği	брак	pernikahan	брака	matrimoni	ægteskab	abielu	נישואים	ekteskap	małżeństwa	casamento	căsătorie	manželstvo	poroko	шлюб	γάμο	braka	
material	material	matériau	materiale	material	materiaal	material	lähdemateriaalia	материал	materiál	anyag	materyaller	материјали	materi	материала	materials	materiale	materjal	חומר	materiale	materiale	material	materialele	materiále	material	матеріал	υλικό	materijal	
mathematical	matemática	mathématique	matematica	mathematische	mathematische	matematiska	matemaattisen	математической	matematické	matematikai	matematiksel	математички	matematika	математически	matemàtica	matematiske	matemaatiline	מתמטית	matematiske	matematyczne	matemática	matematice	matematické	matematični	математична	μαθηματική	matematički	
