ability	{'способности', 'правоспособност', 'умение', 'кадърност_ло́вкост', 'вещина́', 'способността', 'пригодност', 'способност'}
challenge	{'възразя', 'възразявам', 'предизвикателство_отговор_удостоверяване', 'оспоря', 'предизвикателство_отговор', 'предизвикателство', 'оспорвам', 'оспори', 'оспорване'}
charity	{'общественополезна_дейност', 'polemonium_caeruleum', 'обществен_благотворителност', 'polemonium_ван_bruntiae', 'благотворителна_организация', 'братска_любов', 'благотворителна_дейност', 'дарение', 'ван_bruntiae_polymonium_caeruleum', 'благотворителност', 'благотворителни_организации', 'регистрирана_благотворителна_организация'}
charming	set()
child	{'дете', 'предварително_космат', 'рожба', 'дъщери', 'дъщеря', 'ученици', 'младеж', 'незначителен', 'дъщеря́', 'детство', 'малко_детенце', 'непълнолетни', 'щерка', 'хлапе́', "l'enfant", 'деца'}
clothes	{'подходящ_за_носене', 'дамска', 'екипировка', 'дре́хи', 'облекло́', 'одежда', 'облекло', 'оде́жда', 'дрехи', 'статия_на_облекло', 'облекла', 'дреха'}
cloud	{'облачни_услуги', 'облак', 'забуля', 'публичен_облак', 'клауд_компютинг', 'облачност', 'облачни_изчисления', 'рибен_пасаж', 'cloud_computing', 'технологии_в_облак', 'забулвам', 'изчислителни_облаци', 'образуване_на_облаци', 'облаци', 'изчисления_в_облак', 'прикривам', 'kiba', 'прикрия', 'cloud_хостинг', 'рояк', 'cloud_strife', 'cloud', 'облачен_компютинг', 'облачна_услуга', 'инфраструктура_като_услуга', 'пасаж', 'о́блак'}
cockroach	{'cockroach', 'хлебарка', 'blattodea', 'подразред_blattaria', 'хлебарки', 'подразред_blattodea', 'blattaria'}
code	{'кодове', 'кодиране', 'ко́декс', 'кодекс', 'компютърен_код', 'код_на_закони', 'задаване_на_график', 'код', 'кодификация'}
cold	{'недружелюбен', 'ниска_температура', 'неприветлив', 'nicole_scherzinger', 'хладнокръвен', 'студено', 'настинки', 'студе́н', 'хронична_обструктивна_белодробна_болест', 'студен', 'простуда', 'никол_шерцингер', 'студ', 'cold', 'хлад', 'никол_шерзингер', 'обикновена_настинка', 'хроничен_бронхит', 'фригиден', 'емфизема', 'craig_david', 'риновирусна_инфекция', 'риновироза', 'безчувствен', 'студенина', 'настинка', 'назофарингит', 'хобб', 'хладен'}
collection	{'събиране_на_дългове', 'агенция_за_събиране', 'апел', 'joe_sample', 'the_offspring_collection', 'художествената_колекция', 'сглобяване', 'сборник', 'ейкън', 'художествени_колекции', 'hawkwind', 'collection', 'прибиране_на_реколтата', 'дълг_колектор', 'akon', 'събиране', 'агрегация', 'the_charlatans', 'призив', 'колекция', 'набор', 'резюме', 'музеен_фонд', 'сбор', 'агрегиране', 'конспект', 'пакет', 'теглене', 'сбирка', 'зов', 'контейнер', 'компилация'}
come	{'достигам', 'come', 'сперма', 'пристигам', 'семенна_течност', 'пристигне', 'се́ме', 'заедно_с', 'спе́рма', 'семенната_течност', 'правя', 'удари', 'достигне', 'изхвърлям', 'хайде', 'идват', 'явявам_се'}
computer	{'компютъра', 'изчислител', 'изчислително_устройство', 'обработващия_лични_данни', 'система_за_обработка_на_информация', 'цифрови_компютри', 'електронноизчислителна_машина', 'електронноизчислителна_техника', 'компютърни_системи', 'компютърно_генерирана_музика', 'компютри', 'човек_и_компютър', 'оценител', 'figurer', 'компютърните_системи', 'електронноизчислително_устройство', 'еим', 'калкулатор', 'компютър', 'компютърна_система', 'изчислителна_машина', 'електронно_изчислителна_машина', 'електронен_компютър', 'компютърна_музика', 'цифрова_изчислителна'}
construction	{'строителство', 'конструкция', 'стро́ителство', 'строител', 'психическо_синтез', 'съдебно_тълкуване', 'строи́телство', 'строителни_обекти', 'изгра́ждане', 'конституционно_тълкуване', 'граматическа_конструкция', 'строителни_работи', 'граде́ж', 'структура', 'израз', 'модел', 'runescape', 'строителната_индустрия'}
cook	{'приготвям', 'готвя', 'варя', 'captain_cook', 'главен_готвач', 'го́твя', 'ред_готвач', 'james_cook', 'подправя', 'джеймс_кук', 'приго́твям', 'подправям', 'готви', 'су-готвач', 'готвач_комисията', 'cook', 'фалшифицирам', 'готвачи', 'frédérick_cook', 'кратко_за_готвач', 'капитан_джеймс_кук', 'готвач'}
correct	{'настроя', 'прав', 'наказвам_строго', 'настройвам', 'коригирам', 'регулирам', 'нагласявам', 'коригира', 'верен', 'правилен', 'критикувам_остро', 'наглася', 'приравнявам', 'правилно'}
count	{'преброяване', 'изброен_тип', 'бройни_системи', 'граф', 'спи́сък', 'jarl', 'изброяване', 'знача', 'comtesse', 'списък', 'бро́я', 'броя', 'номерация', 'графиня', 'countship', 'брои', 'имам_значение', 'брой', 'пълен_брой', 'comital', 'граф_монте_кристо', 'бройна_система', 'графство', 'значение', 'графовете', 'тежа', 'разгледа', 'позиционна_бройна_система', 'earls', 'sql'}
counting	{'брой', 'преброяване', 'бройни_системи', 'бройна_система', 'спи́сък', 'номерация', 'изброяване', 'списък', 'позиционна_бройна_система', 'изброен_тип'}
crazy	{'шантави', 'душевна', 'c.r.a.z.y.', 'crazy', 'because_of_you', 'erika_jayne', 'побъркан', 'playing_with_fire', 'умопобъркан', 'ненормален', '...famous_last_words...', 'loca', 'луд', '(you_drive_me)_crazy', 'the_r.e.d._album', 'usher', 'лудост'}
cut	{'цензурата', 'рана', 'рязане', 'съкратя', 'част', 'монтажист', 'намалявам', 'цензура', 'отворена_рана', 'cut', 'цензу́ра', 'бейзбол_люлка', 'централна_unica_дос_trabalhadores', 'справям_се', 'студена_рамото', 'понижа', 'филм_редакция', 'справя_се', 'разрез', 'изрязвам', 'снижавам', 'песен', 'разсичам', 'разредя', 'сека', 'понижавам', 'снижа', 'рани', 'разреждам', 'дял', 'монтаж', 'изкопи_и_насипи', 'намаление', 'съкращавам', 'нараняване', 'цензурирани', 'съкращение', 'ранявайки', 'разфасовка_от_месо', 'презрение', 'открит_нарязан', 'намаля', 'режа', 'цензура_на_пресата', 'кройка', 'ре́жа', 'намали', 'дълбока_рана', 'обработка_на_скъпоценни_камъни', 'нарязани', 'разкъсвания'}
damage	{'цените', 'оборудване_за_спешна', 'правна_нараняване', 'повреда', 'цената', 'щета', 'вреда', 'влошавам', 'цена', 'влоша', 'съсипвам', 'влошавам_се', 'damage'}
dance	{'танц', 'танцьор', 'танцьори', 'post-disco', 'денс_парти', 'танцува', 'танцу́вам', 'след_дискотека', 'waterloo', 'танцьорка', 'играя', 'танцувам', 'денс_музиката', 'денс', 'oliver_heldens', 'танци', 'dance'}
dangerous	{'риско́ван', 'dangerous', 'рискован', 'опа́сен', "it's_hard", 'тежък', 'опасен'}
day	{'деня', 'кларънс_ден', 'деноно́щие', 'clarence_day', '24-часов_интервал', 'дни', 'слънчево_време', 'ден_на_кларънс_шепърд_младши', 'продължителност_на_деня', 'денем', 'средното_слънчево_ден', 'двадесет_и_четири_часов_период', 'денонощие', 'слънчева_дни', 'злокобен_ден', 'day', 'ясно_слънчево_време', 'на', 'ден'}
deceive	{'измамя', 'измама', 'заблудя', 'измамвам', 'мошеничество', 'мистификации', 'заблуждавам', 'измамни', 'мистификация', 'нечестност', 'излъжа', 'излъгвам'}
dedication	{'преданост', 'вярност', 'лоялност', 'отдаденост', 'dedication'}
deliberately	{'умишлено', 'преднамерено'}
delivery	{'привеждане', 'за_раждане_на', 'шега', 'шеговит', 'спасяване', 'блейд:_сериалът', 'отчуждение', 'труда_и_доставка', 'отчуждаем', 'виц', 'детеродна_възраст', 'шеги', 'раждане', 'начин_на_говорене', 'номер', 'майтап', 'говор', 'юридическо_прехвърляне', 'delivery', 'транспортни', 'доставка_момче', 'доставка_до_дома', 'раждането', 'акуширане', 'транспортиране', 'транспортната_индустрия', 'транспорт', 'вагинално_раждане', 'превоз', 'ражда́не', 'доставка', 'предлагане', 'пътнически_транспорт', 'транспортната_инфраструктура', 'транспортна_инфраструктура', 'освобождение', 'вицове'}
dessert	{'десертни_вина', 'десерт', 'afters', 'десертно_вино', 'десерти', 'благородно_сладко_вино'}
device	{'капиталово_оборудване', 'машина', 'gsm', 'мобѝлен_телефо̀н', 'мобилен_телефон', 'джиесем', 'device', 'устройство', 'за_мобилни_устройства', 'мобилна_клетъчна', 'хардуер', 'config.sys', 'машини', 'клетъчни_телефони', 'мобифон', 'клетъчни_комуникационни', 'мобилни_телефони', 'клетъчна_комуникация', 'компютърна_апаратна_част', 'моби́лен_телефо́н', 'компютърен_хардуер'}
die	{'помътнявам', 'умра', 'развалям', 'разбивам', 'die', 'издъхвам', 'умре', 'умирам', 'почина', 'починали', 'многостенни_зарове', 'смърт', 'почивам', 'кончина', 'зара', 'преждевременна_смърт', 'зар', 'заредени_зарове', 'зарове', 'издъхна', 'умират', 'помътнея'}
dig	{'дълбая', 'копая', 'подигравка', 'археологически_разкопки', 'разкопки', 'разбере', 'изкопаване', 'ри́я', 'dig', 'разкопавам', 'разби́рам', 'ровя', 'археологически_обект'}
dinner	{'обяд', 'банке́т', 'обядвам', 'чаша_чай', 'чай', 'хранене', 'вечеря', 'време_за_чай', 'teatime', 'следобеден_чай', 'обе́д', 'официален_обяд', 'обя́д', 'дежене', 'официална_вечеря', 'вече́ря'}
dirty	{'нечестен', 'мръ́сен', 'dirty', 'запис_чрез', 'нечист', 'кеширане', 'пръст', 'dirrty', 'кеш-памет', 'кеш_паметта', 'кеш_памет', 'неприличен', 'мръсен', 'почви', 'почва', 'земя', 'кеш_мис', 'по́чва', 'процесорен_кеш', 'кеш_на_централния_процесор', 'мръсотия', 'l2_кеш', 'нецензурен', 'underworld', 'изцапан', 'земя́', 'l1_кеш', 'кеш_линия', 'замърсен', 'почвата', 'кеш', 'l3_кеш', 'изца́пан', 'кеш_на_оперативната_памет', 'инструкция_кеш', 'запас', 'мръсни'}
disease	{'болест', 'медицинско_състояние', 'заболяване', 'заболеваемостта', 'begowal', 'заболя́ване', 'заболявания', 'плеврит', 'болести', 'медицинско_заболяване', 'бо́лест', 'медицински_състояния', 'неразположение', 'боледуване'}
dissolve	{'разтварям', 'разтопявам', 'топя', 'разтопя', 'разтварят'}
disturb	{'разстроя', 'разстройвам'}
do	{'убия', 'държа_се_добре', 'дао', 'успявам', 'преуспея', 'просперирам', 'умъртвя', 'доктор_на_остеопатия', 'направи', 'чу́кам', 'страната', 'държа_се', 'справям_се', 'тао', 'страна', 'чукам', 'уморявам', 'уби́я', 'процъфтявам', 'убие', 'процъфтя', 'справя_се', 'купоните', 'преуспявам', 'marshall_applewhite', 'постъпвам', 'doh', 'държат', 'действа', 'доведе_до', 'изпълнявам', 'ши́бам', '도', 'успея', 'умъртвявам', 'вирея', 'уморя', 'уби́вам', 'направя', 'do', 'soirée', 'играя', 'еба́', 'убивам'}
doctor	{'аспирантура', 'първи_доктор', 'по-висока_докторска_степен', 'доктор', 'поправям', 'доктор_на_историческите_науки', 'лекарите_на_църквата', 'поправя', 'работа_хирург', 'лекувам', 'лекар', 'люик_ноте', 'втори_доктор', 'хирург', 'eliza', 'ремонтирам', 'doctor_who', 'аспирант', 'loïc_nottet', 'деветия_доктор', 'медицински_директор', 'докторантура', 'доктор_кой', 'doctorat', 'доктор_на_науките', 'доктор_на_църквата', 'десети_доктор', 'лекар_степен', 'доктор_ху', 'професионален_докторска_степен', 'rude_boy', 'оправям', 'медик', 'девети_доктор', 'лекарка', 'хирурзи', 'доктор_на_икономическите_науки', 'доктор_на_селскостопанските_науки', 'д-р', 'доктор_на_техническите_науки', 'лекари', 'оправя', 'доктор_по_икономика', 'докторски_степени', 'лоик_ноте', 'докторат', 'докторска_степен', 'докторант'}
dog	{'firedog', 'преследвам', 'гоня', 'повлекана', 'домашното_куче', 'мошеник', 'грозотия', 'палец', 'кучешко_месо', 'хотдог', 'кучеви', 'хот-дог', 'кучка', 'лупус_familiaris', 'грозница', 'canis_familiaris', 'куче_желязо', 'псе', 'хот-дога', 'семейство_canidae', 'canidae', 'куче_месо', 'пес', 'домашни_кучета', 'wienerwurst', 'd0g', 'duck_hunt', 'домашно_куче', 'canids', 'кренвирш', 'familiaris', 'кучета', 'куче', 'canis_lupus_familiaris', 'хот_дог', 'ограничител', 'andiron'}
dressing	{'подходящ_за_носене', 'дамска', 'екипировка', 'превързочни_материали', 'дре́хи', 'облекло́', 'одежда', 'облекло', 'оде́жда', 'обличане', 'дрехи', 'превръзка', 'плънка', 'оплождане', 'статия_на_облекло', 'кайма', 'облекла', 'дресинг_за_салата', 'дреха'}
