ability	{'capacitate', 'capacitatea', 'aptitudine', 'destoinicie', 'iscusință', 'abilitate', 'potențial', 'pricepere', 'aptitudini', 'putință', 'iscusință_abilitate'}
back	{'coloanăvertebrală', 'învelitoare', 'spinare', 'b.a.c.k.', 'dos', 'centru-spate', 'șiraspinării', 'fundaş', 'sfârșit', 'spatar', 'paria', 'spetează', 'rahis', 'mergeînapoi', 'interior_centru', 'fiînspate', 'vertebrale', 'legare', 'fund', 'înspate', 'aprobe', 'primele_cinci-opt', 'mărginispatele', 'daînapoi', 'apărător', 'sprijini', 'da', 'coloana_vertebrală', 'coloana_vertebrala', 'dreapta-spate', 'spate', 'rezemătoare', 'în_spatele', 'coloanei_vertebrale', 'back', 'coloană_vertebrală', 'înurmă', 'susține', 'șira_spinării', 'flyhalf', 'şira_spinării', 'scoarță', 'îndărăt', '백', 'înapoi', 'urmă', 'stânga-spate', 'spătar', 'vertebre', 'jumătate_centru', 'fundaș', 'obligatoriu_carte', 'fly-jumătate', 'poziție_de_joc_la_rugby_în_xv', 'copertă', 'întări'}
bad	{'stricat', 'răutate', 'răul', 'șubrezit', 'alterat', 'mare', 'plinderemușcări', 'bcl-2-asociate_promotor_moarte', 'plinderegrete', 'prost', 'slab', 'răutatea', 'plindecăință', 'plindepărerederău', 'defect', 'rău', 'bad_world_tour', 'acrit', 'șubred', 'royce_da_5\'9"', 'speculativ', 'big_audio_dynamite', 'falsificat', 'contrafăcut', 'bad', 'riscant', 'putred'}
bag	{'|se|_umfla', 'babetă', 'multiset', 'puneînpungă', 'pungă_de_hârtie', 'răpi', 'pungă', 'geantă', 'cotoroanță', 'sac', 'valiză', 'multimulțime', 'uger', 'geantă_mare', 'multimulţime', 'pungădehârtie', 'ceașcă_de_ceai', 'bag,_ungaria', 'genți_de_mână', 'sacoșă', 'fura', 'poșetă', 'bag,_pesta', 'geanta_de_transport', 'comuna_bag,_ungaria', 'hoașcă', 'geamantan', 'călătoresc_sac', 'vechi_sac', 'comuna_bag', 'geantă_de_mână', 'buzunări', '|se|_dilata', 'floarelaureche', 'bag', 'valiza', 'multiseturi', 'trofeu', 'băbătie', 'comuna_bag,_pesta', 'bază', 'mezelic'}
ball	{'bilă', 'ouă', 'mingi_de_tenis', 'bulgăre', 'grunz', 'faceghem', 'mingea_de_fotbal', 'john_ball', 'testicule', 'glonţ', 'muschetă_mingea', 'balon', 'ghem', 'lucilleball', 'gloanțe', 'grevă_zonă', 'coaie', 'teste', 'boț', 'sferă', '2-sfera', 'testicular', 'lucille_ball', 'fotbal', 'mingea_deschis', 'rotunjime', 'cocoloși', 'ball', 'boș', 'minge_muschetă', 'glonț', 'coi', 'minge_de_fotbal', 'boașe', 'plumb', 'tenis_de_minge', 'boașă', 'glob', 'testicul', 'minge_de_tenis', 'bal', 'minge_închis', 'mingea', 'glonte', 'globulara', 'cocoloș', 'bol', 'mingedetenis', 'ballock', 'prostii', 'minge', 'facecocoloș'}
bar	{'berărie', 'bară', 'comuna_bár', 'bár', 'bancuri', 'închide', 'bar,_bar', 'foo', 'înfunda', 'proscrie', 'bar,_corrèze', 'bloca', 'braserie', 'bodegă', 'pub', 'milibari', 'bar,_ucraina', 'antibari', 'tact', 'patronim', 'exclude', 'profesia_de_avocat', 'grub_pub', 'calup', 'profesie_de_jurist', 'baruri', 'baar,_baranya', 'barroom', 'milibar', 'exila', 'patrynomic', 'bar,_vinnița', 'rezistor', 'drug', 'comuna_bár,_baranya', 'profilaxie', 'patronimic', 'case_publice', 'bar,_vinnîțea', 'banc', 'robinet_fabrică_de_bere', 'gratie', 'cârciumă', 'prevenire', 'patronymics', 'pușcăautomatăbrowning', 'semn_pub', 'bancurile_de_nisip', 'împiedica', 'obtura', 'pub-uri', 'râul_bar', 'foobar', 'receptorilor_beta-2', 'obstrucționa', 'patronimul', 'ostraciza', 'ginmill', 'tavernă', 'taverne', 'bár,_baranya', 'mbar', 'local', 'juridic_comunitar', 'browning_automat_pușcă', 'barou', 'astupa', 'baricada', 'bar,_raionul_bar,_regiunea_vinnîțea', 'bar', 'farnesoid_receptorilor_x', 'prevenirea', 'taphouse', 'alunga', 'măsură', 'gin_moara', 'country_inn', 'bar,_raionul_bar,_regiunea_vinnița', 'preîntâmpinare', 'rezistență', 'barline', 'bár,_ungaria', 'han', 'comuna_bár,_ungaria', 'bar,_muntenegru', 'dungă', 'bara', 'antivari', 'beta-2_receptorilor_adrenergici', 'surghiuni', 'advocatus', 'pothouse', 'portar_salon'}
bark	{'lătrare', 'lătra', 'barque', 'peridermului', 'iliuşin_il-2', '[se]_răsti', 'urla', 'scoarță', 'hămăi', 'il-2', 'jupui', 'scoarta_de_copac', 'lătrătură', 'argăsi', 'bark', 'coaja', 'tăbăci', 'coajă', 'scoarţă', 'barc', 'iliușin_il-2', 'lătrat'}
bear	{'jucător_de_bursă', 'ursi', 'îndura', 'aducevenit', 'speculant', 'naște', 'păți', 'plăti', 'urs', '[-și]_asuma', 'tolera', 'ursoaică', '[se]_purta', 'îngădui', 'tu-95', 'trage', 'ține', 'prelua', 'suporta', 'suferi', 'ursidae', 'lua', 'urside', 'deține', 'răbda', 'aducebeneficiu', 'fiînsărcinată', '[se]_comporta', 'ursine', 'mike_brown', 'bear', 'aducepelume', 'danaștere', 'tu-95v', 'sta', 'webelos', 'avea', 'daviață', 'conține', 'tupolev_tu-95', 'purta', 'așteptauncopil'}
beat	{'cadență', 'tăcăi', 'învinge', '|se|_secătui', 'ritmică', 'escroca', 'ritm', 'ritm_muzical', '|se|_epuiza', 'metru_cantitativă', 'tâcâi', 'beat', '|se|_slei', 'bate', 'ritmuri', 'unitate_ritmică', 'lumina', 'lovirepetat', 'off-beat', 'străluci', 'nedumeri', 'măsură_metrică', 'ticăi', '|se|_istovi', 'puneînîncurcătură', 'hăitui', 'frânt', 'metru_poetic', 'flutura', '|se|_vlăgui', 'înfrânge', 'măsură', 'fâlfâi', 'muzical_ritm', 'beatnic', '|se|_extenua', 'luci', '|se|_sfârși', 'lăsaperplex', 'freca', 'rond', 'beatnik', '|se|_stoarce', 'puls', 'păcăli', 'siteswap', 'pulsa', 'metru', 'bătaie', 'batetoba', 'batetactul'}
because	{'deoarece', 'datorită', 'because', 'din_cauză_că', 'pentru_că'}
bed	{'culca', 'albie', 'răzor', 'caza', 'cunoaște', 'fute', 'depresiuneoceanică', 'albiemajoră', 'mergelaculcare', 'albia_râului', '[se]_iubi', 'planta', 'creek_pat', 'avearelațiisexuale', 'facedragoste', 'pat', 'streambed', 'zăcământ', 'ducelaculcare', 'brazdă', 'cusătură', 'sădi', 'groapăabisală', 'pătură', 'fund', 'strat', 'fosăabisală', 'bed', 'regiuneabisală', 'face_sex', '[se]_culca', 'pune'}
beer	{'industria_berii', 'bere', 'ale', 'bitter', 'beer'}
belly	{'abdomen', 'burduhan', 'abdomen_uman', 'pântece', 'belly', 'vintre', 'abdomenului_umane', 'burdihan', 'muschii_abdominali', '[se]_revărsa', 'dapeafară', 'abdominali', 'foale', 'burtă'}
big	{'înfumurat', 'darnic', 'încrezut', 'matur', 'însărcinat', 'foartebine', 'fălos', 'violent', 'îngâmfat', 'big', 'mare', 'fructe', 'tare', 'fanfaron', 'bjarke_ingels_group', 'adult', 'greu', 'umflatînpene', 'stypsis', 'generos', 'proeminent', 'puternic', 'lăudăros', 'fudul', 'astringență', 'echilibrul', 'închipuit', 'însemnat', 'mărinimos', 'norm_nixon', 'grav', 'gravid', 'infatuat', 'pepiciormare', 'dezvoltat', 'intens', 'important', 'minerality'}
bird	{'nuu', 'razz', 'razzing', 'bird', 'pasare', 'pasăre', 'aves', 'charles_christopher_parker', 'shuttlecock', 'degetul_mijlociu', 'degetul', 'păpușă', 'avifaunei', 'fluturaș', 'huiduitură', 'păsări', 'adăpostire', 'mikuni_shimokawa', 'yardbird_parker', 'avafauna', 'târfă', 'tipă', 'bronx_majorete', 'puicuță', 'bird_parker', 'boo', 'huiduială', 'charlie_parker', 'clasa_aves', 'drăguță', 'fetișcană'}
bite	{'înțepa', 'picant', 'mușcătură', 'îmbucătură', 'pișcătură', 'pișca', 'arde', 'chomp', 'iuțeală', 'ciupi', 'dumicat', 'înțepător', 'musca', 'muscaturi', 'înghițitură', 'mizilic', 'mușcare', 'iuteala', 'muscatura_de_insecta', 'înțepătură', 'gustare', 'bi-specifice_celulelor_t_engager', 'parte_rezervată', 'intepatura', 'gură', 'mușcat', 'steven_hassan', 'ciupitură', 'mușcătură_de_insectă', 'mușca', 'mezelic'}
black	{'inkiness', 'arap', 'negreală', 'smoală_ticăloșie', 'negru_femeie', 'latino', 'joseph_black', 'kari_kimmel', 'beznă', 'cioroi', 'planeswalker', 'taio_cruz', 'alte_rase', 'final_fight', 'negru_persoană', 'shirley_temple', 'negroid', 'negru', 'shirleytemple', 'deprimant', 'culoare', 'umilitor', 'shirley_temple_negru', 'femeiedeculoare', 'rușinos', 'degradant', 'rasa_neagră', 'din_asia', 'black', 'femei_de_culoare', 'comunitatea_de_culoare', 'origine_africană', 'alb', 'negro', 'apăsător', 'înveninat', 'negru_african', 'josephblack', 'științei_culoare', 'dezonorant', 'negrii', 'negroids', 'doliu', 'final_fight_3', 'lightlessness', 'culoarea', 'dezolant', 'cătrănit', 'negresă', 'negreață', 'decontrabandă', 'sinistru', '|se|_înnegri', 'negrudefurie', 'hispanic', 'culori', 'sumbru', 'rasa_negroidă', 'negroide', 'om_negru', 'total_de_întuneric', 'negru_om'}
blood	{'desfrânat', 'the_black_parade', 'linia_de_sânge', 'moștenirea_genetică', 'sânge', 'descendență', 'fluxul_de_sânge', 'depravat', 'vin_bordeaux', 'roue', 'destrăbălat', 'hematologice', 'moștenire_biologică', 'bordo', 'bordeaux_vin', 'rakehell', 'getting_away_with_murder', 'părinți', 'sînge', 'sânge_oxigenat', 'blood', 'vs.', 'sângele', 'familie', 'origine', 'ereditar', 'ereditare', 'bordeaux', 'collective_soul', 'persistence_of_time', 'ereditate', 'sanguin'}
blow	{'pufni', 'impact', '[-și]_daifose', '[se]_lăuda', '|se|_căra', 'arde', 'luamuie', '|se|_duce', 'ciocnire', '[se]_fuduli', 'zăpadă', 'bate', 'fidus', 'rafalădevânt', 'irosi', 'plesni', '[se]_făli', 'vijelie', 'descoperi', 'cânta_la_un_instrument', 'sparge', 'da', 'pleca', 'fipurtat', 'dezvălui', '[-și]_daaere', 'sufla', 'exploda', 'șoc', 'regres', 'depuneouă', 'divulga', 'expirație', '[se]_grozăvi', 'nas_bomboane', 'rasoli', '[-și]_tragerăsuflarea', 'lovitură', 'furtună', 'fluiera', 'rafală', '[se]_oua', 'blow', 'cânta', 'pacoste', 'vântputernic', 'umfla', '[o]_luasus'}
body	{'articol_de_știri', 'costum_corp', 'coachbuilder', 'tricou', 'tranzistor_cu_efect_de_cîmp', 'stârv', 'tabără', 'corpul_fizic', 'receptor', 'consistență', 'teairra_marí', 'punctul', 'stypsis', 'articoldeștiri', 'tranzistorcuefectdecâmp', 'salopeta', 'corp_mort', 'articol', 'cadavru', 'cadavre', 'fet', 'echilibrul', 'tranzistor_unipolar', 'pisică_costum', 'tors', 'personifica', 'tranzistoare_unipolare', 'caroserii', 'hoit', 'caroserie_autoportantă', 'corpul_subtil', 'catsuit', 'asociație', 'știrile_poveste', 'body', 'uşă', 'trup', 'bodysuit', 'poarta', 'colectivitate', 'caroserie_semiportantă', 'fructe', 'teairra_mari', 'cutiederezonanță', 'corp', 'cu_efect_de_câmp_tranzistori', 'polytopes', 'doză', 'eubstance', 'dimensiunea_punctului_mici', 'caroserie_neportantă', 'tranzistori_cu_efect_de_câmp', 'caroserie', 'densitate', 'punct', 'astringență', 'polytope', 'structura_fizică', 'întrupa', 'organismul_costum', 'cuprins', 'tranzistor_cu_efect_de_câmp', 'ziarul_articol', 'trunchi', 'structura_organică', 'minerality'}
bone	{'fildeșiu', 'os', 'bone', 'dezosa', 'alb-ivoriu', 'def_jam_records', 'island_def_jam_music_group', 'alburiu', 'toci', 'off-alb', 'ivoriu', 'îngrășaporculînajun', 'osos_țesutului', 'fildeș', 'def_jam_recordings', 'oase', 'osos'}
brain	{'erudit', 'capacitatea_mentală', 'rațiune', 'raţional', 'brainiac', 'crăpațeasta', 'psyche', 'raționament', 'capul', 'capitalului_intelectual', 'creierul', 'crăpacapul', 'nous', 'conținut_mental', 'creier', 'geniu', 'minte', 'lovilacap', 'banks', "brain,_côte-d'or", 'judecată', 'raţiune', 'bryan_mantia', 'creierului', 'encefal', 'brain', 'capacitatementală', 'mintea_umană', 'cap', 'mintea', 'psihic', 'the_brain', 'capacității_de_învățare', 'rațional', 'psihicului'}
breast	{'titty', 'înfrunta', 'țâță', 'cancer_de_sân', 'bust', 'dapiept', 'piept', 'ajungeînvârf', 'sân', 'sâni', 'carne_albă', 'the_breast', 'cancermamar', 'cutie_toracică', 'cutia_toracică', 'torace', 'glandă_mamară', 'toracice', 'pieptdepasăre', 'cancer_la_san', 'thorax', 'pectus', 'atingevârful', 'cancer_la_sâni', 'cancer_mamar', 'cancer_la_sân'}
breathe	{'exala', 'time', 'sufla', 'funeral_for_yesterday', 'breathe', 'dark_side_of_the_moon', 'răsufla', 'respira', 'the_dark_side_of_the_moon', 'degaja', 'i-empire', 'elimina', '11:59', 'emana', 'revărsa', 'kristof_konrad', 'a_class', 'emite'}
broken	{'neregulat', 'frânt', 'echo', 'broken', "winterheart's_guild", 'falit', 'învălurat', 'defectuos', 'zdrobit', 'plastic_beach', 'umilit', 'defect', 'spart', 'eronat', 'accidentat', 'the_best_of_bruce_dickinson', 'rupt', 'degradat', 'denivelat', 'înjosit', '12_stones', 'delta_machine', 'ms._kelly'}
building	{'clădiri_publice', 'site-uri_de_construcții', 'clădiri', 'edificare', 'proiect_de_construcție', 'zidire', 'construcție', 'clădire', 'construire', 'industria_construcțiilor', 'clădire_publică', 'edificiu', 'construcţii', 'construcții'}
burn	{'albie', 'ardeperug', 'focul', 'arsură', 'arde', 'piele_bronzată_de_soare', 'arsuri_de_gradul_trei', 'burn', 'apă_curgătoare', 'ruisseau', 'incendii', 'pârâu', 'incinera', 'cauteriza', 'matcă', '|se|_mistui', 'eritem_solare', 'gradul_doua_arde', 'bronzare', 'vad', 'curs_de_apa_temporar', 'curs', 'bronz', 'dafoc', 'arsuri_solare', 'parau', 'arsurădesoare', 'curs_de_apă', 'arsuri_de_gradul_iii', 'arde_marca', 'flacără', 'fc_dallas', 'pară', '|se|_arde', 'toca', 'copia', 'ape_curgătoare', 'potok', 'foc', 'în_flăcări', 'văpaie', 'cafeniu', 'curs_de_apa'}
business	{'clientelă', 'cifrădeafaceri', 'pentru_profit', 'vacant', 'firmă', 'întreprindere', 'business', 'pentru-profit', 'ocupație', 'preocupare', 'etapă_de_afaceri', 'sectorul_de_afaceri', 'îndeletnicire', 'lucru', 'activitatecomercială', 'profesiune', 'clientela', 'client', 'afacere', 'treabă', 'ocupaţie', 'carieră', 'linia_de_muncă', 'sectordeafaceri', 'sistemul_de_afaceri', 'improvizație', 'dreptul_companii', 'afaceri', 'pantomimă', 'concern', 'contractori_independenți', 'contractor_independent', 'afaceri_îngrijorare', 'buclă_de_afaceri', 'meserie', 'comerciant', 'comerț', 'organizarea_afacerilor', 'profesie', 'întreprinderi'}
camera	{'camera', 'film_aparat_de_fotografiat', 'camera_video_profesionala', 'machina_photographica', 'aparatfoto', 'aparat_foto', 'tv_aparat_de_fotografiat', 'televiziune_aparat_de_fotografiat', 'camera_photographica', 'cine-aparat_de_fotografiat', 'aparatdefotografiat', 'cameră_video', 'camere', 'the_back_room', 'camera_video', 'camerădeluatvederi', 'camera_de_televiziune', 'imagini_în_mișcare_aparat_de_fotografiat', 'cameră', 'camera_fotografică'}
carefully	{'griji', 'îngrijorare', 'atent', 'belea', 'pacoste', 'grijă', 'cugrijă', 'cuprudență', 'cuatenție'}
challenge	{'provocare-răspuns', 'obiecție', 'provoca', 'recuzare', 'obiecta', 'întărâtare', 'provocare', 'contesta', 'conteste', 'legitima', 'tăgădui'}
charity	{'polemonium_van-bruntiae', 'publice_de_caritate', 'polemonium_caeruleum', 'frățească_dragoste', 'scara-domnului', 'caritate_publice', 'statutul_de_caritate', 'statut_caritabil', 'organizații_de_caritate', 'instituțiefilantropică', 'organizațiefilantropică', 'filantropie', 'milapublică', 'binefacere', 'charity', 'polymonium_caeruleum_van-bruntiae', 'organizație_de_caritate', 'caritate', 'polemoniumcaeruleum', 'caritate_înregistrată'}
charming	{'fermecat', 'magic', 'fermecător'}
child	{'fiu', 'tiddler', 'copii', "l'enfant", 'fiice', 'copiii', 'copil', 'minori', 'minor', 'fiică', 'fiica', 'elevi', 'tânăr', 'pre-pubescent'}
clothes	{'rufe', 'vestimentaţie', 'ușor_de_purtat', 'industria_de_îmbrăcăminte', 'vestimentație', 'îmbrăcăminte', 'articol_de_imbracaminte', 'haină', 'strai', 'veșmânt', 'articole_de_îmbrăcăminte', 'pentru_femei', 'tinuta', 'haină_veșmânt_articol_de_îmbrăcăminte', 'hainele', 'veşmânt', 'haine'}
cloud	{'dăuna', 'cloud', 'negură', 'vătăma', 'nor', 'serviciu_nor', 'serviciu_cloud', 'furnicar', 'încețoșa', 'ascunde', 'norii', 'înnora', 'cloud-based', 'infrastructura_ca_serviciu', 'roire', 'prejudicia', 'nori', 'formarea_norilor', 'întuneca', 'cloud_public', 'roi', 'obscura', 'oculta', 'cloud_strife', 'cloud_computing', 'împestrița', 'strica', 'kiba', 'înnoura'}
cockroach	{'subordinulblattodea', 'gândacdebucătărie', 'gandaci', 'gândac', 'subordinea_blattodea', 'cockroach', 'blatodee', 'gandac_de_bucatarie', 'blattaria', 'subordinulblattaria', 'libarcă', 'gândac_de_bucătărie', 'blattodea', 'subordinea_blattaria'}
code	{'codificare', 'programa', 'coduri', 'cod_de_computer', 'cod', 'planificare', 'coda', 'cifra', 'cod_de_legi', 'codul_de_calculator'}
cold	{'raceala', 'sângerece', 'boală_de_plămâni_obstructivă_cronică', 'guturai', 'gripă', 'răceala_comună', 'viroză_respiratorie', 'comună_rece', 'craig_david', 'leșinat', 'temperatură_joasă', 'inconștient', 'bronho-pneumopatie_obstructivă_cronică', 'nicole_scherzinger', 'inuman', 'raceli', 'vechi', 'frigid', 'cu_sânge_rece', 'răceală', 'frig', 'rece', 'răceală_comună', 'rinofaringita', 'boalăpulmonarăobstructivăcronică', 'cold', 'boli_pulmonare_obstructive_cronice', 'rinofaringită', 'pulmonare_obstructive_cronice_boala'}
collection	{'joe_sample', 'compendiu', 'colectare', 'solicitaredefonduri', 'container', 'colectie', 'colectare_a_datoriilor', 'colecțiedeartă', 'compoziție_de_obiecte', 'mulțime', 'collection', 'set', 'hawkwind', 'adunare', 'compilatie', 'akon', 'agenție_colectare', 'the_offspring_collection', 'colecție', 'colecții_de_artă', 'colecția_de_artă', 'colecție_de_artă', 'strângere', 'strâns', 'the_charlatans', 'culegere', 'gruparea_de_produs', 'seceriș', 'asamblare', 'agregare'}
come	{'[-i]_veni', 'comé', 'însuma', '[se]_produce', 'proveni', 'exclama', 'surveni', 'conduce', 'ajuns', 'seminal_lichid', 'lichidseminal', '[-i]_treceprincap', 'spermă', 'sămânță', 'material_seminal', 'ajunge_la', 'apărea', '[se]_întâmpla', 'intra', 'face', '|se|_găsi', 'lichidul_seminal', '[se]_ridica', '[se]_descurca', 'duce', 'ajunge', 'sosi', 'lovit', 'totaliza', '[-și]_dadrumul', '[se]_trage', 'fi', 'apropia', 'ieși', 'trece', 'sperma', 'come', 'veni', 'exista'}
computer	{'computer', 'computerizat', 'sistem_informatic', 'om-calculator', 'electronice_de_calculator', 'muzica_pe_calculator', 'sistem_computer', 'calcul_dispozitiv', 'calculatoare', 'computer_technology', 'estimatorul', 'procesatorul_de_date', 'calculator', 'sistemele_informatice', 'computerul', 'calculator_de_uz_general', 'calculator_electronic', 'calcul_mașină', 'figurer', 'informații_sistem_de_prelucrare', 'ordinator', 'calcul_digitale'}
construction	{'figură', 'figurăgeometrică', 'site-uri_de_construcții', 'construcțiegramaticală', 'edificare', 'proiect_de_construcție', 'expresie', 'interpretare_constituțională', 'model', 'construcție', 'gramaticale_de_construcție', 'clădire', 'construire', 'structură', 'industria_construcțiilor', 'construcție_gramaticală', 'structura', 'edificiu', 'runescape', 'construcții', 'construcţii', 'interpretarea_judiciară', 'mentale_sinteza'}
cook	{'frédérick_cook', 'căpitanul_james_cook', 'captain_cook', 'bucătăreasă', 'executive_chef', 'mistifica', 'face', 'james_cook', 'falsifica', 'prepara', 'denatura', 'cook,_south_australia', 'fierbe', 'bucătari', 'găti', 'coace', 'cook', 'gătesc', 'bucătar', 'bucătar-șef', 'bucătar_scopul_de_scurt', 'bucătari_celebri', 'pregăti'}
correct	{'disciplina', '|se|_rectifica', 'scădea', '|se|_corecta', 'admonesta', '|se|_corija', 'coborî', 'îndrepta', '[se]_micșora', 'corect', 'corectă', 'regla', '|se|_îndrepta', 'critica', 'corija', 'potrivi', 'dreptate', 'corecta'}
count	{'jarl', 'contele_de_monte-cristo', 'contele_de_monte_cristo', 'însuma', '[se]_bizui', 'earl', 'conte', 'aveaînvedere', 'comital', 'cantitate', 'luaînconsiderare', 'numerație', 'cântări_greu', 'countship', 'conta', 'limbaj_de_interogare_structurat', 'ia_în_considerare', 'sql', 'număr', '[se]_baza', 'comtesse', 'socoteală', '[se]_încrede', 'earls', 'ține', 'titlu_de_conte_englez', 'conților', 'numărat', 'însemna', 'socoti', 'avea_greutate', 'sistem_de_numerație', 'număra', 'listă', 'cântări', 'contează', 'include', 'enumerare', 'conte_englez', 'totaliza', 'sistem_de_numeraţie', 'ținecontde', 'număr_complet', 'numărare', 'aveaimportanță', 'numărătoare'}
counting	{'enumerare', 'numărat', 'sistem_de_numeraţie', 'socoteală', 'sistem_de_numerație', 'numărare', 'numerație', 'listă', 'numărătoare'}
crazy	{'crazy', 'demență', 'the_r.e.d._album', 'loca', 'sminteală', 'insanitate', 'nebunie', 'playing_with_fire', '...famous_last_words...', 'alienare', 'înnebunitor', 'dement', 'nebun', 'țăcănit', 'înnebunit', 'alienație', 'looney', 'țicnit', '(you_drive_me)_crazy', 'descreierat', 'usher', 'alienare_mintală', 'erika_jayne', 'nebunesc', 'alienat', 'c.r.a.z.y.', 'demențial', 'smintit', 'because_of_you', 'țicneală', 'smintire', 'nebuni', 'prostesc', 'necugetat', 'alienație_mintală'}
