ability	{'taipumus', 'taito', 'valta', 'mahti', 'kyvykkyys', 'kyky', 'soveltuvuus', 'aptitude'}
ashes	{'post_mortem', 'the_perfect_element,_part_i', 'ashes'}
at	{'automaattivaihteisto', '@', 'kip', 'järjestysluku_85', 'atomic_numero_85', 'österreich', 'ät', 'automaattivaihteet', 'at-merkki', 'astatiini', 'toyota_coaster', 'itävalta', 'miuku', 'laosin_kip', 'itävallan_tasavallan', 'kissanhäntä', 'miukumauku', 'automatiikan', 'itävallan_tasavalta', 'at', 'astaatti', 'miumau', 'config.sys', 'aut', 'itävallan_toinen_tasavalta', 'oesterreich', 'ät-merkki', 'taksamerkki', 'brutonin_tyrosiinikinaasin'}
attitude	{'käytöstapa', 'rehottaa', 'positiivinen_ajattelu', 'käytös', 'suhtautuminen', 'suuntaus', 'sosiaalisen_käyttäytymisen', 'suunta', 'asento', 'henkistä_asennetta', 'kohdealueeseen', 'disposition', 'asenteet', 'suunnistus', 'luettelo_balettitermeistä', 'käyttäytymistä', 'kurittomuus', 'tarjonta', 'asiat', 'käsitys', 'taipumus', 'menettelytapa', 'olemus', 'puuhat', 'tendenssi', 'malpresentation', 'asenne', 'mielipide', 'myönteinen_ajattelu', 'reload', 'toiminta', 'kanta', 'käyttäytymiseen', 'tekemiset', 'käyttäytyminen', 'attitude', 'viettymys', 'ryhti', 'eulerin_kulmia', 'näkökanta', 'luonteenlaatu'}
back	{'nidos', 'flyhalf', 'b.a.c.k.', 'menneisyyteen', 'takaisinpäin', 'spina_vertebralis', 'pakki', 'taemmaksi', 'kääntöpuoli', 'ensimmäisen_viiden_kahdeksas', 'selkä-', 'vastaan', '백', 'hyväksyä', 'olla_jnk_takana', 'kansi', 'antaa_tukea', 'nurja_puoli', 'panna_pantiksi', 'rachis', 'kannet', 'taakse', 'varustaa_selustalla', 'takapuoli', 'takaisin', 'lentää_puoli', 'selkärangan_murtumat', 'keskus-back', 'olla_jnk_reunustama', 'kirjansidonta', 'puolustaja', 'takamies', 'tukea', 'perääntyä', 'keskustan_ulkopuolella', 'columna_vertebralis', 'kannattaa', 'selkänoja', 'riskeerata', 'panna_vaakalaudalle', 'panna_likoon', 'olla_jkn_puolella', 'vahvistaa', 'back', 'fly-puoli', 'taaksepäin', 'selkäranka', 'selkäpuoli', 'olla_jnk_taustalla', 'peruuttaa', 'tighthead_potkuri', 'puoltaa', 'takaosa', 'noja', 'lyödä_vetoa', 'panna_peliin', 'varustaa_selkämyksellä', 'vasen_takaisin', 'laitapuolustaja', 'takakansi', 'aiempi', 'vanha', 'selkärangan', 'nikamien', 'takana', 'selkä', 'selusta', 'sidos', 'taka-', 'perä-', 'olla_jnk_rajaama', 'kääntyä_vastapäivään', 'menneet'}
bad	{'viallinen', 'riskialtis', 'vahingollinen', 'arvoton', 'ilkeä', 'kiihkeästi', 'huonokuntoinen', 'pahasti', 'ryan_montgomery', 'vakava', 'bcl-2-kuolemantapauksia_promoottori', 'virheellinen', 'mätä', 'big_audio_dynamite', 'paheellinen', 'suuresti', 'väärennetty', 'mädännyt', 'paha', 'epäsuotuisa', 'puutteellinen', 'kelvoton', 'pilaantunut', 'royce_da_5’9″', 'hankala', 'pilaantunut_pilalla', 'big_audio_dynamite_ii', 'vanhentunut', 'bad_world_tour', 'royce_da_5′9″', 'bad', 'ikävä', 'kovasti', 'kehno', 'huono', 'pahuus', 'katuvainen', 'keinotteleva', 'vahingoittunut', 'big_audio', 'vaikeasti', 'b.a.d', 'sairas', 'järjestämätön', 'arveluttava', 'heikko', 'kivulias', 'raju', 'pahoillaan_oleva', 'karhea', 'katteeton', 'royce_da_5\'9"', 'kielteinen', 'ei_terve', 'haitallinen', 'taitamaton', 'vakavasti', 'syyllisyydentuntoinen'}
bag	{'kassillinen', 'ämmä', 'muovikassillisen', 'kuppi_teetä', 'utaret', 'vanha_akka', 'mielipuuha', 'muovipussi', 'oma_juttu', 'kukkaro', 'haahka', 'käsilaukku', 'matkakassi', 'leipälaji', 'udar', 'ryövätä', 'varastaa', 'paperipussi', 'pullistua', 'säkillinen', 'utareet', 'pussittaa', 'saalis', 'pihistää', 'vanha_ämmä', 'pussillinen', 'laukku', 'käsilaukut', 'pussi', 'säkki', 'utare', 'akka', 'monitoimisarja', 'bag', 'monijoukko', 'lököttää', 'pakata_kassiin', 'multisets', 'muovikassi', 'saada_saalista', 'noita', 'kassi', 'lompakko', 'mieliharrastus', 'matkalaukku', 'muovi_ostoskassi', 'pakata_pussiin', 'työntyä', 'kähveltää', 'roikkua', 'paperikassi', 'pesä'}
ball	{'john_ball', 'uintisyvyyden', 'paskaa', 'ballock', 'pallomainen', 'kulkuset', 'kivekset', 'kuula', 'testikkelit', 'loraus', 'teste', 'syöttö', 'paakku', 'möykky', 'kääriä_kerälle', 'kimpale', 'tennispallo', 'puolipallon', 'munat', '2-alalla', 'pallon', 'luoteja', 'pallukka', 'testikkeli', 'ball', 'musketti_pallo', 'kokovaippaluoti', 'kehrä', 'testis', 'kumiluoti', 'pallit', 'iskualue', 'kiertää_kerälle', 'amerikkalainen_jalkapallo', 'väärä', 'jalkapallo', 'pallo', 'kives', 'musketin_luoti', 'luoti', 'kulkunen', 'lankakerä', 'strike_zone', 'pyöreä_kappale', 'lucille_ball', 'savikokkare', 'munasolu', 'palli', 'tennispalloja', 'avoin_pallo', 'suljetun_pallon', 'kiveksissä', 'baseball', 'etana', 'kivesten', 'päkiä', 'tanssiaiset', 'möhkäle', 'kassit', 'ammus', 'kerä'}
bar	{'karttaa', 'matalikolle', 'pothouse', 'taproom', 'kosketa_talo', 'saartaa', 'foobar', 'millibaari', 'kieltää', 'hiekkaa_pankin', 'sulkea', 'läppäpuhelin', 'tavernoja', 'lainsäädäntöpiirien', '◌̸', 'taverna', 'välttää', 'estää', 'beeta-2-adrenergisen_reseptorin', 'tanko', 'särkkä', 'viiru', 'sedan_pitäjän', 'patrynomic', 'tahti', 'baaritiski', 'lakimieskunta', 'karsastaa', 'beeta-2-reseptoriin', 'taphouse', 'terässeiväs', 'matalikot', 'torjua', 'foo', 'krouvi', 'kievari', 'puomi', 'ravintola', 'baari', 'pubiruokaa', 'nimestä', 'teljetä', 'simpukkamallinen', 'pubi', 'asianajajakunta', 'simpukkamalli', 'sauva', 'kisko', 'kaihtaa', 'toimenpiteen', 'panimo_hana', 'piirto', 'pub', 'heittää_ulos', 'jättää_jnk_ulkopuolelle', 'juottola', 'kalteri', 'aita', 'äänestää_vastaan', 'tukkia', 'pubeja', 'pysäyttää', 'sulkea_ulkopuolelle', 'kaide', 'mbar', 'poikkiviiva', 'advocatus', 'raita', 'karkottaa_maasta', 'gin_tehdas', 'este_ranta', 'hankkiutua_eroon', 'veto', 'juova', 'farnesoid_x-reseptori', 'ehkäisy', 'poikkipuu', 'patronym', 'ginmill', 'salvata', 'baarin', 'barline', 'hyljeksiä', '◌̷', '◌̵', 'palkki', 'lämmitysvastus', 'matalikko', 'viinitupa', 'tiski', 'bar', 'saluuna', 'halkopuhelin', 'seisauttaa', 'ajaa_maanpakoon', 'pub_merkki', 'sulkea_pois', 'ehkäisyyn', 'sulkea_barrikadilla', 'simpukan_muotoinen_matkapuhelin', 'matkapuhelinten_muodot', 'jättää_pois', '◌̶', 'esto', 'rautakanki', 'oluttupa', 'patronyymi', 'ylärima', 'anniskelupaikka', 'pub_grub', 'sandbars', 'banaanipuhelin', 'bar-pikakivääri', 'country_inn', 'public_house', 'tukkia_kulku', 'beeta-2-reseptorin', 'baarissa', 'barroom', 'pubien', 'patronymics', 'baijerin_kieli', 'browning_automatic_rifle_-pikakivääri', 'toimenpide', 'millibaaria', 'kirjaimen_yli_menevä_viiva', 'kapakka', 'baarit', 'isännimi', 'liukukannellinen_matkapuhelin', 'karkottaa', 'kieltää_pääsy', 'sulkea_esteellä', 'browning_automaattinen_kivääri', 'pala', 'tahtiviiva', 'hiekkasärkkä'}
bark	{'haukunta', 'kattaa', 'iljusin_il-2', 'haukkua', 'iljušin_il-2', 'il-2_sturmovik', 'karjua', 'haukku', 'kaarna', 'iljušin_il-2_šturmovik', 'ärjyä', 'kuoria_puu', 'kuoria', 'periderm', 'puun_kuori', 'il-2_shturmovik', 'il-2_šturmovik', 'iljushin_il-2', 'tuohi', 'il-2', 'pyrskähdys', 'äyskiä', 'ärjäistä', 'parkkilaiva', 'parkita', 'haukahdus', 'tyrskähdys', 'puunkuori', 'bark', 'kuori', 'iljushin_il-2_shturmovik', 'parkki', 'haukahtaa'}
bear	{'lasku-', 'kestää', 'synnyttää', 'suvaita', 'ottaa_niskoilleen', 'karhu', 'pörssikeinottelija', 'sisältää', 'tupolev_tu-20', 'bear', 'säilyttää', 'ottaa_kannettavakseen', 'vastata', 'toimia', 'sulattaa', 'maksaa', 'ursidae', 'ursinae', 'tu-95', 'tu-142', 'hyväksyä', 'kantaa', 'olla', 'käyttäytyä', 'omata', 'webelos', 'ottaa_vastatakseen', 'tupolev_tu-95', 'ursine', 'karhuja', 'liikehtiä', 'mike_brown', 'seistä', 'valmistaa', 'ottaa', 'ottaa_itselleen', 'karhut', 'onnistua', 'alistua', 'sallia', 'kantaa_hedelmää', 'esiintyä', 'kärsiä', 'ottaa_vastuulleen', 'liikkua', 'odottaa_lasta', 'sietää', 'tupolev_tu-95k', 'ottaa_maksettavakseen', 'odottaa', 'suoriutua', 'kuljettaa', 'olla_raskaana', 'tuottaa', 'kannattaa', 'ottaa_harteille'}
beat	{'alue', 'musiikillinen_rytmi', 'käyttää_loppuun', 'viisimitta', 'beat', 'iskeä', 'saattaa_ymmälleen', 'naputtaa', 'luoviminen', 'uupunut', 'saattaa_ymmälle', 'vatkata', 'runomitta', 'rakki', 'metrumi', 'puhki_oleva', 'runomitan', 'vetää_nenästä', 'porottaa', 'jyske', 'pulssi', 'huojuntataajuus', 'oskillaatio', 'kukistaa', 'pulsaatio', 'mystifioida', 'lyönti', 'pärinä', 'vispata', 'kuitti', 'sydämenlyönti', 'uuvuttaa', 'kierros', 'luovia', 'rytmi', 'voittaa', 'viisimittasäe', 'rytminen', 'mennä_pummilla', 'väsyttää', 'räpyttää', 'jet_set_radio', 'ajaa_loppuun', 'runomittaoppi', 'muovata', 'piestä', 'petkuttaa', 'murskata', 'beatnik', 'off-beat', 'vetää_vertoja', 'beat-taajuus', 'siteswap', 'päristä', 'syke', 'tahti', 'kuolemanväsynyt', 'anapesti', 'ällistyttää', 'päihittää', 'raksuttaa', 'häkellyttää', 'kummastuttaa', 'hämmentää', 'pistää', 'tehdä_munakokkelia', 'huojunta', 'mykistää', 'hakata', 'puijata', 'pentametri', 'olla_ovelampi', 'sydämensyke', 'beatniks', 'poljento', 'sykkiä', 'tertsiini', 'räpytellä', 'trokee', 'tikittää', 'mukiloida', 'paistaa_täydeltä_terältä', 'lepattaa', 'jyskyttää', 'matkustaa_jäniksenä', 'daktyyli', 'tallata', 'takoa', 'lyödä', 'mittari', 'isku', 'rytmejä', 'pettää', 'typerryttää', 'työvuoro', 'tampata', 'ärsyttää', 'rummuttaa', 'rytminen_yksikkö', 'nujertaa', 'tykyttää', 'kiusata', 'beatnikki'}
because	{'koska', 'takia', 'because'}
bed	{'joen_uoma', 'penkki', 'harrastaa_seksiä', 'rakastella', 'sauma', 'painua_pehkuihin', 'lihavan_ahmimishäiriö', 'bed', 'sänky', 'olla_sukupuoliyhteydessä_jkn_kanssa', 'kehilön_alusta', 'harrastaa_vaakamamboa', 'maata_jkn_kanssa', 'saada', 'penger', 'majoittaa', 'painaa_pää_tyynyyn', 'alusta', 'uoma', 'kiksauttaa', 'kerrostuma', 'istuttaa', 'moottorivuode', 'hässiä', 'yhtyä', 'perusta', 'creek_bed', 'asettua_nukkumaan', 'ryömiä_peiton_alle', 'humalahakuisen_syömishäiriö', 'jenkkivuode', 'nussia', 'hassutella_heinikossa', 'olla_sukupuoliyhdynnässä', 'streambed', 'painoalusta', 'kukkapenkki', 'mennä_levolle', 'olla_intiimissä_suhteessa', 'esiintymä', 'naida', 'maata', 'fundamentti', 'juonne', 'panna', 'olla_seksisuhde', 'jenkkisänky', 'parvisänky', 'bylsiä', 'olla_sukupuoliyhteydessä', 'nukahtaa', 'mennä_sänkyyn_jkn_kanssa', 'muhinoida', 'kenttä', 'kerros', 'jokiuoma', 'rakastaa', 'maata_jonkun_kanssa', 'vuodevaatteet_tasossa', 'mennä_nukkumaan', 'pohja', 'vuode', 'suoni', 'panna_jku_nukkumaan_jhk', 'allas', 'käydä_nukkumaan', 'peti'}
beer	{'real_ale', 'sahti', 'bishe', 'bisse', 'birre', 'bier', 'kotiolut', 'ölkki', 'olutta', 'keskiolut', 'huurteinen', 'ale', 'pitkä', 'mallasjuoma', 'keijo', 'ohrapirtelö', 'olut', 'kaltsu', 'ööli', 'panimoteollisuus', 'beer', 'kalja'}
belly	{'möhömaha', 'vatsa', 'pullistaa', 'ruuma', 'pallomaha', 'maha', 'alusta', 'alaosa', 'ihmisen_vatsa', 'pullistuma', 'belly', 'pullistua', 'vatsan', 'vatsat', 'pötsi', 'ihramaha', 'sisäpuoli'}
big	{'iso', 'kuuluisa', 'reilu', 'pahasti', 'täysikasvuinen', 'ylevämielinen', 'raju', 'paisunut', 'kutistuvuus', 'nimekäs', 'hienosti', 'kehuskeleva', 'raskaana_oleva', 'kova', 'mahtaileva', 'stypsis', 'leveästi', 'lukuisa', 'rehvasteleva', 'jälkimaku', 'merkittävä', 'big_-_isoksi_yhdessä_yössä', 'norm_nixon', 'suuresti', 'kehon', 'tärkeä', 'leuhkasti', 'mahtailevasti', 'innostunut_jstak', 'laajasti', 'innokas', 'runsas', 'kuiva', 'voimakas', 'runsaskätinen', 'mineraalinen', 'isosti', 'brassmunk', 'jalomielinen', 'menestyksekkäästi', 'big', 'huomattava', 'raskauden_loppuvaiheessa_oleva', 'kerskuva', 'kookas', 'paha', 'bjarke_ingels_group', 'jalo', 'omahyväinen', 'vakava', 'oikea', 'varsinainen', 'aikuinen', 'varttunut', 'rehentelevä', 'kokoon_vetäytyminen', 'rehentelevästi', 'big_–_isoksi_yhdessä_yössä', 'avokätinen', 'sievoinen', 'hedelmiä', 'ylimielisesti', 'antelias', 'suuri', 'kovan_luokan', 'itsetärkeä', 'pöyhkeilevä', 'melkoinen'}
bird	{'buuaus', 'pesäpakoinen', 'mikuni_shimokawa', 'tyttö', 'linnut', 'chrome_reflection', 'bronx_cheer', 'riistalintu', 'kukko', 'typykkä', 'tuhahdus', 'razzing', 'kielen_pärisytys', 'vihellys', 'siipikarja', '9_que!!_shimokawa_mikuni_self_cover_album', 'likka', 'kukon_vuosi', 'avafauna', 'pöö', 'muru', 'tipu', 'razz', 'yardbird_parker', 'bongata_lintuja', 'charles_christopher_parker', 'kimma', 'kulta', 'sulkapallo', 'kultanen', 'sisko', 'sisar', 'charlie_parker', 'birds', 'katsella_lintuja', 'roosting', 'lintu', 'sormi', 'boo', 'keskisormi', 'aves', 'beibi', 'parker', 'tytsy', 'hame', 'neitonen', 'bird_parker', 'bird', 'kiltsi'}
bite	{'chomp', 'tarttuminen_syöttiin', 'pistos', 'pikkusuolainen', 'pistää', 'bite', 'suupala', 'pureva', 'puraista', 'kärventää', 'purra', 'hyönteisen_pisto', 'pistävä', 'puree', 'osuus', 'pikkupurtava', 'hangata', 'puraisu', 'haukkapala', 'pikantti', 'purevuus', 'hyönteisen_purema', 'pureminen', 'haukata', 'syöminen', 'kuumoittaa', 'pureskelu', 'pureutua', 'kärkevyys', 'pisto', 'välipala', 'haukkaus', 'purema', 'pala', 'nappaaminen', 'hiukopala', 'bi-spesifistä_t-solujen_kytkentäosa', 'puremat', 'väkevyys', 'mausteinen', 'kevyt_ateria', 'steven_hassan', 'kirpeys', 'murunen', 'pistävyys', 'katkera', 'hankautua', 'nykäisy', 'polttaa'}
black	{'latinalaisamerikkalainen', 'säkkipimeä', 'inkiness', 'musta_yhteisö', 'neekeri', 'negroids', 'tuhoisa', 'negro', 'äkäinen', 'lehtineekeri', 'kylmät_värit', 'neekerit', 'nöyryyttävä', 'mustia_naisia', 'tummaihoinen', 'final_fight_3', 'muita_rotuja', 'magic', 'värioppi', 'nekru', "blacksummers'night", 'aasialaisia', 'mustat', 'säkkipimeys', 'taio_cruz', 'nokinen', 'ankea', 'magic_-_the_gathering', 'lohduton', 'paha', 'joseph_black', 'musta_mies', 'väritys', 'musta_henkilö', 'kohtalokas', 'paheksuttava', 'vihamielinen', 'toivoton', 'piraatti-', 'häpeällinen', 'terävä', 'likainen', 'synkkä', 'neekeri-sanan_käyttö', 'latino', 'mustuus', 'värejä', 'mustaihoinen_afrikkalainen', 'laiton', 'täydellinen_pimeys', 'shirley_temple_black', 'musta_rotu', 'shirley_temple', 'mätky', 'kulomusta', 'väärä', 'katala', 'magic_the_gathering', 'mustata', 'harhaanjohtava', 'pimeys', 'mustaihoinen', 'kari_kimmel', 'negridinen_rotu', 'tuima', 'pureva', 'iloton', 'negroidi', 'alhainen', 'afrikkalainen_laskeutuminen', 'murjaani', 'colourmeinkindness', 'kongoidi', 'negridi', 'salakuljetettu', 'musta_nainen', 'magic:_the_gathering', 'lakupelle', 'värit', 'nigger', 'musta_naisten', 'black', 'neekeri-sana', 'planeswalker', 'valottomuus', 'lightlessness', 'mustaihoinen_mies', 'pimeä', 'musta_afrikkalainen', 'final_fight', 'täysin_pimeässä', 'piki_mustuus', 'inhottava', 'mustan_pörssin', 'kongoidit', 'mustua', 'musta', 'salakuljetustavaraan_liittyvä', 'ruskeaihoinen', 'shirley_temple_musta', 'pessimistinen', 'väri', 'pilkkopimeä', 'kunniaton', 'tumma'}
blood	{'getting_away_with_murder', 'sanguis', 'sukupuu', 'hello_master', 'näyttävä_mies', 'presistence_of_time', 'vs.', 'bordeaux_viini', 'happipitoista_verta', 'levittää_verta_iholle', 'alkuperä', 'black_parade', 'hematologiset', 'sukuperä', 'rietastelija', 'elostelija', 'sukulinja', 'tuhria_verellä', 'verisukulaisuus', 'syntyperä', 'bordeauxviini', 'persistence_of_time', 'ihmisen_verta', 'sukuhaara', 'rakehell', 'collective_soul', 'veri', 'verenkiertoon', 'linja', 'leijona', 'suku', 'verisukulainen', 'sukutaulu', 'sotkea_verellä', 'verilinjaa', 'the_black_parade', 'perinnöllisyys', 'blood', 'perinnöllinen', 'biologisen_perinnön', 'irstailija', 'geneettisen_perinnön', 'sukujuuri', 'bordeaux', 'aleneva_polvi'}
blow	{'tumpeloida', 'henkäys', 'tunaroida', 'suorittaa_fellaatio', 'antaa_hengähtää', 'feilata', 'möhliä', 'vastoinkäyminen', 'söhlätä', 'kokkeli', 'puhjeta', 'sammua', 'munia', 'lumi', 'sokki', 'henki', 'kolaus', 'kuivata_hiustenkuivaimella', 'föönata', 'palaa_loppuun', 'hajota', 'lyönti', 'leveillä', 'mahtailla', 'leuhkia', 'töpeksiä', 'suihkuttaa', 'möhlätä', 'jysähdys', 'kokis', 'jysäys', 'lennättää', 'ylpeillä', 'tyriä', 'rehvastella', 'niistää', 'antaa_levätä', 'puhaltaa', 'skäbätä', 'mämmätä', 'missata', 'musta_silmä', 'pilata', 'ajelehtia', 'puhahdus', 'koka', 'paljastaa', 'harrastaa_suuseksiä', 'leijua', 'c', 'takaisku', 'järkytys', 'hässiä', 'törsätä', 'kerskua', 'kellua', 'munata', 'puhuri', 'sohlata', 'häippäistä', 'törmäys', 'hukata', 'puhaltaa_ilmaa_keuhkoista', 'puuska', 'tuulla', 'työntyä_eteenpäin', 'puuskahdus', 'fibata', 'kämmätä', 'kädettää', 'soittaa', 'lähteä_lipettiin', 'ylistää', 'lentää', 'isku', 'ajautua', 'tuhlata', 'blow', 'puhallus', 'olla_tuuliajolla', 'pöyhkeillä', 'liueta', 'mokata', 'töpätä', 'sählätä', 'imeä', 'kehuskella', 'nenä_karkkia', 'tuhria', 'hoidella_päin_mäntyä', 'tuulenpuuska'}
body	{'best_night_of_my_life', 'keho', 'kentällä_vaikutus_transistorit', 'nielu', 'sanomalehtiartikkeli', 'konkreettinen_olio', 'raato', 'vartalo', 'lehtiartikkelissa', 'uutisjuttu', 'artikkeli', 'orgaaninen_rakenne', 'sakeus', 'aikakauslehdessä', 'uutisartikkeli', 'kehon_puku', 'kanavavaikutustransistori', 'kappale', 'fysikaalinen_kappale', 'tiiviys', 'kehon', 'ruumiin', 'kuiva', 'kroppa', 'elimistö', 'kanavatransistorille', 'antaa_muoto_jllk', 'kissa-asu', 'pica', 'kissa_puku', 'ruumis', 'coachbuilder', 'runko', 'rakenne', 'ruho', 'portti', 'pistekoko', 'fysikaalinen_olio', 'ylävartalon', 'kokoon_vetäytyminen', 'ruumiita', 'kissapuku', 'fälteffekttransistorer', 'personoida', 'hedelmiä', 'fet', 'vastaanotin', 'kirjallinen_artikkeli', 'teairra_marí', 'catsuit', 'trikoot', 'trikooasu', 'unitard', 'fälteffekttransistor', 'äänirasia', 'kori', 'piste', 'kutistuvuus', 'ovi', 'body_puku', 'maalliset_jäännökset', 'lähde', 'tomumaja', 'stypsis', 'body', 'jälkimaku', 'teksti', 'polytopes', 'kalmo', 'lujuus', 'joukko', 'mineraalinen', 'soundbox', 'fyysinen_rakenne', 'hienovaraisen_kehon', 'fyysinen_ruumis', 'kanavatransistori', 'teairra_mari', 'torso', 'uutinen', 'pääosa', 'polytooppia', 'eubstance', 'yläruumis', 'ylävartalo', 'ihmisruumis', 'korinrakentaja', 'haaska'}
bone	{'paahtaa', 'luupäät', 'os', 'norsunluunvalkoinen', 'päntätä', 'luu', 'luinen', 'takoa_päähänsä', 'poistaa_luut', 'luukudoskohtaan', 'luun', 'helmenharmaa', 'luut', 'luonnonvalkoinen', 'luunväri', 'likaisenvalkoinen', 'arnold_boonen', 'kermanvalkoinen', 'bone', 'norsunluun', 'murrettu_valkoinen_kimo', 'def_jam_recordings', 'luukudos', 'def_jam'}
brain	{'iskeä', 'oppimiskyky', 'lahjakkuus', 'nero', 'järki', 'aivo', 'c', 'nous', 'tolkku', 'ymmärrys', 'brainiac', 'klinik', 'inspector_gadget', 'psyyke', 'nokkeluus', 'pihalle', 'äly', 'terävyys', 'psyykillinen', 'oppimiskykyä', 'banks', 'syy', 'encephalon', 'brain', 'nerous', 'bryan_mantia', 'psyykkinen', 'päänsä', 'ihmismielen', 'aivot', 'lyödä', 'nisäkkään_aivoissa', 'kumauttaa', 'älli', 'aivoista', 'tarkastaja_gadget', 'jillian_rose_banks', 'sukkeluus', 'murskata', 'kallo', 'järkiajattelu', 'kolkata', 'mieli', 'brian_mantia', 'aivokapasiteetti', 'mestari', 'päähän', 'älykkö', 'henkinen_kapasiteetti'}
breast	{'hinkit', 'kohdata', 'rinta', 'huipulle', 'rinnassa', 'maitotiehyt', 'saavuttaa_vuorenhuippu', 'tissit', 'ryntäät', 'rintaleike', 'thorax', 'rintakehän', 'rintakehä', 'päästä', 'rinnat', 'tooraksi', 'rintasyöpä', 'rintakuva', 'pectus', 'the_breast', 'tissi', 'olla_päin', 'kiivetä_huipulle', 'vaalea_liha', 'daisarit', 'povi', 'nänni', 'rintatulehdus'}
breathe	{'poistaa', 'the_dark_side_of_the_moon', 'eclipse:_a_piece_for_assorted_lunatics', 'any_colour_you_like', 'päästää', 'respiroida', 'worship_god', 'time', 'hengähtää', 'kristof_konrad', 'a_class', '11:59', 'hengittää', 'funeral_for_yesterday', 'colourmeinkindness', 'henkiä', 'puhaltaa', 'dark_side_of_the_moon', 'henkäistä', 'hengittää_ulos', 'music_from_the_body', 'huokua', 'antaa_hengityksen_tasaantua', 'hints_allegations_and_things_left_unsaid', 'i-empire', 'great_escape', 'hiiskua', 'pitää_tauko', 'breathe', 'opus', 'levätä'}
