ability	{'aptitude', 'förmåga'}
ashes	{'ashes', 'post_mortem', 'the_ashes', 'the_perfect_element,_part_i'}
at	{'österrikes', 'republiken_österrike', 'automatisk_enhet', 'config.sys', 'austrija', 'brutons_tyrosinkinas', 'österrike', '@', 'at', 'tecknet', 'snabel-a', 'på', 'alfaslang', 'automatiska_växellådor', 'ausztria', 'alfakrull', 'kip', 'österrikes_näringsliv', '₭', 'österike', 'btk', 'appalachian_hiking_trail', 'österrikisk', 'atomnummer_85', 'snabela', 'automatisk_växellåda', 'kultur_i_österrike', 'gatm', 'republic_of_austria', 'automatlåda', 'at-tecken', 'apsvans', 'republik_österreich', 'den_österrikiska_industrin', 'österrikiska', 'cotal-växellåda', 'toyota_coaster', 'kanelbulle', 'österreich', 'appalachian_trail', 'krullalfa', 'avstrija', 'oesterreich', 'astat', 'appalachian_national_scenic_trail', 'österrikisk_skidåkning', 'apöra'}
attitude	{'riktning', 'skenande', 'disposition', 'orientering', "low_man's_lyric", 'attitude', 'rumslig_orientering', 'hållning', 'euler_vinklar', 'malpresentation', 'göranden', 'förehavande', 'vandel', 'plie', 'position', 'väsen', 'beteendemässiga', 'mentala_inställning', 'beteende', 'inställning', 'benägenhet', 'eulervinklar', 'issue_of_attitude', "devil's_dance", 'uppförande', 'dåligt_uppförande', 'böjelse', 'low_man´s_lyric', 'förkärlek', 'attityd', 'socialt_beteende', 'uppträdande', 'trend', 'eulers_vinkel', 'ställning', 'lista_över_balettermer', 'tendens', 'reload'}
back	{'mitten_insida', 'pärm', 'back', 'ytterback', 'flyhalf', 'rygg', 'bindning', 'första_fem-åttonde', 'baksida', 'centrum_halv', 'kotorna', 'tighthead_prop', '백', 'tillbaka', 'thorakalkyfos', 'sissy-bar', 'ryggrad', 'försvarare', 'stödja', 'dorsum', 'vänsterback', 'kotpelare', 'spole', 'ryggraden', 'högerback', 'fly-halv', 'utanför_centrum', '+_stam', 'mitt_bak', 'columna_vertebralis', 'bokbindning', 'stöder', 'mittback', 'backa', 'kotor', 'backa_upp', 'ryggstödet', 'b.a.c.k.', 'omslag', 'sissybar', 'framsida', 'baksidan'}
bad	{'dålighet', 'ond', 'ondska', 'royce_da_5_9', 'bad_tour', 'onda', 'bad', "royce_da_5'9", 'dålig', 'förstörd', 'extrem_ondska', 'big_audio_dynamite', 'elak', 'skämd', 'bad_world_tour', 'rutten', 'det_onda', 'royce_da_5\'9"'}
bag	{'säck', 'multiset', 'stjäla', 'axelväska', 'handväskor', 'koffert', 'plast_shoppingväska', 'påse', 'påsen', 'multisets', 'bagful', 'papperspåse', 'bag', 'kopp_te', 'resväska', 'sno', 'handväska', 'knycka', 'bögslunga', 'multimängd', 'juver', 'gamla_väska', 'väska', 'väskor', 'bärkasse'}
ball	{'ballock', 'boll', 'trampdyna', 'klotformiga', 'bollar', 'halvsfärisk', 'john_ball', 'skitsnack', '2-sfären', 'ball', 'tennisboll', 'balle', "kula_(''solid", 'strike_zone', 'klump', 'lucy_ball', 'slug', 'tennisbollar', 'sfärisk', 'strejken_zonen', 'sittfru', 'debutantbal', 'slugg', 'glob', 'lucille_ball', 'ball,_lucille', 'klot', 'testiklarna', 'fotbollar', 'testikulär', 'bollen', 'testis', 'nystan', 'slugs', 'fotboll', 'pungkulor', 'testiklar', 'kula', 'fotbollsboll', 'pungkula', 'sfär', 'kulor', 'testikel', 'bal', 'teste', 'äggcell', 'slutna_bollen', 'musköt_boll', 'john_ball_naturalist', 'muskötkula', 'sfäriska', 'strikezonen'}
bar	{'bar', 'krogar', 'patronymikum', 'bayerska', 'pubar', 'beta-2-adrenerga_receptorer', 'baren', 'rättsgemenskap', 'spett', 'streck', 'efternamn', 'domarskrank', 'salong_djurhållare', 'utesluta', 'bar,_ukraina', 'pub_grub', 'förebygga', 'public_house', 'barroom', 'patronymikon', 'patronymikom', 'bonaventure_de_bar', 'bar,_montenegro', 'foobar', 'gin_mill', 'jurister', 'järnspett', 'ribba_stång', 'ibn', 'boariska', 'foo', 'bar,_corrèze', 'patronym', 'utelämna', 'drag', 'bajerska', 'pub_mat', 'åtgärd', 'pub_tecken', 'förebyggande', 'bar,_serbien_och_montenegro', 'browning_automatgevär', 'patrynomic', 'isbill', 'taphouse', 'avlysa', "qionghai_bo'ao_airport", 'taverna', 'puls', 'exkludera', 'beta-2-receptorn', 'advokatsamfund', 'bannlysa', 'tap_house', 'månsson', 'offentliga_hus', 'sandbankar', 'tavernor', 'nr1h4', 'stång', 'barriär_strand', 'taproom', 'advocatus', 'faders', 'avvisa', 'barlokal', 'antibari', 'ginmill', 'sandbank', 'gästgivargård', 'streckfärg', 'pub', 'stim', 'spärra', 'takt', 'millibar', 'antivari', 'disk', 'mbar', 'adrb2', 'barline', 'strimma', 'krog', 'land_inn', 'farnesoid_x-receptorn', 'bom', 'ölsjapp', 'fadersnamn'}
bark	{'binär_aritmetisk_relä-kalkylator', 'sjturmovik', 'binär_automatisk_relä_kalkylator', 'korkpor', 'korklister', 'iljusjin_il-2', 'tremastad_bark', 'barkskepp', 'skall', 'il-2_sjturmovik', 'korklist', 'periderm', 'korkporer', 'sturmovik', 'il-2_sturmovik', 'iljushin_il-2', 'barck', 'bark', 'skälla'}
bear	{'björnbög', 'betala', 'baisse', 'föda', 'ursidae', 'paul_hoffman', 'bära', 'tupolev_tu-142', 'baissespekulant', 'björn', 'rymma', 'webelos', 'innehålla', 'ta', 'björnflagga', 'uthärda', 'bear,_delaware', 'björnar', 'björnrörelsen', 'stå_ut_med', 'tu-95_bear', 'ursine', 'bear', 'stå', 'stå_ut', 'tolerera', 'bear,_islotes', 'mike_brown', 'tu-95', 'tupolev_tu-95', 'björnen_samhället'}
beat	{'besegra', 'metrik', 'beatnik', 'banka', 'svävning', 'rytmisk', 'rytmer', 'bunden_vers', 'rytmisk_enhet', 'stikisk', 'versläror', 'musikalisk_rytm', 'runda', 'beat', 'versrad', 'kvantitativ_vers', 'varv', 'slå', 'meter', 'verslära', 'puls', 'hjärtslag', 'versmått', 'siteswap', 'mätare', 'takt', 'taktslag', 'off-beat', 'svävningsfrekvens', 'versmåttet', 'versform', 'rytm', 'stikisk_vers', 'poetisk_mätare', 'slag', 'övervinna', 'vispa'}
because	{'eftersom', 'på_grund_av', 'because', 'därför_att'}
bed	{'bädd', 'slaf', 'säng', 'hetsätningsstörning', 'söm', 'rabatt', 'flodbädd', 'binge_eating_disorder', 'spjälsäng', 'flodbädden', 'dra_sig_tillbaka', 'sängen', 'knulla', 'sängarna', 'ha_sex', 'creek_bed', 'strö_plan', 'resesäng', 'sängar', 'sängkläder_plan', 'bäck', 'dubbelsäng', 'bed', 'ström_säng', 'ligga_med'}
beer	{'pivo', 'bier', 'öltillverkning', 'beer', 'campaign_for_real_ale', 'alkoholfri_öl', 'alkoholfritt_öl', 'bira', 'ölframställning', 'bärs', 'camra', 'öl', 'ale', 'bryggerinäringen'}
belly	{'bukmuskler', 'buk', 'abdominal', 'buken', 'mage', 'kalaskula', 'bukhålan', 'belly', 'magmusklerna', 'magar', 'buk_mage', 'bukta', 'mänskliga_buken', 'bukhåla'}
big	{'stor', 'kropp', 'frukt', 'balansen', 'skrytsamt', 'bouquet', 'norm_nixon', 'stora', 'big', 'vuxen', 'mineralitet', 'balans', 'stypsis', 'bjarke_ingels_group', 'torra'}
bird	{'fåglar', 'bronx_cheer', 'tupp', 'bird_parker', 'mikuni_shimokawa', 'fingret', 'razz', 'badmintonboll', 'parker', 'piga', 'charlie_parker', 'fjäderboll', 'slinka', 'fuck_you', 'älskling', 'kjoltyg', 'avafauna', 'kustfåglar', 'fågelarter', 'roosting', 'jänta', 'aves', 'parker,_charlie', 'fuck_off', 'razzing', 'fåglars', 'yardbird_parker', 'finger', 'boo', 'fågel', 'tjej', 'charles_christopher_parker', 'fågelfaunan', 'bird', 'övernattningsplatser'}
bite	{'bitande', 'pikant', 'avrop', 'þingeyri_airport', 'mellanmål', 'snacks', 'bita', 'bett', 'biter', 'stickande', 'kryddig', 'fika', 'insektsbett', 'cep70', 'sticka', 'sting', 'steven_hassan', 'chomp', 'stick', 'bi-specifik_t-cells_ingreppsanordning', 'brännas', 'bitter', 'munsbit'}
black	{'shirley_temple_black', 'magic:_the_gathering', 'black', 'black,_mount', 'negrer', 'mörker', 'svart_man', 'inkiness', 'svarta', 'svartna', 'vit_och_svart_i_schack', 'svarta_kvinnor', 'lightlessness', 'negroida', 'färgens_påverkan', 'färger', 'färgperception', 'negern', 'rapp', 'vanhedrande', 'färgskala', 'kemet', 'vit_och_svart', 'final_fight', 'vit', 'neslig', 'negroid', 'black,_cabo', 'negroids', 'neger', 'färg_vetenskap', 'tonhöjd_svärtan', 'final_fight_3', 'black_lotus', 'magic:the_gathering', 'negrar', 'kongoid', 'kari_kimmel', 'svart_person', 'rhox', 'färgerna', 'taio_cruz', 'andra_races', 'negroid_ras', 'colin_vearncombe', 'sensation_white', 'vit_i_schack', 'planeswalker', 'latino', 'skymflig', 'neger_negress', 'negress', 'svart_kvinna', 'afrikansk_härkomst', 'med_mörk_hudfärg', 'svarta_samhället', 'färglära', 'skamlig', 'sensation_black', 'temple', 'joseph_black', 'final_fight_tough', 'totalt_mörker', 'negro', 'latinamerikan', 'magic_the_gathering', 'asiat', 'temple,_shirley', 'svart', 'cruz,_taio', 'dominia', 'black,_alabama', 'svarta_afrikanska', 'svarta_folkgrupper', 'svarta_människor', 'svart_i_schack', 'cruz', 'färg', 'shirley_temple', 'sensation', 'haggar'}
blood	{'blodledningen', 'blodsystemet', 'bordeaux_vin', 'blodet', 'humant_blod', 'anor', 'hereditet', 'hematologiska', 'getting_away_with_murder', 'ärftlighet', 'blodbana', 'blodslinje', 'biologiskt_arv', 'genetiskt_arv', 'roue', 'bordeauxvin', 'linje', 'the_black_parade', 'vs.', 'blodmat', 'bordeauxviner', 'persistence_of_time', 'blodflöde', 'collective_soul', 'hematopoetiska_systemet', 'syresatt_blod', 'ärftlig', 'the_black_parade_the_b-side', 'dead!', 'blodtillförsel', 'rakehell', 'biologiska_arv', 'the_black_parade:_the_b-sides', 'blood', 'blod', 'blood_the_game', 'bordeaux'}
blow	{'skryta', 'sväva', 'hugg', 'by', 'bakslag', 'blåsa', 'skrävla', 'näsa_godis', 'blåst', 'snö', 'förspilla', 'motgång', 'blow', 'kola', 'koks', 'driva', 'gust'}
body	{'mittel', 'body', 'bålen', 'bomlik', 'stående_lik', 'a-stolpe', 'karosser', 'punktstorlek', 'bouquet', 'torso', 'borgis', 'bål', 'gate', 'nonpareille', 'punkt', 'teairra_marí', 'mineralitet', 'coachbuilder', 'd-stolpe', 'förlik', 'stypsis', 'kolonel', 'subtila_kroppen', 'karosserier', 'artikel', 'organisk_struktur', 'fälteffekttransistorer', 'leotard', 'föremål', 'fysiskt_objekt', 'balansen', 'tidskriftsartikel', 'typografisk_punkt', 'fet', 'grind', 'fälteffekttransistor', 'trikåer', 'c-stolpe', 'tidningsartiklar', 'kropp_kostym', 'tidningsartikel', 'bilkaross', 'överlik', 'polytop', 'fysiska_strukturen', 'kaross', 'kadaver', 'brödtext', 'dörr', 'b-stolpe', 'tidskriftsartiklar', 'unitard', 'karosstyp', 'point', 'mottagaren', 'as', 'karosseri', 'nyhetsartikel', 'skyddsdräkt', 'döda_kroppar', 'fysiska_kroppen', 'peka', 'kropp', 'catsuit', 'mignon', 'överkropp', 'lik', 'soundbox', 'frukt', 'jfet', 'kroppen', 'geometisk_kropp', 'katt_kostym', 'kvartpetit', 'kvartspetit', 'tertia', 'döda_kropp', 'balans', 'didotpunkt', 'geometrisk_kropp', 'torra', 'fysisk_kropp', 'polytopes', 'eubstance', 'nyhet'}
bone	{'bena', 'benvit', 'bone', 'benvävnad', 'arnold_boonen', 'bone,_caleta', 'elfenben', 'off_white', 'bendefekter', 'fae_myenne_ng', 'def_jam_recordings', 'knota', 'ben', 'rörben', 'def_jam', 'off-white', 'snatterpinnar', 'bones', 'def_jam_records'}
brain	{'mänskliga_sinnet', 'psykisk', 'the_klinik', 'intellektuella', 'hjärnorna', 'hjärnhalva', 'snille', 'hjärnfunktion', 'intellektuella_resurser', 'psyke', 'förnuftet', 'förstånd', 'högra_hjärnhalvan', 'minnesfunktioner_i_hjärnan', 'hjärna', 'vänstra_hjärnhalvan', 'hjärnforskare', 'inlärningsförmågan', 'minnesfunktioner_i_hjärnan.', 'mantia', 'brian_mantia', 'genidrag', 'bryan_mantia', 'huvudet', 'sinnet', 'hjärnan', 'hjärnans_funktion', 'minnescentrum', 'mantia,_bryan', '(c)brain', 'sinne', 'banks', "brain,_côte-d'or", 'mental_kapacitet', 'nous', 'mental_innehåll', 'brain', 'brainiac', 'genier', 'däggdjurshjärnan', 'hjärnforskning', 'geni', 'hjärnhalvor', 'förnuft', 'genialitet', 'genialisk', 'mantia,_brian', 'människans_hjärna', 'klinik', 'intellekt', 'inspector_gadget', 'intellektuell', 'encefalon', 'kommissarie_gadget', 'psyket', 'resonemang', 'encephalon', 'genial'}
breast	{'nå_toppen', 'bröst', 'pattar', 'titty', 'thorax', 'bringa', 'bröstkörtlar', 'tuttar', 'bröstkörtel', 'kvinnobrösten', 'vitt_kött', 'bröstkörtlarna', 'bröstkorg', 'patte', 'mjölkkörtlarna', 'behag', 'bröstcancer', 'bröstet', 'kvinnobröst', 'byster', 'byst', 'bröstkorgen', 'barm', 'tutte', 'pectus', 'the_breast'}
breathe	{'i-empire', 'breathe', 'funeral_for_yesterday', 'dark_side_of_the_moon', '11:59', 'kristof_konrad', 'time', 'the_dark_side_of_the_moon', 'andas', 'a_class', 'vila'}
broken	{'felaktig', "winterheart's_guild", 'broken', 'the_best_of_bruce_dickinson', 'ms._kelly', 'plastic_beach', '12_stones', 'echo', 'defekt', 'delta_machine', 'trasig'}
building	{'byggbranschen', 'bygge', 'utbyggnad', 'fri-stående_byggnad', 'fristående_byggnad', 'konstruktion', 'offentliga_byggnader', 'byggprocessen', 'husbyggnad', 'byggprojekt', 'byggnadskonstruktion', 'byggnad', 'byggnation', 'byggande', 'byggnadskomplex', 'byggnadsverksamhet', 'byggnader', 'tits_byggnad', 'byggnadsarbete', 'byggnadskonstruktionslära', 'byggarbetsplats', 'kontorskomplex', 'hus', 'byggarbetsplatser', 'byggprocess', 'offentlig_byggnad'}
burn	{'eld', 'kanal', 'intermittent_ström', 'brinna', 'brasa', 'dallas_burn', 'flodbädd', 'brännsår', 'brännskada', 'ruisseau', 'flamma', 'ström', 'solbränna', 'bäckar', 'brännmärke', 'bål', 'grad', 'brännblåsa', 'tredje_gradens_brännskador', 'andra_gradens_brännskada', 'låga', 'bäck', 'brännskador', 'kauterisera', 'vattendrag', 'bränna', 'bränder', 'burn', 'brännas', 'brand', 'solbränd', 'tredje_gradens_brännskada', 'erytem_solare', 'flammande', 'kase', 'fc_dallas'}
business	{'enskild_firma', 'oberoende_entreprenörer', 'vinstdrivande', 'yrke', 'företag_slinga', 'kundbehov', 'företagsform', 'kundfordringar', 'verksamhet_sporre', 'byplay', 'sysselsättning', 'verksamheten', 'företag', 'näringsliv', 'affärssystem', 'försäljare', 'företaget', 'kunden', 'slutbrukare', 'affärssektor', 'kund', 'arbete', 'verksamhet', 'kundstock', 'klientel', 'jobb', 'affärsområde', 'oberoende_leverantör', 'kommersiellt_företag', 'kundkrets', 'lob', 'företagsorganisation', 'typ_av_arbete', 'sitt_jobb', 'business', 'affärsverksamhet', 'verksamhet_oro', 'vakans', 'företagsledare', 'företagande', 'näringsväsen', 'kunderna', 'företag_lag', 'stadium_affärer', 'kunder', 'näringslivet'}
camera	{'professionell_videokamera', 'stillbildskamera', 'kameror', 'kamera', 'fotografisk_kamera', 'filmkamera', 'the_back_room', 'camera', 'spegeln,_malmö', 'spegeln', 'tv-kamera', 'kameran', 'film_kamera', 'rörelse-bild_kamera', 'filmkameror', 'televisionskamera'}
carefully	{'bekymmer', 'ängslan', 'oro'}
challenge	{'attackera', 'ifrågasätta', 'utmaning', 'challenge-response', 'utmana', 'challenge-response_autentisering', 'ifrågasättande', 'angripa', 'tvista'}
charity	{'blågull', 'polemonium_caeruleum', 'välgörenhetsorganisationer', 'filantropisk', 'offentlig_välgörenhet', 'välgörenhetsorganisation', 'allmännyttig', 'polemonium_van-bruntiae', 'registrerad_välgörenhetsorganisation', 'polymonium_caeruleum_van-bruntiae', 'välgörenhet', 'hjälporganisationer', 'broderlig_kärlek', 'charity,_mount', 'melinda_padovano', 'charity'}
charming	set()
child	{'mindre', 'skolbarn', 'småbarn', 'liten_fisk', "l'enfant", 'barnen', 'minderårig', 'underårig', 'unge', 'döttrar', 'barnet', 'myndling', 'dotter', 'barn', 'förpuberteten', 'minderåriga', 'child', 'omyndig'}
clothes	{'dräkt', 'habiliment', 'klädnad', 'bärbar', 'kläd', 'kostym', 'klädesplagg', 'toalett', 'klädedräkt', 'dam', 'klädsel', 'dress', 'plagg', 'klädindustrin', 'kläder'}
cloud	{'molnklassificering', 'cloudtjänster', 'upptornade_stackmoln', 'molntjänst', 'cloud', 'myllrande', 'svärm', '☁', 'cloud_strife', 'skyar', 'kiba', 'cloud_computing', 'sky', 'datormoln', 'molnbildning', 'skymma', 'molninfrastruktur', 'molnbaserad', 'offentligt_moln', 'infrastruktur_som_en_tjänst', 'datamoln', 'molntjänster', 'molnen', 'moln', 'kondensationsnivå', 'hybridmoln'}
cockroach	{'blattodea', 'kackelacka', 'kackerlacka', 'kackerlackor', 'blattaria', 'avrop_blattodea', 'cockroach', 'avrop_blattaria', 'jättekackerlackor', 'kackelackor'}
code	{'avkodning', 'lag', 'koder', 'regel', 'utveckla_mjukvara', 'schemalägga', 'datakod', 'koda', 'mjukvaruutveckla', 'lagkodifikation', 'avkoda', 'lagboken', 'kodning', 'lagbok', 'kodas', 'kodifikation', 'programmera', 'kryptera', 'kodifierad_lag', 'kod', 'lagsamling', 'kodifiering'}
cold	{'rhinit', 'sval', 'kronisk_obstruktiv_lungsjukdom', 'vanlig_förkylning', 'köld', 'john_gary', 'kylig', 'nicole_scherzinger', 'frigid', 'förskylning', 'nasofaryngit', 'kallblodig', 'kol', 'frusen', 'kall', 'kroniskt_obstruktiv_lungsjukdom', 'scherzinger', 'kyla', 'förkylningar', 'david', 'david,_craig', 'cold', 'förkylning', 'låg_temperatur', 'poison', 'scherzinger,_nicole', 'craig_david'}
collection	{'sammanställning', 'inkasso', 'uppsättning', 'bunt', 'kollektomat', 'charlatans', 'joe_sample', 'romansvit', 'skuld_insamlare', 'kompendiös', 'the_charlatans', 'ako-n', 'inkassoavgift', 'aggregering', 'the_offspring_collection', "don't_matter", 'kombinerade_produkterbjudanden', 'appell', 'samla', 'inkassobyrå', 'ghetto', 'konstsamlingar', 'hawkwind', 'kompendium', 'bokserie', 'kollekt', 'mängd', 'montering', 'samling', 'indrivning', 'relation', 'collection', 'inkassokrav', 'kollekthåv', 'akon', 'mazhar-fuat-özkan', 'bärgningshögtiden', 'kompendier', 'lonely', 'monografiserie', 'sample,_joe', 'konstsamling', 'sample', 'trouble', 'mfö', 'bundling', 'behållare'}
come	{'cum', 'sperma', 'come', 'ejakulat', 'sädesvätska_sperma_sagge', 'sädesceller', 'anlända', 'få', 'sädesvätska', 'kommit', 'säd', 'komma', 'komma_fram', 'komma_fram_till', 'comè', 'göra', 'comé', 'slog', 'ejakulera', 'nå'}
computer	{'huvudräknare', 'dataprocessor', 'digital_databehandling', 'datamaskinen', 'elektronisk_dator', 'syntare', 'dator_musik', 'industrisynth', 'estimator', 'datasystemet', 'mänsklig_räknare', 'datorn', 'kalkylator', 'cpu-fläkt', 'datoranordning', 'digitala_datorer', 'siffermaskin', 'figurer', 'matematikmaskin', 'datorer', 'processorfläkt', 'computer', 'dator', 'datorpionjär', 'elektronhjärna', 'digital_dator', 'synthare', 'synthmusik', 'synthrock', 'generell_dator', 'datorsystem', 'datan', 'datamaskin', 'datorerna', 'datateknik', 'syntmusik', 'mänsklig_dator'}
construction	{'byggbranschen', 'unscape', 'konstruktion', 'runescape', 'byggprojekt', 'byggnation', 'grammatisk_konstruktion', 'byggande', 'byggnadsverksamhet', 'byggnadsarbete', 'modell', 'deviousmud', 'byggarbetsplats', 'byggnadskonstruktionslära', 'byggarbetsplatser', 'husbyggnad', 'byggprocess', 'rättslig_tolkning', 'bygge', 'syntaktisk_konstruktion', 'lagtillämpning', 'byggprocessen', 'byggnadskonstruktion', 'konstitutionell_tolkning', 'andrew_gower', 'mental_syntes', 'lagtolkning', 'domstolstolkning', 'struktur', 'wilderness', 'rsbot', 'uttryck'}
cook	{'koka', 'kockar', 'cook', 'james_cook', 'tillaga', 'sous-kocken', 'kockpojke', 'kokerska', 'förbereda', 'mygla', 'laga', 'captain_cook', 'kocka', 'kapten_james_cook', 'köksmästare', 'laga_mat', 'kort_för_kock', 'kom_kock', 'stjärnkockar', 'cook,_james', 'sous-kock', 'cook,_frederick', 'alec_empire', 'kort_order_kock', 'frederick_cook', 'köksmästare_kock', 'mattant', 'anrätta', 'ordna', 'köksmästarinna', 'kock'}
correct	{'rätt', 'korrekt', 'korrigera', 'justera', 'tukta', 'riktig', 'felfri', 'rätta', 'korrekta'}
count	{'talsystem', 'le_comte_de_monte-cristo', 'greven_av_monte_christo', 'jarl', 'earls', 'väga', 'redundanta_talsystem', 'earldomen', 'greven_av_monte_cristo', 'redundant_talsystem', 'edmond_dantès', 'numrering', 'roll', 'comital', 'talsystemet', 'spela_roll', 'greven_av_montecristo', 'räkna', 'överväga', 'uppräkning', 'lista', 'edmond_dantes', 'greven_av_monte-cristo', 'sql', 'räknas', 'comtesse', 'countess', 'greve', 'grevevärdighet', 'structured_query_language', 'earl'}
counting	{'räkna', 'talsystem', 'redundanta_talsystem', 'uppräkning', 'lista', 'räknande', 'redundant_talsystem', 'numrering', 'räkning', 'talsystemet'}
crazy	{'sinnessjuk', 'loony', 'galen', 'erika_jayne', 'vansinne', 'looney', 'sinnessjukdom', 'sjukt', 'because_of_you', 'the_r.e.d._album', '...famous_last_words...', 'c.r.a.z.y.', 'crazy', '(you_drive_me)_crazy', 'loca', 'playing_with_fire', 'usher', 'galenskap'}
cut	{'svänga', 'greenfee', 'spår', 'pull', 'liggsår', 'bästboll', 'scorekort', 'stänga', 'slice', 'vända', 'pilsnerslag', 'puttning', 'peg', 'score', 'ruff', 'onormala_markförhållanden', 'sår', 'tee', 'topp', 'närspel', 'sidovattenhinder', 'blessyr', 'baseball_sving', 'censur_på_internet', 'öppet_sår', 'fairway', 'klippa', 'vattenhinder', 'passning', 'double_eagle', 'stans', 'skadade', 'film_redaktör', 'golfterm', 'greenkeeper', 'wedge', 'hoppa_över', 'matchspel', 'chip', 'caddie', 'genomsving', 'pitchslag', 'dormie', 'korthålsgolfbana', 'bounce', 'skippa', 'cold_shoulder', 'klippare', 'skada', 'skära_av_kött', 'inspel', 'fore', 'rough', 'handicapindex', 'spä', 'korthålsbana', 'mulligan', 'klippa_ut', 'minska', 'niblick', 'golfpro', 'green', 'löst_naturföremål', 'filmredigering', 'dubbelalbatross', 'mark_under_arbete', 'spelrätt', 'duff', 'filmredigerare', 'presscensur', 'draw', 'condor', 'out_of_bounds', 'snitt', 'vrida', 'bogeyvärde', 'backspin', 'andel', 'censur_av_internet', 'fyrboll', 'boll', 'pilsnerboll', 'ut', 'internetcensur', 'golfklubb', 'semiruff', 'pliktslag', 'chipp', 'slagspel', 'censurerade', 'hook', 'cut', 'kupera', 'lie', 'pegg', 'lista_över_golftermer', 'tillfälligt_vatten', 'drive', 'censuren', 'skära', 'förkorta', 'adressering', 'censurerad', 'loft', 'skogsbana', 'hindrande_föremål', 'driving_range_för_golf', 'central_unica_dos_trabalhadores', 'head_greenkeeper', 'öppen_skuren', 'dormy', 'dogleg', 'golfscore', 'fade', 'hål', 'linksbana', 'filmklippning', 'skärsår', 'golftermer', 'adressera_bollen', 'singelhandicap', 'lokala_bestämmelser', 'giv', 'skära_ner', 'pay_and_play', 'grunda_klubban', 'nonchalering', 'slaggolf', 'filmklippare', 'in', 'snurra', 'klara_av', 'schakt_och_fyllning', 'greenlagare', 'dimple', 'censurera', 'sving', 'nerdragning', 'assistant_head_greenkeeper', 'skärning', 'foursome', 'seasidebana', 'singel', 'foregreen', 'hinder', 'linksbanor', 'flop', 'censur', 'droppning', 'censurerar', 'dubbelbogey', 'markör', 'nersving', 'golfetikett', 'brassie', 'scratchvärde'}
