ability	{'inteligencia', 'šikovnosť', 'talent', 'nadanie', 'aptitude', 'schopnosť'}
ashes	{'ashes', 'post_mortem'}
at	{'@', 'astát', 'atómové_číslo_85', 'automatickou_prevodovkou', 'automatický_pohon', 'oesterreich', 'config.sys', 'at', 'toyota_coaster', 'bruton_je_tyrozín_kinázy', 'zavináč', 'na', 'astat', 'automatická_prevodovka', 'rakúska_republika', 'rakúsko'}
attitude	{'stanovisko', 'vystupovanie', 'držanie_tela', 'poloha', 'pozícia', 'eulerových_uhlov', 'sociálneho_správania', 'inklinácia', 'dispozícia', 'orientácia', 'attitude', 'tendencia', 'nevychovaností', 'postoj', 'postoji', 'mentálny_postoj', 'doings', 'priestorovej_orientácie', 'postavenie', 'sociálne_správanie', 'dispozície', 'reload', 'spôsoby', 'nekontrolovateľný', 'atitúda', 'konanie', 'správanie', 'malpresentation', 'chovanie', 'zmýšľanie'}
back	{'podporovať', 'b.a.c.k.', 'obálka', 'back', 'chrbtová_kosť', 'nazad', 'dozadu', 'schváliť', 'naspäť', 'fly-polovica', 'mimo_centrum_mesta', 'chrbát', 'stavcov', 'spätne', 'päk', 'schvaľovať', 'flyhalf', 'obranca', 'chrbtice', 'chrbtica', 'na_centra', 'zadok', 'zadnej_časti', '백', 'columna_vertebralis', 'operadlo', 'kostrnka', 'späť', '白', 'obal', 'zadná_časť', 'knižnej_väzby', 'knižná_väzba', 'zadák', 'ľavého_obrancu', 'bek', 'podporiť', 'tighthead_prop', 'rub'}
bad	{'zlý', 'zlobu', 'bcl-2-súvisiace_smrti_propagátora', 'zlo', 'bad_world_tour', 'royce_da_5\'9"', 'nehodný', 'big_audio_dynamite', 'nesprávny', 'zlé', 'bad', 'nedobrý', 'zloba'}
bag	{'štetka', 'cestovná_taška', 'taške', 'multiset', 'kradnúť', 'vemena', 'vrece', 'príručná_taška', 'kufrík', 'vak', 'pobrať', 'tašku', 'kurva', 'kabelka', 'kufor', 'kabelky', 'multisets', 'stará_baba', 'taška', 'vemeno', 'bag', 'kabela', 'plná_taška', 'ukradnúť', 'papierový_sáčok', 'šálka_čaju'}
ball	{'ples', 'guľa', 'diane_belmont', 'slimáka', 'gúľať', 'semenníky', 'strike_zone', 'tenisová_loptička', 'testis', 'john_ball', 'projektil', 'tenisový_loptičku', 'muškety_loptu', 'bordel', 'lopta', 'zhluk', 'tenisové_loptičky', 'hranica_gule', 'náboj', 'guľu', 'teste', 'guľovité', 'zóny_štrajku', 'loptu', 'lucille_ball', 'bál', 'pologuľovitý', 'testes', 'futbal', 'lucille_ballová', 'loptička', 'testikulárne', 'stred_gule', 'ball', 'gule', 'hrča', 'glob', 'mušketa_gule', 'semenník', 'semenníkov', 'vnútro_gule', 'tenisové_lopty', 'sféra', 'uzavretá_guľa', '2-gule', 'guľka', 'ballock', 'tenisová_lopta', 'otvorená_guľa', 'hruda'}
bar	{'brániť', 'zabránenie', 'plytčinu', 'bár', 'hostinec', 'baru', 'bary', 'ochrana', 'závora', 'predchádzanie', 'právne_profesie', 'patronymics', 'priezvisko', 'opatrenia', 'gin_mlyn', 'kŕdeľ', 'zablokovať', 'blokovať', 'foobar', 'prevenciu', 'barový_pult', 'právnické_povolanie', 'ginmill', 'verejné_domy', 'právnická_komunita', 'foo', 'vryp_nerastu', 'patronym', 'tabuľka', 'mbar', 'piesčin', 'pruh', 'profylaxia', 'patronymic', 'pub', 'salónnej_brankár', 'tyč', 'browning_automatická_puška', 'bar', 'zamedzenie', 'kliknite_na_dom', 'zatarasiť', 'taphouse', 'priezviskami', 'krčma', 'krčmárka_jedla', 'bavorčina', 'prekážka', 'taverna', 'výčap', 'kocka', 'country_inn', 'prekážať', 'hatiť', 'millibars', 'beta-2_receptorov', 'barroom', 'barline', 'vryp_minerálu', 'bare', 'mariť', 'prevencia', 'patrynomic', 'zabrániť', 'advocatus', 'beta-2_adrenergných_receptorov', 'zabarikádovať', 'pothouse', 'farnesoid_x_receptor', 'zábrana', 'krčiem', 'vryp', 'takt'}
bark	{'brechať', 'kôra', 'rhytidoma', 'havkať', 'il-2', 'iľjušin_il-2', 'stromovej_kôry', 'barque', 'bark', 'periderm', 'štekať', 'kôry', 'iliušin_il-2', 'borka'}
bear	{'niesť,_mať_niečiu_podobu', 'vytrvať', 'zakúšať', 'medvede', 'zakúsiť', 'držať', 'nosiť_sa', 'počínať_si', 'zaplatiť', 'nosiť', 'zachovať_sa', 'medvědovitého', 'zvládať', 'mať', 'obsahovať', 'trpieť', 'pojať', 'porodiť', 'niesť_sa', 'vytrvávať', 'rodiť', 'podobať_sa', 'tu-95', 'zvládnuť', 'pretrpieť', 'tolerovať', 'dať_zisk', 'správať_sa', 'chovať_sa', 'ursidae', 'vystáť', 'vynášať', 'mike_brown', 'bear', 'zniesť', 'medveďovité', 'počať_si', 'webelos', 'vyniesť', 'ursida', 'niesť', 'platiť', 'strpieť', 'tupolev_tu-95', 'dávať_zisk', 'medveď', 'znášať', 'pojímať'}
beat	{'rytmy', 'zmlátiť', 'udierať', 'unavovať', 'mlátiť', 'trápiť', 'otravovať', 'popliesť', 'meter', 'premôcť', 'vyvádzať_z_konceptu', 'beat', 'pulz', 'ohromiť', 'týrať', 'znepokojiť', 'súžiť', 'miasť', 'off-beat', 'poetický_meter', 'premáhať', 'prekonávať', 'trýzniť', 'búchať', 'zmiasť', 'zbiť', 'zaraziť', 'znepokojovať', 'hnevať_sa', 'rytmus', 'poraziť', 'hudobný_rytmus', 'uviesť_do_rozpakov', 'pliesť', 'priviesť_do_rozpakov', 'vyviesť_z_konceptu', 'zdolať', 'metrum', 'vyčerpávať', 'beatnik', 'biť', 'zvíťaziť', 'uvádzať_do_rozpakov', 'ohromovať', 'privádzať_do_rozpakov', 'siteswap', 'víťaziť', 'porážať', 'kvantitatívne_meter', 'doba', 'prekonať', 'sužovať', 'zarážať', 'zdolávať'}
because	{'because', 'pretože'}
bed	{'hrada', 'drbať', 'posteli', 'ísť_do_postele', 'šev', 'ísť_spať', 'hriadka', 'spodok', 'jebať', 'pichať', 'podložie', 'dno', 'šukať', 'koryta', 'lôžko', 'koryto_rieky', 'vrstva', 'bed', 'mrdať', 'záhon', 'trtkať', 'koryto', 'posteľ'}
beer	{'operácia_ale', 'ale', 'pivovarníctvo', 'piva', 'pivo', 'beer'}
belly	{'veľké_brucho', 'bachora', 'brucho', 'brušnej', 'brušné_svaly', 'ľudského_brucha', 'belly', 'brucha'}
big	{'veľký', 'veľkorysý', 'popredný', 'početný', 'veľké', 'mineralitou', 'big', 'dospelý', 'bjarke_ingels_group', 'dobrosrdečný', 'stypsis', 'veľkodušný', 'ovocia', 'významný', 'telo', 'norm_nixon', 'dôležitý', 'obrovský', 'suché', 'štedrý', 'veľká'}
bird	{'vtáctvo', 'prst', 'razz', 'razzing', 'vtáci', 'bird', 'aves', 'košíková_loptička', 'vták', 'košík', 'pérák', 'vtáky', 'kosť', 'vtáčie_mäso', 'bronx_cheer', 'kohút', 'mikuni_shimokawa', 'dievča', 'yardbird_parker', 'pozorovať_vtáky', 'avafauna', 'bedmintonový_košík', 'samica', 'vypískať', 'vtákov', 'zdvihnutý_prostredník', 'charlie_parker', 'charles_christopher_parker', 'baba', 'bird_parker', 'roosting'}
bite	{'kúsok', 'rýchle_občerstvenie', 'bodať', 'hrýzať_hrýzť', 'snack', 'pohryznutí_hmyzom', 'bodnúť', 'žuť', 'bi-špecifické_t-bunky_engager', 'pichať', 'bodnutí_hmyzom', 'hrýzať', 'odhryznúť', 'uhryznutie', 'hmyzom', 'pikantná', 'pichnúť', 'bodnutie', 'desiata', 'pikantné', 'steven_hassan', 'štipľavú', 'ostrosť', 'hryzenie'}
black	{'černoška', 'rovníková_rasa', 'inkiness', 'čierna', 'nešťastný', 'čierny_afričan', 'čierny', 'neblahý', 'negrid', 'latino', 'kari_kimmel', 'čierna_rasa', 'planeswalker', 'čerň', 'taio_cruz', 'joseph_black', 'final_fight', 'afrického_pôvodu', 'shirley_temple', 'negroid', 'hlboká_tma', 'shirley_templová', 'afroameričan', 'farba', 'černošskej_komunity', 'negroidní', 'negroidné_plemeno', 'hispánsky', 'zafarbenie', 'black', 'negridná_rasa', 'černosi', 'negro', 'shirley_templová_blacková', 'čierna_žena', 'negroids', 'osudný', 'negroidná_rasa', 'shirley_temple_black', 'final_fight_3', 'lightlessness', 'shirley_jane_templová', 'black_osoba', 'africká_rasa', 'blackamoor', 'čierne_ženy', 'ekvatoriálna_rasa', 'biely', 'čiernočiernej_tme', 'hrozný', 'katastrofálny', 'farby', 'iných_závodov', 'zhubný', 'černoch'}
blood	{'línia_predkov', 'bordeaux_víno', 'krv', 'the_black_parade', 'víno_bordeaux', 'okysličenej_krvi', 'dedičnosť', 'okysličenú_krv', 'pôvodu', 'roue', 'ľudskej_krvi', 'rakehell', 'getting_away_with_murder', 'potomstvo', 'línie', 'krvi', 'hematologické', 'rod', 'predkovia', 'blood', 'vs.', 'vs', 'biologické_dedičstvo', 'bordeaux', 'heredita', 'collective_soul', 'genetického_dedičstva', 'krvné_línie', 'persistence_of_time', 'pôvod', 'dedičnosti', 'rodokmeň'}
blow	{'letieť_po_vetri', 'nezdar', 'rana', 'priplávať_po_prúde', 'porážka', 'doplávať_po_prúde', 'poryv', 'fúkať', 'letieť_po_prúde', 'plávať_po_prúde', 'zrážka', 'fúknuť', 'duť', 'neúspech', 'úder', 'blow', 'doletieť_po_vetri', 'priletieť_po_vetri', 'vanúť', 'prekvapenie', 'náraz', 'nos_candy'}
body	{'tranzistor_riadený_poľom', 'novinky_zo_sveta', 'spolok', 'coachbuilder', 'mŕtvol', 'unitard', 'mineralitou', 'fyzická_konštitúcia', 'fyzické_telo', 'článok', 'mŕtve_telo', 'fyzickej_štruktúry', 'administratívny_orgán', 'teairra_marí', 'tranzistorov_riadených_poľom', 'teleso', 'pole-tranzistor_účinku', 'dvere', 'stypsis', 'oblek', 'bod', 'tranzistor_ovládaný_elektrický_poľom', 'aurálne_pole', 'fet', 'organická_štruktúra', 'ovocia', 'soundbox', 'mŕtvola', 'článok_v_časopise', 'združenie', 'torzo', 'kmeň_tela', 'karoséria', 'catsuit', 'body', 'prijímač', 'karosérie', 'trup', 'novinový_článok', 'tela', 'tranzistor_typu_fet', 'poľom_riadený_tranzistor', 'biopole', 'unipolárny_tranzistor', 'vibračné_pole', 'jemné_telo', 'polytopes', 'eubstance', 'veľkosť_bodu', 'energetické_telo', 'zbor', 'text_správy', 'polytope', 'fet_tranzistor', 'cat_suit', 'kombinézu', 'konzistencia', 'hustota', 'telo', 'mŕtvoly', 'skupina', 'tranzistor_fet', 'trikot', 'tuhosť', 'trupu', 'suché', 'spravodajský_článok', 'poľom_tranzistorov'}
bone	{'kostnej', 'slonovinu', 'bone', 'kostného_tkaniva', 'off-white', 'kostné_tkanivo', 'kosti', 'kosť', 'def_jam_recordings'}
brain	{'brainiac', 'inteligencie', 'mozog_človeka', 'duševná_schopnosť', 'schopnosť_učiť_sa', 'nús', 'duševná_spôsobilosť', 'mozgu_cicavcov', 'nous', 'brian_mantia', 'rozum', 'banks', 'inteligencia', 'hlavu', 'ľudskej_mysle', 'genialita', 'duševných_schopností', 'bryan_mantia', 'myseľ', 'brain', 'génius', 'psychika', 'mozog', 'funkcie_mozgu', 'intelekt', 'mozgu', 'myslenie'}
breast	{'titty', 'prsia', 'prsník', 'prsníky', 'the_breast', 'corpus_mammae', 'hrudnej', 'ňadro', 'prsná_žľaza', 'glandula_mammae', 'rakovina_prsníka', 'mliečna_žľaza', 'karcinóm_prsníka', 'ductus_lactiferus', 'rakovina_pŕs', 'pectus', 'papilla_mammae', 'karcinóm_mliečnej_žľazy', 'sinus_mammarum', 'karcinómu_prsníka', 'sulcus_inframammalis', 'busta', 'hrudníka', 'biele_mäso', 'cecok', 'ňadrá', 'hrudník', 'glandula_areolaris', 'hruď'}
breathe	{'vypudzovať', 'time', 'music_from_"the_body"', 'breathe', 'funeral_for_yesterday', 'dark_side_of_the_moon', 'vydávať', 'the_dark_side_of_the_moon', 'i-empire', 'vydať', 'dýchať', 'music_from_the_body', 'a_class', 'kristof_konrad', 'vypudiť', '11:59'}
broken	{'winterheart’s_guild', 'echo', "winterheart's_guild", 'broken', 'plastic_beach', 'the_best_of_bruce_dickinson', 'členitý', 'zlomený', 'rozbitý', '12_stones', 'delta_machine', 'ms._kelly'}
building	{'stavebníctva', 'verejná_budova', 'vystavanie', 'verejné_budovy', 'uskutočňovanie_stavby', 'stavba', 'realizácia_stavby', 'stavanie', 'stavebné_práce', 'stavebníctve', 'výstavba', 'rekonštrukcia', 'verejných_budov', 'budova', 'budov', 'budovy', 'stavebná_činnosť', 'budovanie', 'konštrukcia', 'dom'}
burn	{'horieť', 'tan', 'popálenina', 'druhého_stupňa_popálenia', 'popáliť', 'pripáliť', 'tretí_stupeň_horí', 'erytém_solare', 'popáleniny', 'horenie', 'prerušovaný_prúd', 'páliť', 'burn', 'fc_dallas', 'plápolať', 'zhorieť', 'druhý_stupeň_vypáliť', 'ruisseau', 'oheň', 'plameň', 'vodné_koryto', 'potok', 'spáliť', 'popáleniny_tretieho_stupňa', 'vypáliť_značku', 'horiace', 'opálenie', 'požiare', 'vodný_tok'}
business	{'improvizácia', 'koncern', 'podnik', 'rad_prác', 'podnikateľský_sektor', 'práca', 'džob', 'klientelu', 'obchodné_vedy', 'obchodnej_organizácie', 'záležitosť', 'obchodovanie', 'klientela', 'javisková_akcia', 'zákona_o_spoločnostiach', 'podnikateľský', 'spoločnosť', 'povolanie', 'nezávislý_dodávateľ', 'etapa_podnikania', 'predajca', 'obchodná_spoločnosť', 'obchod', 'business', 'podnikanie', 'komerčné_aktivity', 'obchodné_obavy', 'podnikania', 'obchodný_systém', 'biznis', 'byplay', 'pre-ziskové', 'vec', 'firma', 'podnikateľka', 'podnikateľská_činnosť', 'nezávislí_dodávatelia', 'klient', 'podnikov', 'povolania', 'zamestnanie', 'prácu', 'činnosť', 'voľné_miesto'}
camera	{'televízne_kamery', 'camera', 'the_back_room', 'televízna_kamera', 'filmová_kamera', 'kamery', 'filmovacie_kamera', 'kamera', 'motion-picture_kamera', 'fotografický_prístroj', 'fotoaparát'}
carefully	{'starostlivo', 'obava', 'opatrne', 'znepokojenie', 'starosť', 'nepokoj', 'trápenie', 'obáv'}
challenge	{'odporovať', 'vyzývať', 'popierať', 'vyzvať', 'poprieť', 'výzva', 'vzdorovať', 'napádať', 'výzva-odpoveď'}
charity	{'charitatívny_status', 'vojnovka_belasá', 'polemonium_van-bruntiae', 'charita', 'polemonium_caeruleum', 'bratská_láska', 'verejná_charita', 'charity', 'polymonium_caeruleum_van-bruntiae', 'registrovaná_charita', 'charitatívnych_organizácií', 'charitatívna_inštitúcia', 'charitatívna_organizácia'}
charming	set()
child	{'dievča', 'tiddler', 'nasledovník', 'pre-dospievajúci', 'menšie', 'potomok', 'mladistvých', 'dieťa', 'mláďa', 'detský', 'dcéry', "l'enfant", 'holobriadok', 'deti', 'mladistvý', 'nedospelý', 'dcéra', 'mladík', 'školákov'}
clothes	{'bielizeň', 'odev', 'odevov', 'šaty', 'šatstvo', 'oblečenie', 'článok_oblečenie', 'rúcho', 'konfekcia', 'odevy', 'dámsku', 'uchádzajúce', 'oblek'}
cloud	{'zatemňovať', 'pokryť_machuľami', 'verejný_cloud', 'pokrývať_machuľami', 'robiť_škvrny', 'cloud_hosting', 'výpočtové_mračno', 'cloud_infraštruktúry', 'zakaliť_sa', 'mrakov', 'pohasínať', 'oblak', 'zahmlievať_sa', 'zakaliť', 'cloud-based', 'pokryť_mrakmi', 'zatemniť_sa', 'počítačová_telekomunikácia', 'model_sieťového_prístupu_na_požiadanie_k_spoločne_využívaným_prostriedkom_výpočtovej_techniky', 'zatemniť', 'cloud_computing', 'infraštruktúra_ako_služba', 'roj', 'zatiahnuť', 'potiahnuť_sa_závojom', 'kiba', 'cloud_služby', 'cloud', 'rojenia', 'pohasnúť', 'robiť_machule', 'cloud_služieb', 'oblačnosť', 'pokrývať_škvrnami', 'zahmlievať', 'urobiť_škvrny', 'zahmliť_sa', 'telepočítanie', 'pokrývať_mrakmi', 'zaťahovať_sa', 'zahmliť', 'poťahovať_sa_závojom', 'internetové_počítanie', 'urobiť_machule', 'zatemňovať_sa', 'cloud_strife', 'mraky', 'klaud_kompjúting', 'počítačové_telekomunikácie', 'mrak', 'telepočítačový_systém', 'pokryť_škvrnami', 'zatiahnuť_sa'}
cockroach	{'šváby', 'blattaria', 'švába', 'šváb', 'blattodea', 'cockroach', 'podrad_blattaria', 'švábovité', 'podrad_blattodea'}
code	{'zákonník', 'poriadok', 'program', 'kódu', 'predpisy', 'zákon', 'ustanovenie', 'plánovať', 'kódy', 'kódovanie', 'kód', 'počítačový_kód', 'kodifikácia'}
cold	{'nicole_scherzingerová', 'frigidný', 'nicole_scherzinger', 'neľudský', 'studený', 'craig_david', 'mrazivosť', 'brutálny', 'krutý', 'prechladnutia', 'chladný', 'cold', 'chladnokrvný', 'zima', 'nízka_teplota', 'chlad', 'chronická_obštrukčná_choroba_pľúc', 'neľútostný'}
collection	{'joe_sample', 'muzeálny_zbierkový_predmet', 'zväzok', 'úroda', 'umeleckých_zbierok', 'kompendium', 'zbieranie', 'muzeálna_zbierka', 'vyberači_dlhov', 'agregácie', 'collection', 'hawkwind', 'kompilácia', 'zberný', 'akon', 'the_offspring_collection', 'zber', 'kolekcia', 'zbierkach', 'zhluk', 'množina', 'zhromažďovanie', 'the_charlatans', 'kontajnera', 'zbierka', 'agregácia', 'súhrn', 'zoskupenie', 'montáž', 'kontajner'}
come	{'doraziť', 'prísť', 'patriť_do/pod', 'ejakulát', 'počínať_si', 'semenné_tekutiny', 'postupovať', 'pochádzať', 'dôjsť', 'ejakulovať', 'dostať', 'prichádzať', 'semeno', 'pristúpiť', 'spermie', 'cum', 'pristupovať', 'spadať', 'spermia', 'napredovať', 'dorážať', 'ísť', 'dariť_sa', 'sperma', 'come', 'dochádzať', 'dochodiť'}
computer	{'zariadenie_na_spracovanie_dát', 'výpočtovej_techniky', 'spracovateľ', 'počítači', 'počítačom_generované_hudby', 'počítač', 'procesor', 'systém_spracovania_informácií', 'kalkulačka', 'výpočtové_zariadenia,', 'odhad', 'počítačovej_hudby', 'informačný_systém_spracovania', 'tvorba_hudby_počítačom', 'výpočtár', 'počtár', 'kalkulant', 'figurer', 'digitálnych_počítačov', 'výpočtovej_stroj', 'systém_spracovávania_informácií', 'elektronický_počítač', 'počítacie_zariadenie'}
construction	{'štruktúra', 'stavebníctva', 'duševné_syntéza', 'gramatická_väzba', 'vystavanie', 'uskutočňovanie_stavby', 'stavba', 'realizácia_stavby', 'súdneho_výkladu', 'stavanie', 'model', 'výraz', 'stavebné_práce', 'runescape', 'stavebníctve', 'rekonštrukcia', 'stavebná_činnosť', 'budovanie', 'gramatické_konštrukcie', 'konštrukcia'}
cook	{'prichystať', 'kuk', 'pripraviť_si', 'variť_sa', 'šéf_kuchyne', 'vrchný_kuchár', 'variť', 'krátke_aby_kuchár', 'frédérick_cook', 'prichystať_si', 'captain_cook', 'pripraviť', 'navariť', 'hlavný_kuchár', '菊', 'kuchárka', 'james_cook', 'kapitán_james_cook', 'uvariť', 'povariť', 'cook', 'kuchári', 'sous-chef', 'kuchár', 'uvariť_si', 'šéfkuchár', 'variť_si', '국', '鞠', '國'}
correct	{'pravdu', 'ladiť', 'vynahradiť', 'opravovať', 'správna', 'nahrádzať', 'napraviť', 'korigovať', 'nastaviť', 'zreparovať', 'nahradiť', 'opraviť', 'správny', 'dávať', 'nastavovať', 'naprávať', 'naladiť', 'reparovať', 'dať_do_poriadku', 'justovať'}
count	{'jarl', 'structured_query_language', 'číselný_systém', 'spočítať', 'grófstva', 'štruktúrovaný_vyhľadávací_jazyk', 'comital', 'zoznam', 'číselná_sústava', 'grófskeho', 'záležať', 'rátať_s_niekým/niečím', 'countship', 'počítacie', 'reálne_predvídať', 'hrať_dôležitú_rolu', 'zrátať', 'štruktúrovaný_dotazovací_jazyk', 'štruktúrovaný_dopytovací_jazyk', 'sql', 'počítať_s_niekým/niečím', 'comtesse', 'počet', 'gróf', 'mať_váhu', 'zoznam_', 'číslovanie', 'kalkulovať_s', 'vážiť', 'počítať', 'rátať'}
counting	{'číselný_systém', 'zoznam', 'počet', 'číselná_sústava', 'zoznam_', 'číslovanie', 'počítacie', 'počítanie'}
crazy	{'crazy', 'labilný', 'the_r.e.d._album', 'loca', 'duševne_chorý', 'playing_with_fire', '...famous_last_words...', 'duševne_nevyrovnaný', 'šialený', 'looney', '(you_drive_me)_crazy', 'cvok', 'usher', 'erika_jayne', 'c.r.a.z.y.', 'because_of_you', 'pomätený', 'praštěná', 'nepríčetnosť', 'blázon', 'šialenstvo'}
cut	{'zraňovať', 'rez_mäsa', 'cut', 'obrátiť', 'rezanie', 'cenzúra', 'zahnúť', 'prvotné_rez', 'odstrihávanie', 'strih', 'sekať', 'vynechať', 'central_unica_dos_trabalhadores', 'strihať', 'odsekávať', 'byť_ľahostajný', 'tlačovej_cenzúry', 'cenzorov', 'skrátiť', 'ublíženie,_poranenie', 'rez', 'film_strih', 'vymeškávať', 'zmenšenie', 'otvorenú_ranu', 'vystrihnúť', 'otočiť', 'rezaných', 'přezíravost', 'odstrihnúť', 'tržné_rany', 'nevšímať_si', 'preseknúť', 'odťať', 'ťať', 'ignorovať', 'zníženie', 'odseknúť', 'vynechávať', 'rana', 'filmového_strihu', 'baseball_hojdačka', 'kus_mäsa', 'cenzurovaný', 'preťať', 'odstrihávať', 'krájanie', 'odrezať', 'rezať', 'zostrihávanie', 'strihanie', 'open-cut', 'odrezávať', 'zatočiť', 'skladby', 'vymeškať', 'rany', 'znížiť'}
damage	{'škoda', 'právna_ujma', 'škodu', 'zariadenia_nehoda', 'zohyzdiť', 'právne_zranenia', 'poškodenie', 'ceny', 'hodnota', 'poškodiť', 'damage', 'poškodzovať', 'znehodnotenie', 'cena'}
dance	{'tancovať', 'tancovanie', 'dance', 'dance_music', 'waterloo', 'post-disco', 'tanečná_hudba', 'tanec', 'tanečnej_párty', 'tanečná_zábava', 'oliver_heldens', 'post-disko', 'tanečnej_hudby', 'dancé', 'tanečníkov'}
dangerous	{'rizikový', 'dangerous', "it's_hard", 'vážny', 'riskantný', 'nebezpečné', 'nebezpečný', 'hazardný'}
day	{'dĺžke_dňa', 'znamená_slnečné_deň', 'deň', 'dvadsať-čtyřihodiny', 'dvadsať-štyri_hodín_doba', 'dvadsaťštyri_hodín', 'hviezdny_deň', 'slnečné_deň', '24-hodinová_interval', 'denný_čas', 'dĺžka_dňa', 'day', 'denná_doba', 'dní', 'slnečný_čas', 'clarence_day', 'denných', 'clarence_shepard_day_jr', 'stredný_slnečný_deň', 'doba', 'hviezdneho_času', 'dvadsaťštyri_hodinový_interval', 'slnečné_čas'}
deceive	{'klam', 'zradiť', 'zavádzať', 'oklamať', 'klamlivé', 'ošmeknúť', 'podvádzať', 'zavádzanie', 'darebáctva', 'zrádzať', 'nepoctivosť', 'podviesť', 'podvod', 'klamať'}
dedication	{'dedication', 'oddanosť', 'venovanie', 'prísľub', 'povinnosť'}
deliberately	{'vedome', 'zámerne', 'cielene', 'úmyselne'}
delivery	{'dodanie', 'žartu', 'žart', 'doprava', 'transport', 'vyslobodenie', 'vaginálny_pôrod', 'zachrániť', 'spôsob_rozprávania', 'osobná_doprava', 'záchrana', 'zcizitelný', 'spôsob_rozprávanie', 'poslíček', 'delivery', 'pôrod', 'scudzovania', 'dodávky_do_domácností', 'podanie', 'vtipkovať', 'narodením_dieťaťa', 'štýl_reči', 'doručenie', 'vtipov', 'narodenie', 'reč', 'vtip', 'pôrodná', 'odcudzenia', 'dodávka', 'dopravnej_infraštruktúry', 'zásielka', 'ústny_prejav', 'dopravný_prostriedok', '(právny)_prevod', 'veselý', 'ponuka', 'pôrodu', 'accouchement', 'odcudzenie', 'prinášanie', 'právny_prevod'}
dessert	{'múčnik', 'dezertné_víno', 'dezertov', 'dezert', 'dezertné_vína'}
device	{'stroj', 'technické_vybavenie_počítača', 'počítačový_hardvér', 'mobilný_telefón', 'technické_vybavenie', 'mobilný', 'technické_prostriedky_počítača', 'počítačového_hardvéru', 'mobilné_telefóny', 'aparát', 'device', 'mobil', 'zariadenia', 'mobilných_telefónov', 'hardware', 'prístroj', 'zariadenie', 'config.sys', 'hardver', 'technika_počítača', 'telefón', 'hardvér', 'stroje', 'technické_prostriedky', 'prostriedok', 'ozdobný_vzor', 'konštrukčné_prvky_počítača'}
die	{'zlyhať', 'vyčerpať_sa', 'skonávať', 'zaniknúť', 'nepodariť_sa', 'skonať', 'zrútiť_sa', 'hynúť', 'pobrať_sa', 'zomrel', 'smrť', 'predčasných_úmrtí', 'zahynúť', 'die', 'zesnout', 'umierať', 'umrieť', 'polyhedral_kocky', 'kocky', 'zanikať', 'zosnulý', 'pokaziť_sa', 'pominúť_sa', 'zomrelý', 'hracia_kocka', 'úmrtie', 'neuspieť', 'skapať', 'kocka', 'zomrieť', 'zomierať'}
