ability	{'talent', 'sposobnost', 'zmožnost', 'sposobnosti', 'zmogljivost', 'nadarjenost', 'bistrost'}
ball	{'ples', 'stavke_cona', 'ball', 'okrogla', 'modo', 'nogomet', 'testisov', 'plesna_zabava', 'teniških_žogic', 'testis', 'john_ball', 'sranje', 'wilfred_williams_ball', 'kepa', '2-sferi', 'glob', 'odprta_krogla', 'puško_žogo', 'gruda', 'jajce', 'žogo', 'krogla', 'teste', 'zaprto_kroglo', 'polkrogle', 'sfera', 'blazinica', 'ballock', 'teniško_žogico', 'jajca', 'lucille_ball', 'moda', 'žoga'}
bar	{'bár', 'zadelati', 'receptorja_farnesoid_x', 'kos', 'beta-2_adrenergičnih_receptorjev', 'točilna_miza', 'vratar_limuzina', 'pravniški_poklic', 'pub_znak', 'gin_mlin', 'foo', 'šank', 'browning_avtomatska_puška', 'bar,_viniška_oblast,_ukrajina', 'taberna', 'patronymic', 'drog', 'izključevati', 'prevencija', 'preventiva', 'antibari', 'zabarikadirati', 'patronim', 'taverna', 'javna_hiša', 'prepovedati', 'absorbirati', 'prodajalni_pult', 'taktnica', 'izgnati', 'biti', 'ovirati', 'rodbinsko_ime', 'taproom', 'bar,_črna_gora', 'barroom', 'milibar', 'gostilna', 'proga', 'blokirati', 'sandbars', 'pivotoč', 'preprečiti', 'tablica', 'obstati', 'gostilno', 'patrynomic', 'patronimik', 'patronym', 'preprečitev', 'objave', 'baru', 'bife', 'pravna_stroka', 'zapreti', 'ukrep', 'motiti', 'browningova_avtomatska_puška', 'preprečevanje', 'foobar', 'bonaventure_de_bar', 'ginmill', 'barva_črte', 'mbar', 'črta', 'pub_hrano', 'točilni_pult', 'bar', 'pravna_skupnost', 'taphouse', 'pult', 'javnih_hiš', 'krčma', 'beta-2_receptorja', 'izvzeti', 'milibarov', 'plitvina', 'pregnati', 'vrstica', 'pivnica', 'tapnite_hišo', 'country_inn', 'cev_v_električnem_grelcu', 'odvrnitev', 'metrum', 'barline', 'prečka', 'izključiti', 'zamašiti', 'zatesniti', 'antivari', 'advocatus', 'pothouse', 'zavirati', 'takt'}
bark	{'lajati', 'iljušin_il-2_sturmovik', 'il-2', 'barque', 'barka', 'bark', 'periderm', 'skorja', 'lubje', 'iljušin_il-2_šturmovik', 'lajež', 'zadiranje', 'drevesna_skorja', 'šturmovik', 'iljušin_il-2'}
bear	{'pretrpeti', 'vsebuje', 'pričakovati_otroka', 'obdelati', 'medvedka', 'imeti', 'vzeti', 'vesti_se', 'nosi', 'medved', 'vztrajati', 'tupoljev_tu-95', 'sprejeti', 'podpirati', 'prenašati', 'voditi', 'plačati', 'pričakovati', 'medvedi', 'vsebovati', 'morati', 'peljati', 'vzdržati', 'trpeti', 'tolerirati', 'tu-95', 'paul_hoffman', 'obnašati_se', 'nositi', 'ursidae', 'mêdved', 'pomagati', 'podpreti', 'poviti', 'roditi', 'biti', 'rojevati', 'jemati', 'mike_brown', 'bear', 'prinašati', 'ursine', 'prenesti', 'dobiti', 'prebivati', 'obsegati', 'stati', 'webelos', 'dopustiti', 'biti_noseč', 'pustiti', 'skupnosti_medveda', 'zadržati', 'prevzeti'}
beat	{'verzologija', 'udariti', 'zmagati', 'prekaniti', 'kvantitativno_meter', 'podjarmiti', 'pokoriti', 'meter', 'izigrati', 'beat', 'ritmično', 'osvojiti', 'ritem', 'tiktakati', 'off-beat', 'presegati', 'bitje', 'glasbeni_ritem', 'mrtev', 'zmesti', 'zbegati', 'tepsti', 'drhteti', 'utrip', 'biti', 'premagati', 'dobiti', 'izčrpati', 'prevarati', 'metrum', 'osupiti', 'poraziti', 'beatnik', 'bobnati', 'biti_zmagovit', 'razumeti', 'jeziti', 'utruditi', 'prelisičiti', 'siteswap', 'tolči', 'utripanje', 'obhod'}
because	{'zaradi', 'because', 'ker'}
bed	{'rečna_struga', 'posteljo', 'ljubiti', 'séksati', 'občevati', 'lezike', 'struga', 'greda', 'kavsati', 'ljubiti_se', 'strugo', 'posaditi', 'fukati', 'ležišče', 'korito', 'popivanje_motnje_prehranjevanja', 'znati', 'porivati', 'spolno_občevati', 'dno', 'plast', 'postelji', 'seksati', 'gredica', 'poznati', 'jebati', 'bed', 'spati_z_nekom', 'vedeti', 'podlaga', 'sloj', 'potok_postelja', 'postelja'}
beer	{'angleško_ale_pivo', 'ol', 'ale', 'pivovarstvo', 'pir', 'svetlo_pivo', 'pivo', 'johann_georg_beer', 'beer'}
belly	{'trebuhi', 'burja', 'trebuh', 'abdomen', 'belly', 'trebušne_mišice'}
big	{'močen', 'noseča', 'plemenit', 'bahav', 'suho', 'radodaren', 'big', 'hud', 'doraščen', 'znamenit', 'viden', 'dorasel', 'bjarke_ingels_group', 'nečimrn', 'velik', 'stypsis', 'krepek', 'domišljav', 'nabrekel', 'odličen', 'slab', 'zrasel', 'vinska_cvetica', 'prominenten', 'ničemuren', 'liberalen', 'telo', 'norm_nixon', 'ugleden', 'odraščen', 'sadje', 'pomemben', 'v_drugem', 'hvalisav', 'velikodušen', 'odrasel', 'darežljiv', 'obilen', 'postavljaški', 'minerality'}
bird	{'prst', 'razz', 'razzing', 'bejba', 'bird', 'aves', 'ptiči', 'ptice', 'seznam_ptic', 'ptič', 'perjanica', 'avifauna', 'zatočišč', 'seznam_ptičev', 'dečva', 'bronx_navijanja', 'mikuni_shimokawa', 'yardbird_parker', 'perutnina', 'žogica_za_badminton', 'ptica', 'avafauna', 'pišče', 'žogic', 'edward_bird', 'boo', 'ptic', 'ptička', 'wench', 'deklič', 'charlie_parker', 'charles_christopher_parker', 'bird_parker'}
bite	{'pikanten', 'rezkost', 'ostrina', 'chomp', 'gristi', 'ostrega', 'ugriz', 'košček', 'grižljaj', 'ugrizniti', 'grizenje', 'insektov_ugriz', 'pikrost', 'pikantno', 'začinjene', 'zalogaj', 'ostrost', 'steven_hassan', 'prigrizek', 'ugrizi', 'želo'}
black	{'bela', 'črna_oseba', 'črnci', 'inkiness', 'fatalen', 'črnka', 'magic_the_gathering', 'sramoten', 'tema', 'negrid', 'latino', 'kari_kimmel', 'afriškega_porekla', 'sramotilen', 'planeswalker', 'taio_cruz', 'črna', 'črni_mož', 'final_fight', 'nesrečen', 'levi', 'strahovit', 'katastrofalen', 'shirley_temple', 'skupna_tema', 'negroid', 'barv', 'črna_afriška', 'barve', 'shirley_temple_črna', 'črnec', 'tragičen', 'joseph_black', 'znanosti_barve', 'magic:_the_gathering', 'črnina', 'poguben', 'black', 'barva', 'magic', 'black_ženske', 'negro', 'razdejalen', 'smrten', 'počrniti', 'negroids', 'joseph_črna', 'final_fight_3', 'črn', 'tihotapski', 'lightlessness', 'neslaven', 'drugih_ras', 'črna_ženska', 'hispanic', 'smola_črnina', 'mtg', 'blackamoor', 'azijska', 'usoden', 'nečasten', 'črna_(negridna)_rasa', 'črna_rasa', 'temen'}
blood	{'dednost', 'predniki', 'the_black_parade', 'dednosti', 'hematoloških', 'lahkoživec', 'oksidirano_kri', 'krvni_obtok', 'razuzdanec', 'krvna_linija', 'bordeaux_vino', 'razvratnež', 'cj', 'rakehell', 'getting_away_with_murder', 'krvi', 'blood', 'vs.', 'kri', 'genetske_dediščine', 'vino_bordeaux', 'bordeaux', 'bloodline', 'kisikom_krvi', 'človeške_krvi', 'collective_soul', 'krvni_linija', 'persistence_of_time', 'roue', 'rodbina'}
blow	{'pretres', 'plavati', 'šušmariti', 'nos_sladkarije', 'neuspeh', 'sunki', 'kaziti', 'sneg', 'poslabšanje', 'trošiti', 'krpati', 'koka', 'koks', 'pokvariti', 'skaziti', 'razeveteti_se', 'lebdeti', 'blow', 'razsipavati', 'zafračkati', 'pihati', 'zapraviti', 'izdati', 'širokoustiti', 'nazadovanje', 'trk', 'šok', 'razpočiti_se', 'sunek_vetra', 'udarec'}
body	{'politop', 'vrata', 'coachbuilder', 'suho', 'organske_strukture', 'mačka_obleko', 'unitard', 'sporočilo', 'unipolarni_tranzistor', 'teairra_marí', 'труп', 'stypsis', 'ogrodje', 'trupla', 'poosebiti', 'fet', 'život', 'vinska_cvetica', 'resonančni_trup', 'soundbox', 'zgradba_telesa', 'dreezy', 'trupel', 'sadje', 'geometrijsko_telo', 'telo_obleka', 'novica', 'torzo', 'tranzistor_na_poljski_pojav', 'catsuit', 'fizikalno_telo', 'konsistenca', 'politopov', 'prtljažnik', 'body', 'mrtvo_telo', 'trup', 'bodysuit', 'časopisna_zgodba', 'fizično_strukturo', 'telo_obleko', 'telesa', 'leotard', 'učinkom_polja_tranzistorji', 'pika', 'eubstance', 'richard_body', 'minerality', 'kadaver', 'mrtvak', 'fizično_telo', 'organ', 'sprejemnik', 'novico', 'polytope', 'subtilno_telo', 'mrlič', 'telo', 'organska_struktura', 'članek', 'truplo', 'mrtvec', 'učinkom_polja_tranzistor', 'pokazati_na', 'točkovni_velikosti', 'karoserije', 'časopisni_članek'}
bone	{'belkaste', 'kosti', 'kost_tkivo', 'bone', 'kost', 'slonovine', 'def_jam_recordings', 'bisernata_barva'}
brain	{'genij', 'možgani', 'razum', 'rázum', 'brainiac', 'mentalna_sposobnost', 'encephalon', 'intelektualnega_potenciala', 'človeškega_uma', 'duševno', 'delovanja_možganov', 'možganov', 'umska_sposobnost', 'duševne_vsebine', 'nous', 'banks', 'glavo', 'um', 'intelektualec', 'bryan_mantia', 'glava', 'brain', 'pamet', 'misel', 'intelekt', 'možgane', 'sposobnost_učenja', 'možganih_sesalcev'}
breast	{'titty', 'prsih', 'metatoraks', 'prsa', 'rak_dojke', 'materine_prsi', 'the_breast', 'dojke', 'prsi', 'protoraks', 'raka_dojk', 'rak_na_dojki', 'pectus', 'belo_meso', 'dojka', 'oprsje', 'toraks', 'rak_dojk', 'predprsje', 'nedra', 'prsni_koš', 'mezotoraks'}
breathe	{'time', 'funeral_for_yesterday', 'breathe', 'dark_side_of_the_moon', 'mirovati', 'the_dark_side_of_the_moon', 'oddajati', 'vdihniti', 'i-empire', 'vdahniti', 'dihati', 'biti', 'a_class', 'kristof_konrad', '11:59'}
broken	{'bloden', 'echo', "winterheart's_guild", 'broken', 'mclean', 'zlomljeno', 'ms._kelly', 'nizek', 'pomoten', 'netočen', 'nepravilen', 'plastic_beach', 'the_best_of_bruce_dickinson', 'pogrešen', '12_stones', 'zmoten', 'delta_machine', 'zlomljen', 'nevzdrževan'}
building	{'zgradba', 'gradbeništvo', 'konstrukcija', 'poslopje', 'gradnja', 'hiša', 'gradbišča', 'stavba', 'javna_zgradba', 'gradbene_dejavnosti'}
burn	{'zažgati', 'požar', 'sežigati', 'goreti', 'ogenj', 'tan', 'gorečih', 'streljati', 'gristi', 'zagorelost', 'burn', 'fc_dallas', 'ožganina', 'opekline_tretje_stopnje', 'sežgati', 'ruisseau', 'vodotok', 'gorijo_znamke', 'vodni_tok', 'potok', 'zgorevati', 'opeklina', 'eritem_solare', 'obcestni_potok', 'sončenje', 'plamen'}
business	{'stranke', 'strank', 'neodvisni_izvajalci', 'poslovna_organizacija', 'neprofitna', 'business', 'za_dobiček', 'prosto_delovno_mesto', 'posel', 'poklic', 'poslovni_sistem', 'linija_dela', 'poslovanje', 'samostojni_podjetnik', 'dejavnost', 'byplay', 'podjetja', 'poslovni_sektor', 'delo', 'za_podjetja,', 'klientela', 'služba', 'stvar', 'firma', 'gospodarstvo', 'podjetij', 'gospodarski_sektor', 'podjetje', 'faza_podjetja', 'poslovno_pot', 'zaposlitev', 'briga', 'prodajalec', 'epizoda', 'poslovni_subjekt', 'poslovanje_podjetja'}
camera	{'kamere', 'the_back_room', 'camera', 'film_kamere', 'televizijsko_kamero', 'kamero', 'motion-picture_kamere', 'tv_kamere', 'fotografske_kamere', 'fotográfski_aparát', 'fotoaparat', 'kamera', 'fotokamera', 'tv_kamero', 'televizijskih_kamer', 'cine-kamera'}
carefully	{'preglavica', 'težava', 'skrbno', 'briga', 'tegoba', 'skrb', 'skrbi'}
challenge	{'izziv-odziv', 'zanikati', 'ugovarjati', 'spodbijati', 'spodbiti', 'napadati', 'izziv'}
charity	{'polemonium_van-bruntiae', 'polemonium_caeruleum', 'charity', 'polymonium_caeruleum_van-bruntiae', 'javno_dobrodelnost', 'dobrodelne_organizacije', 'bratska_ljubezen', 'dobrodelna_ustanova', 'dobrodelna_organizacija'}
charming	{'čarovniški', 'čaroben', 'očarljiv'}
child	{'otrok', 'hčerkica', 'tiddler', 'dete', 'otroštvo', 'deček', 'mladoletnica', 'dojenček', 'hči', "l'enfant", 'pred_puhasti', 'mladenič', 'otroci', 'mladoletnik', 'mladoletnika', 'otroka', 'deklica', 'hčerka'}
clothes	{'ženskih_oblačil', 'člen_oblačil', 'nosljivi', 'obleke', 'oblačil', 'perílo', 'obleka', 'odevalo', 'habiliment', 'oblačilno_industrijo', 'oblačila', 'oblačilo', 'obleko'}
cloud	{'računalništvo_v_oblaku', 'cloud', 'roj', 'potemniti', 'mrgoli', 'infrastrukture_v_oblaku', 'javni_oblak', 'oblak_storitev', 'oblak', 'zbegati', 'pooblačiti', 'cloud_strife', 'zatemniti', 'slab_glas', 'infrastrukturo_kot_storitev', 'kiba', 'oblaku', 'zamegliti'}
cockroach	{'blattaria', 'blattodea', 'ščurek', 'žohar', 'cockroach', 'podred_blattodea', 'ščurki', 'podred_blattaria'}
code	{'zakonik', 'kodirani', 'računalniški_kod', 'kod', 'kodifikacija', 'šifrirati', 'kodeks', 'računalniška_koda', 'računalniške_kode', 'kodo', 'razporediti', 'kode', 'računalniško_kodo', 'koda'}
cold	{'nicole_scherzinger', 'hladno', 'mraz', 'john_gary', 'kopb', 'kronična_obstruktivna_bolezen_pljuč', 'hlad', 'mrzel', 'hladen', 'cold', 'nizke_temperature', 'nazofaringitis', 'hladnost', 'craig_david', 'prašen', 'prehlad', 'kronična_obstruktivna_pljučna_bolezen'}
collection	{'joe_sample', 'zbirko', 'zbiranje', 'združevanje', 'collection', 'hawkwind', 'žetev', 'umetniška_zbirka', 'kolekcija', 'vsebnik', 'akon', 'the_offspring_collection', 'združitev', 'zbirka', 'zbirkah_umetnosti', 'the_charlatans', 'umetniških_zbirk', 'paket', 'množica', 'montaža'}
come	{'z', 'spêrma', 'zgoditi', 'udariti', 'delati', 'izhajati', 'poleči_se', 'storiti', 'imeti', 'prišel', 'pojaviti', 'približati_se', 'znašati', 'cum', 'dogajati', 'ejakulacijo', 'prožiti_se', 'morati', 'postati', 'sperma', 'izboljšati_se', 'izvirati', 'nastati', 'pasti', 'prispeti', 'prihajati', 'iti', 'pripetiti_se', 'zgoditi_se', 'seme', 'séme', 'nadaljuje', 'spuščati_se', 'biti', 'zadeti', 'zadel', 'dobiti', 'semena', 'priti', 'slediti', 'ponižati_se', 'počutiti_se', 'dospeti', 'doseči', 'semenske_tekočine', 'semenska_tekočina', 'narediti', 'delati_se', 'ejakulirati', 'come', 'spadati', 'soditi', 'pridobiti'}
computer	{'obdelovalec_podatkov', 'kompjuter', 'računski_stroj', 'obdelavo_podatkov_sistem', 'računalniški_sistem', 'ocenjevalnik', 'računar', 'osebni_računalnik', 'kalkulator', 'namizni_računalnik', 'digitalnih_računalnikov', 'računalnik', 'figurer', 'računalniški', 'računalniško_generirane_glasbe', 'računalo', 'računalniške_naprave', 'prvo_računalo', 'elektronski_računalnik'}
construction	{'zgradba', 'gradbeništvo', 'model', 'konstrukcija', 'slovnične_gradbeništvo', 'gradnja', 'gradbišča', 'duševne_sintezo', 'interpretacija', 'izraz', 'gradbene_dejavnosti', 'runescape', 'sodno_razlago', 'gradbena_konstrukcija'}
cook	{'manipulirati', 'frederick_cook', 'kuhati_se', 'cvreti_se', 'kuhati', 'določiti', 'alec_empire', 'captain_cook', 'skuhati', 'biti', 'kuharski_mojster', 'kuharica', 'kuhamo', 'kuhar', 'james_cook', 'pripraviti', 'ustvariti', 'chef', 'pripravljati', 'dušiti_se', 'narediti', 'kapitan_james_cook', 'cook', 'sous-chef', 'ponarediti', 'kuhar_provizije', 'kratkoročno_da_kuhar', 'kuharji'}
correct	{'postaviti', 'kaznovati', 'pasti', 'tepsti', 'uravnati', 'naravnati', 'biti', 'nadomestiti', 'pravilna', 'prav', 'zrušiti_se', 'pravi', 'regulirati', 'popravi', 'namestiti', 'batinati', 'nastaviti', 'popraviti', 'prilagoditi', 'pravilen', 'padati', 'popravljati', 'prilagodijo'}
count	{'jarl', 'trojiški_številski_sistem', 'popisnih', 'earl', 'preučiti', 'comital', 'seštevek', 'sedmiški_številski_sistem', 'biti_tehten', 'biti_težak', 'imeti', 'countship', 'število', 'šteti', 'računati', 'teči', 'strukturiran_povpraševalni_jezik_za_delo_s_podatkovnimi_bazami', 'sql', 'comtesse', 'petnajstiški_številski_sistem', 'številski_sestav', 'štirinajstiški_številski_sistem', 'trinajstiški_številski_sistem', 'seznam', 'važno', 'enajstiški_številski_sistem', 'štetje', 'earls', 'ocenjevati', 'izbrati', 'rezultat', 'petiški_številski_sistem', 'upoštevati', 'čuditi_se', 'pomeniti', 'grof', 'številski_sistem', 'stehtati', 'zanašati_se', 'biti', 'medgnojiti_se', 'šestiški_številski_sistem', 'earldom', 'biti_važen', 'obravnavati', 'računam', 'veljati', 'oceniti', 'grofje', 'naštevati', 'prešteti', 'izračunati', 'gledati', 'računati_na', 'devetiški_številski_sistem', 'imeti_težo', 'štiriški_številski_sistem', 'biti_odvisen', 'biti_pomemben', 'biti_mnenja'}
counting	{'petiški_številski_sistem', 'trojiški_številski_sistem', 'popisnih', 'številski_sistem', 'seštevek', 'sedmiški_številski_sistem', 'šestiški_številski_sistem', 'računam', 'devetiški_številski_sistem', 'petnajstiški_številski_sistem', 'številski_sestav', 'štirinajstiški_številski_sistem', 'trinajstiški_številski_sistem', 'seznam', 'štetje', 'enajstiški_številski_sistem', 'štiriški_številski_sistem', 'rezultat'}
crazy	{'crazy', 'loca', 'the_r.e.d._album', 'ekstravaganten', 'norec', 'noro', 'nor', 'prismuknjen', 'playing_with_fire', '...famous_last_words...', 'blaznost', 'blazen', 'divji', 'umobolen', 'you_drive_me_crazy', 'looney', '(you_drive_me)_crazy', 'besen', 'usher', 'čudaški', 'erika_jayne', 'nepriseben', 'norost', 'c.r.a.z.y.', 'neprištevnost', 'because_of_you', 'bebav'}
cut	{'odklopiti', 'cut', 'cenzura', 'raztrganine', 'okrajšati', 'prvinski_rez', 'kastrirati', 'filmsko_montažo', 'zmanjšali', 'delež', 'ranitev', 'ureznina', 'ran', 'hladno_ramo', 'imeti', 'zadajanje_ran', 'cenzure_tiska', 'sekati', 'rezati', 'skopiti', 'odprto-cut', 'okrašen', 'črtanje', 'kos_mesa', 'znižati', 'ugasniti', 'rezanje', 'rez', 'baseball_gugalnica', 'filmski_urednik', 'filmski_montažer', 'obrniti', 'izdati', 'reducirati', 'skrčiti', 'posnetek', 'zmanjšati', 'cenzorji', 'cenzura_tiska', 'montažer', 'oslabiti', 'kanal', 'rane', 'izrezati', 'rana', 'razredčiti', 'filmski_in_televizijski_montažer', 'odprto_rano', 'prikrajšati', 'skrajšati', 'stopnja', 'obračati_se', 'omejiti', 'izklopiti', 'izključiti', 'razrez_mesa', 'krajšati', 'pristriči', 'biti_neodločen', 'cenzurirani'}
damage	{'pasti', 'izmaličiti', 'kaziti', 'pravna_škode', 'damage', 'izroditi', 'oprema_za_nezgode', 'cena', 'popačiti', 'degenerirati', 'škoda', 'kvariti', 'skaziti', 'izprevreči_se', 'maličiti', 'pačiti', 'izguba_opreme', 'poškodovanje', 'zmaličiti', 'scathe', 'poškodovati', 'cene'}
dance	{'ples', 'plesov', 'nathaniel_dance-holland', 'dance', 'plesanje', 'waterloo', 'post-disco', 'plesalec', 'plesalci', 'oliver_heldens', 'george_dance_the_younger', 'plesati', 'plesalka'}
dangerous	{'kritičen', 'pustolovski', 'dangerous', "it's_hard", 'tvegan', 'riskanten', 'vratolomen', 'aleatoričen', 'nezanesljiv', 'nevaren', 'divji', 'hazarden', 'resen'}
day	{'dni', 'podnevi', 'dolžina_dneva', 'naravni_dan', '24-urni_interval', 'sončev_dan', 'clarence_dan', 'siderski_dan', 'srednji_sončev_dan', 'clarence_shepard_mlajši_dan', 'navideznim_sončne_ure', 'čas', 'sončev_čas', 'day', 'pomeni_sončev_dan', 'solarni_dan', 'sončne_ure', '24-urno_obdobje,', 'zvezdni_dan', 'dan', 'clarence_day', 'koledarski_dan', '24_ur', 'dán'}
deceive	{'zapeljati', 'zaslepiti', 'knavery', 'podlost', 'premotiti', 'prevara', 'farbati', 'falotarija', 'ciganiti', 'prevarati', 'slepiti', 'lopovstvo', 'zavajati', 'slepariti', 'napeljati', 'ogoljufati', 'goljufičiti', 'varati', 'goljufati', 'plahtati', 'pretentati', 'opehariti', 'nepoštenost', 'zvitorepiti', 'pehariti', 'lopovščina'}
dedication	{'dedication', 'zvestoba', 'predanost', 'zaveza', 'vdanost', 'posvetilo'}
deliberately	{'namenoma', 'zanalašč', 'namerno', 'nalašč', 'hote'}
delivery	{'šalo', 'pogodbeni_prenos', 'dobava', 'ponudba', 'reševanje', 'potniški_promet', 'transport', 'porod', 'govor', 'dostava', 'prevoz', 'prometne_infrastrukture', 'otuđiv', 'vložitev', 'šala', 'rojevanje', 'pravna_nalogi', 'ob_rojstvu', 'odtujitev', 'način_govorjenja', 'vaginalni_porod', 'delivery', 'šale', 'odtujitve', 'rodni', 'šali', 'dostava_fant', 'šaljiv', 'jape', 'rojstvo', 'pošiljka_', 'prevozno_sredstvo', 'accouchement', 'burka', 'dovtip', 'deliverance'}
dessert	{'desert', 'sladica', 'afters', 'desertno_vino', 'sladice', 'poobedek', 'posladek'}
device	{'stroj', 'naprava', 'priprava', 'mobitel', 'nicolai_reedtz', 'device', 'strojna_oprema', 'računalniške_strojne_opreme', 'domislica', 'računalniška_strojna_oprema', 'prijem', 'hardware', 'zgradba_računalnika', 'izrazno_sredstvo', 'mobile', 'strojna_oprema_računalnika', 'config.sys', 'mobilnih_celičnih', 'hardver', 'osebne_računalniške_strojne_opreme', 'mobilnih_telefonov', 'mobilni_telefon', 'gsm_telefon', 'mobilnih_komunikacijskih', 'mobilna_celična', 'mobilne_komunikacije', 'prenosni_telefon'}
die	{'hoditi', 'ločiti_se', 'smrti', 'poslabšati_se', 'die', 'kocke', 'končati_se', 'poteči', 'spodleteti', 'slabeti', 'miniti', 'pocrkati', 'veneti', 'poginiti', 'prenasititi_se', 'uničiti', 'crkniti', 'pogibati', 'razpočiti_se', 'smrt', '!?izdahniti', 'smrtni', 'iti', 'izdihniti', 'zlomiti', 'oditi', 'ponesrečiti_se', 'igralna_kocka', 'giniti', 'umirati', 'biti', 'odpovedati', 'slabšati_se', 'umreti', 'hrepeneti', 'iti_k_vragu', 'zagnusti_se', 'prepustnica', 'pokvariti', '!?izdihniti', 'prezgodnje_smrti', 'preminutje', '!?preminiti', 'poliedri_kocke', 'pokvariti_se', 'ginevati', 'umrl', 'kocka', 'preminiti'}
