ability	{'כֹּשֶׁר', 'היכולת', 'יכולת\u200e', 'כּוֹחַ', 'כשרון', 'יְכֹלֶת'}
at	{'@', 'כונן_אוטומטי', 'שידורים_אוטומטיים', 'הרפובליקה_האוסטרית_השנייה', 'אוסטרית', 'אוֹסְטְרִיָּה\u200e', 'toyota_coaster', 'בשלט', 'אסטטין', 'ערים_באוסטריה', 'שטרודל', 'אוסטרים', 'אוסטרי', 'רפובליקה_של_אוסטריה', 'איסלאם_באוסטריה', 'אסטטין\u200e', 'כרוכית', "שביל_האפלצ'ים", 'בדמון', 'מספר_אטומי_85', 'אוסטריה', 'oesterreich', 'at', 'תיבת_הילוכים_אוטומטית', 'config.sys'}
attitude	{'הגישה', '!נִהוּל', 'זווית_אוילר', 'יחס_נפשי', 'נטייה\u200e', 'התנהגות\u200e', '!נְטִיָּה', 'כיוון_הדפסה', 'נטייה', 'יציבה\u200e', 'מגמה', 'זווית_אויילר', 'התנהגות', 'attitude', 'reload', 'מעללים', 'התנהגות_חברתית', 'עמדה', 'תְּנוּחָה\u200e', 'זוויות_אוילר', 'נטיה\u200e', 'התנהגות_פסולה', 'גישה', 'תנוחה', 'יציבה', 'סבסוב', 'תְּנוּחָה', 'עלרוד', 'גלגול', 'כיוון', 'וmalpresentation'}
back	{'עמוד_שדרה', 'עמוד_שדרה_חזי', 'מגן\u200e', 'יָד', 'b.a.c.k.', 'כריכה\u200e', 'מִשְׁעֶנֶת', 'flyhalf', 'פאק', 'השדרה', 'עמוד_שדרה_מותני', '!בַּלָּם', 'עמוד_שדרה_צווארי', 'עַמּוּד_שִׁדְרָה\u200e', 'גב', 'גַּב', 'האחורי', 'rachis', 'כריכת_ספרים', 'עמוד_השדרה', 'עמוד_השידרה', 'החוליות', 'גב\u200e', '백', 'משענת_גב', 'back'}
bad	{'bad', 'רע', 'רוע\u200e', "רויס_דה_''9'5", 'רויס_דה_5\'9"', 'רָע', 'royce_da_5\'9"', 'רויס_דה_"9\'5', 'רַע', 'ראיין_מונטגמרי', 'bad_world_tour', 'אמרגן_המוות_bcl-2-משויך', 'רוע', 'big_audio_dynamite'}
bag	{'כוס_התה', 'מזוודה_\\_מִזְוָדָה\u200e', 'אַמְתַּחַת', 'multisets', 'חוק_השקיות', 'מזוודה\u200e', 'עטין', 'העטין', 'גנב\u200e', 'שקית_מלאה', 'גנב', 'שקיות_קניות_מפלסטיק', 'שקית_קניות_מפלסטיק', 'מזוודה', 'שקית_ניילון_לקניות', 'שקית', 'שקית_קניות', 'תיק', 'תיק_נסיעות', 'שקית_קניות_ניילון', 'תיק_ישן', 'שַׂק', 'multiset', 'סל_קניות', 'ילקוט', 'שקית_נייר', 'תיק_יד', 'תִּיק\u200e'}
ball	{'כדור_רגל', 'לוסי_בול', 'אזור_שביתה', 'מעטפת_כדור', 'כדורי_טניס', 'קליע', 'כדור_טניס', 'teste', 'גוש', 'lucille_ball', 'הכדור', 'אש_חיה', 'כדור_n-ממדי', 'כרית_כף_הרגל', 'הכדור_הפתוח', 'globose', '2-הכדור', 'ביצית', 'חצי_כדור', 'ballock', 'לוסיל_בול', 'כַּדּוּר\u200e', 'ball', 'אשך', 'כדור', 'כדור_כדורגל', 'כדור_משחק', '!כַּדּוּרֶגֶל', 'כדורגל', 'נֶשֶׁף\u200e', 'נשף', 'כַּדּוּר', 'סְפֶרָה\u200e', 'מאושכן', 'כדור_התעמלות_אמנותית', 'ביצים\u200e', 'כדור_של_חייל', 'john_ball', 'אשכים', 'ספירה', 'נפח_כדור', 'הכדור_הסגור'}
bar	{'פס', 'mbar', 'מקצוע_משפטי', 'taphouse', 'פונדק_כפרי', 'בָּאר_\\_בָּר\u200e', 'בָּר', 'patronym', 'מסבאה', 'באר', 'מיליבאר', 'פאבים', 'שם_שני_של', 'מניעה', 'טברנה', 'פטרונים', 'מקצוע_עריכת_דין', 'רז_הבית', 'פאב', 'בר', 'בראונינג_האוטומטי_רובה', 'foobar', 'מלונאות', 'תיבה_מוזיקלית', 'ginmill', 'קהילה_משפטית', 'קילובר', 'סורג\u200e', '!מְנִיעָה', 'בווארית', 'שרטונות', 'הקולטן_ביתא-2', 'שרטון', 'שם_השני_של', 'pothouse', 'מקצוע_עריכת_הדין', 'מיליבר', 'הקולטן_ביתא-2_adrenergic', 'לא_הכליל\u200e', 'אוכל_פאב', 'אנטיווארי', 'בנק_חול', 'foo', 'patronymics', 'כסימן_פאב', 'foo_bar', 'מְנִיעָה', 'תיבה', 'בתים_ציבוריים', 'bar', 'בית_מרזח', 'barline', 'patrynomic', 'בָּר\u200e', 'מנפטה', 'advocatus', 'בית_משתה'}
bark	{'bark', 'נביחה', 'נבח\u200e', 'איליושין_il-2', 'periderm', 'שטורמוביק', 'הב_הב', 'איל_2_שטורמוביק', 'האו_האו', 'שִׁעוּל_/_שיעול\u200e', 'קליפת_עץ', 'סירה'}
bear	{'טופולב_95', 'mike_brown', 'טופולב_tu-95', '!דֹּב', 'דֹּב', 'ursidae', 'bear', 'webelos', 'tu-95', 'הוליד', 'קיבל\u200e', 'לשאת', 'שילם_\\_שִׁלֵּם', 'הכיל\u200e', 'דובים', 'דוביים', 'דּוֹב\u200e', 'דב', 'סָבַל\u200e', 'ursus', 'דֹּב\u200e', 'לסבול', 'לקחת', 'דוב', 'דלאוור'}
beat	{'קצב_מוסיקלי', 'יטניק', '!רֶגֶל', 'משקל', 'siteswap', 'רגל', 'ריתמוס', '!גָּבַר', 'הביס\u200e', 'פעמה', 'משקל_יאמבי', 'beat', 'קצב', 'ביטניק', 'יחידה_קצבית', 'פעימה', 'beatnik', 'סייטסוואפ', 'פנטמטר_יאמבי', 'בפסוק_כמותית', 'פנטמטר_ימבי'}
because	{'because', 'בגלל\u200e', 'בִּגְלַל_שֶׁ־', 'כִּי'}
bed	{'ידע\u200e', 'קרקעית\u200e', 'דָּפַק\u200e', 'שָׁכַב-עִם', 'הִזְדַּיֵּן', 'מיטה', 'הפרעת_אכילת_יתר', 'שיכוב_צולב', 'אפיק', 'ערוגה', 'תפר', 'אפיק_הנחל', 'bed', 'עָשָׂה-אַהֲבָה', 'שיכוב', 'יָדַע', 'זיין_\\_זִיֵּן\u200e', 'הפרעת_בולמוסי_אכילה', 'שיכוב_מדורג', '!שִׁכְבָה'}
beer	{'אייל', 'בִּירָה', 'בירה_מהחבית', 'בירה', 'ale', 'beer', 'בִּירָה'}
belly	{'הבטן', 'בֶּטֶן\u200e', 'הבטן_האנושית', 'בטן', 'כֶּרֶס', 'בֶּטֶן', 'גָּחוֹן', 'כרס', 'belly', 'בֶּטֶן'}
big	{'stypsis', 'מינרליות', 'גדול', 'big', 'חָשׁוּב', 'גוף', 'bjarke_ingels_group', 'norm_nixon', 'רְחַב-לֵב', 'יבש', 'ביג', 'פרות', 'גָּדוֹל'}
bird	{'קריאת_בוז', 'ציפורים', 'bird', 'צפור', 'עופות', 'aves', 'mikuni_shimokawa', 'את_האצבע', 'avafauna', 'ציפור_פרקר', 'אצבע_משולשת', 'ציפור', 'פרגית', "צ'רלי_פארקר", 'charlie_parker', 'ראז', "צ'ארלס_כריסטופר_פרקר", 'מתעלל', 'ציפורי_מחמד_ועופות_במשק_הבית', 'בחורה', 'avifauna', 'האצבע', 'עופות_מחמד', "צ'ארלי_פארקר", 'yardbird_פרקר', 'שמחת_ברונקס', "צ'רלי_פרקר", "צ'ארלי_פרקר", 'shuttlecock', 'תנועה_מזרחית_מגונה'}
bite	{'נשיכה', 'חטיף', 'עֲקִיצָה\u200e', 'פיקנטי', 'chomp', 'בִּיס', 'נגס', 'steven_hassan', 'נִשְׁנוּשׁ', 'נגס\u200e', 'חריף', '!נְגִיסָה', 'חריפות', 'עקיצת_חרק', 'עקיצות', 'אֲרוּחָה-קַלָּה', 'נגיסה', 'פיקנטיות', 'נְגִיסָה'}
black	{'magic:_the_gathering', 'אישה_שחורה', 'שחור_\\_שָׁחֹר\u200e_שחורה_\\_שְׁחֹרָה\u200e', 'הוסר', 'צבע', 'black', 'final_fight_3', 'כושי', 'טאיו_קרוז', 'כּוּשִׁי', 'כּוּשִׁי\u200e', 'לטינו', 'חושך_מוחלט', 'היספני', 'שחרחר', 'שָׁחֹר', 'מגזעים_אחרים', 'יוסף_השחור', 'שחורים', 'אנשים_שחורים', 'אָפֵל', 'kari_kimmel', 'taio_cruz', 'אדם_שחור', 'אפריקה_השחורה', 'נשים_שחורות', 'אסייתיים', 'שחור', 'joseph_black', 'planeswalker', 'האדם_השחור', 'צבעים', 'עלטה_גמורה', 'blackamoor', 'שרלי_טמפל', 'קולין_ורנקומב', 'final_fight', 'שחום_עור', 'שירלי_טמפל_השחור', 'ממוצא_אפריקני', 'לבנים', 'negroids', 'mtg', 'shirley_temple', 'תורת_הצבע', 'כושים', 'צֶבַע\u200e', 'inkiness', 'מחפיר\u200e', 'שחור_ולבן_בשחמט', 'שירלי_טמפל'}
blood	{'רקמת_דם', 'תורשה_גנטית', 'הולל', 'יצירת_תאי_דם', 'the_black_parade', 'collective_soul', 'getting_away_with_murder', 'יין_בורדו', 'נואף', 'בורדו', 'קו_דם', 'דם_מחומצן', 'המטולוגיות', 'דָּם', 'תורשה', 'persistence_of_time', 'blood', 'דם', 'vs.'}
blow	{'blow', 'משב', 'הִשְׁתַּחְצֵן', 'ממתקי_אף', 'הִתְרַבְרֵב', 'הִשְׁוִיץ', 'נסיגה', 'שאיפות', 'ניפח'}
body	{'מינרליות', 'eubstance', 'גווייה', 'יחידה_טיפוגרפית', 'גְּוִיָּה_/_גוויה\u200e', 'פגר', 'יבש', 'גו', 'polytope', 'מחליפות_שחייה', 'חליפת_חתול', 'טרנזיסטורים_אפקט_שדה', 'גוף\u200e', 'מאמר_בעיתון', 'שער', 'גוויה', 'מבנה_פיזי', 'גּוּפָה\u200e', 'גּוּף', 'מאמר_חדש', 'body', 'גוּף\u200e', 'מבנה_אורגני', 'גופות', 'גֵו\u200e', 'טורסו\u200e', 'נקודה', 'גוף', 'כתבת_חדשות', 'coachbuilder', 'בגד_גוף', 'גוף_ההודעה', 'מאמר', 'בגוף', 'פרות', 'טרנזיסטור_אפקט_שדה', 'תיבת_תהודה', 'fet', 'polytopes', 'stypsis', 'גוויה\u200e', 'גוף_אוטומטי', 'פלג_גוף_עליון', 'חליפת_גוף', 'סיפור_חדשות', 'פֶּגֶר\u200e', 'עצם\u200e', '!גּוּפָה', 'סיפור_חדשותיי', 'בגודל_נקודה_יותר', 'טורסו', 'גופה\u200e', 'גופה', 'teairra_mari', 'גוּף', 'נְבֵלָה\u200e'}
bone	{"דאף_ג'אם", 'עצמות', 'def_jam_records', 'עֶצֶם', 'def_jam_recordings', 'def_jam', "דף_ג'אם", 'bone', 'בלבן', 'עצם_שטוחה', 'גֶּרֶם', 'רקמה_גרמית', 'עצם_ססמואידית', 'אוף_וויט', 'העצמות_הארוכות', 'בון', 'גרמית', "איילנד_דאף_ג'אם_מיוזיק_גרופ", '!עֶצֶם', 'עצם_לא_רגולרית', 'עצמות_קטנות', 'עצם'}
brain	{'רוח', 'חושחש_הבלש', 'brain', 'נואטי', "המפקח_גאדג'ט", 'המוח_האנושי', 'נפש', 'רוּחַ\u200e', 'מוח', 'חוש-חש_הבלש', 'גאונים', 'bryan_mantia', 'כוח_המוח', 'המוח', 'חוש_חש_הבלש', 'שׂכל\u200e', 'מוח\u200e', 'nous', 'banks', 'גאונות', 'יכולת_למידה', 'גזע_המוח', 'מח', 'גאון', 'המיספרה', 'תוכן_נפשי', 'ראשו', 'נואוס', 'יכולת_נפשית'}
breast	{'ציצים', 'the_breast', 'דַּד', 'חזה', 'בֵּית-הֶחָזֶה', 'חָזֶה', 'ציצי', 'pectus', 'שד', 'סרטן_שד', 'שדיים', 'צִיצִי', 'בית_החזה', 'בית_חזה', 'פסל_ראש', 'פרוטומה', 'בשר_לבן', 'סרטן_השד', 'דדים', 'שָׁד', 'חלל_בית_החזה'}
breathe	{'a_class', 'dark_side_of_the_moon', 'time', 'dark_side', 'the_great_gig_in_the_sky', 'דבר_אליי', 'breathe', 'טיים', 'any_color_you_like', 'the_dark_side_of_the_moon', 'any_colour_you_like', 'kristof_konrad', 'brain_damage', 'on_the_run', 'לנשום', 'נשם\u200e', 'speak_to_me', 'us_and_them', 'breath', 'i-empire', 'funeral_for_yesterday'}
broken	{'plastic_beach', "winterheart's_guild", 'echo', 'delta_machine', 'פגום\u200e', 'שבור', 'broken', '12_stones', 'ms._kelly', 'the_best_of_bruce_dickinson'}
building	{'ענף_הבנייה', 'בניין\u200e', 'בינוי', 'בִּנְיָן', 'בנייה\u200e', 'בנייה', 'חומרי_בנייה', 'בִּנְיָן', 'ואתרי_בנייה', 'בניה', 'חומרי_בניין', 'בְּנִיָּה', 'בניין', 'בניין_\\_בִּנְיָן\u200e', 'מבנה'}
burn	{'fc_dallas', 'ruisseau', 'hysteria', 'נחל', 'תואר_שלישי_לשרוף', 'נחל_אכזב', 'שרף', 'השתזפות', 'נחל_איתן', 'כווית_שמש', 'לוהט', 'מועדון_כדורגל_דאלאס', 'כוויות_שמש_והגנה_מפני_השמש', 'יובל', 'שריפות', 'מדורה', 'כוויות_שמש', 'אֵשׁ', 'זרם_לסירוגין', 'מועדון_הכדורגל_דאלאס', 'אריתמה_solare', 'burn', 'דאלאס', 'כוויה', 'כווייה', 'לשרוף_את_החותם', 'אש', 'אֵשׁ\u200e', 'המילטון', 'שִׁזּוּף', 'לֶהָבָה\u200e', 'שיזוף', 'שִׁזָּפוֹן', 'להבה', 'צריבה', 'כוויית_שמש', 'נשרף', '!שָׂרַף'}
business	{'תעסוקה', 'קבלן_משנה', 'מערכת_עסקית', 'עסקים', 'business', 'עסקי_ארגוני', 'ארגון_עסקי', 'משרה', 'חוג_לקוחות', 'byplay', 'קבלן_עצמאי', 'עצמאי', 'קבלן', 'משרה_מלאה', 'חברה', 'תַּעֲסוּקָה', 'משימה', 'קְלִיֶנְטוּרָה', 'עסקי_במה', 'מסלול_עסקי', 'בכיבוש', 'עֵסֶק', 'קבלנות', 'עיסוק', 'העסק', 'קו_העבודה', 'עסק', 'מגזר_עסקי', 'גורם_עסקי', 'קבלנים_עצמאיים', 'למטרות_רווח', 'קו_פעולה_עסקי', 'בית_עסק', 'עֲבוֹדָה', 'פירמה'}
camera	{'מצלמות', 'מצלמת_8_מ"מ', 'מצלמת_וידיאו', 'מצלמת_וידאו', 'מצלמת_סופר_8', 'מצלמת_טלביזיה', 'committee_for_accuracy_in_middle_east_reporting_in_america', 'מסרטה', 'camera', 'מצלמת_35_מ"מ', 'cine-מצלמה', 'מצלמת_צילום', 'מצלמת_וידאו_מקצועית', 'מצלמה', 'the_back_room', 'סופר-8', 'מצלמת_16_מ"מ', 'מצלמת_קולנוע', 'מצלמת_תנועה_בתמונה'}
carefully	{'דאגה', 'בזהירות', 'דְּאָגָה'}
challenge	{'פרוטוקול_אתגר-מענה', 'פרוטוקול_אתגר_מענה', 'לאתגר'}
charity	{'צדקה_רשומה', 'אהבת_אחים', 'צדקה_ציבורית', 'צדקה', 'caeruleum_polemonium', 'polemonium_caeruleum', 'מעמד_צדקה', 'ארגון_צדקה_ללא_מטרות_רווח', 'ארגון_צדקה', 'עמותה', 'polymonium_caeruleum_אן-bruntiae', 'polemonium_אן-bruntiae'}
charming	set()
child	{'בגיר', 'בֵּן', 'ילד', 'בַּת', 'יַלְדָּה', 'בנות', 'ילדים', 'קטינות', "l'enfant", 'בַּת', "צ'יילד", 'תינוק\u200e', 'דגיג', 'קטין', 'לנוער', 'לפני_הבשלה_מינית', 'ילדה', 'גיל_הילדות', 'בת', 'צעיר', 'יֶלֶד', 'תִּינוֹק', 'ילדות', 'תינוקת\u200e', 'הילד', 'ברתא'}
clothes	{'לבוש', 'מאמר_של_בגדים', 'בְּגָדִים\u200e', 'בִּגּוּד', 'בגדי_נשים', 'ביגוד\u200e', 'מד\u200e', 'לבוש\u200e', 'בגד', 'לביש', 'הלבשה', 'מד', 'בגדים', 'habiliment', 'ביגוד', 'בגד\u200e'}
cloud	{'מחשוב_ענני', 'תשתית_ענן', 'נחיל', 'שירותי_ענן', 'ענן_ציבורי', 'kiba', 'מחשוב_עננים', 'ענן', 'cloud_computing', 'חישוב_ענני', 'ענן_מחשוב', 'תשתיות_כשירות', 'מחשוב_ענן', 'עננות', 'עָנָן\u200e', 'ענן_אירוח', 'ענן_המחשוב', 'מבוסס_ענן', 'עב', 'cloud_strife', 'עננים', 'מחשוב_בענן', 'מבוססת_ענן', 'cloud'}
cockroach	{'cockroach', 'suborder_blattodea', 'תיקנאים', 'מַקָּק', 'תִּיקָן', 'suborder_blattaria', 'blattodea', 'blattaria', 'מקק', 'תיקן', "ג'וּק"}
code	{'תִּכְנֵת', 'תזמון', 'קודים', 'קוֹדֵקְס', 'קוד_חוקי', 'קודקס_חוקי', 'וקוד', 'קוד', 'קוד_מחשב', 'הצפין\u200e', 'תיכנת', 'הקודיפיקציה', 'הקוד', 'צֹפֶן', 'קודיפיקציה', 'קוֹד'}
cold	{'ניקול_קאה', 'קור', 'התקררות', 'קר', 'cold', 'craig_david', 'קַר', 'קור\u200e', 'nicole_scherzinger', 'טמפרטורה_נמוכה', 'קֹר\u200e', 'nasopharyngitis', 'copd', 'צוֹנֵן\u200e', 'מחלת_ריאות_חסימתית_כרונית', 'ניקול_שרזינגר', 'הצטננות', 'קרייג_דייוויד', 'קַר\u200e'}
collection	{'collection', '!גְּבִיָּה', 'אסיף', 'גורם_מכיל', 'joe_sample', 'מצבור', 'אקון', 'akon', 'סדרת_ספרים', 'the_offspring_collection', 'חבילה', 'hawkwind', 'אייקון', 'אוסף\u200e', 'אגירה', 'אוסף_אמנות', 'באוספי_אמנות', 'הרכבה', 'גביית_חובות', 'הוקווינד', 'אִסּוּף', 'the_charlatans', 'צבירה', 'אוסף', 'bundling_המוצר', 'קבוצה\u200e'}
come	{'שפיך', 'זירמה', 'נוזל_הזרע', 'לעשות', 'תבואו', '!הוֹפִיעַ', 'הצטיינות', 'come', 'להתפרץ', 'נוזל_זרע', 'זֶרַע\u200e', 'זרע', 'הִסְתַּדֵּר', 'להגיע', 'שכבת_זרע', 'זִרְמָה\u200e', 'הִגִּיעַ\u200e'}
computer	{'מחשב_דיגיטלי', 'מחשב_אלקטרוני', 'מבנה_המחשב', 'קלט/פלט', 'מערכת_עיבוד_מידע', 'מחשב_אנושי', 'חשבונאית\u200e', 'מערכת_מחשב', 'מכונת_חישוב', 'מוסיקת_מחשב', '!מַחְשֵׁב', 'מערכות_מחשב', 'נתוני_מעבד', 'המחשב_האלקטרוני', 'מחשבון', 'מחשב_ספרתי', 'figurer', 'המחשב', 'חשבונאי\u200e', 'מַחְשֵׁב', 'מחשב', 'מחשבים', 'התקן_מחשוב', 'מחשבים_דיגיטליים', 'מחשוב_דיגיטלי', 'מוסיקת_מחשב_שנוצר', 'מחשבים_וטכנולוגיה', 'שמאי'}
construction	{'פרשנות_חוקתית', 'סינתזה_נפשית', 'ענף_הבנייה', 'בינוי', 'פרשנות', 'בנייה_דקדוקית', 'רונסקייפ', 'בנייה', 'runescape', 'בִּנְיָן', 'מִבְנֶה', 'פרשנות_משפטית', 'בְּנִיָּה', 'מודל', 'ואתרי_בנייה', 'בניה', 'בניין\u200e', 'פרשנות_תכליתית', 'חומרי_בנייה', 'פרשנות_דווקנית', 'ביטוי', 'runescape_2', 'חומרי_בניין', 'בנייה\u200e', 'מבנה'}
cook	{'טבחית\u200e', "ג'יימס_קוק", 'cook', 'סו-שף', 'הכין', "ג'ימס_קוק", 'קפטן_קוק', "הקפטן_ג'יימס_קוק", 'שפים', 'frédérick_cook', 'פרדריק_קוק', 'סו_שף', 'קוק', 'שף', 'טבח_קצר_סדר', 'טבח_של_הזמנות', 'לבשל', 'טַבָּח\u200e', 'בישל_\\_בִּשֵּׁל', 'טבח', 'שף\u200e', 'james_cook'}
correct	{'!נָכוֹן', 'להתאים', 'התאים', 'לתקן', 'נָכוֹן', 'נכון', 'נכונה'}
count	{'הִתְחַשֵּׁב', 'הרוזן_ממונטה_קריסטו', 'משנה', 'מרסדס', 'גראף', 'הרוזן_ממונטה_כריסטו', 'סָפַר', 'comital', 'sql', 'אדמונד_דנטס', 'לשקול', 'jarl', '!סְעִיף', 'רְשִׁימָה\u200e', 'מָנָה\u200e', 'לספור', 'רשימה', 'בסיס_ספטנרי', 'מָנָה', 'ספירה_מלאה', 'שיטות_ספירה', 'גרף', 'רוזנות', 'שיטות_מנייה', 'סְפִירָה', 'שפת_שאילתות_מובנית', 'מספור', 'רוזן', 'qbe', 'רוזנת', 'שיטת_ספירה', 'רוֹזֵן', 'מערכת_מספרים', '!סְפִירָה', 'ספירה', 'ספר\u200e'}
counting	{'רשימה', 'בסיס_ספטנרי', 'שיטות_ספירה', 'שיטות_מנייה', 'סְפִירָה', 'מספור', 'שיטת_ספירה', 'מערכת_מספרים', 'ספירה', 'רְשִׁימָה\u200e', 'מנייה'}
crazy	{'loca', '(you_drive_me)_crazy', 'אי-שפיות', 'meshuggah', 'משוגע', 'פסיכי', '!מְטֹרָף', 'because_of_you', 'לון', 'שיגעון', 'crazy', '...famous_last_words...', 'קרייזי', 'erika_jayne', 'playing_with_fire', 'שגעון', 'אי_שפיות', 'c.r.a.z.y.', 'טירוף', 'the_r.e.d._album', 'usher'}
cut	{'!נֶתַח', 'לסרס', 'להפוך', 'חיתוך', 'גִּזְרָה', "מונטאז'_אסוציאטיבי", 'צינזור', "מונטאז'_סיפורי", 'עריכת_סרטים', "מונטאז'_ויזואלי", 'לקצץ', 'צנזורה', 'צֶנְזוּרָה\u200e', 'חתך\u200e', 'קאט', 'קיצוץ', 'צנזור', "מונטאז'", 'פציעה', 'סרט_עריכה', 'פצעים', 'פנייה', 'עריכה', 'עריכה_קולנועית', "מונטאז'_סובייטי", 'צֶנְזוּרָה', 'פְּצִיעָה', 'כתף_קרתה', 'נדנדת_בייסבול', 'צנזורה_מוסרית', 'מרכז_unica_דוס_trabalhadores', 'פצע_פתוח', 'עקרון_שלושים_המעלות', 'נתח_הבשר_משובח', 'הָפַך\u200e', 'חתוכות', 'מסלול', 'עורך_קולנוע', 'חתך', 'עורך', 'כבה', 'cut', "מונטאז'_אינטלקטואלי", 'לחתוך', 'חתיכה', 'לגזור', 'צנזורה_על_העיתונות'}
damage	{'הדרדר', 'קִמְעוֹנָאִי', 'damage', 'מחיר\u200e', 'המחיר_הקמעונאי', 'קִמְעוֹנָאִית', 'נזק\u200e', 'מחיר_מציאה', 'ניזק', 'המחיר', 'ציוד_הרוג', 'מחירים', 'scathe', 'פציעה_משפטית', 'מחיר', 'מְחִיר'}
dance	{'ריקוד', 'מוזיקת_דאנס', 'פוסט-דיסקו', 'דאנס', 'הריקוד', 'מסיבת_ריקודים', 'dance', 'פוסט_דיסקו', 'לרקוד', 'ריקודים', 'waterloo', 'oliver_heldens', 'רָקַד', 'מוסיקת_דאנס', 'post-disco'}
dangerous	{'מסוכנת\u200e', 'רציני', 'חָמוּר', '!מְסֻכָּן', 'dangerous', 'רְצִינִי', 'מסוכן', "it's_hard", 'מסוכן\u200e', 'מְסֻכָּן'}
day	{'באורך_היום', 'ימים', 'תקופת_העשרים_וארבע_שעות', 'יְמָמָה\u200e', "קלרנס_שפרד_יום_ג'וניור", 'קלרנס_היום', 'day', 'יום_שמש', 'עשרים_וארבע_שעות', 'clarence_day', 'יוֹם', 'שעות_היום', 'יום_sidereal', 'מרווח_של_24_שעות', 'אורך_היום', 'מתכוון_יום_שמש', 'יוֹם\u200e', 'מעת_לעת', 'יום\u200e', 'יום', 'יממה', 'יְמָמָה'}
deceive	{'נוכלות', 'מטעה', '!רַמָּאוּת', 'הוֹנָה', 'הונאה', 'מָכַר-לוֹ-לוֹקְשִׁים', 'רִמָּה', '!רְמִיָּה', 'חוסר_יושר', 'מָכַר'}
dedication	{'המסירות', 'dedication', 'הקדשה'}
deliberately	{'בכוונה', 'בְּמִתְכַּוֵּן', 'ביד_רמה\u200e', 'בְּמַחְשָׁבָה-תְּחִלָּה', 'בְּכַוָּנָה'}
