ability	{'sobivus', 'oskus', 'võime', 'sobivustesti'}
ball	{'testis', 'musketi_kuul', 'ballock', 'kuuli', 'universum', 'kerapind', 'ball', 'kerajas', 'poolkerakujuline', 'munandite', 'palli', 'kinnine_kera', 'jalgpalli', 'lahtine_kera', 'streigi_tsoon', '2-sfääri', 'kera', 'limukas', 'tennisepalli', 'testise', 'sfäär', 'sfääriline', 'pall', 'teste', 'täppe', 'munandid', 'john_ball', 'orhis', 'lucille_ball', 'suletud_palli', 'jama', 'munand', 'jalgpall', 'tennisepallid'}
bar	{'kõrts', 'meetme', 'browning_automaatne_vintpüss', 'bari_vald', 'mbar', 'advokatuuri', 'taphouse', 'baarid', 'pubi_lobi', 'tavern', 'beeta-2-adrenergiliste_retseptorite', 'beeta-2_retseptorite', 'gin_mill', 'pubi_märk', 'kalaparve', 'jura', 'beeta-2-adrenoretseptorite', 'foobar', 'advokatuur', 'ginmill', 'ennetamine', 'õigusliku_kogukond', 'baar', 'sandbars', 'koputage_maja', 'barroom', 'public_house', 'pubi_toitu', 'madalikud', 'isanime', 'pubi', 'kievari', 'kriips', 'juristide', 'õllepood', 'trahter', 'leetseljakut', 'patronüüm', 'avalik_maja', 'isanimi', 'foo', 'takt', 'õlletehas_kraani', 'country_inn', 'pubid', 'õllekallamise', 'salongi_pidaja', 'perekonnanimedest', 'vööt', 'bar', 'ennetamiseks', 'ajurand', 'barline', 'patrynomic', 'farnesoid_x_retseptori', 'advocatus'}
bark	{'puukoor', 'puukoort', 'periderm', 'koor', 'pursi', 'haukuma', 'parklaev', 'il-2', 'iljušin_il-2', 'bark', 'haukumine'}
bear	{'karulased', 'tupolev_tu-95', 'tu-20', 'mike_brown', 'tupolev_tu-20', 'karud', 'karu_kogukond', 'võtta', 'kanda', 'maksma', 'seista', 'bear', 'ursidae', 'asi_see', 'karu', 'tu-95'}
beat	{'beat', 'rütmiline', 'värsimõõt', 'rütmiline_ühik', 'kvantitatiivsed_salm', 'peksid', 'rütm', 'siteswap', 'meeter', 'poeetilise_meeter', 'beatnik', 'löök', 'muusikaline_rütm', 'off-beat', 'võitma', 'biitnik', 'rütmid', 'biitnikud'}
because	{'seepärast', 'because', 'kuna'}
bed	{'sugu_tegema', 'trukkima', 'peenar', 'oja_voodi', 'lade', 'voodipesu_lennuk', 'liigsöömissööstud_häire', 'jõe_säng', 'voolusäng', 'jõesäng', 'nikkuma', 'ülesöömine', 'voodis', 'õmbluse', 'streambed', 'säng', 'keppima', 'panema', 'bed', 'seksima', 'jõesängi', 'põhi', 'voodi', 'nussima'}
beer	{'õlletööstus', 'hele_inglise_õlu', 'ale', 'pinnakäärimisega_õlu', 'beer', 'õlu', 'kesvamärjuke', 'õlts'}
belly	{'venter', 'õllekõht', 'vats', 'kõht', 'magu', 'kõhu', 'inimese_kõht', 'belly', 'abdomens'}
big	{'stypsis', 'keha', 'kuiv', 'puu-ja', 'tasakaalu', 'big', 'bjarke_ingels_group', 'norm_nixon', 'puuviljad', 'mineraalsust', 'suur'}
bird	{'lind', 'tüdruk', 'bird', 'aves', 'mikuni_shimokawa', 'linnustik', 'yardbird_parker', 'avafauna', 'sõrme', 'charles_christopher_parker', 'bronx_cheer', 'charlie_parker', 'linnud', 'razzing', 'keskmise_sõrme_žest', 'sulgpall', 'bird_parker', 'kiuslik', 'pähhüüatus', 'keskmise_sõrme_näitamine'}
bite	{'terava', 'hammustama', 'hammustada', 'pikantne', 'mõrkjas', 'chomp', 'nõelamine', 'putuka_hammustus', 'steven_hassan', 'suupiste', 'hammustamine', 'hammustab', 'kirbe', 'vürtsikas', 'bi-spetsiifilise_t-rakulise_engager', 'putukapiste', 'putukahammustus', 'eraldamine'}
black	{'magic:_the_gathering', 'negriidne_rass', 'black', 'neeger', 'mustanahaline', 'final_fight_3', 'lightlessness', 'murjaani', 'must_naine', 'shirley_temple_black', 'värvi', 'shirley_jane_temple', 'hispanic', 'must_naiste', 'värvi_teaduse', 'kari_kimmel', 'mustanahalisi', 'taio_cruz', 'värvus', 'värv', 'negriidid', 'must_inimene', 'värvid', 'negroid', 'must_aafrika', 'täielikus_pimeduses', 'negriidne_põhirass', 'negro', 'pruunlane', 'planeswalker', 'must_mees', 'joseph_black', 'aafrika_päritolu', 'mustanahalised', 'valge', 'must', 'neegrid', 'final_fight', 'musta_aafrika', 'aasia', 'must_kogukonnas', 'negroids', 'shirley_temple', 'teistest_rassidest', 'inkiness', 'pigi_must_värvus', 'latino'}
blood	{'geneetilise_pärandi', 'elostelija', 'bordeaux_veini', 'collective_soul', 'hematoloogiliste', 'vs.', 'pärilikkus', 'sanguis', 'verre', 'vere_rida', 'esivanemad', 'bordeaux', 'bordeaux_vein', 'veri', 'getting_away_with_murder', 'rakehell', 'vereliini', 'the_black_parade', 'persistence_of_time', 'blood', 'hapnikurikast_verd', 'pärilik'}
blow	{'blow', 'kokaiin', 'nina_kristalliseerunud', 'puhanguti', 'löök', 'tagasilöök'}
body	{'tasakaalu', 'puu-ja', 'eubstance', 'ülakeha', 'vastuvõtja', 'uks', 'koolnu', 'auto_kere', 'uudis', 'bodi', 'punkti_suurus', 'füüsikaline_keha', 'laip', 'keha', 'polütoopideks', 'artikkel', 'korjus', 'unitard', 'kass_ülikond', 'füüsilise_struktuuri', 'laibad', 'unipolaartransistor', 'trikoo', 'body', 'mineraalsust', 'surnukeha', 'ajakirja_artikkel', 'torso', 'punkti', 'orgaaniline_struktuur', 'välja_efekt_transistor', 'värava', 'sisu', 'teairra_marí', 'wonder_showzen', 'ajaleheartikli', 'surnukehad', 'materiaalne_keha', 'pihaosa', 'fet', 'punkt', 'stypsis', 'kuiv', 'väljatransistori', 'pagasiruumi', 'väljatransistorid_transistorid', 'catsuit', 'keha_ülikond', 'füüsilise_keha', 'kere', 'polümatroid', 'väljatransistor', 'isiku_surnukeha', 'soundbox', 'puuviljad', 'asi', 'korjuseid', 'autokerede_valmistaja', 'sõidukikere'}
bone	{'bone', 'luu', 'kont', 'def_jam_recordings', 'valkjas', 'ossa', 'luude_kudede', 'luud', 'luine', 'elevandiluu'}
brain	{'teaduslik_kaader', 'ajutegevus', 'mõistus', 'brain', 'vaimse_sisu', 'peaaju', 'geenius', 'nus', 'pea', 'bryan_mantia', 'inimaju', 'geniaalsus', 'psüühika', 'vaim', 'nous', 'põhjus', 'banks', 'inspector_gadget', 'inimmõistuse', 'aju', 'brainiac', 'intellekt', 'imetajate_aju', 'õppimisvõimet', 'vaimsete_võimete', 'inspektor_gruvi'}
breast	{'rindkere', 'rinnavähi', 'tiss', 'rinnakartsinoom', 'rinnakorv', 'rind', 'the_breast', 'titty', 'rinnad', 'büst', 'valge_liha', 'cancer_mammae', 'pectus', 'rinnavähk', 'rinnanäärmevähk'}
breathe	{'kristof_konrad', 'a_class', 'hingata', 'breathe', '11:59', 'i-empire', 'time', 'funeral_for_yesterday', 'the_dark_side_of_the_moon'}
broken	{'plastic_beach', "winterheart's_guild", 'echo', 'delta_machine', '12_stones', 'ms._kelly', 'the_best_of_bruce_dickinson', 'broken'}
building	{'ehitustööd', 'avaliku_hoone', 'ehitusplatsidel', 'tits_hoone', 'ehitama', 'hoone', 'ehitus', 'ehitis', 'ehitusala', 'ehitamine', 'ehitusplatsil', 'ehitustöö'}
burn	{'fc_dallas', 'ruisseau', 'vooluveekogu', 'erüteem_solare', 'põletada', 'põletada_märk', 'tuli', 'oja', 'leegitsev', 'tulekahjud', 'päevitus', 'vooluveekogud', 'burn', 'kolmanda_astme_põletus', 'ojad', 'põleng', 'põlema', 'vahelduv_vool', 'leek', 'teise_astme_põletus', 'tan', 'päikesepõletus', 'tulekahju'}
business	{'äri_teaduse', 'liini_töö', 'klientuur', 'tegevusala', 'ettevõte', 'sõltumatud_töövõtjad', 'kaupmees', 'elukutse', 'äriorganisatsiooni', 'business', 'äri_süsteemi', 'töö', 'ettevõtluse', 'päev_tööd', 'kutse', 'äri_kannus', 'sõltumatu_töövõtja', 'äriettevõte', 'ärindus', 'staadiumis_äri', 'äri', 'ettevõtlussektori', 'ärisektoris', 'mittetulunduslik', 'okupatsioon', 'äri_mure', 'kõrvaltegevus', 'amet', 'äri_silmus'}
camera	{'kinos_kaamera', 'motion-picture_kaamera', 'telekaamerate', 'filmikaamera', 'kaamerad', 'fotoaparaat', 'professionaalne_videokaamera', 'camera', 'videokaamera', 'telekaamera', 'the_back_room', 'fotokaamera', 'kaamera'}
carefully	{'hoolikalt', 'muretse', 'mure'}
challenge	{'väljakutse-vastuse', 'vaidlustada'}
charity	{'heategevusorganisatsioonide', 'heategevus', 'ligimesearmastust', 'charity', 'polymonium_caeruleum_van-bruntiae', 'charity_staatus', 'heategevusorganisatsiooni', 'avaliku_heategevus', 'registreeritud_heategevusfondi', 'avaliku_heategevusega', 'polemonium_van-bruntiae', 'polemonium_caeruleum', 'heategevusorganisatsioonid', 'heategevusorganisatsioon', 'avalik_heategevus'}
charming	set()
child	{'laps', 'tütred', 'alaealine', 'laste', 'lapsed', 'eel-puberteedi', 'väike_kala', 'alaealiste', "l'enfant", 'nooruk', 'tütar'}
clothes	{'rõivatööstusele', 'kantav', 'rõivastus', 'naisterõivaste', 'rõivad', 'habiliment', 'rõivatootmine', 'rõivale', 'rõivas', 'riided', 'kehakate', 'riietus'}
cloud	{'avalik_pilv', 'infrastruktuuri_teenuste', 'kiba', 'pilv_hosting', 'pilv_teenust', 'pilv', 'hübriidpilv', 'vidu', 'cloud_computing', 'pilve_teenus', 'pilvepõhise', 'pilv_infrastruktuuri', 'cloud_hosting', 'pilved', 'sülem', 'udu', 'pilveraalindus', 'cloud_strife', 'pilvandmetöötlus', 'infrastruktuur_teenusena', 'kubisev', 'parv', 'cloud', 'pilve_moodustumise'}
cockroach	{'alamseltsi_blattaria', 'prussakalised', 'blattodea', 'prussakad', 'blattaria', 'cockroach', 'tarakan', 'alamseltsi_blattodea', 'prussakas'}
code	{'koodi', 'koodimine', 'koodid', 'seadustik', 'ajastama', 'kodeerimine', 'kodifitseerimine', 'kodeeritud', 'arvuti_koodi', 'seadustiku', 'kood'}
cold	{'nohu', 'äge_nasofarüngiit', 'lihtne_külmetus', 'tavaline_nohu', 'craig_david', 'cold', 'külm', 'äge_nina-neelupõletik', 'nicole_scherzinger', 'nina-neelupõletik', 'madalal_temperatuuril', 'nicole_prescovia_elikolani_valiente_scherzinger', 'kok', 'krooniline_obstruktiivne_kopsuhaigus', 'nasofarüngiit', 'külma'}
collection	{'kogumik', 'collection', 'kogumine', 'seoste_kogum', 'joe_sample', 'koondkogum', 'aliaune_damala_akon_thiam', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'toote_komplekteerimine', 'aliaune_damala_bouga_time_bongo_puru_nacka_lu_lu_lu_badara_akon_thiam', 'kogu', 'akon', 'kokkupanek', 'ümbris', 'the_offspring_collection', 'võla_koguja', 'hawkwind', 'koguda', 'konteiner', 'kunstikogudest', 'raamat_sarjast', 'võlgade_sissenõudmine', 'kunstikogu', 'kogum', 'inkassofirma', 'kogumise', 'raamatusari', 'the_charlatans', 'kogumiku', 'hulk', 'liitmine'}
come	{'seemnevedelik', 'ejakulaat', 'seeme', 'tulema', 'tabas', 'seemneline_vedeliku', 'come', 'saabuvad', 'saabuma', 'jõuda', 'cum', 'sperma', 'hüüatama', 'meenuma'}
computer	{'digitaalne_andmetöötlus', 'computer_technology', 'elektronarvuti', 'kalkulaator', 'kompuuter', 'programmeeritav_andmetöötlusseade', 'arvutisüsteemi', 'digitaalelektronarvuti', 'andmetöötleja', 'figurer', 'inimese_arvuti', 'arvuti_seade', 'digitaalarvutite', 'arvuti', 'raal', 'infotöötluse_süsteem', 'arvutid', 'üldotstarbeline_arvuti', 'arvuti_muusika', 'arvuti_masin', 'eelarvestaja', 'arvutisüsteem'}
construction	{'ehitustöö', 'mudel', 'runescape', 'ehitusplatsidel', 'vaimse_süntees', 'väljend', 'kohtuliku_tõlgenduse', 'grammatiline_konstruktsioon', 'mudeli', 'tarind', 'ehitama', 'ehitusala', 'ehitus', 'ehitamine', 'ehitustööd', 'ehitusplatsil', 'struktuur', 'grammatilise_ehituse'}
cook	{'lühike_selleks_kokk', 'kokad', 'sous-chef', 'süüa', 'frederick_albert_cook', 'cook', 'keittiömestari', 'komisjoni_peakokk', 'kokk', 'kapten_james_cook', 'james_cook', 'frederick_cook', 'captain_cook', 'peakokk', 'lühiajaliste_et_kokk'}
correct	{'õige', 'õigus', 'kohandada'}
count	{'struktuurpäringukeel', 'earls', 'loend', 'arvusüsteem', 'sql', 'loeb', 'numeratsioonisüsteem', 'kaaluda', 'countship', 'jarl', 'lugema', 'numeratsiooni', 'krahvinna', 'comtesse', 'loendama', 'earl', 'krahv', 'jaarlikunta', 'loendamine', 'structured_query_language', 'comital', 'arvusüsteemid'}
counting	{'loendamine', 'lugedes', 'arvusüsteemid', 'arvusüsteem', 'loend', 'numeratsiooni', 'numeratsioonisüsteem'}
crazy	{'loca', 'lollakas', '(you_drive_me)_crazy', '...famous_last_words...', 'erika_jayne', 'playing_with_fire', 'ajukääbik', 'looney', 'because_of_you', 'hull', 'c.r.a.z.y.', 'the_r.e.d._album', 'usher', 'crazy', 'vaimuhaigus', 'hullumeelsus'}
cut	{'vähendama', 'lahtine_haav', 'lõigatud_liha', 'tsenseerimine', 'ajakirjanduse_tsenseerimine', 'primal_lõigatud', 'rebendid', 'lõigatud', 'haavates', 'filmi_toimetamine', 'lühendama', 'haav', 'haavad', 'pesapall_hoos', 'tsensuur', 'vähendada', 'lõikamine', 'cut', 'avatud_lõigatud', 'haava', 'tsensorid', 'lõigatud_ja_täitke', 'lõikama', 'lõikus', 'tsenseeritud', 'külm_õlg', 'kesk_única_dos_trabalhadores'}
damage	{'damage', 'õigusliku_kahju', 'kahju', 'jaehind', 'välimust', 'hind', 'scathe', 'seadmed_õnnetus', 'saatuslik'}
dance	{'tants', 'tantsida', 'tantsimine', 'dance', 'tantsumuusika', 'tantsijad', 'tantsu', 'tantsud', 'waterloo', 'tantsuõhtu', 'tantsima', 'oliver_heldens', 'dancé', 'post-disco'}
dangerous	{'ohtlik', 'dangerous', "it's_hard"}
day	{'24h', 'clarence_päeva', 'päevasel', 'täht_päev', 'ilmne_päikese_aeg', 'päev', 'päikese_ajal', 'clarence_day', 'ööpäev', 'tähendab_päikese_päev', '24-tunnise_intervalliga', 'päeva_pikkus', 'päeval', 'clarence_shepard_päev_jr', '24_tunni_jooksul', 'päikese_päev', 'keskmine_päikese_päev', 'päeva', 'day'}
deceive	{'pettusega', 'ebaausus', 'kelmus', 'petlik'}
dedication	{'dedication', 'pühendumist'}
deliberately	{'teadlikult'}
delivery	{'sünnitus', 'nalja', 'kojukanne', 'pakkumine', 'reisijatevedu', 'jest', 'tupe_sündi', 'vedu', 'naljakas', 'narrima', 'sünnitusega', 'sünnitamine', 'rasestuda', 'accouchement', 'ülemineku', 'transport', 'pakkumise', 'delivery', 'päästetöö', 'päästetööd', 'tarne_poiss', 'tarne', 'transpordiliigid', 'nali', 'transpordiliik', 'transpordi_tööstuses', 'võõrandatavad', 'veondus', 'sünd', 'toomine', 'nii_öeldakse', 'transpordi_infrastruktuuri', 'lapseootel', 'võõrandumine', 'sünnituse', 'päästma', 'mõtteavaldus'}
dessert	{'dessert_veine', 'afters', 'magustoit', 'dessertvein', 'dessert'}
device	{'masinad', 'kärgtelefon', 'mobiiltelefoni', 'masin', 'mobla', 'device', 'arvutiriistvara', 'mobiiltelefoniteenust', 'mobiiltelefon', 'mobiilside', 'mobiil', 'mobiiltelefonid', 'mobiiltelefone', 'personaalarvuti_riistvara', 'taskutelefon', 'mobiiltelefonivõrgu', 'mobiiltelefonides', 'riistvara', 'tootmisvahendite', 'arvuti_riistvara', 'config.sys', 'seade', 'raudvara'}
die	{'hingusele_minema', 'täringud', 'surm', 'stants', 'polyhedral_täringut', 'suremus', 'vürfel', 'täringut', 'täring', 'suri', 'surma', 'die', 'suremine', 'laaditud_täringut', 'koolma', 'enneaegset_surma', 'surema'}
dig	{'dig', 'mõnitus', 'arheoloogilised_saidi', 'mõistma', 'kaevamine', 'torkima', 'haarata', 'aru'}
dinner	{'lõuna', 'pärastlõunane_tee', 'tee', 'einestamine', 'lõunasöögi', 'teatime', 'dejeuner', 'tiffin', 'õhtusöök', 'päivälliset'}
dirty	{'savi', 'pinnas', 'cpu_cache', 'määrdunud', 'protsessori_vahemälu', 'räpane', 'underworld', 'maa_assotsiatiivne', 'dirrty', 'andmete_vahemälu', 'keskprotsessori_vahemälu', 'l2_vahemälu', 'l3_vahemälu', 'l1_vahemälu', 'vahemällusalvestus', 'vahemälu_miss', 'cpu_vahemälu', 'vahemälu', 'kirjutada-back', 'vahemälu_rida', 'cache_miss', 'muld', 'puhverdatud', 'mustuse', 'mullad', 'must', 'dirty'}
disease	{'pleuriit', 'haigus', 'halva_enesetunde', 'haigusliku', 'haigestumuse_tase', 'haiguse', 'tõbi', 'meditsiiniline_haigus', 'meditsiiniline_seisund', 'begowal', 'haigusi'}
dissolve	{'lahustuma', 'lahustada'}
disturb	set()
do	{'do', '도', 'sugu_tegema', 'trukkima', 'pool', 'käituma', 'tappa', 'tao', 'kas', 'teha', 'pidutsemine', 'nikkuma', 'täitma', 'dao', 'marshall_applewhite', 'põhjustada', 'tapma', 'soiree', 'õnnestuma', 'täita', 'keppima', 'pidu', 'panema', 'doktor_osteopaatia', 'seksima', 'doh', 'nussima'}
doctor	{'doktorikraad', 'kiriku_õpetaja', 'doctor_who', 'ennistama', 'professionaalne_doktorikraad', 'taastama', 'arstid_kiriku', 'teadus_doktorikraadi', 'ph.d.', 'rude_boy', 'kirikudoktor', 'doktorikraadi', 'doktor_kirik', 'dr', 'loïc_nottet', 'eliza', 'medical_officer', 'tegutsevad_kirurg', 'doktor_kiriku', 'kirurgid', 'phd', 'doktor', 'kiriku_doktor', 'tohter', 'kirurg', 'arst', 'doktoriõppe', 'arstid'}
dog	{'pawl', 'canis_lupus_familiaris', 'koer', 'kutsu', 'takistuseni', 'koerlased', 'haakuv', 'viiner', 'canidae', 'koerlane', 'koerad', 'kaabaklik', 'canids', 'taga_ajama', 'weenie', 'familiaris', 'kodumaiste_koer', 'kuuma_koera', 'perekond_canidae', 'hot_dog', 'raud_sahtel', 'nuhruinen_eukko', 'duck_hunt', 'wienerwurst', 'koera_liha', 'canis_familiaris', 'koer-raud', 'halupukk', 'kodukoer', 'hotdog'}
dressing	{'rõivatööstusele', 'arsti_kastmega', 'kantav', 'kaste', 'rõivastus', 'naisterõivaste', 'rõivad', 'täitematerjaliks', 'habiliment', 'hakkliha', 'salatikaste', 'rõivale', 'rõivas', 'riided', 'sidumise', 'riietus'}
drink	{'jook', 'neelamine', 'juua', 'crapulence', 'tehnilise', 'deglutition', 'joodav', 'joogid', 'pummeldamine', 'jooma'}
driver	{'metsad', 'piloot', 'chauffer', 'rool', 'number_üks_puit', 'ajur', 'seadmedraiver', 'vöötkoodi_lugeja', 'ühendatud_rattad', 'metsa', 'autojuht', 'vedurisahk', 'aednik', 'veorataste', 'veoauto_sõidu', 'autojuhid', 'laas', 'driver', 'juht', 'printeridraiver', 'metsas', 'mets', 'veoautojuhid', 'ühendatud_telge', 'draiver', 'tüürel', 'veoautojuht', 'ühendatud_telje', 'okasmetsad', 'wälder', 'okaspuumets', 'seadme_draiverid', 'ohjur', 'tarkvara_juht', 'juhtprogramm', 'driver:_san_francisco'}
dry	{'stypsis', 'keha', 'kuiv', 'puu-ja', 'tasakaalu', 'keeluvastase', 'kuivada', 'dry', 'puuviljad', 'mineraalsust', 'kuivatama'}
dull	{'loll', 'nõme', 'rumal'}
dust	{'praht', 'dust', 'pekoe', 'orange_pekoe', 'tolm', 'babylon_5', 'ingel_tolmu', 'fentsüklidiin_hydrochloride', 'fentsüklidiin', 'tolmu', 'fannings', 'kiviprügi', 'rusud'}
ear	{'pinnae', 'viljapea', 'kõrva', 'inimese_kõrva', 'kõrvad', 'kõrvalestad', 'tipp', 'kõrv', 'auricula', 'kõrvalesta', 'kõrva_lagunemine', 'kõrvalest', 'kündma', 'tähk'}
earth	{'planeet_maa', 'maa_siseehitus', 'potensiaaliühtlustus', 'dragon_ball', 'golgafrincham', 'maale', 'krikkit', 'andrómeda', 'maanduse', 'maailmas', 'earth', 'maandusega', 'milliways', 'maandamine', 'helesinine_planeet', 'maandama', 'maapealsete', 'maandus', 'tugeval_alusel', 'saiyan', 'magrathea', 'kuival_maal', 'maa_mass', 'lamuella', 'ace_combat', 'maapind', 'brontitall', 'maakera', 'maa', 'maise_mure'}
eat	{'söömine', 'toitmine', 'eat', 'süüa', 'sööma', 'söögituba'}
economy	{'majandussüsteemi', 'majanduslikult', 'säästlikkus', 'reaalmajanduse', 'säästumäär', 'majanduse', 'majandusteadlane', 'majandussüsteem', 'poliitökonoomia', 'hoius', 'walden', 'majandusteadus', 'economy', 'ökonoomika', 'poliitilise_ökonoomika', 'majandus', 'maapiirkondade_majandust', 'poliitiline_ökonoomia'}
egg	{'munarakkudega', 'osi-baasmudel', 'testis', 'munarakud', 'egg', 'phasmida', 'selleks_phasmatodea', 'kala_muna', 'ellips', 'ballock', 'osi-mudel', 'kana_muna', 'elliptilised', 'munandite', 'ovaal', 'ootsüüt', 'elliptiline', 'ovum', 'osi_raammudel', 'osi_mudel', 'testise', 'muna', 'osi-raammudel', 'mune', 'open_systems_interconnection', 'teste', 'phasmatodea', 'munandid', 'avatud_süsteemide_sidumise_arhitektuur', 'selleks_phasmida', 'orhis', 'munarakk', 'munatoodang', 'jama', 'munand', 'lind_muna', 'ovaalne', 'munad'}
election	{'pct', 'uuesti_kandideerida', 'reelection', 'demokraatlikult_valitud', 'election', 'valimine', 'valimispoliitikat', 'tagasivalimine', 'valimisprotsessi', 'valimine_valimised', 'valimised', 'kohtukutse_valimised', 'valitud', 'patendikoostööleping', 'rahvusvaheline_patendikoostööleping'}
electron	{'elektronide', 'elektron', 'electron', 'negatron', 'elektronid'}
elegance	{'dekoratiivsed', 'kaunotar', 'matemaatiline_elegants', 'ilu', 'elegantne', 'klassikaline_ilu', 'matemaatiline_ilu', 'karlgeorg_hoefer', 'elegants'}
emotion	{'emotsioonid', 'emotsionaalne', 'emotsioon', 'emotion', 'human_after_all', 'emotsioone'}
emotionally	{'emotsioonid', 'emotsionaalne', 'emotsioone', 'emotsioon'}
engine	{'tarkvara_mootor', 'veduri_mootori', 'motor', 'raudteeveduri', '3d_mootor', 'raudtee_mootori', 'vedur', 'ray_alder', 'mootor', 'mängu_mootor', 'mootorid', 'engine', 'videomängu_mootor'}
english	{'ameerika_inglise', 'inglise_inimesed', 'inglise_filoloogia', 'inglise_filoloog', 'inglise_keeles', 'old_english', 'inglise_keele', 'eesti_inimesed', 'inglise', 'inglise_uuringud', 'ameerika_keeles', 'ameerika_inglise_keel', 'león_bloy', 'inglanna', 'inglane', 'inglased', 'english', 'loobuda', 'inglise_keel'}
event	{'kuulja', 'programmisündmus', 'juhul', 'tulemus', 'juhuslik_sündmus', 'mõju', 'lõpptulemus', 'võimatu_sündmus', 'kindel_sündmus', 'sündmus_käitlemise', 'seik', 'üritus', 'kuulaja', 'sündmuseohjur', 'klahvivajutuse', 'võti_insult', 'sündmus'}
