ability	{'zdolność', 'uzdolnienie'}
back	{'pół_centrum', 'filar_młyna', 'prawy_obrońca', 'środku_centrum', 'łącznik_ataku', 'skrzydłowy_ataku', 'stosina', 'sissybar', 'nazad', 'okładka', 'młynarz', 'kręgów', 'wiązacz', 'powrotem', 'zadni', 'lewy_obrońca', 'wiązacz_młyna', 'osadka', 'odcinek_guziczny', 'back', 'kręgosłupa', 'stos_pacierzowy', 'tylny', 'lędźwie', 'kręgosłup', 'odcinek_lędźwiowy', 'flyhalf', 'pozycje_zawodników_w_rugby_union', 'tyły', 'poza_centrum', 'filar', 'odcinek_piersiowy', 'oprawa_książek', 'obrońca', 'środkowy_obrońca', 'sissy_bar', 'kuluary', 'pozycja_w_rugby_union', 'plecy', 'fly-pół', 'z_powrotem', 'stoper', 'łącznik_młyna', 'zaplecze', 'wspieracz_młyna', 'wspieracz', 'tył', 'rewers', '백', 'rwacz', 'środkowy_ataku', 'oparcie', 'skrzydłowy', 'grzbiet', 'tyłu', 'b.a.c.k.', 'popieram'}
bad	{'cholerstwo', 'zepsuty', 'złe', 'draństwo', 'zło', 'zły', 'kiepski', 'royce_da_5\'9"', 'przebłagalny', 'bad', 'zła', 'bcl-2-stowarzyszonej_promotor_śmierci', 'niemoralny', 'big_audio_dynamite', 'cienki', 'popsuty', 'bad_world_tour'}
bag	{'krowa', 'pudło', 'podprowadzić', 'chapnąć_głabnąć', 'torebka', 'podróżowanie_worek', 'stara_torba', 'wymienia', 'zgarnąć', 'port_lotniczy_loakan', 'worek', 'rozkład', 'wielozbiór', 'reklamówka', 'pokot', 'erbnąć_świsnąć', 'zwędzić', 'torebki', 'torba', 'wymię', 'multiset', 'papierowa_torba', 'pełny_wór', 'multizbiór', 'kraść', 'toreb', 'podiwanić', 'buchnąć', 'przywłaszczyć_sobie', 'torbę', 'walizkę', 'torba_papierowa', 'zajumać', 'multisets', 'gwizdnąć', 'zakosić_zwinąć', 'filiżanka_herbaty', 'zajebać', 'podpierdolić', 'torba_przewoźnik', 'ukraść', 'zarąbać', 'babsztyl', 'walizka', 'port_lotniczy_baguio-loakan', 'capnąć'}
ball	{'piłka_tenisowa', 'strike_zone', 'sfera', 'john_ball', 'kuliste', 'pocisk', 'ballock', 'bzdury', 'jądra', 'piłkę', 'kuli', 'teste', 'bal', 'testis', 'kula', 'strefa_strike’ów', 'strefy_strajku', 'jajo', 'bimboły', 'gonada_męska', 'zamkniętej_kuli', 'piłki_tenisowe', 'jąder', 'piłka_do_gry_w_piłkę_nożną', 'kłębek', 'lucille_ball', 'jajco', 'jaja', 'piłka', 'glob', 'ball', 'ballview', 'kulka', 'piłka_futbolowa', 'jądro', 'kula_z_muszkietu', "strefa_strike'ów"}
bar	{'karabin_maszynowy_browning_m1918', 'banku_piasku', 'bufet', 'patronimiczny', 'patronimicznych', 'beta-2_receptorów_adrenergicznych', 'milibarów', 'szynk', 'próg_rzeczny', 'karabin_maszynowy_browninga', 'hostelry', 'próg', 'matronimia', 'sztaba', 'nazwisko_matronimiczne', 'patronym', 'zapobieganie', 'barroom', 'izba_adwokacka', 'profilaktyka', 'rysa', 'tawern', 'drąg', 'patronimik', 'advocatus', 'public_house', 'browning_automatic_rifle', 'slider', 'nazwisko_patronimiczne', 'wykluczać_wyłączać', 'palestra', 'tawerna', 'zapobiegania', 'prążek', 'taphouse', 'pociągnięcie', 'znak_pubie', 'prawnictwo', 'poprzeczka', 'sandbars', 'prawników', 'country_inn', 'drążek', 'dialekt_bawarski_języka_niemieckiego', 'takt', 'otczestwo', 'dialekt_bawarski', 'patronimia', 'pub', 'patronymicum', 'knajpa', 'antivari', 'płycizna', 'barze', 'piwiarnia', 'foobar', 'bar', 'wspólnota_prawna', 'b', 'język_bawarski', 'mielizna', 'mbar', 'patronimikum', 'do', 'patrynomic', 'kranu_browaru', 'matronimik', 'środka', 'adwokatura', 'pubów', 'dania_barowe_w', 'gospoda', 'pub_grub', 'bawarski', 'telefon_rozsuwany', 'prawnicy', 'barline', 'bár', 'pręt', 'dialekty_bawarskie', 'wybierz_dom', 'bramkarz_saloon', 'okucie', 'boarisch', 'ginmill', 'foo'}
bark	{'odkorowanie', 'ił-2', 'bark', 'okorowanie', 'kora', 'perydermie', 'szczekać', 'szczekanie', 'kory'}
bear	{'mike_brown', 'wypełniać', 'bear', 'zapłacić', 'znieść', 'niedźwiedziowate', 'stać', 'edźwiedź', 'płacić', 'tu-95', 'niedźwiedzia', 'webelos', 'miś', 'tupolew_tu-95', 'niedźwiedzie', 'spełniać', 'niedźwiedź', 'niedźwiedzica', 'ursidae', 'rodzić', 'zawierać', 'gay_bear', 'niedźwiedzi'}
beat	{'pokonać', 'tok', 'rytmy', 'wybicie', 'beat', 'wartość_rytmiczna', 'wzorzec_rytmiczny', 'miara_wierszowa', 'off-beat', 'puls', 'dudnienia', 'dudnienie', 'muzyka_beat', 'jet_set_radio', 'metr', 'metrum', 'obchód', 'siteswap', 'muzyczny_rytm', 'bitnik', 'beatnik', 'beatus', 'rytm'}
because	{'dlatego_że', 'because', 'ponieważ', 'gdyż', 'bo'}
bed	{'łóżku', 'łóżko', 'łóżko_creek', 'uprawiać_seks', 'bed', 'podłoże', 'napady_objadania_się', 'grządka', 'łoże', 'grzęda', 'warstwowanie', 'jebać', 'zespół_napadowego_objadania_się', 'pieprzyć', 'korytem', 'pierdolić', 'szew', 'ruchać', 'złoże', 'dno', 'łózko', 'koryto_rzeczne', 'koryto_rzeki', 'zaburzenie_z_napadami_objadania_się'}
beer	{'piwo_ciemne', 'campaign_for_real_ale', 'camra', 'przemysł_piwowarski', 'mocz_starego_pawiana', 'ale', 'piwa', 'piwo', 'beer'}
belly	{'brzuszysko', 'maciek', 'bebech', 'patroszyć', 'ludzkiego_brzucha', 'brzuchach', 'brzucha', 'brzuch', 'mięśnie_brzucha', 'belly', 'kałdun', 'brzucho'}
big	{'wielkoduszny', 'niekiepski', 'dorosła', 'norm_nixon', 'dorosły', 'owoców', 'znaczny', 'znaczący', 'big', 'wspaniałomyślny', 'niemały', 'większy', 'duży', 'pyszałkowaty', 'ciała', 'bjarke_ingels_group', 'mineralności', 'bukiet', 'tamowanie_krwi'}
bird	{'ptak_parker', 'charlie_parker', 'charles_parker', 'digitus_impudicus', 'gwizdać', 'awifauny', 'avafauna', 'córka', 'ptaki', 'charles_christopher_parker', 'roosting', 'bronx_cheer', 'yardbird_parker', 'razz', 'bird', 'aves', 'razzing', 'palec_środkowy', 'fak', 'wygwizdanie', 'dziewucha', 'ptak', 'bejbe_mała', 'dziewczyna', 'palec', 'środkowy_palec', 'lotka', 'fuck_you', 'ptasie_dinozaury', 'ptaków', 'dziewka', 'mikuni_shimokawa', 'wolant', 'córeczka'}
bite	{'użądlenie', 'przekąska', 'przydział', 'bi-specyficzne_komórki_t_engager', 'odgryźć', 'ukąszenia', 'chomp', 'ostrością', 'ukąszeniach_owadów', 'ugryzienie_owada', 'pikantny', 'gryżć', 'steven_hassan', 'ukąszenie', 'gryzienie', 'pogryzienie', 'ostry', 'żądło', 'odgryzać', 'ugryzienie'}
black	{'sczernieć', 'czarna_odmiana_człowieka', 'czerń', 'innych_ras', 'taio_cruz', 'afrykańczycy', 'murzynka', 'hiszpanie', 'czarny_człowiek', 'shirley_temple_czarny', 'murzyn', 'black', 'magic_the_gathering', 'rozgniewany', 'inkiness', 'egipskie_ciemności', 'kimeryjskie_ciemności', 'czarnoskóry', 'murzyni', 'barwy', 'czerń_pitch', 'murzyński', 'negroids', 'barwa', 'negroidzi', 'haniebny', 'shirley_temple', 'kari_kimmel', 'atlas_barw', 'rasa_czarna_człowieka', 'czarne_kobiety', 'final_fight', 'czernieć', 'kolor', 'czarność', 'zagniewany', 'czarnej_społeczności', 'całkowita_ciemność', 'lightlessness', 'rasa_negroidalna', 'obieżysfera', 'czarna_kobieta', 'sensation_white', 'negro', 'kolor_czarny', 'rozzłoszczony', 'barwa_czarna', 'joseph_black', 'black_african', 'gniewny', 'murzynów', 'negroidalny', 'poczernieć', 'colin_vearncombe', 'negroidalna_rasa_człowieka', 'sensation_black', 'colors', 'final_fight_3', 'czarny', '000000', 'czarna_rasa_człowieka', 'szkodliwy', 'sensation', 'magic:_the_gathering', 'pochodzenia_afrykańskiego', 'negroidalnej', 'latynosi', 'ludy_negroidalne'}
blood	{'the_black_parade', 'farba', 'collective_soul', 'linia_krwi', 'hematologicznych', 'natlenionej_krwi', 'rozpustnik', 'krwi', 'dziedzictwa_genetycznego', 'bordeaux', 'blood', 'krew_utlenowana', 'dziedziczności', 'linia', 'rakehell', 'wino_bordeaux', 'getting_away_with_murder', 'wina_bordeaux', 'persistence_of_time', 'krew', 'ludzkiej_krwi', 'blood_/_reign_forever_world', 'vs.', 'dziedziczenie', 'posoka', 'bordo', 'rodu', 'krew_odtlenowana', 'jucha'}
blow	{'spieprzyć', 'danie', 'zawiew', 'zadąć', 'cukierek_nos', 'koks', 'koka', 'poryw', 'śnieg', 'podmuch', 'wymierzenie', 'blow', 'wpadka', 'zadanie_ciosu', 'zadanie_razu', 'bum', 'powiew', 'uderzenie', 'wiew', 'łup', 'zdmuchnąć', 'dąć', 'biały_proszek', 'wiać', 'wstrząs', 'dmuchnąć', 'tchnienie', 'dmuchać', 'cios'}
body	{'wielkości_punktu', 'pudło', 'struktura_organiczna', 'tranzystor_unipolarny', 'artykuł_z_gazety', 'fet', 'trykot', 'wielotop', 'wielokomórka', 'teairra_marí', 'ciało', 'trup', 'kolegium', 'bryła_stereometryczna', 'punkt_typograficzny', 'punkt', 'góra', 'tułów', 'tułowia', 'bramka', 'treść', 'soundbox', 'wonder_showzen', 'struktury_fizycznej', 'ciało_fizyczne', 'polytopes', 'tranzystora_polowego', 'body', 'trykot_opinający_ciało', 'teairra_mari', 'korpus', 'body/ciało', 'eubstance', 'nadwozi', 'zwłoki', 'ubranie', 'bukiet', 'karoseria', 'ścierwo', 'historii_wiadomości', 'tamowanie_krwi', 'tranzystorów_polowych', 'igfet', 'blacharka', 'teairra_maria_thomas', 'artykułu', 'źródło', 'bryła_geometryczna', 'truchło', 'drzwi', 'ciała', 'unitard', 'catsuit', 'ciała_fizycznego', 'coachbuilder', 'pt', 'artykuł_informacyjny', 'rezonator', 'zwłok', 'news', 'cat_suit', 'owoców', 'konsystencja', 'artykuł', 'tors', 'garnitur_ciała', 'odbiornik', 'tułów_człowieka', 'kadłub', 'polytope', 'organizm', 'tranzystor_polowy_z_izolowaną_bramką', 'tranzystor_polowy', 'mineralności', 'dren'}
bone	{'tkanka_kostna', 'kość', 'defjam_records', 'def_jam_records', 'perłowość', 'kości_słoniowej', 'bone', 'arnold_boonen', 'tkanki_kostnej', 'kostnej', 'białawy', 'kości', 'def_jam_recordings'}
brain	{'mózgowie', 'doktor_claw', 'mózgu', 'fenomen', 'psyche', 'psychiki', 'psychiczny', 'rozsądek', 'mózg', 'brain', 'inspektor_gadżet', 'nous', 'zdolność_uczenia_się', 'rozsądność', 'mózgu_ssaków', 'ludzkiego_umysłu', 'intelektu', 'rozum', 'intelekt', 'dusza', 'głowę', 'logika', 'duch', 'duchowość', 'serce', 'funkcji_mózgu', 'banks', 'potencjału_umysłowego', 'nerwy', 'geniusz', 'móżdżek', 'brainiac', 'mózgownica', 'psychika', 'bryan_mantia', 'umysł'}
breast	{'nowotwory_jajnika_z_nabłonka_powierzchniowego_i_podścieliska', 'popiersie', 'sutek_człowieka', 'gruczoł_mlekowy_człowieka', 'białe_mięso', 'gors', 'klatka_piersiowa', 'rak_gruczołu_sutkowego', 'cycek', 'pectus', 'pierś', 'rak_sutka', 'tors', 'the_breast', 'łono', 'piersi', 'biust', 'titty', 'raka_piersi', 'cyc', 'rak_piersi'}
breathe	{'music_from_the_body', 'i-empire', 'funeral_for_yesterday', 'dark_side_of_the_moon', 'breathe', 'time', 'pełnia_życia', 'potwór_w_szafie', '11:59', 'oddychać', 'the_dark_side_of_the_moon', 'ciemna_strona_księżyca', 'a_class', 'kristof_konrad'}
broken	{'echo', "winterheart's_guild", 'broken_ep', 'the_broken_movie', 'odbicie_zła', 'plastic_beach', 'comeback', 'błędny', 'niepoprawny', 'delta_machine', '12_stones', 'broken_movie', 'the_best_of_bruce_dickinson', 'ms._kelly', 'broken'}
building	{'budynków', 'prace_budowlano-konstrukcyjne', 'budynku', 'budynek', 'prace_budowlane', 'gmach', 'budynek_publiczny', 'budowla', 'branży_budowlanej', 'budowanie', 'dom', 'projektu_budowlanego', 'roboty_budowlane', 'budownictwo', 'budowa'}
burn	{'dallas_burn', 'oparzenie_słoneczne', 'płomienie', 'opalenizna', 'burn_-fumetsu_no_face-', 'kruk', 'trzeciego_stopnia_oparzenia', 'queimada', 'wypalić_piętno', 'tan', 'wikipedysta:coka7196/artykuły', 'płomienisty', 'spalić', 'pieczenie', 'palić', 'oparzenia', 'płonąć', 'spalenizna', 'palić_się', 'drugi_stopień_nagrać', 'ciek', 'oparzenia_słoneczne', 'poparzenie_się', 'płomień', 'ciek_wodny', 'poparzenie', 'oparzenie', 'potok', 'fc_dallas', 'burn', 'strumieni', 'oparzenia_trzeciego_stopnia', 'ruisseau', 'żar', 'cieki_wodne', 'przerywany_strumień', 'hamilton', 'ogień', 'rumień_solare'}
business	{'praca', 'klient', 'business', 'zawód', 'działalności_przedsiębiorstwa', 'systemu_biznesowego', 'firma_etap', 'klienta', 'obiekt_organizacja', 'koncern', 'prawa_spółek', 'nauki_biznesu', 'na_zysk', 'zatrudnienie', 'sprzedawca', 'zawodzie', 'linii_pracy', 'jednoosobowa_działalność_gospodarcza', 'osoba_fizyczna_wykonująca_działalność_gospodarczą', 'niezależnych_wykonawców', 'pracę', 'firma', 'zajęcie', 'interes', 'lob', 'robota', 'przedsięwzięcie', 'działalność_komercyjna_i_zarobkowa', 'biznesowych', 'przedsiębiorstwo', 'pracy', 'organizacja_firmy', 'zadanie', 'biznes', 'sektora_biznesowego', 'epizod', 'wakat', 'sektor_biznesu', 'troska_firma', 'klientela', 'dla_zysku'}
camera	{'aparat_fotograficzny', 'kamera', 'cine-camera', 'motion-obraz_z_kamery', 'aparat', 'kamera_tv', 'aparat_filmowy', 'kamer', 'kamery', 'camera', 'kamera_filmowa', 'kamera_telewizyjna', 'the_back_room'}
carefully	{'frasunek', 'martwienie_się', 'utrapienie', 'martwić', 'zmartwienie', 'bolenie', 'zgryzota', 'troska', 'obaw', 'strapienie', 'cierpienie'}
challenge	{'osiągnięcie', 'wyzwanie', 'próba', 'zakwestionować', 'challenge-response'}
charity	{'organizacja_humanitarna', 'caeruleum_polemonium', 'dobroczynności_publicznej', 'miłość', 'charytatywność', 'dobrodziejstwo', 'organizacji_charytatywnej', 'van-bruntiae_polemonium', 'dilbert', 'filantropijność', 'dobroczynność', 'charity', 'organizacji_charytatywnych', 'fundacja_charytatywna', 'wielosił_błękitny', 'organizacja_pomocowa', 'braterskiej_miłości', 'organizacje_pożytku_publicznego', 'miłość_braterska', 'polymonium_caeruleum_van-bruntiae', 'filantropia', 'polemonium_caeruleum', 'organizacja_opiekuńcza', 'polemonium_coeruleum', 'caritas', 'organizacja_charytatywna', 'instytucja_charytatywna', 'miłości', 'organizacją_charytatywną'}
charming	set()
child	{'pociecha', 'nieletni', 'tiddler', 'córka', 'pre-dojrzewania', 'dzieciak', 'niepełnoletni', 'maluch', 'pre-owlosione', 'child', 'dzieciuch', "l'enfant", 'nieletnich', 'dzieci', 'moll', 'uczniów', 'córki', 'latorośl', 'młodzik', 'dziewczynka', 'małoletni', 'dziecię', 'córeczka', 'dziecko'}
clothes	{'odzieży', 'zdatny_do_noszenia', 'przemysłu_odzieżowego', 'odzież', 'szata', 'ubiór', 'konfekcja', 'odzieży_damskiej', 'odzienie', 'strój', 'ubrania', 'habiliment', 'ubranie', 'ciuch'}
cloud	{'praca_w_chmurze', 'usługa_w_chmurze', 'kłębowisko', 'kłąb', 'usługi_w_chmurze', 'cloud_strife', 'tuman', 'infrastruktury_cloud', 'obliczenia_w_chmurze', 'chmura_publiczna', 'przetwarzanie_w_chmurze', 'kiba', 'infrastruktura_jako_usługa', 'roi', 'mrowie', 'chmara', 'cloud', 'tworzenia_się_chmur', 'obłok', 'rodzaje_chmur', 'rój', 'internet_usług', 'chmura_hosting', 'dym', 'chmury', 'cloud_computing', 'schować', 'chmura_hybrydowa', 'chmurze', 'chmura', 'chmura_obliczeniowa', 'kurzawa', 'ukryć'}
cockroach	{'hełmce', 'blattaria', 'blattoptera', 'karaczan', 'podrząd_blattodea', 'karaluch', 'cockroach', 'karaczany', 'blattodea', 'podrząd_blattaria', 'karalucha'}
code	{'szyfrować', 'kodeks_praw', 'zaplanować', 'kodowanie', 'kod_otwarty', 'programować', 'kodeks_prawny', 'kod_zamknięty', 'kod_komputerowy', 'kodyfikacja', 'kody', 'kodować', 'kodeks', 'code', 'dekodowanie', 'kod', 'kodu'}
cold	{'przeziębienie', 'niska_temperatura', 'chłód', 'blue_bloater', 'cold', 'przewlekłe_zapalenie_oskrzeli', 'zaziębienie', 'oziębły', 'winning_women', 'nicole_scherzinger', 'stoney', 'przewlekła_obturacyjna_choroba_płuc', 'zimno', 'pink_puffer', 'pochp', 'przeziębienia', 'copd', 'przechłodzenie', 'ziąb', 'zimny', 'chłodny', 'craig_david', 'mróz'}
collection	{'zebranie_konia', 'mazhar-fuat-özkan', 'akon', 'przyjmować', 'złożenie', 'vindicatio', 'aliaune_thiam', 'agregacji', 'zbieranie', 'collection', 'the_offspring_collection', 'kolekcja', 'apel', 'zbiór', 'seria_książek', 'windykacji', 'agregacja', 'hawkwind', 'mfö', 'agregację', 'the_charlatans', 'zbiorów_sztuki', 'zbiórka', 'joe_sample', 'kompletacja', 'łączenia_produktów', 'komornika', 'pakiet', 'inkasować', 'windykacja', 'kontener', 'kompilacja', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'kolekcja_sztuki', 'kompendium', 'kolekcji_sztuki', 'grupa'}
come	{'wykrzykiwać', 'dochodzić', 'dojść', 'bank_spermy', 'nasienia', 'come', 'przyjść', 'dojechać', 'dolatywać', 'wytrysku', 'dolecieć', 'dojeżdżać', 'sperma', 'ejakulat', 'nasienie', 'płyn_nasienny', 'cum', 'comé'}
computer	{'systemów_komputerowych', 'elektroniczna_maszyna_licząca', 'obliczeniowiec', 'muzyki_komputerowej', 'mózg_elektronowy', 'kalkulator', 'komputera_elektronicznego', 'komputerów_cyfrowych', 'komputer', 'elektroniczna_maszyna_cyfrowa', 'rachmistrz', 'urządzenie_komputerowe', 'elektronicznego_komputera', 'maszyna_obliczeniowa', 'system_przetwarzania_informacji', 'figurer', 'komputerze_ogólnego_przeznaczenia', 'procesor_danych', 'wygenerowane_komputerowo_muzyki', 'komputer_cyfrowy', 'taksator'}
construction	{'struktura', 'deviousmud', 'budownictwo', 'prace_budowlano-konstrukcyjne', 'wilderness', 'prace_budowlane', 'runescape', 'psychicznego_syntezy', 'konstrukcja_gramatyczna', 'roboty_budowlane', 'budowa', 'konstrukcja_budowlana', 'model', 'wykładni_sądowej', 'branży_budowlanej', 'budowanie', 'elvarg', 'konstytucyjnej_interpretacji', 'projektu_budowlanego', 'konstrukcja', 'struktury'}
cook	{'kucharzem', 'gotować', 'kucharka', 'james_cook', 'frederick_albert_cook', 'okręg_wyborczy_cook', 'kucharz', 'sous-chef', 'uss_donald_cook', 'przygotowywać', 'szef_kuchni_kucharz', 'szef_kuchni', 'captain_james_cook', 'frederick_cook', 'kucharzy', 'cook', 'alexander_wilke', 'kuchmistrz', 'alec_empire', 'kapitan_cook', 'captain_cook'}
correct	{'regulować', 'potępić', 'porządkować', 'dostosować', 'karcić', 'właściwy', 'prawidłowy', 'poprawny', 'rację'}
count	{'policzenie', 'hrabiów', 'pozycyjny_system_liczbowy', 'spis', 'wyliczenie', 'system_liczbowy', 'jarl', 'systemie_liczbowym', 'addytywny_system_liczbowy', 'rachuba', 'podstawa_systemu_liczbowego', 'lista', 'comtesse', 'liczyć', 'systemy_liczbowe', 'odliczyć', 'liczenie', 'numeracji', 'structured_query_language', 'odliczać', 'znaczenia', 'kod_pozycyjny', 'hrabiego', 'hrabia_monte_christo', 'system_trójkowy', 'hrabstwo', 'sql', 'hrabia', 'earl', 'comital', 'charlie_i_hrabia', 'hrabiostwo', 'liczyć_się', 'graf', 'ważyć'}
counting	{'policzenie', 'numeracji', 'pozycyjny_system_liczbowy', 'spis', 'kod_pozycyjny', 'wyliczenie', 'system_liczbowy', 'liczenia', 'system_trójkowy', 'addytywny_system_liczbowy', 'systemy_liczbowe', 'systemie_liczbowym', 'podstawa_systemu_liczbowego', 'liczenie', 'lista'}
crazy	{'chory_na_głowę', 'c.r.a.z.y.', 'the_r.e.d._album', 'obłąkaniec', 'erika_jayne', 'obłąkanie', 'playing_with_fire', 'nienormalny', 'zwariowany', '...famous_last_words...', 'wariat', 'pomyleniec', 'pomylony', 'obłęd', 'because_of_you', '(you_drive_me)_crazy', 'looney', 'crazy', '…famous_last_words…', 'szaleniec', 'dziwak', 'loca', 'delirium', 'szalony', 'usher', 'szaleństwo'}
cut	{'rozcięcie', 'gojenie_się_ran', 'ścieżki', 'ciąć', 'działka', 'obcinanie', 'zranienie', 'montaż_filmowy', 'cięcia', 'dola', 'open-cut', 'montaż_filmów', 'vulnus', 'wyciąć', 'otwartą_ranę', 'skaleczenie', 'nacięcie', 'cięcie', 'szlif', 'ranienie', 'cenzura', 'montażysta', 'przerzucić', 'cięte', 'central_unica_dos_trabalhadores', 'cienki', 'raniąc', 'rana_cięta', 'krój', 'cenzura_odredakcyjna', 'rana_otwarta', 'cenzury', 'rany', 'obniżyć', 'rana', 'cenzurowane', 'smecz', 'kawałek_mięsa', 'zimne_ramię', 'cut', 'fason', 'montaż', 'skracać', 'huśtawka_baseball'}
damage	{'utarg_marginalny', 'oszpecać', 'the_fantastic_adventures_of_dizzy', 'chłostać', 'fantastic_adventures_of_dizzy', 'szkody_prawne', 'make_this_your_own', 'sprzęt_wypadek', 'fantastic_dizzy', 'uszkodzenie', 'damage', 'skaza', 'znieszczenie', 'cena', 'szkoda', 'cena_brutto', 'ceny_detalicznej'}
dance	{'taniec', 'pląsać', 'power_dance', 'tan', 'muzyki_tanecznej', 'tancerzy', 'oliver_heldens', 'tańce', 'post-disco', 'dancé', 'dance,_dance', 'potańcówka', 'tańczyć', 'waterloo', 'muzyka_dance', 'dance', 'post_disco', 'tancerz', 'dance_party', 'tańcować', 'utwór_taneczny', 'tańca', 'zabawa', 'euro_house', 'balety'}
dangerous	{'śmiały', 'niebezpieczny_groźny', "it's_hard", 'groźny', 'kusicielka', 'dangerous', 'brawurowy', 'niebezpieczne', 'niebezpieczny'}
day	{'gwiezdny_dni', 'dni', 'dzień_astronomiczny', 'słoneczny_dzień', 'dwadzieścia_cztery_godziny', '24-godzinna_przerwa', 'dwadzieścia_cztery_godziny_okres', 'czas_słoneczny', 'dzień', 'clarence_day', 'długość_dnia_słonecznego', 'czasu_słonecznego', 'clarence_day_jr_shepard', 'dziå', 'doba', 'doba_słoneczna', 'day', 'w', 'dzień_i_noc'}
deceive	{'szachrajstwo', 'bałamuctwo', 'matactwo', 'oszustwo', 'łotrostwo', 'oszustwa', 'oszukaństwo', 'machlojka', 'nieprzyzwoitość', 'zwodnicze', 'szwindel', 'krętactwo', 'macherka', 'kanciarstwo', 'granda', 'mistyfikacja', 'nieuczciwość', 'hoax'}
dedication	{'oddanie', 'ofiarowanie_niemowląt', 'dedication', 'zadedykowanie', 'konsekracja_kościoła', 'poświęcenie_kościoła', 'błogosławieństwo_niemowląt', 'dedykacja'}
deliberately	{'celowo'}
