ability	{'evne', 'aptitude'}
big	{'balanse', 'minerality', 'frukt', 'norm_nixon', 'tørr', 'big', 'stypsis', 'stor', 'kroppen', 'bjarke_ingels_group', 'store'}
bird	{'charlie_parker', 'å_gi_noen_fingeren', 'avafauna', 'fjærball', 'charles_christopher_parker', 'roosting', 'bronx_cheer', 'yardbird_parker', 'å_vise_langfingeren', 'fugl', 'razz', 'bird', 'wench', 'aves', 'jente', 'nåtidsfugler', 'boo', 'razzing', 'fuglearter', 'kasteball', "å_gi_finger'n", 'fjærball_høne', 'å_vise_fingeren', 'fugler', 'fuglefaunaen', 'fingeren', 'neornithes', 'bird_parker', 'charles_parker_jr.', 'mikuni_shimokawa', 'tøs'}
bite	{'mellommåltid', 'snack', 'brenne', 'pikant', 'biting', 'bitter', 'biter', 'bite', 'pungency', 'insektbitt', 'bi-spesifikke_t-celle_engager', 'tildeling', 'chomp', 'matbit', 'bitt', 'steven_hassan', 'insektsbitt', 'krydret', 'stikk', 'brodd', 'stikket'}
black	{'den_negroide_rase', 'negroide', 'taio_cruz', 'svarte_samfunnet', 'black', 'inkiness', 'hispanic', 'svart_kvinne', 'afrikansk', 'andre_raser', 'negresse', 'negroids', 'svart_mann', 'latino', 'shirley_temple', 'kari_kimmel', 'skamfull', 'farge', 'farve', 'shirley_jane_temple', 'hvite', 'final_fight', 'svarte_kvinner', 'planeswalker', 'totalt_mørke', 'lightlessness', 'negroid_rase', 'negrene', 'afrikansk_avstamning', 'shirley_temple_black', 'shirley_jane_temple_black', 'shirley_temple_svart', 'negro', 'svart_person', 'asiatisk', 'negere', 'joseph_black', 'mørkhudete_mennesker', 'svart', 'negre', 'farger', 'sort', 'skjendig', 'skammelig', 'strukturfarge', 'negrer', 'final_fight_3', 'svart_afrikansk', 'vanærende', 'sensation', 'magic:_the_gathering', 'svarte_mennesker', 'blackamoor', 'negroid', 'neger', 'tonehøyde_blackness'}
blood	{'the_black_parade', 'blodmat', 'collective_soul', 'blod_linje', 'blodtyper', 'arvelig', 'blodlegemer', 'bordeaux', 'blood', 'blodslinje', 'arvelighet', 'arv', 'roue', 'hematologiske', 'rakehell', 'genetisk_arv', 'getting_away_with_murder', 'persistence_of_time', 'blod', 'blodet', 'opphav', 'vs.', 'blodtype', 'oksygenrikt_blod', 'arveegenskaper', 'bordeaux_vin', 'biologisk_arv', 'menneskeblod'}
blow	{'kaste_bort', 'vindkast', 'slag', 'nese_godteri', 'tilbakeslag', 'blow', 'skryte', 'gust'}
body	{'balanse', 'kadaver', 'fet', 'tørr', 'dauing', 'artikkel', 'kropp', 'bagasjerommet', 'fysiske_kroppen', 'nyhetsartikkel', 'glidekasse', 'avisartikkel', 'soundbox', 'minerality', 'låsekasse', 'system', 'peke', 'brødtekst', 'polytopes', 'body', 'teairra_mari', 'kadavre', 'liket', 'kadaver_skrott', 'tidsskrift', 'den_subtile_kroppen', 'leotard', 'kroppen', 'eubstance', 'drakt', 'karosseri', 'felt-effekt_transistorer', 'legemsdel', 'karosserier', 'stypsis', 'polytopen', 'unitard', 'gate', 'lik_kadaver', 'felt-effekt_transistor', 'torso', 'polytop', 'bodysuit', 'coachbuilder', 'organisme', 'subtile_kroppen', 'mottakeren', 'frukt', 'felteffekttransistor', 'fysiske_struktur', 'cat_suit', 'felteffekttransistorene', 'lik', 'organisk_struktur', 'kadaver_skrott_skrog', 'legeme', 'skriftgrad', 'likene', 'døde_kroppen', 'auto_kroppen', 'catsuit', 'dør', 'punktstørrelse'}
bone	{'knokkel', 'offwhite', 'bones', 'elfenben', 'bone', 'osseous', 'bein', 'def_jam', 'osseous_vev', 'def_jam_recordings'}
brain	{'heile', 'hette', 'brain', 'genialitet', 'tenker', 'geni', 'menneskelige_sinn', 'karakter', 'sinn', 'hjerne', 'pære', 'læringsevne', 'lampe', 'mental_innhold', 'bryan_mantia', 'encefalon', 'intellekt', 'bryan_«brain»_mantia', 'encephalon', 'grunn', 'forstand', 'bryan_"brain"_mantia', 'nous', 'resonnement', 'fornuftig', 'hukommelse', 'hjernens_funksjon', 'hjernekraften', 'mental_kapasitet', 'hodet', 'toppetasjen', 'fornuft', 'fornuften', 'banks', 'menneskehjernen', 'hjernen', 'hjernen_hos_pattedyr', 'brainiac', 'kuppel', 'brian_mantia', 'sinnet', 'psyke'}
breast	{'byste', 'bryster', 'daier', 'thorax', 'brystvorter', 'brystkreft', 'brystene', 'brystkassen', 'torakal', 'kvinnebryst', 'forlykt', 'melon', 'brystvorte', 'pupp', 'batteri', 'pectus', 'bryst', 'brystkasse', 'kar-_og_thoraxkirurgi', 'patte', 'nøtt', 'the_breast', 'pupper', 'brystparti', 'hvitt_kjøtt', 'barm', 'titty', 'brystet'}
breathe	{'music_from_the_body', 'i-empire', 'funeral_for_yesterday', 'dark_side_of_the_moon', 'breathe', 'time', 'puste', 'the_dark_side_of_the_moon', 'a_class', 'kristof_konrad'}
broken	{'echo', "winterheart's_guild", 'csi:_miami', 'ms._kelly', 'plastic_beach', 'delta_machine', '12_stones', 'the_best_of_bruce_dickinson', 'feilaktig', 'brutt', 'broken'}
building	{'byggverk', 'byggeplasser', 'offentlig_bygning', 'byggeplassen', 'byggebransjen', 'bygninger', 'bygge-_og_anleggsnæringa', 'byggenæringen', 'bygningen', 'anleggsarbeid', 'konstruere', 'konstruksjon', 'bygge-_og_anleggsnæringen', 'bygging', 'offentlige_bygninger', 'tits_bygningen', 'bygge', 'bygg_og_anlegg', 'bygning', 'byggeprosjekt'}
burn	{'solbrenthet', 'dallas_burn', 'tredje_grads_forbrenning', 'bekk', 'bål', 'tan', 'åpen_ild', 'f.c._dallas', 'vassdrag', 'branner', 'flamme', 'forbrenning', 'tredje_grad_brenne', 'eld', 'flammende', 'brannsår', 'brenne_mark', 'bekker', 'fc_dallas', 'burn', 'vassdraget', 'tredjegrads_forbrenninger', 'burn_intense_energy', 'andre_grad_brenne', 'ild', 'ilden', 'suntan', 'vannløp', 'ruisseau', 'kauterisere', 'tredje_grads_forbrenninger', 'burn_juiced', 'erythema_solare', 'brann', 'brenne', 'bekkefar'}
business	{'butikk', 'foretak', 'virksomhet_anspore', 'selskaper_lov', 'kommersiell', 'virksomheten', 'business', 'næringsliv', 'for-profit', 'jobb', 'virksomhet', 'linje_av_arbeid', 'business_vitenskap', 'forretningssystem', 'næringsvirksomhet', 'selskapsform', 'kommersiell_virksomhet', 'firma', 'selskap', 'for_profitt', 'stadium_virksomhet', 'servicenæring', 'forretningsaktivitet', 'næringslivet', 'klientell', 'stilling', 'yrke', 'virksomheten_bekymring', 'selskapsformer', 'kunde', 'uavhengige_kontraktører', 'yrker', 'byplay', 'beskjeftigelse', 'lob', 'konsern', 'bedrifter', 'bransje'}
camera	{'kamera', 'film_kamera', 'tv-kamera', 'filmkamera', 'camera', 'kameraer', 'motion-bilde_kamera', 'cine-kamera', 'the_back_room', 'fotografisk_kamera', 'kameraet'}
carefully	{'uro', 'bekymring', 'nøye'}
challenge	{'utfordring-respons', 'the_challenge', 'innvending', 'utfordre', 'bestride', 'challenge-response_autentisering', 'utfordring'}
charity	{'veldedighet', 'veldedige_status', 'veldedige_organisasjoner', 'polemonium_van-bruntiae', 'broderlig_kjærlighet', 'polymonium_caeruleum_van-bruntiae', 'polemonium_caeruleum', 'offentlig_veldedighet', 'veldedig_organisasjon', 'fjellflokk', 'veldedighetsorganisasjon', 'veldedig_status'}
charming	set()
child	{'ungdom', 'pre-pubescent', "l'enfant", 'barndom', 'barnet', 'tiddler', 'datter', 'mindre', 'døtre', 'juvenile', 'barn', 'youngster', 'mindreårige', 'mindreårig', 'skolebarn'}
clothes	{'plagg', 'bekledning', 'påkledning', 'antrekk', 'klesindustrien', 'tøy', 'herreekvipering', 'wearable', 'klede', 'womenswear', 'klær', 'habiliment', 'klesplagg'}
cloud	{'infrastruktur_som_en_tjeneste', 'cloud_infrastruktur', 'sky_infrastruktur', 'cloud_strife', 'nettskyen', 'cloud-tjenester', 'sky_støvsky', 'sky', 'kiba', 'hybrid_sky', 'skyer', 'sverm', 'cloud', 'en_skytjeneste', 'nettsky', '☁', 'offentlig_sky', 'cloud_computing', 'gjemme', 'skjule', 'svermende', 'cloud_hosting', 'skydannelse', 'skytjeneste', 'skytjenester'}
cockroach	{'kakkerlakker', 'suborder_blattaria', 'blattaria', 'kakkerlakk', 'suborder_blattodea', 'blattodea', 'kakerlakker', 'kakkelakk', 'kakerlakker_og_termitter', 'kakerlakk', 'cockroach'}
code	{'koden', 'kodifikasjon', 'datakode', 'planlegge', 'koder', 'kodifisering', 'koden_av_lover', 'code', 'kode', 'kodeks', 'programkode', 'kodet'}
cold	{'nicole_scherzinger', 'snue', 'forkjølelse', 'kald', 'copd', 'kols', 'nasofaryngitt', 'kaldt', 'kronisk_obstruktiv_lungesjukdom', 'kaldblodig', 'cold', 'kronisk_obstruktiv_lungesykdom', 'kulde', 'lav_temperatur', 'craig_david', 'akutt_nasofaryngitt'}
collection	{'mazhar-fuat-özkan', 'bunting', 'bundling', 'beholder', 'akon', 'inkasso', 'inkassobyrå', 'appell', 'collection', 'the_offspring_collection', 'relasjon', 'samle', 'inkassator', 'hawkwind', 'aggregasjon', 'container', 'sett', 'mfø', 'bunt', 'the_charlatans', 'ingathering', 'joe_sample', 'kunstsamling', 'koblingssalg', 'montering', 'gruppe', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'mfö', 'produktbunting', 'kunstsamlinger', 'kompendium', 'produktbunt', 'aggregering', 'samling'}
come	{'ejakulere', 'sædvæske', 'nå', 'come', 'komme', 'kommer', 'sperma', 'sædvæsken', 'traff', 'sæd', 'cum', 'sperm', 'gjøre', 'kommet', 'ankommer', 'ankomme'}
computer	{'datamaskinbruk', 'computer_technology', 'digital_databehandling', 'kalkulator', 'estimator', 'computer', 'personal_computer', 'datagenerert_musikk', 'menneske-maskin', 'datamaskin', 'datamaskinsystem', 'datautstyr', 'digitale_datamaskiner', 'datamaskiner', 'datamaskinen', 'figurer', 'elektronhjerne', 'datasystemer', 'informasjonsbehandling_system', 'elektroniske_datamaskinen', 'datakurs', 'databehandler', 'generell_datamaskin', 'datasystem', 'datamaskin_musikk', 'regnemaskin'}
construction	{'modell', 'byggeplasser', 'byggeplassen', 'byggebransjen', 'runescape', 'bygge-_og_anleggsnæringa', 'byggenæringen', 'anleggsarbeid', 'rettslig_tolkning', 'konstruere', 'armadyl_godsword', 'runecsape.no', 'konstruksjon', 'uttrykk', 'bygge-_og_anleggsnæringen', 'bygging', 'struktur', 'grammatisk_konstruksjon', 'bygge', 'bygg_og_anlegg', 'mental_syntese', 'konstitusjonelle_tolkning', 'byggeprosjekt'}
cook	{'kokk', 'commis_kokk', 'james_cook', 'tilberede', 'hjelpekokk', 'frederick_albert_cook', 'overkokk', 'sous-chef', 'ordne', 'lage_mat', 'kort_rekkefølge_kokk', 'sjefskokken', 'kjøkkensjef', 'kaptein_cook', 'kokk_kokke', 'sjefskokk', 'koker', 'frederick_cook', 'kokker', 'korte_rekkefølge_kokk', 'kokke', 'diettkokk', 'kaptein_james_cook', 'cook', 'kort-order_kokk', 'uss_«donald_cook»', 'forfalske', 'captain_cook'}
correct	{'virkelig', 'innstille', 'korrekt', 'rett', 'riktig', 'stille_inn', 'rette_opp', 'sann', 'justere'}
count	{'saken', 'tallsystemet', 'tallsystemer', 'jarl', 'countship', 'liste', 'fulltelling', 'earls', 'comtesse', 'numeration', 'opplisting', 'telle', 'jarledømmet', 'structured_query_language', 'opptelling', 'vurdere', 'greve', 'greven_av_monte_christo', 'sql', 'oppteljing', 'tallsystem', 'comital', 'romersk_greve', '.sql', 'greven_av_monte_cristo', 'earl'}
counting	{'telle', 'tallsystemet', 'opptelling', 'tallsystemer', 'tallsystem', 'oppteljing', 'liste', 'numeration', 'telling', 'opplisting'}
crazy	{'c.r.a.z.y.', 'the_r.e.d._album', 'erika_jayne', 'sinnssjukt', 'galskap', 'playing_with_fire', '...famous_last_words...', 'sjukt', 'nutcase', 'gal', 'sinnssykdom', 'because_of_you', '(you_drive_me)_crazy', 'looney', 'crazy', 'sykt', 'sinnsssjukt', 'loony', 'loca', 'sinnssykt', 'usher'}
cut	{'forkorte', 'snu', "director's_cut", 'filmredigering', 'wounding', 'dreie', 'vende', 'skjæring', 'film_redigering', 'links', 'kuttet', 'sensur', 'sår', 'filmklipper', 'klippe_ut', 'snitt', 'kutte_ned', 'kutt_og_fyll', 'tynne_ut', 'åpen_snitt', 'kuttet_av_kjøtt', 'stykningsdel', 'spor', 'primal_kutt', 'redigering_av_film', 'klipp', 'kutt', 'åpent_sår', 'skade', 'film_editor', 'central_única_dos_trabalhadores', 'videoredigering', 'sensurert', 'sensurerer', 'videoklipping', 'såre', 'filmklipping', 'kuttskader', 'kald_skulder', 'd.cut', 'stykke', 'trykk_sensur', 'cut', 'sensuren', 'sjongleringsmønster', 'redusere', 'klipping', 'politisk_sensur', 'baseball_swing', 'kutte'}
damage	{'juridisk_skade', 'utsalgspris', 'scathe', 'priser', 'forverres', 'prisen', 'damage', 'nedbrytes', 'skjemmes', 'pris', 'skade', 'utstyr_havari', 'løpende_priser', 'skjemme'}
dance	{'danserinne', 'danse', 'dans', 'dance', 'dance_party', 'oliver_heldens', 'dansere', 'post-disco', 'dansemusikk', 'dansekunst', 'waterloo', 'danser'}
dangerous	{"it's_hard", 'farlig', 'farefull_farefull', 'dangerous'}
day	{'dagtid', 'siderisk_dag', 'dagen', 'soltid', 'dager', 'mener_soldøgn', 'dag', 'dagene', 'day', 'clarence_shepard_day_jr', 'daglengde', 'tjuefire_timers_periode', 'solar_dag', 'tilsynelatende_solens_gang', 'solens_gang', 'clarence_day', 'soldøgn', '24-timers_intervall', 'døgn', 'dagens_lengde', 'tjuefire_timer'}
deceive	{'villedende', 'bedrag', 'uærlighet', 'bedra', 'falskhet', 'svik', 'knavery'}
dedication	{'engasjement', 'dedication', 'troskap', 'dedikasjon'}
deliberately	{'bevisst'}
delivery	{'lovlig_overføring', 'bringe', 'accouchement', 'transportindustrien', 'spøk', 'tilbudskurven', 'utfrielse', 'måte_å_tale', 'jape', 'levering', 'transportere', 'fertil', 'alienable', 'vitser', 'tilbudskurve', 'transportinfrastruktur', 'passasjertransport', 'grovis', 'vittighet', 'delivery', 'blødme', 'tilgang', 'fremmedgjøring', 'hjemkjøring', 'spøkefull', 'fødsel', 'vitsing', 'vits', 'vaginal_fødsel', 'levering_gutt', 'tilbud', 'arbeidskraft_og_levering', 'produsentoverskudd', 'fruktbar', 'transport', 'redde', 'redning'}
dessert	{'afters', 'dessertvin', 'dessert', 'dessert_viner', 'desserter', 'dessert_vin'}
device	{'trådløs_telefon', 'config.sys', 'mobil_mobilnettet', 'mobil', 'mobil_kommunikasjon', 'mobilkommunikasjon', 'personlig_maskinvare', 'hardware', 'maskin', 'mobile_mobilnettet', 'device', 'driftsmidler', 'mobiltelefon', 'mobiltelefoner', 'cellphone', 'mobiltelefoni', 'maskinvare', 'maskiner'}
die	{'spillterning', 'dø', 'døde', 'polyhedral_terninger', 'bortgang', 'lastet_terninger', 'dødsfall', 'tidlig_død', 'terningspill', 'daude', 'døden', 'bryte_sammen', 'terningene', 'død', 'terning', 'krepere', 'terningspell', 'die', 'terninger', 'dør', 'spellterning'}
dig	{'gibe', 'graving', 'utgraving', 'skjønne', 'kunne', 'forstå', 'dig', 'jibb', 'grave', 'stikk', 'arkeologiske_området'}
dinner	{'middagsselskap', 'dejeuner', 'teatime', 'lunsjen', 'middag', 'lønsj', 'supper', 'supé', 'tiffin', 'lunch', 'formiddagsmat', 'te', 'ettermiddagste', 'middagsmat', 'middagsbord', 'lunsj'}
dirty	{'minnebuffer', 'instruksjon_cache', 'cache_miss', 'hurtigbufring', 'dirty', 'cpu_cache', 'skitne', 'dirrty', 'hurtigminne', 'skitt', 'data_cache', 'skitten', 'l2_cache', 'skrive-back', 'jord', 'underworld', 'set-assosiativ', 'cache_linje', 'jordarter', 'l3_cache', 'ram-bufferminne', 'hurtigbuffer', 'l1_cache', 'skrøpelige', 'cache', 'jordsmonn', 'cache-minne'}
disease	{'affeksjon', 'plevritt', 'pleurisy', 'helseplage', 'morbiditetsrate', 'uvelhet', 'medisinsk_lidelse', 'syke', 'begowal', 'sykdommer', 'pleuritt', 'sjukdom', 'medisinsk_tilstand', 'sykdom_sjukdom', 'sykdom', 'medisinske_tilstander', 'lungehinnebetennelse', 'sykelig', 'lidelse'}
dissolve	{'oppløse', 'overtoning'}
disturb	{'sjokkere', 'opprøre'}
do	{'klarer', 'sone', 'føre_til', 'gå', 'oppføre_seg', 'doctor_of_osteopati', 'tao', 'pule', 'dào', 'blomstre', 'marshall_applewhite', 'dao', 'tamtam', 'drepe', 'fest', 'oppfører_seg', 'festen', 'klare', 'jokke', 'selskap', 'gjestebud', 'soirée', 'kjenne', 'handle', 'partiet', 'do', 'utføre', 'kjøre', 'knulle', 'gjøre', 'gjør', 'doh', 'fester', 'sitte_inne'}
doctor	{'medikus', 'den_femte_doktoren', 'reparere', 'doktor', 'kirkelæreren', 'primærlege', 'den_ellevte_doktoren', 'rory_williams', 'rude_boy', 'den_niende_doktoren', 'den_fjerde_doktoren', 'dr._theol.', 'kirurg', 'loïc_nottet', 'dr._who', 'doctorat', 'drift_kirurg', 'den_tredje_doktoren', 'hudlege', 'medical_officer', 'den_tiende_doktoren', 'leger', 'doktorgrader', 'sawbones', 'doktorgrad_doktortittel', 'dr.psychol.', 'den_sjuende_doktoren', 'dr', 'den_første_doktoren', 'den_sjette_doktoren', 'amy_pond', 'doktorgraden', 'fornye', 'cand.med.', 'dr._psychol.', 'kirkelærer', 'doctor_who', 'eliza', 'lege', 'kirkelærere', 'kirurger', 'leger_i_kirken', 'dr._ing', 'doctor_ecclesiae', 'legen', 'profesjonell_doktorgrad', 'doctor', 'høyere_doktorgrad', 'den_åttende_doktoren', 'krigs-doktoren', 'doktorleker', 'læge', 'dr._psychol', 'utbedre', 'doktorgrad', 'dr.grad', 'dr_who'}
dog	{'montefrank', 'andiron', 'monte_frank', 'tamhund', 'pølser', 'tamhunder', 'frump', 'familiehund', 'duck_hunt', 'canider', 'hund', 'hakket', 'fakta_om_hunder', 'løpe', 'canis_familiaris', 'bisk', 'wienerwurst', 'hunder', 'hundekjøtt', 'allergivennlige_hunder', 'pølse_i_brød', 'bikkje', 'innenlandske_hund', 'hund-jern', 'jage_etter', 'canids', 'hundedyr', 'firedog', 'hunden', 'moderne_hundedyr', 'familiaris', 'kjøter', 'french_hot_dog', 'canidene', 'peisbukk', 'frankfurter', 'blackguard', 'allergivennlig_hundetype', 'pølse_med_lompe', 'allergivennlig_hund', 'hundene', 'weenie', 'familien_canidae', 'caninae', 'hot_dog', 'forfølge', 'canis_lupus_familiaris', 'canidae', 'hundefamilien', 'pølse', 'hotdog', 'hundens_opprinnelse', 'ulvefamilien', 'pawl', 'pølse_i_lompe'}
dressing	{'bandasjerer', 'bind', 'plagg', 'stuffing', 'bekledning', 'påkledning', 'antrekk', 'klesindustrien', 'bandasje', 'dressing', 'medisinsk_dressing', 'herreekvipering', 'wearable', 'salat_dressing', 'sårbandasje', 'womenswear', 'klær', 'habiliment', 'forbinding', 'klesplagg'}
drink	{'drikkevann', 'drikkevarer', 'rochester_institute_of_technology', 'drikker', 'svelge', 'boozing', 'drikke', 'fyll', 'drikk', 'drikkevare', 'svelg', 'drikking', 'drinkable', 'crapulence', 'drink'}
