ability	{'alkalmasság', 'képesség'}
bar	{'foobar', 'pub_jel', 'söntés', 'elűz', 'taphouse', 'sekély', 'pothouse', 'millibar', 'sandbars', 'kocsmai', 'pub_grub', 'foo,_bar_és_baz', 'public_house', 'csárda', 'ütemmutató', 'pub_food', 'baz', 'apai_név', 'béta-2-adrenerg_receptor', 'millibarban', 'vonás', 'szalon_üzembentartó', 'nyilvános_ház', 'bonaventure_de_bar', 'jogi_szakma', 'sörfőzde_csap', 'kirekeszt', 'zátonyok', 'bar,_montenegro', 'barline', 'bar,_corrèze', 'bajor', 'bárpult', 'farnesoid_x_receptor', 'patrynomic', 'bár', 'browning_automata_puska', 'antibari', 'vendégfogadó', 'jogi_közössége', 'kocsma', 'patronímiával', 'pálinkamérés', 'antivari', 'ginmill', 'mbar', 'nemzetségnév', 'intézkedés', 'bar', 'advocatus', 'megelőzés', 'elhesseget', 'nyilvános_házak', 'homok_bank', 'megelőzésére', 'csík', 'pub', 'keresztbetesz,_útját_állja', 'patronym', 'apai', 'rúd', 'country_inn', 'pub_élelmiszer', 'béta-2-receptor', 'foo'}
bark	{'il–2', 'ckb-55', 'bark', 'il_2_sturmovik', 'ckb–55', 'il-2', 'sturmovik', 'bárka', 'kéreg', 'ugat', 'bs–2', 'barque', 'fa_kéreg', 'ugatás', 'bs-2', 'periderm'}
bear	{'állni', 'tu–95', 'medve', 'bear', 'medveféle', 'tupoljev_tu-142', 'medvefélék', 'tu-95', 'tupoljev_tu-95', 'kibír', 'tu-142', 'medvék', 'tu-20', 'fizet', 'tupoljev_tu-20', 'szül', 'kifizet', 'kiáll', 'tupoljev_tu–95', 'tu–142', 'mike_brown', 'elvisel', 'webelos', 'ursidae', 'tartalmaz'}
beat	{'ritmikus', 'zenei_ritmus', 'beat', 'költői_mérő', 'off-beat', 'versláb', 'ritmus', 'spondeus', 'legyőz', 'mérő', 'időmértékes_verselés', 'siteswap', 'versmérték', 'ütem', 'ritmusok', 'lebegés', 'ritmikus_egység', 'pulzus', 'beatnik'}
because	{'mert', 'because'}
bed	{'megkúr', 'megbasz', 'dug', 'bed', 'folyómeder', 'mértéktelen_evészavar', 'baszik', 'varrás', 'kúr', 'patakmeder', 'meder', 'ágy', 'streambed', 'ágynemű_sík', 'rétegtag', 'megdug'}
beer	{'biztonsági_házirendek_végrehajtása_az_alkalmazási_rétegen', 'ale', 'sör', 'söripar', 'beer'}
belly	{'könnyű_pénz', 'hasi_izmok', 'hasa', 'has', 'emberi_has', 'belly', 'pocak'}
big	{'stypsis', 'norm_nixon', 'száraz', 'test', 'nagy', 'mineralitás', 'gyümölcs', 'bjarke_ingels_group', 'big', 'gyümölcs-és'}
bird	{'bird_parker', 'edward_bird', 'madarak', 'yardbird_parker', 'ujját', 'madárvilág', 'bird_–_charlie_parker_élete', 'mikuni_shimokawa', 'charlie_parker', 'tollaslabda', 'charles_christopher_parker', 'avafauna', 'madárvilága', 'bird', 'razz', 'éjszakázó', 'avialae', 'tollaslabdajáték', 'hess', 'kakas', 'az_ujját', 'madár', 'aves', 'razzing', 'szajha', 'bronx_vidámság'}
bite	{'steven_hassan', 'csípősség', 'harap', 'csípős', 'uzsonna', 'rovarcsípés', 'tízórai', 'bi-specifikus_t-sejt-kapcsolótag', 'harapás', 'fűszeres', 'pikáns', 'chomp', 'csípés', 'lekötés', 'szúrás', 'falatozás'}
black	{'taio_cruz', 'lightlessness', 'latino', 'szerecsen', 'teljes_sötétségben', 'néger_jellegű', 'ázsiai', 'fekete_nők', 'magic:_the_gathering', 'black', 'fekete_közösség', 'néger', 'négerek', 'színek', 'fekete_bőrű', 'joseph_black', 'fekete', 'szín', 'final_fight_3', 'inkiness', 'negroid', 'fekete-afrikai', 'feketebőrű', 'final_fight', 'planeswalker', 'fehér', 'sensation', 'kari_kimmel', 'shirley_temple_fekete', 'raszter_feketeség', 'fekete_nő', 'negroids', 'spanyol', 'más_fajok', 'afrikai_származású', 'shirley_temple', 'feketebőrűek', 'colin_vearncombe', 'fekete_bőrűek', 'fekete_ember'}
blood	{'származású', 'vér', 'cj', 'getting_away_with_murder', 'bordeaux-i_borvidék', 'trombocita', 'vérvonal', 'vérrokon', 'vérlemezke', 'the_black_parade', 'blood', 'öröklődés', 'bordeaux', 'örökletes', 'vérerek_sérülése', 'vérvonalból', 'hematológiai', 'kicsapongó', 'genetikai_örökség', 'bordeaux_bor', 'véráramba', 'collective_soul', 'rakehell', 'persistence_of_time', 'emberi_vér', 'vs.', 'oxigéndús_vér'}
blow	{'a_helyszínelők', 'blow', 'orr_candy', 'visszaesés', 'széllökés', 'lebeg', 'fúj', 'betépve'}
body	{'teairra_marí', 'body', 'száraz', 'szervezeti_struktúrát', 'mutat', 'torzó', 'mineralitás', 'fizikai_szerkezet', 'tornadressz', 'térvezérlésű_tranzisztor', 'tetem', 'hír', 'stypsis', 'aura', 'poliéderek', 'vevő', 'karosszéria', 'újságcikk', 'dög', 'cikk', 'eubstance', 'védőöltözet', 'gyümölcs', 'bejárat', 'tipográfiai_mértékrendszer', 'pont', 'soundbox', 'folyóiratcikk', 'ajtónyílás', 'test', 'törzs', 'catsuit', 'tetemeket', 'karosszériaépítő', 'fet', 'hulla', 'auto_test', 'ajtó', 'gyümölcs-és', 'fizikai_test', 'richard_body', 'unitard', 'kapu', 'térvezérlésű_tranzisztorok', 'akrobatatrikó', 'holttest', 'politóp', 'tipometria', 'macska_öltöny', 'finom_test'}
bone	{'piszkosfehér', 'def_jam_recordings', 'csontok', 'csont', 'elefántcsont', 'os', 'bone', 'csontszövettel'}
brain	{'bryan_mantia', 'mentális_tartalom', 'érvelés', 'brainiac', 'fejét', 'szellemi_képesség', 'emlős_agy', 'elme', 'emberi_elme', 'gógyi_felügyelő', 'a_nagy_zsákmány', 'tanulási_képesség', 'agy', 'értelem', 'brain', 'agyak', 'psziché', 'agyműködés', 'agyvelejéből', 'nous', "brain,_côte-d'or", 'zseni', 'agyvelő', 'ész', 'banks'}
breast	{'mellrák', 'mell', 'pectus', 'cici', 'emlő', 'mellkas', 'fehérhúsú', 'csöcs', 'the_breast', 'kebel', 'thorax', 'mellkasi', 'emlőrák'}
breathe	{'funeral_for_yesterday', 'i-empire', '11:59', 'music_from_the_body', 'a_class', 'lélegezni', 'breathe', 'the_dark_side_of_the_moon', 'time', 'music_from_"the_body"', 'kristof_konrad'}
broken	{'hibás', 'téves', '12_stones', 'csi:_miami_helyszínelők', 'halo_5', 'broken', "winterheart's_guild", 'echo', 'törött', 'ms._kelly', 'plastic_beach', 'winterheart’s_guild', 'ébredés', 'mclean', 'the_best_of_bruce_dickinson', 'delta_machine', 'tükör/szilánk'}
building	{'építkezéseken', 'épületek', 'építés', 'építkezés', 'épület', 'középületek', 'építési_munka', 'tits_épület', 'építőipar', 'építési_projekt', 'felépítés', 'középület'}
burn	{'patakok', 'időszakos_patak', 'elég', 'hamilton', 'láng', 'erythema_solare', 'égés_és_forrázás', 'ruisseau', 'harmadik_foka_éget', 'fc_dallas', 'éget_mark', 'leégés', 'ég', 'burn', 'tűz', 'lángoló', 'lebarnulás', 'harmadfokú_égések', 'eléget', 'patak', 'vízfolyás', 'napégés', 'harmadik_fokú_égési', 'tűzvész', 'égési_sérülés', 'második_fokú_éget', 'tan', 'égés', 'éget'}
business	{'üzleti_vállalkozás', 'független_vállalkozó', 'üzleti', 'üzleti_aggodalomra', 'lob', 'üzlet', 'szakma', 'üzleti_szektor', 'ügyfél', 'biznisz', 'a_profit', 'üzleti_hurok', 'független_vállalkozók', 'üresedés', 'feladat', 'ügyfélkör', 'egyéni_vállalkozó', 'üzletág', 'elfoglaltság', 'cég', 'vállalkozások', 'üzleti_tudomány', 'szakaszban_üzleti', 'napi_munkát', 'for-profit', 'társasági_törvény', 'üzleti_út', 'üzleti_rendszer', 'munkát', 'kereskedő', 'sorban_a_munka', 'vevőkör', 'kereskedelmi_vállalkozás', 'byplay', 'munka', 'gazdasági_társaság', 'business', 'foglalkozás', 'cégalapítás'}
camera	{'fényképezőgép', 'televíziós_kamera', 'mozgás-kép_kamera', 'keskenyfilmvetítő', 'professzionális_videó_kamera', 'the_back_room', 'filmfelvevőgép', 'camera', 'tv_kamera', 'kamera', 'kamerák', 'fényképező'}
carefully	{'gondosan', 'aggodalom'}
challenge	{'kérdés-válasz_hitelesítés', 'megtámadni', 'challenge-response'}
charity	{'bejegyzett_jótékonysági', 'nyilvános_jótékonysági', 'közhasznú_szervezet', 'polemonium_van-bruntiae', 'kék_csatavirág', 'jótékonysági_szervezetek', 'polemonium_caeruleum', 'polemonium_coeruleum', 'testvéri_szeretet', 'charity', 'jótékonysági_szervezet', 'polymonium_caeruleum_furgon_bruntiae', 'közhasznú_státuszt', 'szeretet'}
charming	set()
child	{'ifjonc', 'fiatalkorú', 'ifjú', 'lánya', 'lány', 'gyerek', 'siheder', 'félpennys', 'a_gyermek', 'srác', 'gyermek', 'pre-serdülő', 'kisebb', 'gyermekkor', "l'enfant", 'kiskorú', 'gyermekek', 'iskolás', 'jelentéktelen'}
clothes	{'öltözet', 'ruhadarab', 'női', 'viseletben', 'ruházati', 'díszes_öltözet', 'ruházat', 'felszerelés', 'ruhák', 'ruházati_ipar', 'hordható', 'ruha'}
cloud	{'hibrid_felhő', 'cloud_strife', 'tömeg', 'felhőképződés', 'cloud_computing', 'felhő_szolgáltatások', 'felhő', 'rajzás', 'felhőalapú_számítástechnika', 'nyilvános_felhő', 'sereg', 'cloud_hosting', 'raj', 'felhő_számítástechnika', 'felhő_az_infrastruktúra', 'daniel_cloud_campos', 'cloud', 'infrastruktúra_mint_szolgáltatás', 'felhők', 'felhő_szolgáltatás', 'felleg', 'számítási_felhő', 'felhő_alapú_számítástechnika', 'kiba', 'felhő-alapú', 'szolgáltatott_infrastruktúra'}
cockroach	{'svábbogarak', 'svábbogár', 'csótány', 'blattaria', 'blattodea', 'cockroach', 'alrendbe_blattodea', 'alrendbe_blattaria', 'csótányok'}
code	{'kodifikáció', 'kodifikációja', 'kódot', 'törvénykönyv', 'számítógépes_kódot', 'kódol', 'rejtjel', 'kódok', 'kódját', 'kódolt', 'jogszabály-gyűjtemény', 'kódex', 'kód', 'ütemez', 'számítógépes_kód'}
cold	{'john_gary', 'acut_respiratiós_betegség', 'nasopharyngitis', 'heveny_orr-garatgyulladás', 'megfázás', 'rideg', 'meghűlés', 'felső_légúti_hurut', 'catarrhus', 'hűléses_hurut', 'alacsony_hőmérséklet', 'copd', 'hidegvérű', 'nátha', 'mghűlés', 'rhinopharyngitis', 'egyszerű_meghűlés', 'krónikus_obstruktív_tüdőbetegség', 'krónikus_obstruktív_légúti_betegség', 'cold', 'heveny_rhinitis', 'hideg', 'craig_david', 'nicole_scherzinger'}
collection	{'termék_csomagban', 'betakarítás', 'akon', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'gyűjtemény', 'aliaune_thiam', 'összeszerelés', 'tároló', 'csomag', 'the_offspring_collection', 'gyűjtemény_ügynökség', 'aggregálás', 'könyvsorozat', 'mfö', 'halmaz', 'the_charlatans', 'collection', 'összeállítás', 'művészeti_gyűjtemények', 'gyűjtő', 'behajtási', 'művészeti_gyűjtemény', 'kollekció', 'tartozás_kollektor', 'hawkwind', 'objektumkapcsolat', 'összesítés', 'mazhar_fuat_özkan', 'joe_sample'}
come	{'lövell', 'eszébe_jut', 'megjön', 'jön', 'ejakulátum', 'elérje', 'elér', 'érkeznek', 'cum', 'sperma', 'come', 'ondó', 'odajön', 'ondófolyadék', 'elélvez'}
computer	{'adatfeldolgozó', 'számítástechnikai_gép', 'computer_technology', 'elektronikus_számítógép', 'emberi_számítógép', 'számítógépes_rendszer', 'számítógépes_rendszerek', 'számítógép', 'információ_feldolgozó_rendszer', 'számítógépes_zene', 'komputer', 'számítógép_által_generált_zene', 'számológép', 'computer', 'digitális_számítástechnika', 'számítástechnikai_eszköz', 'általános_célú_számítógép', 'figurer', 'digitális_számítógépek', 'számítógépek', 'számítógéprendszer', 'becslő'}
construction	{'épített_struktúra', 'lelki_szintézis', 'szerkezet', 'építkezéseken', 'nyelvtani_szerkezet', 'modell', 'bírói_értelmezés', 'kifejezés', 'építés', 'építkezés', 'építőipar', 'struktúra', 'építési_projekt', 'felépítés', 'építési_munka', 'runescape'}
cook	{'konyhafőnök', 'rövid_időn_belül_szakács', 'séf', 'james_cook_kapitány', 'cook', 'alec_empire', 'szakács', 'privát_séf', 'captain_cook', 'frederick_cook', 'szakácsok', 'házi_szakács', 'főzni', 'executive_chef', 'sous-chef', 'rövid_távú_rend_szakács', 'főz', 'cook_kapitány', 'frederick_albert_cook', 'james_cook'}
correct	{'állítsa_be', 'hibátlan', 'beállít', 'helyes'}
count	{'megszámol', 'comital', 'számolás', 'számlál', 'teljes_szám', 'grófság', 'earls', 'számrendszertan', 'számít', 'hármas_számrendszer', 'countship', 'sql', 'grófok', 'jarl', 'számol', 'lista', 'fontolja_meg', 'comtesse', 'structured_query_language', 'sql_programozási_nyelv', 'hetes_számrendszer', 'számrendszer', 'helyiértékes_számrendszer', 'felsorolás', 'számrendszerek', 'nyom', 'gróf', 'monte_cristo_grófja'}
counting	{'lista', 'megszámlálás', 'számolás', 'hetes_számrendszer', 'számrendszer', 'helyiértékes_számrendszer', 'számrendszertan', 'felsorolás', 'számrendszerek', 'hármas_számrendszer'}
crazy	{'(you_drive_me)_crazy', 'bolond', 'őrült', 'c.r.a.z.y.', 'looney', 'crazy', 'because_of_you', 'különc', 'dilinyós', 'usher', 'őrület', 'elmebaj', 'erika_jayne', 'playing_with_fire', '...famous_last_words...', 'loca', 'the_r.e.d._album'}
cut	{'vágás', 'cut', 'baseball_swing', 'film_szerkesztő', 'vágott_hús', 'fordít', 'cenzúra', 'hideg_váll', 'lerövidít', 'nyílt_seb', 'csökkenteni', 'cenzorok', 'tükrözés', 'montázs', 'cenzor', 'seb', 'élesvágás', 'film_szerkesztés', 'kútfalva_község', 'a_cenzúra', 'vágott', 'megsebesített', 'kútfalva', 'kivágás', 'sebek', 'kikapcsol', 'film_szerkesztése'}
damage	{'rosszabbodik', 'berendezések_baleset', 'damage', 'kár', 'végzet', 'elcsúfít', 'ár', 'tönkretesz', 'árképzés', 'árak', 'kiskereskedelmi_ár', 'jogi_kár'}
dance	{'dancé,_loire', 'george_dance', 'dancé', 'tánczene', 'oliver_heldens', 'dancé,_orne', 'post-disco', 'dnce-diszkográfia', 'táncol', 'táncolni', 'dance_party', 'waterloo', 'posztdiszkó', 'táncosok', 'dance', 'tánc', 'nathaniel_dance-holland', 'táncok'}
dangerous	{'dangerous', 'veszélyes', 'kockázatos', "it's_hard"}
day	{'nap', '24_órán_belül', '24-órás_intervallumban', 'fiktív_egyenlítői_középnap', 'nap_hosszúságú', 'fiktív_ekliptikai_középnap', 'clarence_shepard_day_jr.', 'day', 'napközben', 'csillagászati_nap', 'clarence_day', 'nappal', 'látszólagos_szoláris_idő', 'nap_hossza', 'huszonnégy_óra', 'szoláris_nap', 'szoláris_idő', 'átlagos_szoláris_nap'}
deceive	{'megtévesztés', 'becstelenség', 'megtévesztő', 'gazság'}
dedication	{'dedication', 'elkötelezettsége', 'elkötelezettségét'}
deliberately	{'szándékosan', 'készakarva', 'szántszándékkal'}
delivery	{'tréfát', 'élc', 'születés', 'fogamzóképes', 'közlekedési_infrastruktúra', 'közlekedéstudomány', 'fűződő', 'delivery', 'kifutófiú', 'vicc', 'házhoz_szállítás', 'megszabadítás', 'szülés', 'közlekedés', 'vajúdás_és_a_szülés', 'személyszállítás', 'bizonyos_értelemben', 'szállítás', 'tréfás', 'hecc', 'mentési', 'kínálat', 'gyermekvállalás', 'tréfa', 'átruházás', 'elidegenedés', 'elidegeníthető', 'hüvelyi_szülés', 'mentés', 'viccek', 'poén'}
dessert	{'desszert_bor', 'desszert_borok', 'desszert', 'desszertek', 'desszertbor'}
device	{'mobil_kommunikációs', 'hardware', 'gép', 'eszköz', 'gépek', 'hardver', 'device', 'személyi_számítógép_hardver', 'mobiltelefónia', 'mobiltelefonok', 'vezeték_nélküli_telefon', 'számítógépes_hardver', 'munkaeszközök', 'mobiltelefon', 'mobil', 'maroktelefon', 'config.sys'}
die	{'dobókocka', 'dobótest', 'kocka', 'halála', 'halál', 'betöltött_kocka', 'süllyeszték', 'poliéderes_kocka', 'kockával', 'halott', 'halálozások', 'meghalt', 'die,_drôme', 'elront', 'die'}
dig	{'dig', 'az_ősi_prófécia', 'megragadni', 'csúfolódás', 'ért', 'ásás', 'régészeti_lelőhely', 'ás', 'felfog', 'andré_dignimont'}
dinner	{'dejeuner', 'vacsora', 'tiffin', 'délutáni_tea', 'délebéd', 'teát', 'tea', 'csésze_tea_<!--_was_"csésze_tea#hungarian', 'vacsora_meghízott_vendégekkel', 'teatime', 'ebéd'}
dirty	{'mocskos', 'gyorsítótár', 'dirty', 'piszok', 'cpu-gyorsítótár', 'földes', 'piszkos', 'koszos', 'dirrty', 'talajosodás', 'bepiszkít', 'set-asszociatív', 'föld', 'talaj', 'utasítás-gyorsítótár', 'cpu_cache', 'underworld', 'cache_miss', 'gyorstár', 'write-back', 'szennyezett', 'cache_vonal', 'összepiszkít', 'l1_cache', 'memória_cache', 'mocsok', 'l2_cache', 'ram-gyorsítótár', 'tárolt', 'cache', 'gyorsítótárazás', 'beszennyez', 'l3_cache', 'a_talajok_kialakulását_befolyásoló_tényezők', 'cache_memória'}
disease	{'unwellness', 'begowal', 'megbetegedési_aránya', 'kór', 'pleuritis', 'mellhártyagyulladás', 'betegségek', 'betegség', 'morbid'}
dissolve	{'feloldódik', 'áttűnés', 'felold', 'felolvaszt', 'kiolvaszt'}
disturb	set()
do	{'megkúr', 'megbasz', 'viselkedik', 'megbirkózik', 'gyilkol', 'párt', 'tenni', 'dug', 'baszik', 'felek', 'doktora_osteopathy', 'összejövetel', 'fél', 'csinál', 'hogy', 'marshall_applewhite', 'parti', 'zsúr', 'soirée', 'játszik', 'sikerül', 'do', 'végrehajt', 'tesz', 'bulizás', 'buli', 'kezelni', 'doh', '도', 'kúr', 'megöl', 'öl', 'megdug'}
doctor	{'rude_boy', 'dr', 'tisztiorvosi', 'doktor', 'egyháztanító', 'orvos', 'orvosi_segédhologram', 'helyreállít', 'doktori_fokozatot', 'sebész', 'doktor_az_egyház', 'doktori', 'szakmai_doktori', 'loïc_nottet', 'mészáros', 'kutatási_doktorátus', 'dr.', 'ki_vagy,_doki?', 'eliza', 'orvosok', 'doctor_of_the_church', 'doktora', 'egyházdoktor', 'sebészek', 'restaurál', 'doctor', 'megjavít', 'orvosok_az_egyház', 'szakorvos', 'orvosi_segéd_hologram', 'működési_sebész', 'doctorat', 'doctor_who', 'magasabb_doktori', 'doktori_fokozat', 'doktorátus'}
dog	{'c._lupus_familiaris', 'bécsi_virsli', 'csoroszlya', 'zárócsap', 'kutyahús,_kutyaprém', 'hot-dog', 'virsli', 'canids', 'gazember', 'pecek', 'firedog', 'hazai_kutya', 'duck_hunt', 'kutya_hús', 'familiaris', 'űz', 'valódi_kutyaformák', 'kutyahús', 'andiron', 'kutyák', 'hot_dog', 'dog-vas', 'canis_lupus_familiaris', 'üldöz', 'canidae', 'hajszol', 'kutya', 'szuka', 'reteszelődő', 'kutyafélék', 'canis_familiaris', 'családi_canidae', 'hotdog', 'eb'}
dressing	{'öltözet', 'ruhadarab', 'női', 'viseletben', 'ruhák', 'salátaöntet', 'díszes_öltözet', 'ruházat', 'töltelék', 'kötszerész', 'orvosi_öltözködés', 'ruházati_ipar', 'hordható', 'ruha'}
drink	{'italt', 'nyelés', 'italok', 'iszik', 'ital', 'lil_jon', 'deglutition', 'inni', 'ivás', 'kicsapongás', 'iható'}
driver	{'számú_fa', 'vezető', 'driver:_san_francisco', 'teherautó-sofőr', 'összekapcsolt_tengely', 'erdő', 'cowcatcher', 'vezetői_kerék', 'kapcsolt_kerekek', 'kamionosoknak', 'kamionos', 'fa', 'erdők', 'autós', 'erdős', 'rengeteg', 'wälder', 'illesztőprogram', 'teherautó_sofőr', 'eszközillesztő', 'eszközmeghajtó', 'erdőben', 'autóvezető', 'hajtókerék', 'sofőr', 'driver', 'zöldségkertész', 'nyomtatómeghajtó', 'device_driver', 'soför', 'összekapcsolt_tengelyek', 'teherautó-vezetés', 'kamionosok', 'pilóta', 'tűlevelű_erdők', 'hardver-illesztőprogram'}
dry	{'stypsis', 'száraz', 'test', 'dry', 'szárít', 'mineralitás', 'gyümölcs', 'tiltó', 'dry,_loiret', 'gyümölcs-és', 'száradni'}
dull	{'hülye', 'buta', 'idióta', 'ostoba'}
dust	{'por', 'terméskő', 'babylon_5', 'fenciklidin', 'angyalpor', 'fencidiklin', 'fannings', 'pekoe', 'dust', 'törmelék', 'orange_pekoe', 'fenciklidin_hidroklorid'}
ear	{'csúcspont', 'pinnae', 'szánt', 'emberi_fül', 'csúcs', 'auris', 'fül_bomlás', 'ear', 'kalász', 'fülkagyló', 'fül'}
earth	{'magrathea', 'a_kék_bolygó', 'earth', 'a_föld', 'dragon_ball_af', 'milliways', 'földi_aggodalomra', 'dragon_ball', 'világban', 'lamuella', 'világon', 'ace_combat', 'brontitall', 'terra_firma', 'krikketi', 'golgafrincham', 'szilárd_talajon', 'világi_aggodalom', 'föld', 'szárazföld', 'saiyan', 'androméda', 'a_galaxis_útikalauz_stopposoknak_helyszínei'}
eat	{'evés', 'étkező', 'táplálkozás', 'étkezési', 'eat', 'enni', 'etetés', 'táplál', 'eszik', 'etet'}
economy	{'gazdasági_rendszerek', 'közgazdaságtan', 'takarékosság', 'a_közgazdaságtan_tárgya,_alapkérdései,_fő_részei', 'közgazdász', 'gazdasági', 'nemzeti_gazdaság', 'megtakarítási_ráta', 'gazdasági_tudomány', 'walden', 'megtakarítás', 'gazdasági_tevékenység', 'gazdaságtudomány', 'politikai_gazdaságtan', 'politikai_közgazdász', 'gazdaságilag', 'economy', 'gazdaság', 'vidéki_gazdaság', 'közgazdaságtudomány', 'gazdasági_rendszer', 'közgazdaság', 'gazdaságok', 'közgazdaság-tudomány'}
egg	{'ballock', 'phasmida', 'petesejt', 'tojás', 'csirke_tojás', 'herék', 'teste', 'augustus_egg', 'ovális', 'heregolyó', 'nyílt_rendszerek_összekapcsolása', 'osi-modell', 'golyó', 'botsáska', 'hal_tojás', 'rendelés_phasmatodea', 'egg', 'tojást', 'rendelés_phasmida', 'osi', 'pete', 'here', 'petesejtek', 'botsáskák', 'phasmatodea', 'ellipszis', 'baromság', 'osi_referencia_modell', 'tök', 'testis', 'mogyoró', 'elliptikus', 'tojástermelés', 'tojás_hal', 'madár_tojás', 'a_tojás', 'osi_modell'}
election	{'gimiboszi', 'választási_folyamatot', 'újraválasztása', 'election', 'népszavazás', 'újraválasztását', 'választási_politika', 'demokratikusan_megválasztott', 'választási', 'választások', 'végzés_választási', 'újraválasztási', 'választás'}
