ability	{'capacidad', 'poder', 'habilidad', 'ingenio', 'talento', 'aptitud'}
attitude	{'orientación_espacial', 'predilección', 'patrón_de_comportamiento', 'postura', 'predisposición', 'inclinación', 'ángulo_de_euler', 'mala_presentación', 'propensión', 'orientacion', 'angulos_de_euler', 'conductas', 'proclividad', 'reload', 'posturas', 'disposición', 'attitude', 'orientación', 'actitud', 'posicion_humana', 'comportamiento', 'tendencia', 'posición_humana', 'conducta', 'hechos', 'modales', 'sentido', 'mala_conducta', 'postura_corporal', 'pauta', 'comportamiento_social', 'posar', 'porte', 'ademán', 'comportamientos', 'angulo_de_euler', 'maneras', 'proceder', 'actuación', 'rampante', 'patron_de_comportamiento', 'conductual', 'postura_humana', 'conducta_social', 'actitudes', 'posturas_corporales', 'actitud_mental', 'posición', 'ángulos_de_euler'}
back	{'parte_trasera', 'marcador', 'vértebras', 'posterior', 'ir/dar_marcha_atrás', 'cubierta', 'espalda', 'interior_del_centro', 'fondo', '백', 'respaldo', 'retroceder', 'espina_dorsal', 'back,_lewis', 'centro_de_la_espalda', 'centro_fuera', 'raquis', 'hacia_atrás', 'lateral_izquierdo', 'bai', 'vertebrales', 'envés', 'encuadernación_de_libros', 'parte_de_atrás', 'prop_tighthead', 'columna_vertebral', 'posición_de_rugby_a_15', 'zaguero_central', 'apertura', 'sostener', 'zaguero', 'respaldar', 'revés', 'espaldar', 'aventurar', 'defensa_central', 'invertir', 'defensa_lateral', 'encuadernación', 'segundar', 'endosar', 'marcador_central', 'lomo', 'trasero', 'arriesgar', 'dorso', 'columna_vertebralis', 'espinazo', 'ayudar', 'marcador_de_punta', 'reverso', 'del_respaldo', 'rosario', 'portada', 'lateral_derecho', 'defensa', 'tapa', 'secundar', 'de_vuelta', 'b.a.c.k.', 'en_respuesta', 'de_atrás', 'posición_en_rugby_a_15', 'medio_centro', 'back', 'atrás', 'defensor', 'hacer_volver', 'medio_apertura', 'backfield', 'anticuado', 'trasera', 'como_contestación', 'apoyar', 'aprobar'}
bad	{'chungo', 'carcomido', 'descompuesto', 'malo', 'inmoral', 'base_aerea_barksdale', 'grande', 'gran', 'fuerte', 'malamente', 'base_de_la_fuerza_aérea_barksdale', 'ryan_montgomery', 'bcl-2-promotor_asociado_a_la_muerte', 'estropeado', 'big_audio_dynamite_ii', 'bad', 'base_de_la_fuerza_aerea_barksdale', 'maldad', 'big_audio', 'arriesgado', 'big_audio_dynamite', 'barksdale_afb', 'podrido', 'grandemente', 'inseguro', 'malignidad', 'el_mal', 'falso', 'b.a.d', 'terrible', 'mal', 'perjudicial', 'royce_da_5\'9"', 'bad_world_tour', 'forjado', 'base_aérea_barksdale', 'malvado', 'deteriorado', 'falsificado', 'barksdale_air_force_base'}
bag	{'bolsa', 'bolsa_de_papel_plástico', 'bolsa_de_viaje', 'ensacar', 'hurtar', 'embolsar', 'robar', 'bolsa_de_mano', 'bulto', 'sustraer', 'petardo', 'saco', 'colgar', 'mangar', 'derribar', 'petaca', 'monedero', 'hincharse', 'pan_comido', 'bolsa_de_plástico', 'rapiñar', 'bolsa_de_papel', 'bolsos', 'quitar', 'bolsa_plástica_de_compra', 'multiconjunto', 'bruja', 'mala', 'cartera', 'pandearse', 'bolsa_papel', 'embolsarse', 'funda', 'loro', 'taza_de_té', 'cacatúa', 'conjuntos_múltiples', 'talega', 'antigua_bolsa', 'maleta', 'ubre', 'bolsas_de_papel', 'cartucho', 'valija', 'bolsos_de_mano', 'talego', 'jaba', 'bag', 'peluca_de_bolsa', 'embolsillarse', 'conjunto_múltiple', 'base', 'bolso', 'afanar', 'bolsito_de_centurón'}
ball	{'esferica', 'semiesférica', 'balas', 'gonada_masculina', 'bola_de_tenis', 'lucille_ball', 'lucille_desiree_ball', 'glob', 'strike', 'bulto', 'bola_mala', 'bodoque', 'balon_de_futbol', 'ovillar', 'bola', 'bola_cerrada', 'lucille_désirée_ball', 'strike_zone', 'bala', 'pella', 'pelotas', 'testículo', 'testiculo', 'dídimo', 'wilfred_williams_ball', 'zona_de_strike', 'ball', 'gónada', 'balón_de_fútbol_americano', 'falla', 'bolas', 'bollocks', 'dianne_belmont', 'gónada_masculina', 'balón_de_fútbol_gridiron', 'huevos', 'aovillar', 'huevo', 'proyectil', 'testículos', 'balón_de_futbol', 'fútbol', 'john_ball', 'pelota_de_futbol', 'bola_abierta', 'bultito', 'baile', 'trozo', 'pelotas_de_tenis', '2-esfera', 'balon_de_fútbol', 'testicular', 'óvulo', 'ballock', 'teste', 'círculo', 'ojiva', 'balón', 'pelota_de_tenis', 'bala_de_mosquete', 'cojón', 'orbe', 'testiculos', '⚽', 'enrollar', 'cojon', 'terrón', 'superficie_esférica', 'esférica', 'pelota', 'balón_de_fútbol', 'esfera', 'metatarso', 'turma', 'mosquete_pelota', 'cojones', 'pelota_de_fútbol', 'esférico', 'volumen_de_la_esfera'}
bar	{'tabernizadas', 'receptor_beta-2', 'abogacía', 'profesión_jurídica', '6/8', '9/8', 'compás_cuaternario', 'atrancar', 'compas', 'taberneria', 'bar,_montenegro', 'nr1h4', 'bodegón', 'factor_de_forma_de_telefonos_moviles', 'public_house', 'fxr', 'impedir', 'taberna', 'patrynomic', 'bavariano', 'bavaroaustriaco', 'receptor_x_farnesoide', 'quux', 'pubs', 'tasca', 'receptor_beta_2', 'idioma_austro-bávaro', 'receptor_adrenérgico_beta_2', 'tabernera', 'método_de_la_raya', 'patronímico', 'mbar', 'alla_breve', 'idioma_austro_bavaro', 'browning_automatic_rifle', 'comunidad_legal', 'barra', 'receptor_adrenergico_beta_2', 'ginmill', 'raya', 'compás', '12/8', '3/2', 'bloquear', 'baz', 'indicación_de_compás', 'médano', 'tap_house', 'receptor_farnesoide_x', 'signo_pub', 'tabernas', 'compás_compuesto', 'idioma_austro_bávaro', 'banco', 'bavaroaustríaco', 'barra_de_compás', 'bajío', 'excluir', 'barra_de_compas', 'banco_arenoso', 'vara', 'indicacion_de_compas', '3/4', 'the_bar', 'antivari', 'comida_de_pub', 'posada_de_campo', 'antibari', 'tabernerías', 'patronímicos', 'receptor_farnesoid_x', 'ocluir', 'compás_simple', 'marca_de_tiempo', 'marginar', 'patrónimo', 'austro-bávaro', 'obstaculizar', '4/4', 'idioma_austro-bavaro', 'beta2-agonista', 'obstruir', 'compás_ternario', 'colegio_de_abogados', 'qux', 'tabernario', 'compas_cuaternario', 'compás_de_12/8', 'expeler', '3/8', 'fábrica_de_cerveza_del_grifo', 'barras_de_abogados', 'desterrar', 'estorbar', 'metodo_de_la_raya', 'milibares', 'centro_nocturno', 'tabernerias', 'pub', 'echar', 'banco_arena', 'atorar', 'idioma_bavaro', 'compasillo', 'centros_nocturnos', 'tabernarias', 'tabernarios', 'tabernizados', 'prevención', 'bonaventura_de_bar', 'bávaro', 'profesión_legal', 'tabernizada', 'exiliar', 'bonaventure_de_bar', 'nombre_patronímico', '6/4', 'pastilla', 'entorpecer', 'desmotadera_de_algodón', 'taberneros', 'compás_binario', 'expulsar', 'beta2_agonista', 'portero_salón', 'bonaventura_debar', 'advocatus', 'foobar', 'taberneras', 'posada', 'foo', 'colegios_de_abogados', 'idioma_bavariano', 'barrar', 'trazo', 'taphouse', 'patronimico', 'idioma_vienés', 'pothouse', 'bancos_de_arena', 'el_bar', 'factor_de_forma_de_teléfonos_móviles', 'receptor_beta-2_adrenérgico', 'tabernaria', '2/4', 'boarisch', 'adrb2', 'palo', 'medida', 'compasillo_binario', 'bar', 'tabernería', 'tabernizado', 'lanza', 'bajo', 'compás_musical', 'idioma_bávaro', 'barra_de_abogados', 'banco_de_arena'}
bark	{'ilyushin_il_2_sturmovik', 'corteza', 'descortezar', 'il-2_shturmovik', 'ilyushin_il_2', 'pelar', 'ilyushin_il-2_shturmovik', 'iliouchine_il_2_sturmovik', 'ilyushin_il-2_sturmovik', 'ilyushin_2', 'il-2_sturmovik', 'bark', 'il_2_shturmovik', 'il_2t', 'guau', 'il-2t', 'il_2m', 'ilyushin_il-2', 'ilyushin_il-2_il-2m3', 'ladreria', 'iliouchine_il-2_sturmovik', 'velero_de_tres_mástiles', 'il-2_type_3', 'barca', 'il_2_type_3', 'corteza_de_árbol', 'ladrería', 'il_2_sturmovik', 'il-2m', 'il-2i', 'bricbarca', 'il_2i', 'ritidoma', 'ladrido', 'il2_sturmovik', 'sturmovik', 'velero_de_cuatro_mástiles', 'peridermis', 'shturmovik', 'ilyushin_il_2_shturmovik', 'ladrar'}
bear	{'mercado_en_baja', 'úrsido', 'ursidae', 'contienen', 'poseer', 'tolerar', 'aceptar', 'tupolev_tu-95_bear', 'devengar', 'producir', 'tupolev_20', 'webelos', 'dar_a_luz', 'levantar', 'comportarse', 'esperar', 'the_bear', 'condescender', 'encerrar', 'ejercer', 'ursine', 'aguardar', 'tupolev_tu_95', 'tichera', 'tupolev_tu_20', 'ursidos', 'paul_hoffman', 'sufrir', 'rendir', 'ocupar', 'ostentar', 'bear', 'pagar', 'portar', 'apechar', 'nacer', 'exiliar', 'sobrellevar', 'consentir', 'traer_al_mundo', 'tupolev_95', 'oso', 'digerir', 'tu-95', 'sostener', 'comprar', 'alumbrar', 'conformarse', 'tupolev_tu-20', 'dar', 'tu-20', 'tu_20', 'comunidad_del_oso', 'ursido', 'adquirir', 'bajista', 'admitir', 'ursoidea', 'tomar', 'tupolev_tu-95', 'túpolev_tu-95', 'parir', 'someterse', 'mike_brown', 'llevar', 'contener', 'úrsidos', 'absorber', 'tener', 'tupolev_tu_95_bear', 'soportar', 'vestir', 'asumir', 'osos', 'traer', 'tu_95', 'resignarse', 'aguantar', 'entregar'}
beat	{'jet_set_radio_future', 'ritmica', 'golpear', 'siteswap', 'dar_una_paliza', 'metrica_española', 'verso_cuantitativo', 'ritmo_compuesto', 'pulsación', 'desconcertar', 'metro_cuantitativo', 'vencer', 'versificacion', 'rítmico', 'quemar', 'triunfar', 'irritar', 'células_rítmicas', 'cadencia', 'derrotado', 'toque', 'ritmo_musical', 'desbrozar', 'métrica', 'compás', 'incomodar', 'metrica_poética', 'ritmicos', 'metrica_poetica', 'tiempo', 'asombrar', 'beat', 'tamborilear', 'métrica_española', 'aplastar', 'honda_fc50', 'jet_grind_radio', 'agotarse', 'ritmo', 'golpetear', 'beatniks', 'ritmos', 'frecuencia_de_batido', 'percutir', 'marcar_el_ritmo', 'jet_set_radio', 'batimiento', 'confundir', 'metrica_espanola', 'burlar', 'metro', 'hecho_polvo', 'unidad_rítmica', 'agotado', 'apalear', 'batir_a_golpes', 'agotar', 'fuera_de_compás', 'latido_del_corazón', 'pegar', 'bombardear', 'golpear_repetidamente', 'agitar', 'aletear', 'the_beat', 'sorprender', 'tamborear', 'agógica', 'golpeteo', 'versificación', 'martillear', 'latido', 'revolver', 'rítmicos', 'métrica_espanola', 'sacudir', 'ronda', 'molestar', 'ganar', 'rítmica', 'picar', 'métrica_poética', 'batir', 'dominar', 'derrotar', 'honda_beat', 'latir', 'aporrear', 'etapa', 'medida', 'metrica', 'jsrf', 'beatnik', 'pulso'}
because	{'because', 'porque', 'ya_que'}
bed	{'lámina', 'follar', 'saber', 'pasada', 'tirar', 'tumbarse', 'encantar', 'cauce_fluvial', 'tirarse', 'cauce', 'follarse', 'lecho_de_río', 'costura', 'cama', 'lecho', 'fondo', 'pichar', 'síndrome_del_atracón', 'cala_cama', 'lecho_fluvial', 'bed', 'dar_cama', 'garchar', 'culear', 'jalar', 'dormir', 'cachar', 'coger', 'cepillarse', 'joder', 'binge_eating_disorder', 'asiento', 'vaguada', 'trastorno_por_atracon', 'chingar', 'ir_a_dormir', 'atracones_de_comida', 'tener_sexo', 'lecho_río', 'jardín', 'arroyada', 'sindrome_del_atracón', 'catrera', 'alojar', 'piltra', 'encamarse', 'trastorno_por_atracón', 'fondo_del_lecho', 'vergar', 'retirarse', 'sindrome_del_atracon', 'conocer', 'síndrome_del_atracon', 'tenderse', 'cuadro', 'acostarse', 'cauce_del_río', 'echarse', 'nivel', 'copular', 'yacimiento', 'estrato', 'hacer_el_amor', 'acostar', 'capa', 'veta', 'irse_al_catre', 'plano_de_estratificación', 'estirarse'}
beer	{'ale', 'bíter', 'cerveza_inglesa', 'cerveza', 'birra', 'johann_georg_beer', 'industria_cervecera', 'cerveza_sin_gluten', 'johann_beer', 'joseph_georg_beer', 'cerveza_ale', 'beer', 'camra', 'cervezas', 'industria_de_la_cerveza'}
belly	{'belly', 'bulto', 'abdomen', 'abdominal', 'músculos_abdominales', 'abdominales', 'panza', 'tripa', 'tronco', 'estómago', 'vientre', 'abdomen_humano', 'guata', 'barriga'}
big	{'prominente', 'rumboso', 'a_lo_grande', 'frutas', 'equilibrio', 'stypsis', 'magnánime', 'adulto', 'jactancioso', 'astringencia', 'gestante', 'enorme', 'fanfarrón', 'bouque', 'encinta', 'violento', 'pródigo', 'grande', 'buquet', 'bouqué', 'grandemente', 'quisiera_ser_grande', 'big', 'mineralidad', 'importante', 'fachendoso', 'magnífico', 'garboso', 'fuerte', 'magnánimo', 'seco', 'valentón', 'embarazada', 'preñada', 'espléndido', 'bjarke_ingels_group', 'norm_nixon', 'terrible', 'perdonavidas', 'cuerpo', 'gran', 'generoso', 'vanidoso', 'buqué', 'dadivoso', 'grandes', 'mr._big', 'desprendido', 'destacado', 'valientemente'}
bird	{'volante', 'yardbird_parker', 'higa', 'aves', 'razz', 'bird_parker', 'rehilete', 'birds', 'signo_del_gallo', 'nena', 'niña', 'edward_bird', 'hacer_el_gesto_del_dedo_medio', 'moza', 'britney_señal', 'parker', 'dedo', 'bronx_cheer', 'pluma', 'muñeca', 'hacer_el_fuck_you', 'avafauna', 'gesto_fuck_you', 'chica', 'abucheo', 'pájaro', 'pájaros', 'pajaro', 'dinosaurio_aviar', 'avifauna', 'muchacha', 'gallo', 'charlie_«bird»_parker', 'pajarraco', 'ave', 'pajarracos', 'charles_christopher_parker', 'razzing', 'gachí', 'galloanserae', 'nene', 'polla', 'mikuni_shimokawa', 'tía', 'dinosaurio_aviano', 'bomba', 'pitada', 'pajaros', 'charlie_parker', 'bird', "charlie_''bird''_parker"}
bite	{'porción', 'picotada', 'bocadillo', 'picar', 'picotazo', 'picante', 'mordida', 'mordedura', 'acritud', 'gota', 'picor', 'piscolabis', 'cobertura', 'chomp', 'dar_un_bocado', 'merienda', 'refrigerio', 'bala_fría', 'pungencia', 'piquetazo', 'incendiar', 'aperitivo', 'pinchar', 'morder', 'quemar', 'intensidad', 'mordeduras', 'picadura', 'acrimonia', 'bocado', 'tentempié', 'mordisco', 'aguijón', 'refacción', 'picadura_de_insectos', 'colación', 'piquislabis', 'botana', 'abrasar', 'bi-específica_de_células_t_cogedor', 'picada', 'steven_hassan', 'picadura_de_insecto', 'cep70'}
black	{'blanco', 'taio_cruz', 'razas_del_censo_2000_en_los_e_e_u_u', 'tiznar', 'planeswalkers', 'isleños', 'catastrófico', 'final_fight_3', 'colorido', 'joseph_negro', 'kari_kimmel', 'escandalosa', 'lightlessness', 'río_black', 'raza_africana', 'caminantes_de_planos', 'sensation', 'kemit', 'negros', 'infame', 'cromo', 'islenos_del_pacifico', 'corrupto', 'planeswalker', 'razas_del_censo_2000_en_los_e.e.u.u.', 'latinos', 'amerindio', 'moro', 'color_negro', 'kari_meredith_kimmel', 'magic:the_gathering', 'negra', 'razas_del_censo_2000_en_los_e_e.u.u.', 'carl_sweezy', 'tez', 'otras_razas', 'propiedades_del_color', 'ascendencia_africana', 'ennegrecer', 'sombrío', 'color', 'negruzco', 'desastrosa', 'kemet', 'color_del_vino', 'río_negro', 'islenos', 'magic:_el_encuentro', 'razas_del_censo_2000_en_los_e_e_u.u.', 'magic', 'magic:_the_gathering', 'deshonroso', 'oscuro', 'isleños_del_pacifico', 'ruinoso', 'lastimoso', 'ignominioso', 'desastroso', 'renegrido', 'bruno', 'perverso', 'tono_negro', 'desolador', 'atezado', 'tiznarse', 'magic_the_gathering', 'nativo_americanos', 'sardónico', 'colores_neutros', 'escandaloso', 'shirley_temple_negro', 'magic_el_encuentro', 'bochornoso', 'negro', 'negroide', 'hombre_negro', 'islenos_del_pacífico', 'incoloro', 'ciencia_del_color', 'desgraciado', 'razas_del_censo_2000_en_los_e_e_u_u.', 'negrura', 'caminante_de_planos', 'mujer_negro', 'raza_negra', 'grupos_étnicos', 'blancos', 'hispano', 'calamitoso', 'raza', 'mordaz', 'shirley_temple', 'asiáticos', 'isleños_del_pacífico', 'negroides', 'coloración', 'obscuro', 'andore_jr', 'black', 'nativos_americanos', 'colores', 'tiznado', 'pirata', 'andore', 'gama', 'guianía', 'afroamericano', 'joseph_black', 'viso', 'urza', 'oprobioso', 'final_fight_one', 'rio_negro', 'desgraciada', 'desheret', 'negror', 'entiznarse', 'latino', 'final_fight', 'funesto', 'ennegrecerse', 'nigérrimo', 'mujer_negra', 'asiaticos', 'persona_negro', 'colin_vearncombe', 'andore_jr.', 'razas', 'negro_africano', 'siniestro', 'comunidad_negro', 'etnia_negra', 'tinte', 'vergonzoso', 'oscuridad', 'persona_negra', 'vergonzosa', 'oscuridad_total', 'mujeres_negras', 'shirley_temple_black', 'pigmento', 'piel_negra', 'grupos_etnicos', 'shirley_jane_temple', 'hispanos', 'ricitos_de_oro', 'final_fight_guy', 'inkiness'}
blood	{'vinos_de_burdeos', 'viñedo_de_burdeos', 'tejido_sanguíneo', 'casta', 'burdeos_vino', 'herencia_genética', 'haema', 'tejido_sanguineo', 'cj', 'abolengo', 'licencioso', 'herencia_biológica', 'linaje', 'circulacion_sanguinea', 'célula_sanguinea', 'disoluto', 'carácter', 'descendencia', 'bordeaux', 'libertino', 'ascendencia', 'línea_de_sangre', 'sangre_oxigenada', 'herencia_genetica', 'celulas_de_la_sangre', 'irrigación_sanguinea', 'hematológicos', 'sangre_line', 'the_black_parade', 'vs.', 'persistence_of_time', 'célula_sanguínea', 'circulación_de_la_sangre', 'células_sanguíneas', 'vignoble_de_bordeaux', 'celula_sanguínea', 'circulacion_sanguínea', 'árbol_genealógico', 'estirpe', 'burdeos', 'vinedo_de_burdeos', 'pedigrí', 'blood_kiwamu_fuki_kaede', 'línea_de_descendencia', 'parentesco', 'celula_sanguinea', 'línea', 'vs', 'circulacion_de_la_sangre', 'parentela', 'sanguis', 'sangre', 'saga', 'origen', 'sangre_humana', 'collective_soul', 'vino_burdeos', 'getting_away_with_murder', 'blood', 'vino_de_burdeos', 'células_de_la_sangre', 'herencia'}
blow	{'ufanarse', 'estropear', 'dragonear', 'topetazo', 'derivar', 'malgastar', 'coca', 'apelotonar', 'tropiezo', 'gloriarse', 'adversidad', 'desgastar', 'pifiar', 'porrazo', 'soplido', 'pitar', 'farolear', 'choque', 'chuparla', 'joderla', 'jactarse', 'percance', 'presumir', 'blow', 'toque', 'flotar', 'bocanada', 'vanagloriarse', 'chupar', 'ostentar', 'conmoción', 'soplar', 'fachendear', 'trastazo', 'soplo', 'descalabro', 'desperdiciar', 'nariz_caramelo', 'racha', 'revés', 'tirar_el_dinero', 'trompazo', 'c', 'caramelo', 'chapucear', 'disgusto', 'resoplar', 'poner', 'arrojar', 'golpe', 'creerse', 'ráfaga', 'arruinar', 'bravear', 'fanfarronear', 'cagarla', 'golpetazo', 'contratiempo', 'nieve', 'golpazo', 'gallardear', 'impacto', 'farlopa', 'batacazo', 'alardear'}
body	{'traje', 'frutas', 'noticias_historia', 'stypsis', 'torso', 'carrocero', 'estructura_física', 'df', 'eubstance', 'astringencia', 'cuerpo_físico', 'restos_mortales', 'estilo_de_redacción_periodística', 't', 'elementos_estilisticos_en_carrocerias_de_automóviles', 'bouque', 'elementos_estilísticos_en_carrocerías_de_automóviles', 'leotardos', 'difunto', 'cuerpo_anatómico', 'cuerpo_sutil', 'artículos', 'redacción_de_noticias', 'irracionalidad_en_los_automoviles', 'fiambre', 'cadáver_humano', 'cuerpo_muerto', 'buquet', 'bouqué', 'asociación', 'técnica_de_expresión', 'dar_cuerpo', 'mineralidad', 'catsuit', 'politopo', 'reportaje', 'tipo_de_carrocería', 'muerto', 'calavera', 'estilo_periodístico', 'estructura_orgánica', 'seco', 'estilo_de_expresión_periodística', 'piterpanes', 'solido', 'articulos', 'punto_tipográfico', 'articulo', 'richard_body', 'estilo_informativo', 'fet', 'maillot', 'sólido_geométrico', 'punto_tipografico', 'tieso', 'cadáver', 'técnica_de_redacción', 'latonería', 'grado', 'irracionalidad_en_los_automóviles', 'gato_traje', 'el_cuerpo', 'leotardo', 'técnica_de_redacción_periodística', 'receptor', 'equilibrio', 'punto', 'transistor_de_efecto_campo', 'comunidad', 'corporación', 'cadáveres', 'transistores_de_efecto_campo', 'cuerpo_geometrico', 'restos', 'sólido', 'body', 'cadaveres', 'teairra_mari', 'traje_de_cuerpo', 'tamaño_de_punto_pequeño', 'puerta', 'tamaño_en_puntos', 'carrocería', 'cuerpo_geométrico', 'wonder_showzen', 'latoneria', 'objeto', 'carroceria', 'tronco', 'artículo', 'de_efecto_de_campo_transistor', 'solido_geometrico', 'articulista', 'consistencia', 'cuerpo', 'elementos_estilisticos_en_carrocerías_de_automoviles', 'fuente', 'teairra_marí', 'cenizas', 'unitard', 'caja_de_resonancia', 'chapería', 'chaperia', 'noticia', 'politopos', 'elementos_estilisticos_en_carrocerías_de_automóviles', 'cadaver', 'buqué', 'transistor_de_efecto_de_campo', 'elementos_estilísticos_en_carrocerías_de_automoviles', 'artículo_periodístico', 'elementos_estilisticos_en_carrocerias_de_automoviles', 'objeto_físico', 'personificar', 'estilo_de_redacción_de_noticias'}
