ability	{'la_capacitat', 'aptitud', 'poder', 'habilitat', 'capacitat', 'enginy'}
at	{'toyota_coaster', 'sender_dels_apalatxes', "segona_república_d'àustria", 'transmissions_automàtiques', 'transmissió_automàtica', 'austria', 'österreich', 'kip', 'signe_@', 'at', 'nombre_atòmic_85', 'austríacs', 'canvi_automàtic', 'config.sys', 'archive_team', 'appalachian_trail', 'austríaca', 'arrova', 'oesterreich', 'àustria', "república_d'àustria", 'austríac', 'kip_laosià', '@', 'accionament_automàtic', 'àstat', "república_federal_d'àustria", 'en', 'tirosina_quinasa_de_bruton', 'sender_paisatgístic_nacional_dels_apalatxes'}
attitude	{'comportament_social', 'comportament_humà_modern', 'actuació', 'posició', 'modals', 'conducta_social', 'socialitat', 'positura', 'actitud', 'attitude', 'tendència', 'rampant', 'maneres', 'disposició', 'conductes', 'posat', 'mala_conducta', 'actitud_mental', 'port', 'fets', "angles_d'euler", 'inclinació', 'reload', 'orientació', 'actituds', 'conducta', 'mala_presentació', 'comportament', 'orientació_espacial', 'postura'}
back	{'arrere', 'mig_de_melé', 'centre', 'obertura', 'revés', 'dors', 'taloner', 'centre_fora', 'part_del_darrere', 'raquis', 'espinada', 'la_part_del_darrere', 'tercera_línia_centre', 'espina_dorsal', 'del_suport', 'defensa', 'secundar', 'esquena', 'pilar', 'rosari', 'espatller', '백', 'enquadernació', 'columna_vertebral', 'segona_línia', 'prop_tighthead', 'recolzar', 'vertebrals', "mig_d'obertura", 'tapa', 'tercera_línia_ala', "centre_de_l'esquena", 'posicions_del_rugbi_a_15', 'donar_suport', 'joc', 'tornada', 'enrere', 'mig_centre', '3/4_ala', 'defensa_central', 'darrere', 'interior_del_centre', 'lateral_esquerre', 'columna_espinal', 'respatler', 'revers', 'respatller', 'aprovar', 'tercera_línia_centra', 'vèrtebres', 'enquadernació_de_llibres', 'b.a.c.k.', 'back', 'recular', 'posterior', 'lateral_dret'}
bad	{'bcl-2-promotor_associat_a_la_mort', 'pesarós', 'apesarat', 'gran', 'fort', 'bad', 'falsificat', 'immoral', 'big_audio_dynamite', 'bua', 'perjudicial', 'xungo', 'maldat', 'malesa', 'royce_da_5\'9"', 'bad_world_tour', 'insegur', 'dolent', 'fals', 'mal', 'maligne', 'malvat', 'terrible', 'arriscat'}
bag	{'tassa_de_te', 'robar', 'maletes', 'valisa', 'conjunts_múltiples', 'sac', 'afanar', 'bombar-se', 'meta', 'furtar', 'embutxacar', 'rampinyar', 'ensacar', 'maleta', 'antiga_borsa', 'bossa_de_paper', 'paperina', 'bossa_de_plàstic', 'borsa', 'bossa_de_viatge', 'bossa_de_mà', 'base', 'inflar-se', 'multiset', 'multiconjunt', 'bag', 'bossa_de_paper_plàstic', 'prendre', 'bossa', 'bosses', 'mamella', 'braguer', 'cartera', 'bossa_paper', 'saca_de_correus'}
ball	{'bollocks', 'ball', 'bala', 'lucille_ball', 'bocí', 'ou', 'pilota_de_futbol', 'strike_zone', 'bales', 'testicular', 'bola', 'dídim', 'esfèric', 'rodapilotes', 'cabdellar', 'pilota', 'bola_tancada', 'semiesfèrica', 'mosquet_pilota', '3-esfera', 'bola_oberta', '2-esfera', 'teste', 'pilotes_de_futbol', 'futbol', 'testicle', 'pilotes', 'gònada', 'testicles', 'metatars', 'ballock', 'turma', 'pilota_de_futbol_americà', 'collons', 'zona_de_strike', 'pilotes_de_tennis', 'pilota_de_tennis', 'sector_esfèric', 'glob', 'colló', 'esfèrica', 'john_ball', 'esfera', 'terròs', 'bala_de_mosquet', 'tros'}
bar	{'comunitat_legal', 'bandejar', 'banc_sorra', 'jurista', 'mètode_de_la_ratlla', 'bancs_de_sorra', 'patrònim', 'boarisch', 'pubs', 'posada', 'signe_pub', 'professional_jurídica', 'advocacia', 'mesura', 'mil_·_libars', 'ratlla', 'posada_de_camp', 'barra_de_compàs', 'fonda', 'marginar', 'advocatus', 'bavarés', 'brasserie', 'foo', 'antibari', 'exiliar', 'pastilla', 'desterrar', 'tasca', 'foobar', 'patrynomic', 'factor_de_forma', 'ginmill', 'milibar', 'receptor_farnesoide_x', 'blocar', 'compàs', 'bar', 'public_house', 'bloquejar', 'receptor_beta-2_adrenèrgic', "fàbrica_de_cervesa_l'aixeta", 'professió_legal', 'tap_house', 'browning_automatic_rifle', 'banc_de_sorra', 'menjar_de_pub', 'porter_saló', 'barra', 'receptor_beta-2', 'professió_jurídica', 'mil·libars', 'telèfon_pissarra', 'tavernes', 'taphouse', 'taverna', 'mil·libar', 'prevenció', 'banc', 'receptor_farnesoid_x', 'obstruir', 'pub', 'mbar', 'austrobavarés', 'pothouse', 'patronímics', 'austrobavarès', 'antivari', 'excloure', 'bodegó', 'desmotadera_de_cotó', 'professional_jurídic', 'patronímic', 'bavarès'}
bark	{'bordar', 'corxa', 'lladruc', 'corbeta', 'barca', 'pelar', 'escorxar', 'bark', 'bricbarca', 'escorça', 'bossoga', "escorça_d'arbre", 'peridermis', 'lladrar', 'escorçar', 'corfa', 'decorticar'}
bear	{'ós', 'aguantar', 'conduir-se', 'dur', 'vestir', 'baixista', 'entregar', 'parir', 'exiliar', 'ursidae', 'prendre', 'adquirir', "comunitat_de_l'ós", 'úrsids', 'sofrir', 'bear', 'posseir', "l'ós", 'esperar', 'webelos', 'sostenir', 'mike_brown', 'contenir', 'pagar', 'onso', 'óssos', 'óssa', 'suportar', 'assumir', 'úrsid', 'contenen', 'portar-se', 'donar_a_llum', 'orso', 'ursine', 'captenir-se', 'tolerar', 'comportar-se', 'portar', 'rupert_bear'}
beat	{'pols', 'temps', 'metro_quantitatiu', 'palpitació', 'siteswap', 'unitat_rítmica', 'amartellar', 'aletejar', 'picar', 'cremar', 'bategada', 'ritme', 'esgotar-se', 'vèncer', 'conquerir', 'espolsar', 'transposicionals', 'pegar', 'ritme_musical', 'tamborinejar', 'tustar', 'batec', 'martellejar', 'ronda', 'irritar', 'beatnik', 'batre', 'fora_de_compàs', 'compàs', 'freqüència_de_batut', 'guanyar', 'esbategar', 'molestar', 'mètrica', 'beat', 'rítmica', 'beatniks', 'copejar', 'rítmics', 'jet_grind_radio', 'derrotar', 'vers_quantitatiu', 'agitar', 'ritmes', 'palpitar', 'esgotar', 'bategar', 'cadència', 'incomodar', 'rítmic', 'mètrica_(poesia', 'desconcertar', 'the_beat', 'remenar', 'jet_set_radio', 'tamborinar'}
because	{'perquè', 'ja_que', 'puix', 'car', 'because', 'puix_que'}
bed	{'clapar', 'fotre', 'buc', 'tàlveg', 'fer_un_clau', 'tirar-se', 'llit_riu', 'costura', 'jaciment', 'gitar-se', 'anar_al_llit', 'menjadora_compulsiva', 'cala_llit', "pla_d'estratificació", 'cardar', 'veta', "fer_l'amor", 'llit', 'fotre_un_clau', 'bed', 'torrentera', 'fons', 'saber', 'trastorn_per_afartament', 'filó', 'llitada', 'torrental', 'allitar-se', 'capa', 'encantar', 'follar', 'llit_del_riu', 'trastorns_per_afartament', 'menjador_compulsiu', 'vena', 'estirar-se'}
beer	{'beer', 'cervesa_ale', 'cervesa', 'cervesa_anglesa', 'bíter', 'indústria_cervesera', 'cervesera', 'ale', 'birra'}
belly	{'músculs_abdominals', 'buc', 'abdomen', 'abdòmen', 'estómac', 'abdomen_humà', 'panxa', 'paret_abdominal', 'butza', 'abdominal', 'abdominals', 'ventre', 'belly'}
big	{'norm_nixon', 'desprès', 'magnànim', 'gran', 'stypsis', 'important', 'cos', 'prenyada', 'llarg', 'esplèndid', 'magnífic', 'fruites', 'adult', 'sec', 'gestant', 'jactanciós', 'astrigència', 'prominent', 'destacat', 'big', 'generós', 'pròdig', 'fanfarró', 'vanagloriós', 'embarassada', 'bjarke_ingels_group', 'mineralitat', 'rumbós', 'terrible', 'fort', 'equilibri'}
bird	{'esbroncada', 'xavala', 'animal_de_ploma', 'dit', 'volant', 'maca', 'aviària', 'yardbird_parker', 'razz', 'nena', 'aviaris', 'culoti', 'ocell_minúscul', 'aves', 'ocellet', 'bronx_cheer', 'aviram', 'ocells', 'mossa', 'charles_christopher_parker', 'avifauna', 'avafauna', 'ocell', 'aus', 'au', 'bebè', 'moixó', 'xicota', 'bird', 'charlie_parker', 'parker', 'ploma', 'avians', 'noia', 'razzing', 'mikuni_shimokawa', 'bird_parker'}
bite	{'engruna', 'gust_picant', 'mos', 'mossegar-se', 'bocí', 'mossegada', 'incendiar', "picada_d'insectes", 'vermut', 'picant', 'picada', 'piscolabis', 'picar', 'pessigada', 'bi-específica_de_cèl_·_lules_t_acollidor', 'steven_hassan', 'abrusar-se', 'acrimònia', 'acrimonia', 'mossegades', 'queixalar', 'aperitiu', 'refrigeri', 'acritud', 'picantor', 'mossegar', 'col·lació', 'entrepà', 'intensitat', 'chomp', 'cremar-se', "picada_d'insecte", 'tallar-se', 'tros'}
black	{'hispà', 'ombrívol', 'oprobiós', 'coloració', 'planeswalker', 'home_negre', 'asiàtics', 'shirley_temple_negre', 'incolor', 'adetayo_ayowale_onile-ere', 'raça_i_etnicitat_en_el_cens_dels_estats_units', 'negra', 'desolador', 'color', 'catastròfic', 'taio_cruz', 'black', 'color_negre', 'ensutjar', 'inkiness', 'calamitós', 'pelatge_negre', 'desastrós', 'encarbonar-se', 'joseph_black', 'joseph_negre', 'to_negre', 'negror', 'ciència_del_color', 'magic:_el_encuentro', 'ignominiós', 'magic:_la_trobada', 'ennegrir', 'negroides', 'dona_negre', 'magic:_the_gathering', 'kari_kimmel', 'obscur', 'llastimós', 'moro', 'foscor_total', 'negre_africà', 'deshonorant', 'shirley_temple', 'blanques_i_negres_en_escacs', 'ascendència_africana', 'final_fight_3', 'blancs', 'lightlessness', 'boeing_black', 'funest', 'magic_the_gathering', 'escadalós', 'vergonyós', 'persona_negre', 'ruinós', 'dones_negres', 'de_contraban', 'altres_races', 'negres', 'ennegrir-se', 'llatí', 'comunitat_negre', 'final_fight', 'colin_vearncombe', 'pirata', 'negroide', 'encarbonar', 'magic', 'raça_negra', 'negre', 'colors'}
blood	{'flux_sanguini', 'llinatge', 'sanguínia', 'sang_oxigenada', 'dissolut', 'vi_de_bordeus', 'sang_line', 'bordeaux', 'pedigrí', 'bordeus', 'blood', 'the_black_parade', 'origen', 'sang', 'ascendència', 'nissaga', 'heretabilitat', 'herència_poligenètica', 'getting_away_with_murder', 'collective_soul', 'sang_humana', 'hèmic', 'llicenciós', 'descendència', 'house_of_wolves', 'vs.', 'bordeus_vi', 'línia_de_sang', 'hematològics', 'herència', 'persistence_of_time', 'estirp', 'herència_biològica', 'herència_genètica', 'llibertí', 'vi_bordeus'}
blow	{'fotre', 'nas_caramel', 'cop', 'desgastar', 'gallejar', 'arruïnar', 'bufar', 'gastar', 'revés', 'esguerrar', 'vanar-se', 'fer_barroerament', 'nedar', 'fanfarronejar', 'contratemps', 'jactar-se', 'percaç', 'patacada', 'batzacada', 'bufada', 'ratxe', 'batzac', 'buf', 'espifiar', 'ensopegada', 'ratxa', 'flotar', 'espatllar', 'copejament', 'xoc', 'topada', 'adversitat', 'surar', 'patac', 'cagar-la', 'impacte', 'trompada', 'blow', 'ràfega', 'neu', 'apagar'}
body	{"transistors_d'efecte_de_camp", 'gat_vestit', 'vestit_de_cos', 'stypsis', 'tors', 'punt_didot', "d'efecte_de_camp_transistor", 'fruites', 'politopos', 'vestit', 'notícies_història', "transistors_d'efecte_camp", 'sec', 'consistència', 'polítop', 'eubstance', 'mida_en_punts', 'leotards', 'cadàvers', 'caixa_de_ressonància', 'politopo', 'catsuit', 'bodi', 'mort', 'comunitat', 'cos_físic', 'equilibri', 'article', "transistor_d'efecte_camp", 'punt', 'sòlid_geomètric', 'politop', 'punt_tipogràfic', 'unitard', 'fet', 'cos', 'text', 'associació', 'estructura_física', 'transistor_d’efecte_camp', 'carrosseria', 'mallot', 'carrosseries', 'reportatge', 'corporació', 'restes', "transistor_d'efecte_de_camp", 'body', 'astrigència', 'notícia', 'estructura_orgànica', 'carrosser', 'article_periodístic', 'receptor', 'cos_subtil', 'teairra_marí', 'tronc', 'cos_sòlid', 'mineralitat', 'porta', 'cadàver', 'leotard'}
bone	{'ivori', 'teixit_ossi', 'marfil', 'òssia', 'bone', 'vori', 'def_jam_recordings', 'ossi', 'blanquinós', 'os', 'desossar', 'ossos'}
brain	{'crack', 'brainiac', 'genialitat', 'raonable', "l'inspector_gadget", 'racionalitat_pràctica', "la_capacitat_d'aprenentatge", 'contingut_mental', 'capacitat_mental', 'ment', 'bryan_mantia', 'cerebral', 'cap', 'cervell', 'intel·lecte', 'teoria_de_la_raó', 'banks', 'nous', 'brain', 'psique', 'capacitat_intel_·_lectual', 'inspector_gadget', 'racionalitat', 'intel·ligència', 'ment_humana', 'enteniment', 'intel_·_lecte', 'cortex', 'funció_cerebral', 'geni', "facultat_de_l'ordre", 'còrtex', 'raó', 'raonament', 'psíquic', 'encèfal', 'einstein', 'cervell_dels_mamífers'}
breast	{'pits', 'tòrax', 'tors', 'cavitat_toràcica', 'caixa_toràcica', 'titty', 'tetes', 'mamari', 'bust', 'càncer_de_mama', 'teta', 'càncer_de_pit', 'carn_blanca', 'afrontar', 'mamàries', 'pectus', 'mama', 'toràcica', 'the_breast', 'mames', 'mamària', 'mamella', 'mamelles', 'pit', 'sina'}
breathe	{'dark_side_of_the_moon', 'espirar', '11:59', 'funeral_for_yesterday', 'time', 'dir_en_veu_baixa', 'alenar', 'dark_side_of_the_moon_tour', 'breathe', 'respirar', 'donar', 'kristof_konrad', 'a_class', 'the_dark_side_of_the_moon', 'i-empire', 'exhalar'}
broken	{"winterheart's_guild", 'baix', 'the_best_of_bruce_dickinson', 'violat', 'incorrecte', 'delta_machine', 'plastic_beach', 'echo', 'espatllat', 'incomplert', 'erroni', 'defectiu', '12_stones', 'broken', 'humiliat', 'interromput', 'defectuós', 'ms._kelly', 'trencat'}
building	{'immoble', 'edifici_públic', 'edificis', 'edificis_públics', 'edifici', 'castell_de_centelles', 'projecte_de_construcció', 'edificació', "construcció_d'edificis", 'construir', 'indústria_de_la_construcció', 'construcció', 'edificacions'}
burn	{'rierols', 'dallas_burn', 'incendiar', 'cremades', 'picar', 'cremar', 'riera', 'cremada_de_primer_grau', 'rieres', 'consumir-se', 'bronzejat', 'cremor', 'flamejant', 'football_club_dallas', "curs_d'aigua", "cursos_d'aigua", 'cremades_solars', "corrent_d'aigua_intermitent", 'incinerar', 'cremades_de_tercer_grau', 'corrent_intermitent', 'diu', 'cremada_de_segon_grau', 'colrar-se', 'eritema_solar', 'fc_dallas', 'tallar-se', 'flama', 'brusar', 'abrasar', 'mossegar-se', 'cremar-se', 'torrar', 'ardor', 'cremada', 'abrusar-se', 'recremar', 'abrusar', 'brillar', 'cremades_de_segon_grau', 'foc', 'embrunir-se', 'cremar_marca', 'rostir', 'rostir-se', 'eritema_solars_i', 'queimada', 'flamarada', 'burn', 'bronzejar-se', 'ruisseau', 'cremada_de_tercer_grau', 'rierol', 'corrent', 'incendis', 'cauteritzar'}
business	{'empresa_adherida', 'ocupació', 'ruta_comercial', 'assumpte', 'client', 'negocis', 'vacant', 'clientela', 'empresa_comercial', 'empreses', "negoci_de_l'empresa", 'etapa_empresarial', 'sistema_de_negocis', 'contractista_independent', 'negocis_preocupació', 'parròquia', 'amb_fins_de_lucre', 'negoci', 'línia_de_treball', 'tasca', 'clients', 'business', 'contractistes_independents', 'empresa', 'sector_empresarial', 'treball', 'organització_empresarial', 'joc_escènic_secundari'}
camera	{'the_back_room', 'càmera_de_cine', 'càmera_cinematogràfica', 'càmara_de_vídeo', 'càmera_de_vídeo_professional', 'càmera_de_filmar', 'càmera_de_cinema', 'càmera_de_televisió', 'càmera_de_tele', 'càmeres', 'camera', 'càmara_de_televisió', 'càmera', 'càmera_fotogràfica', 'pel_·_lícules_a_la_cambra', 'tv_càmera'}
carefully	{'aflicció', 'problema', 'inquietud', 'angoixa', 'acuradament', 'tribulació', 'maldecap', 'preocupació'}
challenge	{'impugnar', 'autenticació_desafiament-resposta', 'repte', 'desafiament', 'reptar', 'recompensa', 'desafiament-resposta', 'the_challenge', 'recusar', 'desafiar'}
charity	{'polymonium_caeruleum_van-bruntiae', 'benèfica_registrada', 'polemonium_van-bruntiae', 'beneficència', 'polemonium_caeruleum', 'caritat', 'caritat_pública', 'amor_fraternal', 'compassió', 'organitzacions_caritatives', 'entitat_benèfica', 'organització_caritat', 'estatus_caritatiu', 'charity', 'comprensió'}
charming	{'màgic', 'encantador'}
child	{'nenes', 'menor', 'jove', 'nina', 'pre-púbers', 'xic', 'escolars', 'tike', 'pàrvula', 'xiqueta', 'nena', 'nens', "l'enfant", 'nen', 'criatura', 'filles', 'marreca', 'nin', "menors_d'edat", 'peixet', 'marrec', 'xiquet', 'infant', "menor_d'edat", 'mainatge', 'fill', 'xica', 'pàrvul', 'xaval', 'filla', 'menors', "minoria_d'edat"}
clothes	{'habiliment', 'usable', 'roba', 'indumentària', 'vestimenta', 'roba_de_dona', 'vestit', 'vestir', 'peça_de_vestir', 'peces_de_vestir'}
cloud	{'infraestructura_com_a_servei', 'nigul', 'formació_de_núvols', 'eixam', 'eixamenadora', 'núvols', 'núvol', 'ennuvolar-se', 'eixam_meteorític', 'cloud_computing', 'servei_en_el_núvol', 'cloud_hosting', 'pervertir', 'computació_en_núvol', 'informàtica_en_núvol', 'kiba', 'infraestructura_en_el_núvol', 'cloud_strife', 'núvol_públic', 'serveis_en_el_núvol', 'cloud', 'emboirar-se', 'basat_en_el_núvol', 'sollar'}
cockroach	{'panerola', 'cuca_panera', 'subordre_blattodea', 'blatoideus', 'cockroach', 'blattodea', 'escarabat', 'blatodeu', 'escarabat_de_cuina', 'escarabats', 'blatodeus', 'subordre_blattaria', 'blattaria'}
code	{'piratejar', 'codi_informàtic', 'encriptar', 'xifrar', 'codis', 'codi_de_lleis', 'clau', 'codificar', 'codi_de_la_llei', 'codificació', 'codi', 'planificar', 'codificada', 'programar'}
cold	{'malaltia_pulmonar_obstructiva_crònica', 'baixa_temperatura', 'fred', 'passat', 'constipats', 'nicole_scherzinger', 'nasofaringitis', 'epoc', 'rinofaringitis', 'fredor', 'despietat', 'distant', 'refredats', 'nicole_elikolani_prescovia_scherzinger', 'cold', 'frígid', 'constipat', 'mpoc', 'refredat', 'vell', 'scherzinger', 'craig_david', 'antiquat', 'freda', 'refredat_comú', 'malaltia_respiratòria_crònica', 'inhumà', 'copd', 'temperatura_baixa'}
collection	{'col·lecció', 'paquets_de_productes', 'paquet', 'assemblatge', 'joe_sample', 'recol_·_lecció', 'the_offspring_collection', 'contenidor', 'cobrament_de_deutes', 'compendi', 'sèrie_de_llibres', 'collita', 'compilació', 'collection', 'agregació', 'hawkwind', 'akon', 'col·lecció_editorial', "recaptació_d'efectiu", 'cúmul', 'the_charlatans', 'col_·_lecció', 'empresa_de_cobraments', 'acumulació', "col_·_lecció_d'art", 'conjunt', 'col·lecció_de_llibres', 'col·lecta', "cobrament_d'efectiu", 'arreplec', "col_·_leccions_d'art", "composició_d'objectes", 'recollida', 'cobrador_de_deutes', 'muntatge'}
come	{'venir', 'arribat', 'provenir', 'assolir', 'acudir-se', 'estar', 'acostar-se', 'apropar-se', 'addicionar', 'sumar', 'aproximar-se', 'veure', 'resultar', 'arribar', 'arribar_a', 'come', 'llet', 'esperma', 'pegar', 'totalitzar', 'escórrer-se', 'derivar', 'seguir', 'escorreguda', 'ócorrer-se', 'semen', 'ejacular', 'brollar', 'fluid_seminal', 'descendre', 'contactar', 'sorgir'}
computer	{'processador', "sistema_de_processament_d'informació", 'estimador_estadístic', 'sistema_informàtic', 'computadors_humans', 'ordinadors', 'música_generada_per_ordinador', 'computadores_digitals', 'dispositiu_informàtic', 'computadores', 'ciència_de_la_computació', 'computador', 'sistema_computacional', 'computadora', 'calculador', 'informàtica_musical', 'estimador', 'ordinador_de_propòsit_general', 'computació_màquina', 'sistemes_informàtics', 'ordinador_electrònica', 'calculadora_humana', 'figurer', 'ordinador', 'equip_humà', 'el_processador_de_dades', 'ordinador_remot', 'equip_informàtic', 'música_per_ordinador', 'computador_humà', 'computació', 'computació_digital', 'calculadora'}
construction	{'construcció_gramatical', 'castell_de_centelles', 'interpretació_constitucional', 'projecte_de_construcció', "construcció_d'edificis", 'estructura', 'expressió', 'construir', 'síntesi_mental', 'model', 'construcció', 'indústria_de_la_construcció', 'interpretació_judicial', 'runescape'}
cook	{'tergiversar', 'crear', 'captain_cook', 'cuinar', 'cuiner', 'guisar', 'cuiner_de_menjar_ràpid', 'james_cook', 'xef', 'mestres_de_cuina', 'preparar', 'cuinera', 'confeccionar', 'frederick_cook', 'capità_cook', 'formar', 'bullir', 'xef_posada', 'sous-xef', 'xefs', 'cook', 'coure', 'el_capità_james_cook', 'falsificar', 'xef_executiu', 'falsejar', 'cuiner_poc_temps'}
correct	{'bo', 'posar_bé', 'castigar', 'arranjar', 'increpar', 'redreçar', 'encertat', 'corregir', 'contrapesar', 'correcte', 'raó', 'compensar', 'ajustar', 'punir', 'correcta'}
count	{'recompte', 'sistema_numeral', 'còmput', 'mercè_herrera', 'structured_query_language', 'càlcul', 'enumeració', 'compte', 'jarl', 'considerar', 'importar', 'valdre', 'el_comte_de_montecrist', 'numeració', 'compte_plena', 'llista', 'comtat', 'comte', 'earl', 'countship', 'sistema_de_numeració', 'el_comte_de_montecristo', 'comtessa', 'comptar', 'dependre', 'comtes', 'apostar', 'sql', 'calcular', 'comtal', 'pesar'}
counting	{'sistema_numeral', 'còmput', 'càlcul', 'comptar', 'enumeració', 'compte', 'numeració', 'llista', 'sistema_de_numeració'}
crazy	{'tipus_estrany', 'boig', 'because_of_you', 'insània', "tocat_de_l'ala", 'sonat', 'looney', 'follia', 'bogeria', 'insanitat', 'loca', '(you_drive_me)_crazy', 'playing_with_fire', 'alienació_mental', 'erika_jayne', 'c.r.a.z.y.', 'crazy', 'malalt_mental', 'guillat', 'dement', '...famous_last_words...', 'desequilibrat', 'tocat_del_bolet', 'trastocat', 'the_r.e.d._album', 'usher', 'pirat'}
cut	{'capar', 'tall_de_carn', 'encongir', 'retallar', 'laceracions', 'abreujar', 'censors', 'ferida', 'tall_principal', 'cut', 'tallada', 'esporgar', 'ferida_oberta', 'nafra', 'tallar', 'censura', 'pista', 'tallar-se', 'desaire', 'muntador', 'muntatge', 'talls_de_carn', 'campana', 'menysprear', 'tall_i_farcit', 'fer', 'tallat', 'censura_de_premsa', 'contreure', 'cel_obert', 'costura', 'incisió', 'reduir', 'diluir', 'retallada', 'escurçar', 'profit', 'edició_de_pel_·_lícules', 'muntatge_cinematogràfic', 'escurçat', 'talls_primaris', 'central_única_dos_trabalhadores', 'ferides', 'tall', 'girar', 'laceració', 'espatlla_fred', 'contraure', 'beisbol_gronxador', 'supressió', 'ferint'}
damage	{'desfigurar', 'marcir', 'espatllar', 'degenerar', 'preu', 'perjudici', 'dany_legal', 'deteriorar-se', 'trencar', 'espatllar-se', 'danys', 'import', 'avariar', 'degenerar-se', 'equip_víctima', 'nivell_de_preus', 'dany', 'destrossa', 'mal', 'damage', 'preus', 'danyar', 'deteriorar'}
dance	{'danses', 'ballarins', 'ballar', 'festa_ball', 'música_dance', 'oliver_heldens', 'post-disco', 'ball', 'música_de_ball', 'dansar', 'ballarines', 'waterloo', 'hi-lo', 'post-disc', 'dancé', 'dansa', 'ballarina', 'ballarí', 'dance'}
dangerous	{'perillós', 'dangerous', 'arriscat', 'sever', 'seriós', 'riscós', 'atzarós', "it's_hard", 'greu'}
day	{'jorn', 'diürnes', 'dia_de_sol', 'temps_solar_aparent', 'dia', 'clarence_shepard_day_jr', 'dia_sideri', 'day', 'diürna', 'jornada', '24-hores_interval', 'dies', 'quatre_hores_període', 'durada_del_dia', 'dia_sideral', 'durant_el_dia', 'dia_solar_mitjà', 'dia_solar', 'diürn', 'temps_solar', 'clarence_day', 'hora_solar', 'quatre_hores'}
deceive	{'deshonestedat', 'farsa', 'engany', 'frau', 'enganyosa', 'enredar', 'truaneria', 'brivallada', 'mentida', 'berganteria', 'enganyar'}
dedication	{'compromís', 'consagració', 'dedicatòria', 'entrega', 'dedicació', 'devoció', 'dedication'}
deliberately	{'expressament', 'deliberadament', 'intencionalment', 'intencionadament'}
delivery	{'infraestructura_de_transport', 'transport_marítim', 'acudit', 'transport', 'llançament', 'lliurament_a_domicili', 'ocurrència', 'jocós', 'treball_de_part', 'maternitat', 'comunicacions_i_transports', 'lliurament', 'gràcia', 'transport_terrestre', 'part_obstètric', 'sortida', 'portant', 'rescatar', 'part', 'salvament', 'blade:_the_series', 'mitjans_de_transport', 'part_vaginal', 'naixença', 'agudesa', 'jocosa', 'naixement', 'alienació', 'alliberament', 'repartiment', 'delivery', 'vehicle', 'indústria_transport', 'rescat', 'entrega', 'acudits', 'blade:_la_sèrie', 'subministrament', 'alienable', 'transferència_legal', 'els_transports', 'distribució', 'preservació', 'mobilitat', 'manera_de_parlar', 'indústria_del_transport', 'broma', 'transports', 'mitjà_de_transport'}
dessert	{'vins_de_postres', 'postres', 'vi_dolç', 'postres_vi', 'darreries', 'dolç', 'vins_dolços', 'postre', 'darreria'}
