ability	{'yetenek', 'yeteneği'}
body	{'teairra_marí', 'makale', 'body', 'meyve', 'gövde', 'alan_etkili_transistörler', 'tulum_şeklinde_daracık_giysi', 'stypsis', 'oto_gövde', 'tek_parça_streç_giysi', 'cesetleri', 'organik_yapısı', 'cisim', 'el_cuerpo', 'eubstance', 'kadavra', 'gazete_makalesi', 'politopunun', 'punto', 'soundbox', 'alıcı', 'tek_parça_iç_çamaşırı', 'catsuit', 'heykel_gövdesi', 'fiziksel_cisim', 'alan_etkili_transistör', 'vücut', 'leş', 'fet', 'denge', 'ceset', 'kapı', 'leotard', 'fiziksel_yapı', 'unitard', 'bodysuit', 'üzerine_gelmek', 'coachbuilder', 'beden_takım_elbise', 'minerality', 'politop', 'beden', 'kuru', 'haber', 'naaş'}
bone	{'kemik_doku', 'kemikler', 'fildişi', 'süngerimsi_kemik', 'def_jam', 'kirli_beyaz', 'def_jam_recordings', 'kemik', 'bone', 'def_jam_records'}
brain	{'bryan_mantia', 'beyin_gücü', 'dimağ', 'müfettiş_gadget', 'organik_işlemci', 'brainiac', 'akıl', 'dahi', 'gerekçe', 'beyin_anatomisi', 'öğrenme_yeteneği', 'zihin', 'beyin', 'brain', 'nous', 'dâhi', 'zihinsel_kapasite', 'dedektif_gadget', 'başını', 'deha', 'ansefal', 'banks'}
breast	{'torasik', 'beyaz_et', 'göğüs', 'büst', 'meme_kanseri', 'pektus', 'titty', 'meme', 'the_breast', 'toraks', 'göğüs_kanseri'}
breathe	{'funeral_for_yesterday', 'i-empire', 'dark_side_of_the_moon', '11:59', 'a_class', 'solumak', 'nefes', 'breathe', 'the_dark_side_of_the_moon', 'time', 'kristof_konrad'}
broken	{'12_stones', 'ms._kelly_deluxe', 'broken', 'echo', 'ms._kelly', 'plastic_beach', 'hatalı', "winterheart's_guild", 'the_best_of_bruce_dickinson', 'kırık', 'delta_machine', 'ms._kelly:_diva_deluxe'}
building	{'inşa', 'kamu_binası', 'kamu_binaları', 'inşaat', 'bina', 'inşaat_sektöründe', 'yapı_sektörü', 'şantiye', 'i̇nşaat', 'yapı'}
burn	{'güneş_yanığı', 'eritem_solare', 'dere', 'hysteria', 'akarsu', 'suyolu', 'ruisseau', 'fc_dallas', 'yakmak', 'üçüncü_derece_yanık', 'ateşin_bulunması', 'yangın', 'burn!', 'ateş', 'ateşin_icadı', 'yanan', 'burn', 'bronzlaşmak', 'kanlı_ada', 'yangınlar', 'queimada!', 'kıvılcım', 'tan', 'alev', 'yanmak', 'işareti_yanık', 'üçüncü_derece_yanıklar', 'queimada', 'i̇syan', 'yanık', 'od'}
business	{'işletmeler', 'şirket', 'iş_hat', 'satıcı', 'i̇şletme', 'bağımsız_yüklenici', 'iş', 'işletme', 'şirketler_hukuku', 'iş_kaygısı', 'müşteriler', 'müşteri', 'iş_döngü', 'iş_organizasyonu', 'kar_için', 'aşamasında_iş', 'meslek', 'iş_sistemi', 'byplay', 'iş_sektörü', 'business'}
camera	{'sinema_kamerası', 'sinema_filmi_kamera', 'the_back_room', 'camera', 'film_çekme_kamerası', 'fotoğraf_makinesi', 'tv_kamera', 'televizyon_kamerası', 'kamera', 'profesyonel_video_kamera', 'kameralar'}
carefully	{'özen', 'endişe', 'kaygı', 'tasa'}
challenge	{'meydan', 'meydan_okuma-yanıt_kimlik_doğrulama', 'meydan_okuma-yanıt'}
charity	{'yardım_kuruluşudur', 'kamu_sadaka', 'polemonium_caeruleum', 'charity', 'polymonium_caeruleum_van-bruntiae', 'kardeşçe_sevgi', 'polemonium_van-bruntiae', 'hayır_kurumu', 'hayırsever_statüsünü'}
charming	set()
child	{'okul', 'ergenlik_öncesi', 'çocukluk', 'yavru', 'çocuk', 'küçük_balık', 'küçük', 'kız', 'kız_evlat', 'kızı', 'reşit', 'çocukluk_dönemi', 'çocukluk_yaş_grubu', "l'enfant", 'reşit_olmayan_kimse', 'çocuğun'}
clothes	{'üst', 'örtüler', 'giyim', 'giyim_makalede', 'giysi', 'kılık_ve_kıyafet', 'giyim_eşyası', 'giyecek', 'kıyafetleri', 'kılık_kıyafet', 'giyim_kuşam', 'giyim-kuşam', 'kıyafet', 'womenswear', 'giyilebilir', 'habiliment'}
cloud	{'bulut_altyapı', 'bulut_hizmetleri', 'bulut_barındırma', 'cloud', 'bulut', 'bulut_bilişim', 'bulut_hizmeti', 'bulut_işletim_sistemi', 'bulut_oluşumu', 'sürüsü', 'cloud_strife', 'genel_bulut', 'bulutlar', 'bulut_tabanlı', 'cloud_computing', 'pci_dss', 'kaynıyordu', 'kiba', 'sürü_davranışı'}
cockroach	{'blattodea', 'alttakım_blattaria', 'hamam_böceği', 'cockroach', 'hamamböceği', 'kakalak', 'alttakım_blattodea', 'blattaria'}
code	{'bilgisayar_kodu', 'kodifikasyon', 'kodu', 'kod', 'zamanlamak', 'kodları', 'şifrelemek', 'kodlanmış'}
cold	{'kronik_obstrüktif_pulmoner_hastalık', 'soğuma', 'kronik_obstrüktif_akciğer_hastalığı', 'harry_styles', 'nazofarenjit', 'koah', 'soğuk', 'soğukluk', 'soğuk_algınlığı', 'cold', 'craig_david', 'nezle', 'nicole_scherzinger', 'düşük_sıcaklık'}
collection	{'paket_satış', 'konteyner', 'sanat_koleksiyonları', 'akon', 'sanat_koleksiyonu', 'aliaune_thiam', 'agregasyonu', 'koleksiyoner', 'the_offspring_collection', 'küme', 'mfö', 'antikacılık', 'm.f.ö.', 'the_charlatans', 'özet', 'borç_tahsildarı', 'mazhar-fuat-özkan', 'kapsayıcı', 'collection', 'toplama', 'mazhar–fuat–özkan', 'ürün_donatılacak', 'mazhar_-_fuat_-_özkan', 'koleksiyon_ajansı', 'hawkwind', 'derleme', 'hasat', 'kitap_serisi', 'koleksiyon', 'birleştirme', 'mazhar_fuat_özkan', 'joe_sample'}
come	{'hatırlamak', 'su', 'come', 'meni', 'atmık', 'gelmesi', 'gelmek', 'mezi', 'er_suyu', 'varmak', 'olmak', 'sperm', 'ulaşmak', 'ersuyu', 'vurdu', 'boşalmak', 'döl', 'aklına_gelmek'}
computer	{'hesap_makinesi', 'bilgisayarda_oluşturulan_müzik', 'ordinatör', 'veri_işlemcisi', 'bilgiyayar', 'bilgisayar', 'i̇nsan_bilgisayar', 'genel_amaçlı_bilgisayar', 'bi̇lgi̇sayar_nedi̇r?', 'bilgisayarlar', 'bilgisayarların_gelişimi', 'kompüter', 'tahminci', 'bilgisayar_sistemleri', 'computer', 'bilgisayar_cihazı', 'elektronik_bilgisayar', 'bilgsayar', 'insan_bilgisayar', 'bilgisayar_sistemi', 'dijital_bilgisayar', 'bilgisayar_müzik', 'örneksel_bilgisayar', 'figurer', 'bilgi_işleme_sistemi', 'bilgisayar_teknolojisi'}
construction	{'inşa', 'inşaat', 'rs', 'modeli', 'model', 'yapısı', 'inşaat_sektöründe', 'yapı_sektörü', 'şantiye', 'zihinsel_sentezi', 'dilbilgisel_yapı', 'i̇nşaat', 'runescape', 'yapı'}
cook	{'komisyonu_şef', 'şef', 'kaptan_james_cook', 'sofra_kurmak', 'sous-chef', 'executive_şef', 'şefler', 'kısa_sipariş_aşçı', 'aşçı', 'cook', 'pişirmek', 'cook,_minnesota', 'kısa-sipariş_aşçı', 'yemek', 'james_cook', 'captain_cook', 'hazırlamak', 'frédérick_cook'}
correct	{'ayarlamak', 'doğru', 'düzeltmek', 'ayarlayacaktır'}
count	{'kont', 'comital', 'kontes', 'sayılandırma', 'kontluk', 'sayma', 'countship', 'sql', 'monte_cristo_kontu', 'jarl', 'the_count', 'monte_kristo_kontu', 'comtesse', 'earl', 'monte_kristo', 'numaralandırma', 'saymak', 'sayısal_sistem', 'yapılandırılmış_sorgu_dili', 'earls', 'liste', 'monte_cristo_contu', 'düşünün'}
counting	{'liste', 'sayma', 'sayılandırma', 'numaralandırma', 'sayısal_sistem'}
crazy	{'(you_drive_me)_crazy', 'delilik', 'delılıq', 'c.r.a.z.y.', 'çılgın', 'looney', 'deli', 'crazy', 'kaçık', 'usher', 'because_of_you', '...famous_last_words...', 'erika_jayne', 'playing_with_fire', 'loca', 'kuduruk', 'c.r.a.z.y', 'the_r.e.d._album'}
cut	{'dönmek', 'cut', 'döndürmek', 'kaçmak', 'merkez_unica_partisi', 'kapatmak', 'kesi', 'film_düzenleme', 'azaltmak', 'yaralama', 'etin_kesim', 'montaj', 'sapmak', 'soğuk_omuz', 'kısaltmak', 'film_editörü', 'çevirmek', 'kesme', 'sansür', 'beyzbol_salıncak', 'yara', 'sansürlü', 'haykırış', 'kesmek', 'kesim', 'yaralar', 'sıkıdenetim', 'açık_yara', 'kurgu', 'kesme_ve_dolgu', 'parça'}
damage	{'ziyan', 'prix_de_detail', 'fiyat', 'ekipman_kaza', 'adli_haksızlık', 'damage', 'bozulmak', 'perakende_fiyatı', 'perakende_fiyat'}
dance	{'oliver_heldens', 'dansları', 'dans_müzik', 'dancé', 'dans_etmek', 'post-disko', 'post-disco', 'dans_müziği', 'dans_partisi', 'dans', 'waterloo', 'dansçı', 'dance', 'dansçılar'}
dangerous	{'tehlikeli', 'dangerous', 'she_drives_me_wild', 'riskli', 'ultimate_cheska', "it's_hard"}
day	{'clarence_günü', 'ortalama_güneş_günü', 'güneş_günü', '24_saat_arayla', 'day', 'clarence_shepard_gün_jr', 'yıldız_günü', 'yirmi_dört_saatlik_süre', 'yirmi_dört_saat', 'güneş_zamanı', 'gün_uzunluğu', 'gün', 'gerçek_güneş_zamanı', 'gündüz', 'clarence_day'}
deceive	{'sahtekârlık', 'dolandırıcılık', 'aldatma', 'aldatıcı'}
dedication	{'dedication', 'özveri', 'adanmışlık'}
deliberately	{'kasıtlı'}
delivery	{'vajinal_doğum', 'emek_ve_teslimat', 'obstetrik_teslimat', 'blade:_the_series', 'çocuk_doğurma', 'doğum', 'yabancılaşma', 'delivery', 'taşıma', 'kurtarma', 'taşımacılık', 'eve_teslim', 'getiren', 'şaka', 'seyrani', 'kurtarmak', 'vatandaslik', 'araç', 'doğumla', 'devredilebilir', 'teslimat_çocuk', 'kurtuluş', 'loğusalık', 'ulasim', 'nakliyat', 'fikra', 'vasıta', 'alay_etmek', 'teslimat', 'şakacı', 'teslim', 'taşıt', 'yasal_aktarımını', 'ulaşım', 'fıkra', 'konuşma_şeklini'}
dessert	{'tatlılar', 'tatlı_şaraplar', 'tatlı_şarap', 'tatlı'}
device	{'hücresel_telefon', 'makine', 'cep_telefonlarının_zararları', 'cep_telefon', 'cep_telefonları', 'kablosuz_telefon', 'device', 'kişisel_bilgisayar_donanım', 'mobil_telefon', 'makineleri', 'cep', 'hücresel_haberleşme', 'mobil', 'cep_telefonu', 'config.sys', 'donanım', 'makina', 'sermaye_ekipmanları', 'mobil_iletişim', 'telefon', 'taşınabilir_telefon', 'bilgisayar_donanımı', 'bilgisayar_donanım'}
die	{'death', 'can_vermek', 'merhum', 'giriş-çıkış_izni', 'vefat_etmek', 'geçiş_izni', 'vefat', 'ölüm', 'bozmak', 'erken_ölüm', 'öldü', 'ölmek', 'zarlar', 'ölme', 'rahmetli_olmak', 'gebermek', 'kalıp', 'die', 'zar'}
dig	{'dig', 'kazma', 'arkeolojik_sit', 'uyuşmak', 'kazmak', 'dokundurmak', 'kavramak', 'anlamak'}
dinner	{'yemekli_toplantı', 'dejeuner', 'öğle_yemeği', 'tiffin', 'akşam_yemeği', 'ikindi_kahvaltısı', 'ikindi_çayı', 'teatime', 'bardak_çay_<!--_was_"bardak_çay"_-_assumed_sum-of-parts;_if_an_idiom', 'çay', 'öğle'}
dirty	{'kir', 'ön_bellektir', 'cpu_önbellek', 'geri_yazma', 'i̇şlemci_önbelleği', 'kirletmek', 'dirty', 'toprak_oluşumu', 'dirrty', 'set_çağrışımlı', 'l3_önbellek', 'önbelleğe', 'pisletmek', 'pis_pis', 'önbelleğe_alma', 'önbelleğin', 'kirli', 'l2_önbellek', 'toprak', 'ön_bellek', 'cache', 'pis', 'ön_bellek_satırı', 'veri_önbelleği', 'yazma_yoluyla', 'l1_önbellek', 'underworld', 'rasgele_erişim_bellek_önbelleği', 'ön_hafıza', 'kum', 'l1_önbelleği', 'önbellek_satırı', 'önbellek'}
disease	{'zatülcenp', 'hastalık', 'marazi', 'plörit', 'maraza', 'marazlık', 'hastalıklar', 'maraz', 'begowal', 'tıbbi_durumdur', 'sağlık_sorunu', 'huzursuzluk', 'morbidite_oranı', 'sayrılık', 'plörezi'}
dissolve	{'fade_in_-_fade_out', 'fade_in,_fade_out', 'fade_in', 'fade_out', 'eritmek', 'çapraz_geçiş', 'açılma_-_kararma'}
disturb	set()
do	{'etmek', 'partiler', 'sikişmek', '도', 'kaymak', 'neden', 'halletmek', 'seks_yapmak', 'terbiyeli_davranmak', 'marshall_applewhite', 'osteopati_doktor', 'görgülü_davranmak', 'tao', 'sokmak', 'do', 'dō', 'oynamak', 'inkişaf_etmek', 'doh', 'yönetmek', 'davranmak', 'hareket', 'şölen', 'terbiyesini_takınmak', 'terbiyeli_olmak', 'koymak', 'dao', 'düzgün_davranmak', 'parti', 'edebini_takınmak', 'sikmek', 'yatmak', 'gelişmek', 'soirée', 'becermek', 'yapmak', 'taoist', 'idare_etmek', 'yatmış_olmak', 'düzmek', 'öldürmek', 'yürütmek'}
doctor	{'altıncı_doktor', 'tabip', 'üçüncü_doktor', 'tamir_etmek', 'savaşçı_doktor', 'onuncu_doktor', 'savaş_doktoru', 'onarmak', 'on_ikinci_doktor', 'ph.d.', 'bilim_doktoru', 'tıp_doktoru', 'beşinci_doktor', 'doctor_who', 'doktora_derecesi', 'cerrahlar', 'dokuzuncu_doktor', 'dr', 'yedinci_doktor', 'doktor', 'sağlık_memuru', 'on_üçüncü_doktor', 'birinci_doktor', 'dördüncü_doktor', 'fahri_doktora', 'doktora_dereceleri', 'eliza', 'doktora', 'sekizinci_doktor', 'doktora_anlamına', 'doktor_kim', 'on_birinci_doktor', 'profesyonel_doktora', 'cerrah', 'yüksek_doktora', 'i̇kinci_doktor', 'hekim', 'yapmak', 'ameliyatı_yapan_cerrahın', 'on_i̇kinci_doktor', 'doctorat', 'kilise_büyüğü', 'araştırma_doktora', 'loïc_nottet'}
dog	{'köpekler', 'kanid', 'kovalamak', 'wienerwurst', 'ev_köpeği', 'baharatlı_alman_sosisi', 'kastanyola', 'father_grigori', 'familiaris', 'köpekgiller', 'canis_lupus_familiaris', 'canidae', 'demir_ayakklık', 'peşinden_koşmak', 'half-life_karakterleri_listesi', 'wallace_breen', 'canis_familiaris', 'köpek_demir', 'weenie', 'köpek', 'hotdog', 'd0g', 'tetik', 'sosisli', 'ocak_ayağı', 'sosisli_sandviç', 'yerli_köpek', 'duck_hunt', 'dog', 'aile_canidae', 'kuçu_kuçu', 'canidste', 'kilit', 'andiron', 'doktor_wallace_breen', 'hot_dog', 'eli_vance', 'kocakarı', 'köpek_eti', 'köpekgil', 'ocak_ayaklığı', 'küfretmek', 'i̇t', 'arne_magnusson'}
dressing	{'üst', 'doldurma', 'bandajlama', 'giyim', 'giyim_makalede', 'giysi', 'kılık_ve_kıyafet', 'giyecek', 'iç', 'dolgu', 'kıyafetleri', 'kılık_kıyafet', 'giyim_kuşam', 'giyim-kuşam', 'kıyafet', 'womenswear', 'giyilebilir', 'habiliment', 'salata_sosu', 'pansuman'}
drink	{'kanmak', 'meşrubat', 'içecekler', 'içilebilir', 'yutmak', 'lil_jon', 'içme', 'i̇çecekler', 'sarhoşluk', 'içecek', 'yudum', 'yutma', 'kafayı_çekme', 'kana_kana_içmek', 'i̇çecek', 'gres_yagi', "lil'_jon", 'içmek'}
driver	{'aygıt_sürücü', 'driver:_san_francisco', 'aygıt_sürücüleri', 'cowcatcher', 'orman', 'kamyon_sürüş', 'ormanlık', 'chauffer', 'şöför', 'bostancı', 'şoför', 'iğne_yapraklı_orman', 'kamyoncu', 'orman_formasyonu', 'orman_çeşitleri', 'yazıcı_sürücüsü', 'kamyon_sürücüleri', 'bir_numaralı_ahşap', 'ormanlar', 'ormanın_faydaları', 'donanım_sürücüsü', 'aygıt_sürücüsü', 'donanım_sürücü', 'ormanda', 'driver', 'yazılım_sürücüsü', 'device_driver', 'sürücü', 'sürüş_tekerlek', 'pilot', 'tir_şoförü', 'galeri_ormanı'}
dry	{'stypsis', 'meyve', 'vücut', 'dry', 'minerality', 'denge', 'kuru', 'içki_yasağı_yanlısı'}
dull	{'aptal_salak_bön_ahmak_ahmaklar', 'kör'}
dust	{'moloz', 'babylon_5', 'toz', 'siyah_kaliteli_çay', 'enkaz', 'fensiklidin_hidroklorür', 'fannings', 'fensiklidin', 'melek_tozu', 'pekoe', 'pcp', 'dust', 'phencyclidine', 'serpiştirmek', 'orange_pekoe', 'serpmek', 'saçmak', 'savurmak'}
ear	{'köşe', 'pinnae', 'kulak_ayrışma', 'kulak', 'kulak_kepçesi', 'köşenokta', 'başak', 'dış_kulak'}
earth	{'yeryüzü', "magrathea'ya", 'elektrik_toprak', '♁', 'sağlam_bir_zemin', 'acun', 'yerleşim_yerleri', 'ace_combat', 'yer', 'dünyevi_endişe', 'koytak', 'küre-i_ârz', 'dünya_yarıçapı', 'dünya_teorileri', 'yertinç', 'yerdiz', 'krikkit', 'karada', 'batonik', 'dragonball', 'earth', 'dragon_ball', 'dünyâ', 'dünyada', 'brontitall', 'aglomerizasyon', 'andromeda', 'golgafrincham', 'kara', 'toprak', 'topraklamak', 'kara_kütlesi', 'dünyanın_yörüngesi', 'saiyan', 'topraklama', 'yerküre', 'dünyanın_katmanları', 'dünya'}
eat	{'besleme', 'yemek', 'eat', 'beslemek', 'yeme'}
economy	{'siyasal_ekonomi', 'ekonomi_politik', 'politik_iktisat', 'ekonomi_bilimi', 'siyasi_ekonomi', 'kaynak_kullanım_bilimi', 'ekonomik_faaliyet', 'siyasal_iktisat', 'siyasi_iktisat', 'tutum', 'walden', 'ekonomik_sistem', 'i̇ktîsat', 'i̇ktisat', 'iktisat', 'i̇ktisât', 'politik_i̇ktisat', 'politik_ekonomi', 'ekonomik_sistemler', 'i̇ktisadi', 'i̇ktisadî', 'ekonomik_aktivite', 'i̇ktisad', 'tutumluluk', 'economy', 'kaynak_kullanımı', 'tasarruf_oranı', 'ekonomik_faaliyetler', 'ekonomik', 'ekonomi', 'tasarruf'}
