ability	{'aptitude', 'schopnost', 'talent'}
bird	{'kohout', 'ptactvo', 'pták', 'pérák', 'mikuni_shimokawa', 'zdvižený_prostředníček', 'ženská', 'charlie_parker', 'bronx_cheer', 'roosting', 'bird_parker', 'opeřenci', 'razzing', 'ptáků', 'boo', 'avifauna', 'vypískat', 'aves', 'ptáci', 'vztyčený_prostředník', 'avafauna', 'kočka', 'prst', 'razz', 'bird', 'yardbird_parker', 'zdvižený_prostředník', 'charles_christopher_parker', 'děvče'}
bite	{'bodnutí', 'pokousání_hmyzem', 'hmyzem', 'píchnutí', 'kousání', 'plnění', 'pikantní', 'steven_hassan', 'bi-specifické_t-buňky_engager', 'kousat', 'ostrost', 'štiplavou', 'bodnutí_hmyzem', 'pokousání', 'snack', 'žvýkat', 'svačina'}
black	{'sensation', 'shirley_temple_black', 'hanebný', 'ostudný', 'black_osoba', 'shirley_temple', 'shirley_temple_blacková', 'blackamoor', 'inkiness', 'magic_the_gathering', 'čerň', 'negroids', 'shirley_templová_blacková', 'kari_kimmel', 'potupný', 'černočerné_tmě', 'negro', 'magic:the_gathering', 'barevné_světlo', 'černošský', 'negroidní', 'shirley_temple-black', 'jiných_závodů', 'černá_rasa', 'negroidní_rasa', 'shirley_templeová', 'rasa_ekvatoriální', 'shirley_temple-blacková', 'barva_světla', 'negroidní_plemeno', 'shirley_jane_temple', 'final_fight_3', 'černoch', 'černoši', 'mtg', 'černošské_komunity', 'magic:_the_gathering', 'černý_afričan', 'mouřenín', 'planeswalker', 'black', 'bílý', 'černé_ženy', 'lightlessness', 'taio_cruz', 'černá', 'černá_žena', 'negr', 'final_fight', 'barvy', 'afrického_původu', 'joseph_black', 'černé', 'shirley_templeová_blacková', 'černá_barva', 'hluboká_tma', 'hispánský', 'bílý_a_černý_v_šachu', 'negroid', 'černoška', 'latino', 'barva', 'ostudný_ponižující_hanebný', 'ekvatoriální_rasa', 'shirley_templová', 'černý', 'shirley_jane_templeová'}
blood	{'collective_soul', 'linie', 'getting_away_with_murder', 'bordeaux_víno', 'roue', 'původu', 'lidské_krve', 'okysličenou_krev', 'víno_bordeaux', 'specifická_hmotnost_krve', 'persistence_of_time', 'dědičnosti', 'vs.', 'the_black_parade', 'blood', 'krev', 'hematologické', 'okysličené_krve', 'genetického_dědictví', 'krevní_linie', 'bordeaux', 'rakehell'}
blow	{'blow', 'sníh', 'nos_candy', 'podělat', 'foukat', 'zorat', 'kokain', 'zbodat', 'nezdar', 'zpackat', 'bum', 'poryv', 'vanout', 'rána', 'vát'}
body	{'karoserie', 'kastle', 'unitard', 'makroskopické_těleso', 'nepružné_těleso', 'tělesa', 'auto_těla', 'publicistický_styl', 'dveře', 'tělo', 'lidská_mrtvola', 'kočičí_oblek', 'trup', 'cat_suit', 'článek', 'typografický_bod', 'stypsis', 'zpravodajský_článek', 'umrlec', 'fyzikální_objekt', 'fyzické_struktury', 'body', 'nebožka', 'pt', 'plynné_těleso', 'mrtvé_tělo', 'těla', 'pole-tranzistor_účinku', 'mrtvý', 'mineralitou', 'polytopes', 'fyzikální_těleso', 'článek_v_časopise', 'novinový_článek', 'kadáver', 'karosérie', 'mrtvola', 'elastické_těleso', 'pružné_těleso', 'kapalné_těleso', 'polem_tranzistorů', 'reálné_těleso', 'soundbox', 'catsuitu', 'fyzické_tělo', 'tranzistorů_řízených_polem', 'oblek', 'organická_struktura', 'suché', 'zdechlina', 'coachbuilder', 'ovoce', 'přijímač', 'trup_člověka', 'objekt', 'torzo', 'přesunout_ukazatel', 'polytope', 'eubstance', 'těleso', 'truncus', 'bod', 'mrtvol', 'nebožtík', 'fet', 'unipolární_tranzistor', 'trikot', 'pevné_těleso', 'text_zprávy', 'neelastické_těleso', 'kombinézu', 'mrtvoly', 'plastické_těleso', 'velikost_bodu', 'catsuit', 'teairra_marí', 'novinky_ze_světa', 'tranzistor_řízený_polem', 'trupu'}
bone	{'kost', 'kosti', 'kosterní_tkáň', 'bone', 'off-white', 'def_jam_recordings', 'kostní', 'kostní_tkáně', 'slonovinu'}
brain	{'encephalon', 'lidské_mysli', 'uvažování', 'brain', 'mozek', 'le_cerveau', 'bryan_mantia', 'duševní_obsah', 'psychika', 'hlavu', 'velký_šéf', 'nous', 'rozum', 'nús', 'psyché', 'banks', 'brainiac', 'mozku_savců', 'inteligence', 'encefalon', 'schopnost_učit_se', 'brian_mantia', 'mysl', 'genialita', 'génius', 'mozková_tkáň', 'duševních_schopností', 'mysli', 'funkce_mozku', 'mozku', 'intelekt'}
breast	{'karcinom_prsu', 'poprsí', 'mamma', 'hrudní', 'hrudníku', 'cecek', 'bysta', 'prsa', 'hruď', 'hrudník', 'prso', 'the_breast', 'pectus', 'rakovina_prsu', 'busta', 'prs', 'prsu', 'ňadra', 'ňadro', 'karcinomu_prsu', 'mammakarcinom', 'titty', 'bílé_maso'}
breathe	{'funeral_for_yesterday', 'the_dark_side_of_the_moon', 'the_body', 'dark_side_of_the_moon', 'dýchat', 'kristof_konrad', 'music_from_the_body', 'time', 'a_class', 'i-empire', 'breathe_in_the_air', '11:59', 'breathe'}
broken	{"winterheart's_guild", 'ms._kelly', '12_stones', 'the_best_of_bruce_dickinson', 'broken', 'delta_machine', 'chybný', 'vadný', 'plastic_beach', 'zlomený', 'echo'}
building	{'veřejných_budov', 'stavební_práce', 'stavba', 'staveniště', 'stavebnictví', 'budování', 'budova', 'veřejná_budova', 'budovy', 'stavení', 'veřejné_budovy', 'budov', 'výstavba', 'dům'}
burn	{'pálení', 'spálenina', 'tok_vodní', 'plameny', 'druhý_stupeň_vypálit', 'spáleniny', 'vodní_tok', 'popáleniny', 'požáry', 'oheň', 'přerušovaný_proud', 'druhého_stupně_popálení', 'upálit', 'hořet', 'třetí_stupeň_hoří', 'fc_dallas', 'tekoucí_voda', 'popáleniny_třetího_stupně', 'erytém_solare', 'f.c._dallas', 'potok', 'tan', 'opálení', 'burn', 'popálení', 'kineta', 'ruisseau', 'kyneta', 'planoucí', 'popálenina', 'vodoteč', 'vypálit_značku', 'plamen', 'proudu', 'pálit'}
business	{'obchodní', 'podniků', 'etapa_podnikání', 'obchodní_vědy', 'zákazník', 'prodejce', 'pro-ziskové', 'osoba_samostatně_výdělečně_činná', 'nezávislý_dodavatel', 'podnikání', 'byznys', 'obchodní_systém', 'obchodní_společnost', 'činnost', 'volné_místo', 'práce', 'společnost', 'business', 'podnikatelský_sektor', 'úloha', 'obchodní_smyčka', 'nezávislí_dodavatelé', 'obchodní_podnik', 'práci', 'podnikatelský', 'profese', 'obchodní_obavy', 'zaměstnání', 'klient', 'klientela', 'pracovní_pozice', 'řada_prací', 'živnostník', 'povolání', 'klientelu', 'obchodní_organizace', 'osvč', 'firem_právo', 'byplay', 'obchodní_firma', 'podnik'}
camera	{'filmová_kamera', 'camera', 'filmovací_kamera', 'motion-picture_kamera', 'televizní_kamera', 'televizní_kamery', 'fotografický_přístroj', 'fotoaparát', 'kamery', 'the_back_room', 'kamera'}
carefully	{'starost', 'obav', 'pečlivě'}
challenge	{'challenge-response', 'výzva-odpověď_ověřování', 'výzva-odpověď', 'napadat', 'výzva'}
charity	{'veřejná_charita', 'jirnice_modrá', 'charitativní_organizace', 'charity', 'křesťanská_láska', 'láska_v_křesťanství', 'bratrská_láska', 'láska', 'charitativní_status', 'polymonium_caeruleum_van-bruntiae', 'charita', 'polemonium_caeruleum', 'polemonium_van-bruntiae', 'registrovaná_charita', 'láska_k_bližnímu'}
charming	set()
child	{'dětský', 'mladiství', 'mladistvý', 'dítě', 'dcery', 'nezletilé', 'tiddler', 'menší', 'děti', 'mladík', 'miminko', 'pre-dospívající', "l'enfant", 'dcera'}
clothes	{'oblečení', 'oblek', 'článek_oblečení', 'ucházející', 'oděvy', 'šat', 'odívání', 'oděv', 'roucho', 'oblékání', 'dámskou', 'ošacení', 'oděvů', 'šaty'}
cloud	{'cloud_strife', 'roj', 'cloud_hosting', 'mrak', 'oblak', 'oblaka', 'mraků', 'mraky', 'hybridní_cloud', 'cloud_služby', 'mračno', 'cloud_computing', 'infrastruktura_jako_služba', '☁', 'cloud_služeb', 'cloud-based', 'cloud', 'veřejný_cloud', 'cloud_infrastruktury', 'kiba', 'rojení'}
cockroach	{'blattodea', 'blattaria', 'podřád_blattodea', 'cockroach', 'šváb', 'šváby', 'podřád_blattaria', 'švába', 'švábi'}
code	{'kodex', 'zákoník', 'dekodifikace', 'kódu', 'kodifikace', 'rekodifikace', 'programovat', 'zašifrovat', 'kódy', 'kód', 'počítačový_kód', 'plánovat', 'řád'}
cold	{'chlad', 'chladnokrevný', 'husí_kůže', 'cold', 'nicole_scherzingerová', 'chopn', 'studený', 'nicole_scherzinger', 'zima', 'chladný', 'nízká_teplota', 'nachlazení', 'chronická_obstrukční_plicní_nemoc', 'craig_david', 'nepřátelský'}
collection	{'kompilace', 'kontejner', 'inkaso', 'sbírkách', 'the_charlatans', 'inkasování', 'muzejní_sbírka', 'kolekce', 'kompendium', 'knižní_série', 'montáž', 'the_offspring_collection', 'agregace', 'hawkwind', 'sbírka', 'sada', 'sběrný', 'výběrčí_dluhů', 'collection', 'množina', 'joe_sample', 'kontejneru', 'sklizeň', 'uměleckých_sbírek', 'série_knih', 'vymáhání_pohledávek', 'kostelní_sbírka', 'akon', 'vztah', 'kolekce_agentury'}
come	{'ejakulát', 'spermatu', 'dojet', 'dostat', 'přijít', 'mrdka', 'ejakulovat', 'doletět', 'dojít', 'dorazit', 'sperma', 'cum', 'come', 'dojíždět', 'semeno', 'předejít', 'dolétat', 'semenné_tekutiny', 'docházet', 'doletovat', 'dorážet', 'napadnout'}
computer	{'součásti_počítače', 'počítačové_hudby', 'kalkulačka', 'sčítač', 'počítačový_systém', 'tvorba_hudby_počítačem', 'odhad', 'elektronický_počítač', 'počítače', 'počítač', 'počítači', 'výpočetní_stroj', 'počítačem_generované_hudby', 'figurer', 'zpracovatel', 'výpočetní_zařízení,', 'digitálních_počítačů', 'computer', 'komputer', 'informační_systém_zpracování', 'kompl', 'digitální_počítač', 'výpočetní_techniky'}
construction	{'stavební_práce', 'stavba', 'stavebnictví', 'isomorfismus_modelů', 'model_jazyka', 'izomorfismus_struktur', 'výraz', 'model_teorie', 'výstavba', 'duševní_syntéza', 'staveniště', 'isomorfismus_struktur', 'soudního_výkladu', 'struktura', 'model', 'budování', 'runescape', 'konstrukce', 'ohodnocení_proměnných', 'gramatické_konstrukce', 'izomorfismus_modelů', 'tarského_definice_pravdy'}
cook	{'frederick_cook', 'vaøit', 'krátké_aby_kuchař', 'uvařit', 'captain_cook', 'kuchařka', 'připravit', 'james_cook', 'kuchtička', 'kuchaři', 'frederick_albert_cook', 'kuchař', 'cook', 'vařit', 'sous-chef', 'kuchtík', 'šéfkuchař', 'kapitán_james_cook'}
correct	{'nastavit', 'opravit', 'správné', 'správný', 'pravdu', 'správná', 'napravit'}
count	{'výčet', 'monte_christo', 'hrabě_monte-christo', 'jazyk_sql', 'comital', 'počítací', 'hraběcího', 'countship', 'numerický_systém', 'hrabě', 'earl', 'zápisy_čísel', 'číselné_soustavy', 'iso/iec_9075', 'hrabě_monte_christo', 'počítat_s', 'seznam', 'číslování', 'počítat', 'vážit', 'comtesse', 'číselná_soustava', 'počet', 'výčtu', 'jarl', 'hrabství', 'hrabě_monte-cristo', 'sql', 'hrabě_monte_cristo'}
counting	{'seznam', 'výčet', 'číslování', 'počítací', 'počítání', 'numerický_systém', 'počet', 'výčtu', 'zápisy_čísel', 'číselné_soustavy', 'číselná_soustava'}
crazy	{'podivín', '(you_drive_me)_crazy', 'cvok', 'praštěný', 'the_r.e.d._album', 'playing_with_fire', 'c.r.a.z.y.', 'dar_od_boha', 'crazy', 'usher', '...famous_last_words...', 'looney', 'šílený', 'because_of_you', 'blázen', 'erika_jayne', 'šílenství', 'loca'}
cut	{'vynechat', 'censura', 'filmového_střihu', 'tít', 'snímání', 'přezíravost', 'krátit', 'otočit', 'řez', 'říznutí', 'censor_u_římanů', 'rány', 'vypnout', 'informační_kontrola', 'censor', 'filmový_střih', 'tržné_rány', 'open-cut', 'vyjmout', 'snížit', 'cut', 'prvotní_řez', 'vypustit', 'zraňovat', 'poranění', 'řezání', 'kontrola_nad_informacemi', 'baseball_houpačka', 'řezat', 'cenzoři', 'cenzurován', 'tiskové_cenzury', 'albatross', 'cenzura', 'otevřenou_ránu', 'řezu', 'kastrovat', 'seznam_golfových_pojmů', 'cenzor', 'film_střih', 'řezaných', 'řez_masa', 'střihač', 'zasklít', 'převrátit', 'rána', 'střih'}
damage	{'dumpingová_cena', 'odškodnění', 'škoda_velkého_rozsahu', 'újma', 'kilogramová_cena', 'odčinění', 'cena_kapitálu', 'subrogační_regres', 'cena_burzovní', 'poškození', 'zařízení_nehoda', 'cena_historická', 'cena_tržní', 'náhrada_nemajetkové_újmy', 'cena_konkursní', 'konkursní_cena', 'solidární_odpovědnost', 'cena_pořizovací', 'škodu', 'znetvořit', 'náhrada_újmy', 'světová_cena', 'smluvní_cena', 'škůdce', 'škody', 'cena_pořízení', 'aukční_cena', 'značná_škoda', 'burzovní_cena', 'zhoršit', 'cena_reprodukční', 'odškodné', 'tržní_ceny', 'reprodukční_cena', 'cena_dumpingová', 'cena', 'tržní_cena', 'dělená_odpovědnost', 'cena_světová', 'ušlý_zisk', 'škoda_nikoli_nepatrná', 'újma_na_zdraví', 'odpovědnost_za_škodu', 'pořizovací_cena', 'odpovědnost_za_újmu', 'škoda_nikoli_malá', 'damage', 'právní_zranění', 'náhrada_škody', 'cena_aukční', 'cena_smluvní', 'cena_práce', 'větší_škoda', 'škoda', 'ceny', 'cena_kilogramová', 'pluralita_škůdců'}
dance	{'taneční_hudby', 'plesati', 'tanečník', 'tancovat', 'hands_up', 'oliver_heldens', 'tanec', 'dancé', 'taneční_hudba', 'handz_up', 'tančit', 'dance', 'tancování', 'waterloo', 'post-disco', 'dance,_dance', 'italo_dance', 'tance', 'taneční', 'taneční_pro_mládež_v_čr', 'taneční_párty'}
dangerous	{'dangerous', 'nebezpečná', "it's_hard", 'nebezpečné', 'riskantní', 'nebezpečný'}
day	{'pravý_sluneční_den', 'pravý_sluneční_čas', 'clarence_day', 'dni', 'synodický_den', 'day', 'clarence_shepard_day_jr.', 'dnů', 'délce_dne', 'hvězdný_den', 'sluneční_den', 'den', 'délka_dne', 'časový_posun_v_česku', 'střední_sluneční_den', 'střední_sluneční_čas', 'hvězdného_času', 'denních', 'dny', '24-hodinová_interval', 'dvacet-čtyři_hodin_doba', 'dvacet-čtyřihodiny', 'sluneční_čas', 'časová_rovnice', 'znamená_sluneční_den'}
deceive	{'klamné', 'mystifikátorka', 'nepoctivost', 'mystifikátor', 'darebáctví', 'mystifikace'}
dedication	{'věnování', 'oddanost', 'dedication'}
deliberately	{'záměrně'}
delivery	{'slehnutí', 'osobní_doprava', 'nabídka', 'dodávky_do_domácností', 'rodička', 'narození', 'doprava_a_přeprava_-_obecná_charakteristika', 'delivery', 'blade:_the_series', 'zcizitelný', 'anekdota', 'vtipů', 'blade', 'doprava', 'vaginální_porod', 'accouchement', 'poslíček', 'veselý', 'odcizení', 'porod', 'dodávka', 'fór', 'přeprava', 'zrození', 'vtip', 'doručení', 'porodu', 'zcizovaná', 'podání', 'zcizení_věci', 'vtipy', 'narozením_dítěte', 'žertu', 'způsob_mluvení', 'právní_převod', 'vysvobození', 'přenos', 'zachránit', 'vtipkovat', 'porodní', 'nadhoz', 'transport', 'dopravní_infrastruktury'}
dessert	{'moučník', 'zákusek', 'dezertní_víno', 'desert', 'dezert', 'dezertní_vína', 'dezertů'}
device	{'mobilní_zařízení', 'hardware', 'config.sys', 'mobilní_telefon', 'bezdrátový_telefon', 'mobilních_telefonů', 'device', 'počítačového_hardwaru', 'mobilní_komunikační', 'celulárních_komunikačních', 'zařízení', 'mobilní', 'mobilní_komunikace', 'mobil', 'počítačový_hardware', 'stroje', 'stroj', 'strojní_zařízení', 'mobilní_telefony'}
die	{'kostky', 'zemřel', 'umírající', 'zesnout', 'pokazit', 'smrt', 'úmrtí', 'usmrcení', 'ukončení_života', 'hrací_kostka', 'zemřít', 'die', 'polyhedral_kostky', 'úhyn', 'skon', 'personifikace_smrti', 'předčasných_úmrtí', 'umírání', 'kostka', 'exitus'}
dig	{'smrt_přírodovědce', 'kopat', 'dig', 'bodnutí', 'archeologické_naleziště', 'rozumět', 'rýt', 'posmívat_se', 'kopání'}
dinner	{'šálek_čaje', 'večeře_s_oslavou', 'dejeuner', 'krmení', 'čas_na_čaj', 'čaj', 'šlichta', 'tiffin', 'večeři', 'večeře', 'odpolední_čaj', 'oběd', 'žrádlo', 'teatime', 'svačině'}
dirty	{'prsť', 'cache_paměti', 'hliněné', 'půdní_druh', 'l3_cache', 'cache', 'půdy', 'vyrovnávací_paměť', 'cpu_cache', 'l1_cache', 'špinavé', 'set-asociativní', 'znečištěné', 'mezipaměti', 'země', 'lemon_interupt', 'dirrty', 'špinavě', 'dirty', 'rychlá_vyrovnávací_paměť', 'špinavý', 'instrukční_cache', 'l2_cache', 'mezipaměť', 'underworld', 'write-back', 'půda'}
disease	{'choroba', 'nemoc', 'choroby', 'zdravotní_poruchy', 'pleuritis', 'nemoci', 'onemocnění', 'zdravotní_stav', 'unwellness', 'nemoce', 'begowal', 'zánět_pohrudnice', 'morbidní', 'pleuritida', 'morbidita'}
dissolve	{'prolínání_skladeb', 'rozpustit'}
disturb	set()
do	{'kalba', 'zabít', '도', 'zvládnout_uspět', 'chovat', 'oslava', 'marshall_applewhite', 'doh', 'způsobit', 'jednat', 'prcat', 'slavnost', 'společenská_oslava', 'stranu', 'souložit', 'mejdan', 'aby', 'večírku', 'prosperovat', 'do', 'růst', 'hrát', 'dařit_se', 'mrdat', 'šoustat', 'párty', 'vzkvétat', 'provést', 'fungovat', 'večírek', 'chovat_se', 'dō', 'prospívat', 'lékař_osteopathy', 'dělat', 'jebat', 'šukat', 'smuteční_slavnost'}
doctor	{'učitel_církve', 'doktorka', 'pohotovostní_velící_hologram', 'odborný_lékař', 'doktorát', 'doctorat', 'lékařka', 'profesionální_doktorát', 'odborná_lékařka', 'chirurg', 'řezník', 'dr', 'jedenáctý_doktor', 'lékař', 'doktorský_titul', 'doktor', 'doktorské_tituly', 'devátý_doktor', 'lékaři', 'doktorské_studium', 'pán_času', 'doktoráty', 'rude_boy', 'dr.', 'první_doktor', 'pohotovostní_zdravotnický_hologram', 'doktorské', 'lékař_církve', 'falzifikovat', 'provozní_chirurg', 'opravit', 'eliza', 'dvanáctý_doktor', 'doctor_who', 'lékařů_církve', 'učitelé_církve', 'spravit', 'pvh', 'loïc_nottet', 'vyšší_doktorát', 'druhý_doktor', 'rude_boys', 'felčar', 'doktorát_výzkumu', 'lékařem', 'doctor_ecclesiae'}
dog	{'psovité_šelmy', 'hot-dog', 'duck_hunt', 'párky_v_rohlíku', 'západka', 'canids', 'psa', 'lump', 'sledovat', 'familiaris', 'mrzutý_člověk', 'psa_domácího', 'aretací', 'psí_maso', 'domácí_pes', 'dog-iron', 'canis_familiarus_domesticus', 'hnát', 'aretace', 'šelmy_psovité', 'honit', 'železný_kozlík', 'párek_v_rohlíku', 'hafík', 'canidae', 'fena', 'canis_lupus_f._familiaris', 'pes_domácí', 'párek', 'stopovat', 'pronásledovat', 'rodina_canidae', 'věcička', 'canis_familiaris', 'andiron', 'psovití', 'hotdog', 'canis_lupus_familiaris', 'firedog', 'hot_dog', 'pes', 'wienerwurst', 'psovité'}
