ability	{'kapacitet', 'evne', 'aptitude'}
beer	{'overgæring', 'bryggeriindustri', 'overgæret', 'ale', 'lyst_øl', 'ølsort', 'bryggeriindustrien', 'mjød', 'undergæring', 'øl', 'humle', 'ølbrygning', 'beer', 'fadøl'}
belly	{'mave', 'ølmave', 'bug', 'bughule', 'maven', 'abdomen', 'underliv', 'mavemuskler', 'belly', 'bughulen'}
big	{'stypsis', 'store', 'mineralitet', 'big', 'bjarke_ingels_group', 'norm_nixon', 'balance', 'tør', 'krop', 'bouquet', 'frugt', 'stor'}
bird	{'fugle', 'boo', 'fingeren', 'bird', 'mikuni_shimokawa', 'aves', 'yardbird_parker', 'avafauna', 'piphans', 'fjerbold', 'charles_christopher_parker', 'razz', 'bronx_cheer', 'pipfugl', 'fuglefauna', 'redesnylter', 'charlie_parker', 'fugl', 'pigebarn', 'razzing', 'digitus_impudicus', 'redeparasit', 'bird_parker', 'tøs', 'fuckfinger'}
bite	{'stik', 'chomp', 'pikant', 'bi-specifikke_t-celle_engager', 'brod', 'steven_hassan', 'bide', 'skarp', 'insekt_bid', 'mellemmåltid', 'skarphed', 'brænde', 'bidende', 'insektbid', 'bid', 'tildeling', 'snack', 'krydret'}
black	{'magic:_the_gathering', 'hvid', 'farve_videnskab', 'sort_kvinde', 'black', 'negerdreng', 'afrikansk_afstamning', 'negerkvinde', 'lightlessness', 'final_fight_3', 'totalt_mørke', 'sorte_samfund', 'negerske', 'sortfarvet', 'asiatisk', 'negre', 'farver', 'negroide', 'negerbarn', 'ansigtsfarve', 'shirley_temple_black', 'komplementærfarve', 'negerbørn', 'hispanic', 'sorte', 'sort_person', 'den_negride_race', 'kari_kimmel', 'negrid_race', 'taio_cruz', 'black_african', 'farve', 'negermand', 'komplementærfarver', 'magic_the_gathering', 'morian', 'sort', 'negroid_race', 'negride_race', 'negroid', 'sort_mand', 'negerpige', 'negrid', 'negroide_race', 'negro', 'planeswalker', 'joseph_black', 'tonehøjde_mørket', 'negere', 'ninjutsu_i_magic_the_gathering', 'sorte_kvinder', 'negerinde', 'sensation', 'pang_farver', 'final_fight', 'hvid_og_sort_i_skak', 'inkiness', 'sorte_mennesker', 'negroids', 'shirley_temple', 'neger', 'andre_racer', 'latino'}
blood	{'biologiske_arv', 'blod', 'dancing_in_the_ashes', 'herkomst', 'collective_soul', 'not_listening', 'blodledning', 'arvelig', 'afstamning', 'roue', 'take_me', 'hæmatologiske', 'genetiske_arv', 'iltet_blod', 'blodet', 'harder_than_a_coffin_nail', 'biologisk_arv', 'arvelighed', 'blanket_of_fear', 'bordeaux', 'humant_blod', 'getting_away_with_murder', 'bordeaux_vin', 'oxygentransport', 'rakehell', 'gawm', 'blodstrøm', 'the_black_parade', 'be_free', 'persistence_of_time', 'blood', 'vs.'}
blow	{'blæse', 'puste', 'spilde', 'næse_slik', 'slag', 'blow', 'kokain', 'vindstød', 'tilbageslag', 'prale'}
body	{'eubstance', 'polyedre', 'døde_krop', 'polytop', 'fysiske_struktur', 'enhancement-mode', 'nmos', 'organisme', 'felteffekttransistorer', 'heldragt', 'kadaver', 'tidsskriftsartikel', 'j-fet', 'lig', 'nyhedsartikel', 'karetmager', 'source', 'dør', 'igfet', 'dobbelgate-fet', 'organisk_struktur', 'unitard', 'avisartikler', 'karrosseri', 'system', 'punktstørrelse', 'subtile_krop', 'tør', 'artikel', 'kadavere', 'kroppen', 'n-kanal', 'body', 'jfet', 'frugt', 'meddelelsestekst', 'torso', 'mineralitet', 'trikot', 'cadaver', 'cat_suit', 'overkrop', 'modtageren', 'avisartikel', 'autokaretmager', 'teairra_marí', 'fysiske_krop', 'bladartikler', 'gate', 'fet', 'depletion-mode', 'punkt', 'stypsis', 'drain', 'pts', 'krop_og_sjæl', 'legeme', 'catsuit', 'felteffekttransistor', 'stammen', 'pkt', 'balance', 'nyhedshistorie', 'soundbox', 'krop', 'bouquet', 'auto_krop', 'cmos', 'felteffekttransistoren', 'rj-mb', 'bodysuit'}
bone	{'knogle', 'rørknogle', 'elfenben', 'fae_myenne_ng', 'knæverpinde', 'def_jam_recordings', 'knoglevæv', 'def_jam', 'ossøse', 'off-white', 'bone', 'metafyse', 'ben', 'knokkel', 'bones', 'arnold_boonen', 'knogler', 'menneskeknogler', 'knæverpind', 'metafysen', 'flad_knogle'}
brain	{'hjernevæv', 'hoved', 'psyke', 'tænker', 'menneskets_hjerne', 'kuppel', 'indersiden_af_hovedet', 'sind', 'mental_indhold', 'hjernen', 'inspektør_gadget', 'menneskelige_sind', 'pære', 'sindet', 'hætte', 'banks', 'cerebrum', 'ræsonnere', 'hukommelse', 'brain', 'den_øverste_etage', 'ræsonnement', 'psyken', 'hjernefunktion', 'mental', 'indstilling', 'indlæringsevnen', 'verstand', 'lampe', 'bryan_mantia', 'mentale_kapacitet', 'hjernens_funktion', 'nous', 'karakter', 'pattedyrs_hjerne', 'geni', 'inspector_gadget', 'fornuft', 'intellektuelle_ressourcer', 'brainiac', 'intellekt', 'hjerne', 'sjæl'}
breast	{'patte', 'junger', 'buste', 'babs', 'nød', 'kvindebryst', 'the_breast', 'babser', 'brystparti', 'titty', 'melon', 'brystkræft', 'hvidt_kød', 'batteri', 'bryster', 'pat', 'pectus', 'brystcarcinoma', 'barm', 'brystkasse', 'brystkassen', 'jader', 'bryst', 'patter', 'forlygte', 'brystet'}
breathe	{'kristof_konrad', 'a_class', 'respire', 'dark_side_of_the_moon', 'time', 'breathe_in_the_air', 'ånde', 'i-empire', 'breathe', '11:59', 'træk_vejret', 'funeral_for_yesterday', 'the_dark_side_of_the_moon'}
broken	{'plastic_beach', "winterheart's_guild", 'echo', 'delta_machine', 'defekt', 'fejlbehæftet', 'the_broken', 'broken', 'brudt', 'stumper_og_stykker', '12_stones', 'ms._kelly', 'the_best_of_bruce_dickinson', 'fejlagtig'}
building	{'konstruktion', 'offentlige_bygninger', 'bygning', 'byggebranchen', 'bryster_bygning', 'byggeplads', 'offentlig_bygning', 'opførelse', 'byggeprojekt', 'byggeri', 'bygninger', 'bygge-_og_anlægsarbejde', 'bygningsværk'}
burn	{'fc_dallas', 'ruisseau', 'lue', 'åen', 'solskoldning', 'vandløb', 'solbrændt', 'bål', 'f.c._dallas', 'intermitterende_strøm', 'brandsår', 'forbrænding', 'tredje_grad_brænde', 'flamme', 'brande', 'erythema_solare', 'flammende', 'brand', 'suntan', 'burn', 'solbrændthed', 'tredje_grads_forbrændinger', 'bæk', 'vandløbets_faser', 'tan', 'dallas_burn', 'ild', 'anden_grad_brænde', 'brænde', 'strøm', 'brænde_op', 'brænde_mark'}
business	{'erhvervskvinde', 'erhvervsliv', 'klientel', 'business_loop', 'beskæftigelse', 'for-profit', 'linje_i_arbejde', 'business', 'job', 'besættelse', 'virksomhed', 'erhvervsvirksomhed', 'forhandler', 'lob', 'kunde', 'enkeltmandsvirksomhed', 'byplay', 'virksomhed_bekymring', 'business_rute', 'erhverv', 'firma', 'kommerciel_virksomhed', 'line_of_business', 'firmaer', 'dag_job', 'scene_forretning', 'for_profit', 'business_system', 'virksomhedsorganisation', 'erhvervsmand', 'kundekreds', 'selvstændige_entreprenører', 'erhvervslivet', 'business_videnskab', 'selskaber_lov', 'virksomheder', 'forretning'}
camera	{'kameraer', 'motion-billede_kamera', 'filmkamera', 'fjernsynskamera', 'kamera', 'fotografiapparat', 'fotografisk_kamera', 'cine-kamera', 'camera', 'film_kamera', 'kameraet', 'the_back_room', 'tv-kamera'}
carefully	{'bekymring', 'omhyggeligt'}
challenge	{'udfordring', 'challenge-response-godkendelse', 'challenge-response', 'indvending', 'bestride', 'udfordre'}
charity	{'melinda_padovano', 'almennyttig', 'charity', 'broderkærlighed', 'velgørenhedsorganisation', 'offentlig_velgørenhed', 'polymonium_caeruleum_van-bruntiae', 'registreret_velgørenhedsorganisation', 'velgørende_organisationer', 'almindelig_jakobsstige', 'polemonium_van-bruntiae', 'polemonium_caeruleum', 'velgørende_organisation', 'velgørenhed', 'velgerning'}
charming	set()
child	{'præ-pubertære', 'kid', 'unge', 'mindreårig', 'barnet', 'døtre', 'mindre', 'børns', 'datter', 'pattebarn', 'umyndig', 'børn', 'skolebørn', 'tiddler', 'myndig', 'youngster', 'myndighedsalder', "l'enfant", 'barn'}
clothes	{'beklædningsindustrien', 'artikel_i_tøj', 'påklædning', 'beklædningsartikler', 'klædedragt', 'dragt', 'klæder', 'dametøj', 'tøj', 'beklædningsgenstand', 'kluns', 'beklædning', 'habiliment', 'wearable', 'klæde'}
cloud	{'cloudcomputing', 'cloud-baseret', 'tordensky', 'sværm', 'kiba', 'sværmer', 'skyer', 'cloud_computing', 'cloud-infrastruktur', 'cloud-tjeneste', 'skjule', 'cloud_hosting', 'skydannelse', 'offentlig_sky', 'skyen', 'sky', 'infrastruktur_som_en_service', 'cloud_strife', 'hybridsky', 'cloud-tjenester', 'bortgemme', 'cloud'}
cockroach	{'kakerlak', 'blattodea', 'kakkerlakker', 'blattaria', 'cockroach', 'underorden_blattodea', 'underorden_blattaria', 'kakerlakker'}
code	{'koder', 'computer_kode', 'kode', 'kodet', 'kryptere', 'kodex', 'codification', 'enkryptere', 'kodninger', 'computer-kode', 'kodeks', 'kodificering', 'lov_kode', 'planlægge', 'kodning', 'lovsamling', 'kodifikation'}
cold	{'rygerlunger', 'snue', 'craig_david', 'cold', 'kulde', 'nicole_kea', 'nicole_scherzinger', 'kold', 'nasopharyngitis', 'koldt', 'kol', 'john_gary', 'forkølelse', 'kronisk_obstruktiv_lungesygdom', 'almindelig_forkølelse', 'lav_temperatur'}
collection	{'kompendium', 'collection', 'appel', 'joe_sample', 'kunstsamlinger', 'objektbeholder', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'mængde', 'akon', 'the_offspring_collection', 'kollekt', 'bogserie', 'inkasso', 'inkassator', 'hawkwind', 'samling_agentur', 'aggregation', 'kompendie', 'bundt', 'gruppe', 'relation', 'sæt', 'the_charlatans', 'montage', 'akkumulering', 'indsamling', 'ingathering', 'container', 'kunstsamling', 'pakkesalg', 'samling'}
come	{'komme', 'gøre', 'ejakulere', 'nå', 'sædvæske', 'ramte', 'come', 'kommet', 'ankomme', 'cum', 'sperm', 'sæd'}
computer	{'almindelig_computer', 'digitale_computere', 'computer_technology', 'estimator', 'computing_maskine', 'lommeregner', 'edb-maskine', 'computersystem', 'analog_computer', 'computere', 'datamat', 'figurer', 'computerenhed', 'edb-system', 'regnemaskine', 'computer', 'information_system', 'arbejdsstation', 'dataprocessor', 'edb-systemer', 'computer-genereret_musik', 'datamaskine', 'menneskelig_computer', 'digital_computing', 'generelle_formål_computer', 'elektronisk_computer', 'computeren', 'computerteknologi', 'computer_musik', 'komputer', 'elektronhjerne'}
construction	{'rs', 'konstruktion', 'bygge-_og_anlægsarbejde', 'grammatisk_konstruktion', 'byggebranchen', 'byggeplads', 'udtryk', 'runescape', 'forfatningsmæssig_fortolkning', 'opførelse', 'konstrueret_struktur', 'byggeprojekt', 'retslig_fortolkning', 'byggeri', 'model', 'mental_syntese', 'bygningskonstruktion', 'struktur'}
cook	{'kokke', 'kommis_kok', 'berede', 'forfalske', 'kort_rækkefølge_cook', 'køkkenchef', 'captain_cook', 'sous-chef', 'lave_mad', 'cook', 'chefkok', 'frederick_cook', 'kokkerere', 'james_cook', 'tilberede', 'hurtig_kok', 'alec_empire', 'kok', 'kaptajn_james_cook'}
correct	{'justere', 'rette', 'sand', 'virkelig', 'ret', 'rigtig', 'korrekt', "stille_'ind", "stille_'om", 'korrigere', 'indstille'}
count	{'earldom', 'talnotationssystem', 'positionstalsystemer', 'earls', 'liste', 'antal', 'comital', 'sql', 'talsystem', 'tælle', 'countship', 'jarl', 'tyvetalsystem', 'overveje', 'noget', 'fuld_tælling', 'greve', 'greven_af_monte_cristo', 'earl', 'chaplin_som_greve', 'ordnet_liste', 'structured_query_language', 'comtesse', 'veje', 'optælling'}
counting	{'talnotationssystem', 'positionstalsystemer', 'liste', 'antal', 'talsystem', 'ordnet_liste', 'tælle', 'tyvetalsystem', 'optælling'}
crazy	{'vanvid', 'loca', '(you_drive_me)_crazy', '...famous_last_words...', 'loony', 'erika_jayne', 'playing_with_fire', 'usher', 'looney', 'sindssyge', 'galskab', 'because_of_you', 'told_you_so', 'sindssyg', 'c.r.a.z.y.', 'the_r.e.d._album', 'nutcase', 'crazy'}
cut	{'skæring', 'hug', 'film_editor', 'skåret_af_kød', 'kold_skulder', 'snitte', 'skære_ned', 'flænger', 'stykke', 'skåret', 'vunde', 'skære', 'snit', 'såre', 'spor', 'primal_snit', 'forkorte', 'censureret', 'mode', 'baseball_swing', 'klippe', 'dreje', 'censorer', 'vende', 'fortynde', 'aftagning', 'sårede', 'cut', 'reducere', 'pressecensur', 'spejlvende', 'centrale_única_dos_trabalhadores', 'åbent_sår', 'sår', 'udskære', 'censur', 'udskæring', 'filmredigering'}
damage	{'damage', 'pris', 'misbrugt', 'udstyr_ulykke', 'skade', 'skamfere', 'beskadigelse', 'vansire', 'scathe', 'priser', 'juridisk_skade'}
dance	{'dansemusik', 'danserinde', 'danse', 'dance', 'nathaniel_dance-holland', 'waterloo', 'dancé', 'danser', 'oliver_heldens', 'dansetrin', 'dans', 'post-disco', 'dansere'}
dangerous	{'farlige', "it's_hard", 'dangerous', 'farlig'}
day	{'daglængde', 'day', 'clarence_day', 'siderisk_døgn', 'dage', '24_timer', 'sol_dag', 'betyde_sol_dag', 'tilsyneladende_soltid', '24_timer_periode', 'dagtimerne', 'soltid', 'clarence_shepard_day_jr.', 'døgn', '24_timers_interval', 'dag', 'dagen'}
deceive	{'vildledende', 'bedrag', 'uærlighed', 'bedrage', 'knavery'}
dedication	{'troskab', 'dedication', 'dedikation'}
deliberately	{'bevidst'}
delivery	{'afhændelig', 'skibstransport', 'hjemmet_levering', 'jape', 'udbud', 'accouchement', 'passagertransport', 'transport', 'delivery', 'spøgefuld', 'fødedygtige', 'transportinfrastruktur', 'fremmedgørelse', 'overdragelse', 'hjem_levering', 'redde', 'banetransport', 'transportmidler', 'redning', 'befordre', 'barnefødsel', 'vits', 'barsel', 'bæltetransport', 'obstetrisk_levering', 'udfrielse', 'arbejdskraft_og_levering', 'landtransport', 'levering_dreng', 'transportmiddel', 'forløsning', 'joke', 'transportere', 'kabeltransport', 'transportbranchen', 'fødsel', 'vittighed', 'levering', 'bringe', 'vittigheder', 'vaginal_fødsel', 'rumtransport', 'måde_at_tale', 'spøg'}
dessert	{'dessertvin', 'efterret', 'dessert_vin', 'afters', 'dessert', 'dessert_vine', 'desserter'}
device	{'mobil_kommunikation', 'mekanisk_anordning', 'biltlf.', 'computerhardware', 'devve', 'maskine', 'dev1ce', 'mekanisk_indretning', 'device', 'maskiner', 'trådløs_telefon', 'cellulær_kommunikation', 'digitale_mobiltelefoner', 'hardware', 'kapital_udstyr', 'mobiltlf', 'nicolai_reedtz', 'maskinel', 'mobiltelefon', 'mobilkommunikation', 'redskab', 'mobile_cellulære', 'udstyr', 'cellulære_telefon', 'hvad_kunne_den_første_mobil', 'mobiltlf.', 'rive', 'enhed', 'computerudstyr', 'mobil', 'mobiltelefoni', 'isenkram_qualifier', 'biltlf', 'grej', 'personlig_computer_hardware', 'cellphone', 'computer_hardware', 'maskindel', 'maskinen', 'mobiltelefoner', 'config.sys'}
die	{'mikrochip', 'microchip', 'spilleterning', 'silicium-chip', 'elektronisk-chip', 'halvleder-chip', 'halvlederbrik', 'transistor-chip', 'siliciumbrik', 'ødelægge', 'terning', 'død', 'halvleder-mikrochip', 'datachip', 'for_tidlig_død', 'terninger', "bryde_'sammen", 'die', 'halvlederchip', 'dø', 'dødsfald', 'tidlig_død', 'siliciumchip', 'smadre', 'døde', 'polyhedrale_terninger', 'silicium-mikrochip', 'computerchip', 'elektronisk_chip', 'manden_med_leen'}
dig	{'fatte', 'gibe', 'begribe', 'jibe', 'arkæologiske_websted', 'forstå', 'dig', 'andré_dignimont', 'udgravning', 'grave'}
dinner	{'aftensmad', 'middag_på_italiensk', 'teatime', 'frokost', 'middag_aftenmad', 'middagsselskab', 'dejeuner', 'tiffin', 'middagsmad', 'dinner', 'middag', 'eftermiddagste', 'middagsbord', 'lunch', 'frokosten', 'te'}
dirty	{'cachelagring', 'cache_linje', 'cache-hukommelse', 'cpu_cache', 'jordbund', 'data_cache', 'l2_cache', 'underworld', 'uren', 'cache', 'snavsede', 'skrive-back', 'jord', 'dirrty', 'plantejord', 'l1_cache', 'svine', 'beskidt', 'cached', 'snavs', 'tilsøle', 'cache_miss', 'jordovn', 'set-associative', 'memory_cache', 'grumset', 'l1-cache', 'beskidte', 'skrive-through', 'besudle', 'dirty', 'l3_cache', 'buffer', 'instruktion_cache'}
disease	{'morbid', 'unwellness', 'sygelighed', 'pleuritis', 'affektion', 'lungehindebetændelse', 'arvelige_sygdomme', 'infektionssygdomme', 'medicinsk_tilstand', 'medicinske_tilstande', 'medicinsk_lidelse', 'sygdom', 'syge', 'lidelse', 'begowal', 'sygdomme'}
dissolve	{'overtoning', 'opløse'}
disturb	{'oprøre', 'chokere'}
do	{'do', '도', 'selskab', 'fester', 'gøre', 'pule', 'agere', 'knalde', 'udføre', 'opføre', 'gør', 'slå_ihjel', 'parter', 'spille', 'trives', 'dræbe', 'partiet', 'handle', 'opføre_sig', 'bolle', 'optræde', 'doh', 'doctor_of_osteopati', 'fest', 'klare', 'florere', 'ihjelslå', 'tamtam', 'soirée', 'forårsage', 'kneppe', 'opfører_sig', 'marshall_applewhite'}
doctor	{'reparere', 'loic_nottet', 'udbedre', 'kirurgen', 'fil.dr.', 'rude_boy', 'dr._juris', 'rudeboy', 'cand.med.', 'doktor_i_medicin', 'højere_doktorgrad', 'doktorat', 'dr._med.', 'dr', 'praktiserende_speciallæge', 'medical_officer', 'dr.theol.', 'speciallæge', 'feltskær', 'læge', 'medikus', 'doktor', 'doktorgraden', 'doktorgrad', 'lægen', 'ph.d.-grader', 'kirkelærer', 'doktorgrader', 'kirurger', 'forfalske', 'doctor_who', 'cheflæge', 'teologiske_doktorgrad', 'læger', 'forskning_doktorgrad', 'dr.', 'doctor_of_the_church', 'dr.scient.', 'doctor_scientiarum_administrationis', 'forny', 'sawbones', 'dr.scient.adm.', 'professionel_doktorgrad', 'dr._theol.', 'dr.med.', 'dr._theol', 'læger_i_kirken', 'dr.polit.', 'loïc_nottet', 'eliza', 'doctor_medicinæ', 'dr._med', 'doktorgradens_historie', 'doktorere', 'dr.scient.pol.', 'den_teologiske_doktorgrad', 'doctorat', 'doctor_juris', 'dr.jur.', 'kirurg', 'teol._dr.', 'dr._jur.', 'praktiserende_læge'}
dog	{'canis_lupus_familiaris', 'hunde', 'vovhund', 'hundedyr', 'pal', 'følge', 'tamhund', 'hund', 'antonio_angelo_del_sambro', 'blæksort', 'hundefamilien', 'canidae', 'medlem_af_hundefamilien', 'vovse', 'forfølge', 'canidae-familien', 'andiron', 'køter', 'weenie', 'familiaris', 'firedog', 'jagte', 'dyr_af_hundefamilien', 'duck_hunt', 'fransk_hotdog', 'hotdogs', 'frump', 'tæve', 'canis_familiaris', 'wienerwurst', 'hund-jern', 'frankfurter', 'hundekød', 'hotdog'}
dressing	{'bandagering', 'beklædningsindustrien', 'artikel_i_tøj', 'påklædning', 'forbinding', 'bind', 'klædedragt', 'dametøj', 'tøj', 'beklædningsgenstand', 'beklædning', 'bandage', 'medicinske_forbinding', 'salatdressing', 'habiliment', 'salat_dressing', 'wearable'}
drink	{'drikkelig', 'synkning', 'drikkevand', 'drik', 'deglutition', 'alkohol', 'drikkeri', 'drikkevarer', 'drikkevare', 'drink', 'synke', 'drikke', 'spiritus', 'sluge', 'lil_jon', 'crapulence', 'drikkelse', 'druk'}
driver	{'chauffer', 'lund', 'printerdriver', 'truckere', 'skov', 'skove', 'i_storbyens_nat', 'driver', 'nåleskov', 'software_driver', 'koblet_aksel', 'cowcatcher', 'silva', 'hardwaredriver', 'lastbilchauffør', 'chauffør', 'enhedsdrivere', 'lastbil_kørsel', 'koblede_aksel', 'koblede_hjul', 'bilist', 'wälder', 'nåleskove', 'nummer_et_træ', 'koblede_aksler', 'hardware_driver', 'skoven', 'pilot', 'drivhjul', 'trucker', 'træ', 'lastbilchauffører', 'enhedsdriver', 'driver:_san_francisco'}
