English,French,German,Italian,Spanish,Dutch,Swedish
sea,mer,Meer,mare,mar,zee,hav
salt,sel,Salz,sale,sal,zout,salt
stone,pierre,Stein,pietra,piedra,steen,sten
sand,sable,Sand,sabbia,arena,zand,sand
dust,poussière,Staub,polvere,polvo,stof,damm
earth,terre,Erde,terra,tierra,aarde,jord
cloud,nuage,Wolke,nuvola,nube,wolk,moln
fog,brouillard,Nebel,nebbia,niebla,mist,dimma
sky,ciel,Himmel,cielo,cielo,lucht,himmel
wind,vent,Wind,vento,viento,wind,vind
snow,neige,Schnee,neve,nieve,sneeuw,snö
ice,glace,Eis,ghiaccio,hielo,ijs,is
smoke,fumée,Rauch,fumo,humo,rook,rök
fire,feu,Feuer,fuoco,fuego,vuur,eld
ashes,cendres,Asche,ceneri,cenizas,as,aska
burn,brûler,brennen,bruciare,quemar,branden,brinna
road,route,Straße,strada,camino,weg,väg
mountain,montagne,Berg,montagna,montaña,berg,berg
red,rouge,rot,rosso,rojo,rood,röd
green,vert,grün,verde,verde,groen,grön
yellow,jaune,gelb,giallo,amarillo,geel,gul
white,blanc,weiß,bianco,blanco,wit,vit
black,noir,schwarz,nero,negro,zwart,svart
night,nuit,Nacht,notte,noche,nacht,natt
day,jour,Tag,giorno,día,dag,dag
year,an,Jahr,anno,año,jaar,år
warm,chaud,warm,caldo,cálido,warm,varm
cold,froid,kalt,freddo,frío,koud,kall
full,plein,voll,pieno,lleno,vol,full
new,nouveau,neu,nuovo,nuevo,nieuw,ny
old,vieux,alt,vecchio,viejo,oud,gammal
good,bon,gut,buono,bueno,goed,bra
bad,mauvais,schlecht,cattivo,malo,slecht,dålig
rotten,pourri,verrottet,marcio,podrido,rot,rutten
dirty,sale,schmutzig,sporco,sucio,vies,smutsig
straight,droit,gerade,diritto,recto,recht,rak
round,rond,rund,rotondo,redondo,rond,rund
sharp,tranchant,scharf,aguzzo,afilado,scherp,vass
dull,émoussé,stumpf,noioso,desafilado,stomp,slö
smooth,lisse,glatt,liscio,suave,glad,len
wet,mouillé,nass,bagnato,mojado,nat,våt
dry,sec,trocken,asciutto,seco,droog,torr
correct,juste,richtig,corretto,correcto,juist,rätt
near,proche,nah,vicino,cerca,dichtbij,nära
far,loin,weit,lontano,lejos,ver,fjärran
right,à droite,rechts,destra,derecha,rechts,höger
left,à gauche,links,sinistra,izquierda,links,vänster
at,à,bei,a,a,aan,hos
in,dans,in,in,en,in,i
with,avec,mit,con,con,met,med
and,et,und,e,y,en,och
if,si,wenn,se,si,als,om
because,parce,weil,perché,porque,omdat,eftersom
name,nom,Name,nome,nombre,naam,namn
