ability	способноста	Found close match: ['способност']	['капацитет', 'способност', 'умеење', 'приемност']
land	земјиштата	Found close match: ['земјиште', 'земја', 'зе́мја']	['недвижности', 'сојузени_држави_во_германија', 'земја', 'нација', 'покраини_на_германија', 'нација_и_национализам', 'посед', 'land', 'недвижнини', 'копно', 'суверена_држава', 'недвижност', 'држава', 'зе́мја', 'ланд', 'сојузни_републики_во_германија', 'државата', 'покраини_во_германија', 'сојузни_покраини_во_германија', 'држави', 'терито́рија', 'административна_единица_на_мексико', 'недвижнина', 'почва', 'земјиште', 'сојузна_покраина_на_германија', 'имот', 'германски_покраини', 'држа́ва']
laugh	слушнеш	Incorrect	['смеење', 'смеа', 'шега', 'се_смее', 'сме́а', 'смев']
law	закона	Found close match: ['закон']	['m72_law', 'право', 'адвокатура', 'закон', 'милиција', 'човечко_правило', 'правни_науки', 'физички_закон', 'полиција', 'луо', 'правна_наука', 'earthling', 'јуриспруденција', 'јуриспруде́нција', 'правен_научник']
left	лево	Match	['левичари', 'лева', 'левичар', 'лево_крило', 'левичарски', 'esquerra_republicana_de_catalunya', 'лев', 'левица', 'левичарска_политика', 'venstre', 'левичарска', 'левичарство', 'релативна_насока', 'релативен_правец', 'политичка_левица', 'лево']
level	нивои	Found close match: ['ниво']	['рамен', 'водена_вага', 'приземје', 'levél', 'кат', 'ниво', 'либела', 'васервага', 'спрат', 'оценка', 'рамномерен', 'мазен', 'водена_терезија', 'adema', 'level']
liar	измамник	Incorrect	['so_far_so_good_so_what', 'louder_now', 'mary_jane', 'лажго', 'so_far_so_good…_so_what', 'liar', 'hook_in_mouth', 'liră', 'in_my_darkest_hour', 'republic', 'лажливец']
light	светлиот	Found close match: ['светлост', 'светло', 'светлината']	['светло', 'прозор', 'луминанција', 'светлосен_бран', 'окно', 'блескавост', 'light_yagami', 'лесен', 'електрична_светилка', 'светол', 'осветленост', 'запалка', 'светлината', 'светлост', 'светлина', 'пенџере', 'пенџер', 'видлива_светлина', 'прозорец']
magic	магични	Found close match: ['магија']	['еднонасочно_огледало', 'магија', 'take_me_home', 'magic', 'justin_timberlake', 'kiri_te_kanawa', 'axel_rudi_pell', 'pluto', 'make_a_scene', 'волшепство', 'џастин_тимберлејк', 'driving_rain', 'secret_time']
marriage	брак	Match	['брак', 'унија', 'бракови', 'свадба', 'венчавка', 'женидба', 'сојуз']
material	материјали	Found close match: ['материјал', 'материјализам', 'материјална']	['материјална', 'ткаенина', 'текстил', 'физикализам', 'материјализам', 'материјал']
mathematical	математички	Match	['математика', 'математички', 'математичка', 'математиката', 'математичко', 'математичар']
mechanism	механизамот	Found close match: ['механизам', 'механи́зам']	['механизам', 'машина', 'механи́зам']
medication	лекови	Match	['фармацевтски_дроги', 'лекови', 'лекарство', 'version_20', 'лек', 'лекарства', 'rescue']
money	пари	Match	['money', 'history', 'пари', 'богатство']
mountain	планине	Found close match: ['планини', 'планина', 'планински']	['планина', 'планински', 'гора', 'планинска', 'планини', 'mountain']
movement	движење	Match	['movement', 'и́змет', 'гомно', 'општествено_движење', 'she_wolf', 'систем_за_движење', 'филозофски_правец', 'екскреме́нт', 'лајно', 'измет', 'движење', 'ѓубре_лепешка', 'системот_за_движење', 'групно_делување', 'уметнички_правец', 'дефекација', 'локомоторен_систем', 'кака', 'фиолозофско_движење', 'the_pillows', 'ѓубре']
movie	филмот	Found close match: ['филм']	['филм', 'kites']
music	музика	Match	['му́зика', 'the_music', 'музичка_уметност', 'музичар', 'музика', 'music', 'country_rock']
nation	нација	Match	['nation', 'сојузни_републики_во_германија', 'државата', 'сојузна_покраина_на_германија', 'покраини_во_германија', 'сојузни_покраини_во_германија', 'држави', 'германски_покраини', 'сојузени_држави_во_германија', 'земја', 'суверена_држава', 'нација', 'нација_и_национализам', 'држа́ва', 'kendrick_lamar', 'покраини_на_германија', 'држава', 'зе́мја', 'административна_единица_на_мексико']
news	вести	Match	['но́вости', 'новости', 'news', 'вест', 'вести', 'ве́сти']
noise	звука	Found close match: ['звук', 'бука']	['космичко_микробраново_позадинско_зрачење', 'elementary_os', 'бука', 'звучни_бранови', 'noise', 'глас', 'галама', 'врева', 'звук', 'шум', 'бучава', 'звучен_бран']
obligation	обврска	Match	['обврска', 'облигационо_право', 'обврската', 'договорно_право', 'обврски']
pain	болка	Match	['болката', 'pain', 'king_of_da_ghetto', 'болки', 'forever', 'болка', 'games_pain']
personality	личност	Match	['личност', 'personality', 'карактер']
philosophy	филозофија	Match	['филозофија', 'философија', 'доктрина', 'философи', 'филозофски', 'филозофијата']
picture	слика	Match	['сликање', 'цртеж', 'фотографија', 'филм', 'slikanje', 'kiss', 'сликарство', 'cobol', 'слика_на_сметката', 'уметничка_слика', 'илустрација', 'слика', 'сликари', 'фотогра́фија', 'сли́ка', 'фо́то', 'сликар']
pig	свиња	Match	['маторица', 'прасица', 'гуде', 'свинско_месо', 'свиња', 'sus_scrofa', 'сви́нско', 'sus_scrofa_domestica', 'прасенце', 'прасе', 'дебелогазец', 'вепар', 'свинско', 'дива_свиња', 'диви_свињи', 'диво_прасе']
plan	план	Match	['планираат', 'програма', 'plan', 'план']
plant	растенија	Match	['plant', 'растенија', 'фа́брика', 'централа', 'билка', 'по́гон', 'флора', 'rastenija', 'plantae', 'работи́лница', 'растение', 'фабрика', 'trigun', 'фабрики', 'archaeplastida', 'погон', 'растенијата', 'архаепластидите']
play	играј	Match	['драма', 'play', 'google_play_store', 'гугл_плеј', 'драмско_дело', 'android_play', 'глуми', 'свири', 'android_market', 'пиеса', 'пушти', 'играј', 'игра', 'play_store', 'игри', 'google_play']
pleasure	задоволство	Match	['sondre_lerche', 'задоволство', 'pleasure_p', 'semisonic']
poor	сиромашните	Match	['сиромаштија', 'сиромашен', 'сиромав', 'сиромашни', 'сиромашните']
prison	затвор	Match	['tom_robinson', 'затвор']
professional	професионален	Match	['мајстор', 'професионалец', 'професионални', 'professional', 'професионална', 'професионален', 'професионално']
protection	заштита	Match	['protection', 'бе́збедност', 'си́гурност', 'заштита', 'штит']
quality	квалитет	Match	['осо́бина', 'особина', 'о́длика', 'качество', 'тембр', 'квалитетно', 'боја_на_тонот', 'quality', 'квалитет', 'квалите́т']
reaction	реакција	Match	['хемиски_реакции', 'reaction', 'реакција', 'хемиска_реакција']
read	прочиташ	Found close match: ['прочитај', 'прочитајте', 'чита']	['чита', 'прочитајте', 'читање', 'прочитај', 'читај', 'читам', 'читајте']
relationship	односи	Found close match: ['однос']	['сродство', 'врска', 'однос', 'меѓучовечки_однос']
religious	религиозус	Found close match: ['религиозно', 'религиозна', 'религиозен']	['духовник', 'религиски', 'религиозен', 'верски_деец', 'религиозна', 'свештено_лице', 'верски', 'религиозно']
residence	престојувалиште	Found close match: ['престој']	['престој', 'станување', 'дом', 'резиденција', 'живеалиште', 'жител']
road	автопатот	Incorrect	['the_road', 'пат', 'road', 'new', 'патишта']
sad	младеновац	Incorrect	['тажно', 'цаде', 'lost_dogs', 'тажна', 'жалосно', 'та́жен', 'тажен', 'жално', 'sad']
science	наука	Match	['науки', 'науката', 'science', 'наука']
seafood	јадења	Not found	[]
sell	продадат	Found close match: ['продаде', 'продава', 'продажба']	['продава', 'трговија', 'трго́вија', 'продажба', 'предава', 'продавај', 'продаде']
sew	ткае	Incorrect	['шие']
sexy	танцувај	Incorrect	['sexy', 'секси', 'elephunk']
shape	правоаголната	Incorrect	['shape', 'музички_облик', 'форма', 'физиологија_на_човекот', 'облик', 'музичка_форма', 'човечко_тело']
ship	бродо	Found close match: ['брод']	['кораб', 'лаѓа', 'брод']
show	„шоуто	Incorrect	['докажува', 'прикажи', 'по́каже', 'пока́жува', 'докаже', 'покажи', 'show']
sign	потпишете	Match	['потпишува', 'потпишете', 'brown_eyed_girls', 'знак_на_болест', 'знак', 'електронегативност', 'ишарет', 'натписен_знак', 'графема', 'семиотика']
silly	глупаво	Match	['глупаво', 'silly', 'глупав']
sin	гревот	Match	['аеродром_сингапур', 'синхалезиски_јазик', 'гревот', 'чанги', 'синхалски', 'шан', 'нана', 'греши', 'sin', 'суен', 'син', 'грев', 'синус', 'синхалски_јазик', 'shin', 'синхала']
skin	кожата	Found close match: ['кожа', 'ко́жа']	['day_for_night', 'дополнителна_компонента', 'плагин', 'almost_human', 'ко́жа', 'blender', 'ray_of_light', 'кожа', 'приклучок', 'ркели', 'печатена_плочка', 'печатено_коло', 'skin']
smart	сурфејс	Incorrect	['разузнавачка_служба', 'smart', 'паметна', 'паметно', 'смарт', 'интелигенција', 'паметни', 'паметен']
smiling	насмеан	Found close match: ['насмеани', 'насмеана', 'на́смевка']	['на́смевка', 'насмеана', 'насмеани']
solution	решениа	Found close match: ['решение']	['раствор', 'раствори', 'решение', 'solution']
soul	душа	Match	['душа', 'личност', 'soul', 'некој', 'индивидуа', 'person']
sound	звук	Match	['фон', 'звучни_бранови', 'драга', 'здрав', 'глас', 'те́снец', 'јак', 'теснец', 'проток', 'звук', 'мореуз', 'звучен_бран', 'силен']
spoke	зборувал	Found close match: ['зборуваше']	['говорни_јазици', 'усни_јазици', 'усен_јазик', 'усмен_јазик', 'говор', 'устни_јазици', 'зборуваше', 'устен_јазик', 'говореше', 'усмени_јазици', 'ја́зик', 'спица', 'јазик', 'реч', 'spoke', 'говорен_јазик']
star	ѕвезда	Match	['ѕвездеста_мрежа', 'ѕвездички', 'ѕвездичка', 'славна_личност', 'позната_личност', 'estelle', 'ѕвезда', 'ilean_almaguer', 'ѕвезди', 'ѕвезден', 'ѕвездест_многуаголник', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'star', 'star_network', 'xerox_star', 'tar']
student	студент	Match	['книжарница', 'студентски', 'ученичка', 'студент', 'ученик', 'вилијам_госет', 'william_sealy_gosset']
stupid	глупав	Match	['глупава', 'глупав', 'глупаво', 'глупи', 'ravensymone', 'глуп']
successful	успешни	Match	['успешен', 'успешни', 'успешните', 'успешна', 'успешно', 'successful']
sugar	шеќер	Match	['шеќерна_коцка', 'шеќер', 'betmen_zasekogash', 'sugar', 'јаглени_хидрати', 'јаглехидрати', 'glassheart', 'batman_forever', 'јаглехидрат', 'бетмен_засекогаш', 'шеќери']
suspect	посомневаат	Found close match: ['се_сомнева', 'осомничена', 'осомничениот']	['осомничена', 'robert_crais', 'осомничениот', 'осомничен', 'претпоставува', 'се_сомнева']
table	табелата	Found close match: ['табела', 'табе́ла', 'та́блица']	['табе́ла', 'та́блица', 'пребарај', 'маса', 'табела', 'табеларни_податоци', 'mesa', 'трпезна_планина']
taste	вкус	Match	['nowhere', 'taste', 'вкус']
team	тим	Match	['тим', 'музички_состав', 'екипен_спорт', 'екипа', 'група', 'team']
texture	текстура	Match	['музичка_текстура', 'текстура']
time	време	Match	['глаголско_време', 'миг', 'системски_часовник', 'anastacia', 'hypnotica', 'тактов_сигнал', 'часовник', 'scatmans_world', 'рок', 'y_not', 'пат', '45_минути', 'in_my_own_words', 'time', 'време', 'тактен_сигнал', 'pacific_ocean_blue', 'времето', 'граматичко_време']
tool	алатка	Match	['програмерска_алатка', 'алатка', 'мандало', 'стап', 'tool', 'кур', 'алат']
toy	штрумфета	Incorrect	['играчка', 'yello', 'toy', 'и́грачка']
tree	дрво	Match	['charlotte_bronté', 'шарлот_бронте', 'надреден_јазол', 'дрвја', 'дрво', 'дрва', 'стебло', 'herbert_beerbohm_tree', 'шарлота_бронте']
trial	судење	Match	['опит', '3', 'случај', 'судски_процес', 'причина', 'причиност', 'број', 'судски_случај', 'правен_случај', 'фудбалски_поимник', 'судење', 'каузалност', 'експеримент', 'судско_дело', 'процес', 'три', 'парница']
tried	обидел	Not found	[]
typical	типично	Match	['типично', 'типичен', 'типична', 'типични']
unaware	сознава	Incorrect	['несвесни', 'несвесен']
usable	употребливи	Not found	[]
useless	непотребни	Incorrect	['бескорисна', 'бескорисно', 'бескорисни', 'бескорисен', 'useless']
vacation	одмор	Match	['поништување', 'одмор', 'одмoра', 'отсуство', 'користи_годишен_одмор']
war	војна	Match	['the_war', 'ares', 'војување', 'варајски_јазик', 'винарајски_јазик', 'војни', 'војна', 'war', 'all_or_nothing', 'варајварај']
wash	измие	Not found	[]
weak	слаба	Match	['слабо', 'слаби', 'слаба', 'the_sea', 'слаб']
wear	облекуваат	Found close match: ['облека']	['носам', 'носат', 'носи', 'облека', 'wear', 'руво']
weather	врнежи	Incorrect	['временска_прогноза', 'време', 'времето']
willingly	покајува	Incorrect	['своеволно', 'доброволно']
word	зборои	Found close match: ['зборови', 'збор']	['свето_писмо', 'збор', 'мајкрософт_ворд', 'слово', 'зборови', 'microsoft_word', 'ло́зинка', 'син', 'светото_писмо', 'лозинка', 'микрософт_ворд', 'библијата', 'библија']
