ability	képessége	Found close match: ['képességek', 'képesség']	['képesség', 'képességek', 'alkalmasság']
bear	medve	Match	['kifizet', 'bear', 'kiáll', 'medvefélék', 'medvék', 'webelos', 'tu20', 'medveféle', 'tu142', 'elvisel', 'ursidae', 'tu–142', 'fizet', 'tupoljev_tu–95', 'állni', 'mike_brown', 'mackó', 'tupoljev_tu20', 'tupoljev_tu95', 'szül', 'tupoljev_tu142', 'maci', 'tartalmaz', 'tu–95', 'kibír', 'medve', 'tu95']
beat	megverni	Incorrect	['spondeus', 'időmértékes_verselés', 'siteswap', 'ritmusok', 'ritmikus_egység', 'pulzus', 'beatnik', 'legyőzni', 'ritmikus', 'költői_mérő', 'offbeat', 'zenei_ritmus', 'versláb', 'ritmus', 'legyőz', 'ütem', 'lebegés', 'versmérték', 'mérő', 'beat']
bed	fürdőszobában	Incorrect	['megkúr', 'megbasz', 'megdug', 'ágyat', 'varrás', 'kúr', 'patakmeder', 'baszik', 'ágyban', 'ágy', 'mértéktelen_evészavar', 'folyómeder', 'meder', 'dug', 'streambed', 'ágynemű_sík', 'rétegtag', 'bed']
beer	üdítőitalok	Incorrect	['ale', 'beer', 'sör', 'biztonsági_házirendek_végrehajtása_az_alkalmazási_rétegen', 'sört', 'söripar']
big	óriási	Incorrect	['bjarke_ingels_group', 'gyümölcsés', 'száraz', 'mineralitás', 'gyümölcs', 'big', 'nagyok', 'stypsis', 'nagy', 'test', 'norm_nixon']
bird	madár	Match	['madár', 'ujját', 'madárvilág', 'mikuni_shimokawa', 'yardbird_parker', 'edward_bird', 'szajha', 'aves', 'avafauna', 'hess', 'tollaslabda', 'kakas', 'az_ujját', 'charlie_parker', 'madárvilága', 'madarak', 'bird_parker', 'bird', 'éjszakázó', 'tollaslabdajáték', 'bronx_vidámság', 'bird_–_charlie_parker_élete', 'charles_christopher_parker', 'razzing', 'razz', 'avialae']
blood	vér	Match	['vérvonalból', 'származású', 'vérrokon', 'blood', 'rakehell', 'emberi_vér', 'öröklődés', 'bordeaux', 'véráramba', 'véres', 'vérlemezke', 'vér', 'vs', 'bordeaux_bor', 'vérerek_sérülése', 'persistence_of_time', 'vérvonal', 'hematológiai', 'bordeauxi_borvidék', 'trombocita', 'collective_soul', 'oxigéndús_vér', 'genetikai_örökség', 'örökletes', 'the_black_parade', 'kicsapongó', 'cj', 'getting_away_with_murder']
body	teste	Found close match: ['testem', 'test', 'tetem']	['finom_test', 'mutat', 'hír', 'tipográfiai_mértékrendszer', 'tetem', 'pont', 'tetemeket', 'karosszériaépítő', 'bejárat', 'folyóiratcikk', 'politóp', 'poliéderek', 'száraz', 'térvezérlésű_tranzisztor', 'újságcikk', 'tornadressz', 'catsuit', 'auto_test', 'tipometria', 'térvezérlésű_tranzisztorok', 'szervezeti_struktúrát', 'aura', 'dög', 'stypsis', 'fizikai_test', 'vevő', 'fet', 'richard_body', 'testem', 'gyümölcsés', 'akrobatatrikó', 'cikk', 'ajtó', 'kapu', 'soundbox', 'karosszéria', 'fizikai_szerkezet', 'test', 'törzs', 'ajtónyílás', 'hulla', 'mineralitás', 'body', 'gyümölcs', 'holttest', 'teairra_marí', 'eubstance', 'védőöltözet', 'macska_öltöny', 'torzó', 'unitard']
brain	agy	Match	['agyak', 'emlős_agy', 'banks', 'a_nagy_zsákmány', 'fejét', 'ész', 'elme', 'agyat', 'brain', 'zseni', 'szellemi_képesség', 'psziché', 'bryan_mantia', 'értelem', 'mentális_tartalom', 'gógyi_felügyelő', 'agyműködés', 'tanulási_képesség', 'agyvelejéből', 'agy', 'brainiac', 'brain_côtedor', 'érvelés', 'emberi_elme', 'agya', 'agyam', 'agyvelő', 'nous']
broken	összetörte	Incorrect	['mclean', 'ms_kelly', 'megtört', 'tükörszilánk', '12_stones', 'winterhearts_guild', 'plastic_beach', 'téves', 'hibás', 'csi_miami_helyszínelők', 'winterheart’s_guild', 'ébredés', 'the_best_of_bruce_dickinson', 'törve', 'echo', 'delta_machine', 'törött', 'halo_5', 'broken']
building	épület	Match	['építés', 'felépítés', 'épület', 'középület', 'építőipar', 'tits_épület', 'építkezés', 'épületek', 'középületek', 'építési_munka', 'építési_projekt', 'építkezéseken']
burn	elégetni	Found close match: ['eléget', 'égni', 'éget']	['tűzvész', 'fc_dallas', 'ég', 'égési_sérülés', 'vízfolyás', 'égés_és_forrázás', 'burn', 'tan', 'időszakos_patak', 'tűz', 'harmadik_fokú_égési', 'égni', 'patak', 'hamilton', 'éget', 'éget_mark', 'ruisseau', 'lebarnulás', 'láng', 'erythema_solare', 'patakok', 'harmadfokú_égések', 'leégés', 'égés', 'második_fokú_éget', 'harmadik_foka_éget', 'elég', 'napégés', 'eléget', 'lángoló']
business	üzleti	Match	['gazdasági_társaság', 'napi_munkát', 'üzleti', 'elfoglaltság', 'üzleti_aggodalomra', 'társasági_törvény', 'üzleti_rendszer', 'vállalkozások', 'üzleti_szektor', 'egyéni_vállalkozó', 'business', 'független_vállalkozó', 'üzleti_vállalkozás', 'munkát', 'szakma', 'kereskedelmi_vállalkozás', 'szakaszban_üzleti', 'forprofit', 'munka', 'vevőkör', 'byplay', 'cég', 'sorban_a_munka', 'a_profit', 'ügyfél', 'üresedés', 'kereskedő', 'cégalapítás', 'üzleti_hurok', 'biznisz', 'üzlet', 'független_vállalkozók', 'foglalkozás', 'lob', 'üzleti_tudomány', 'feladat', 'üzleti_út', 'ügyfélkör', 'üzletág']
camera	kamera	Match	['fényképező', 'the_back_room', 'filmfelvevőgép', 'kamera', 'fényképezőgép', 'keskenyfilmvetítő', 'kamerák', 'tv_kamera', 'televíziós_kamera', 'mozgáskép_kamera', 'professzionális_videó_kamera', 'camera']
carefully	gondosan	Match	['gondosan', 'óvatosan', 'aggodalom']
challenge	megnyer	Incorrect	['megtámadni', 'kérdésválasz_hitelesítés', 'challengeresponse', 'kihívás']
charity	jótékonysági	Match	['polymonium_caeruleum_furgon_bruntiae', 'jótékonysági_szervezet', 'közhasznú_státuszt', 'polemonium_vanbruntiae', 'jótékonysági_szervezetek', 'polemonium_caeruleum', 'polemonium_coeruleum', 'testvéri_szeretet', 'szeretet', 'jótékonyság', 'bejegyzett_jótékonysági', 'charity', 'jótékonysági', 'közhasznú_szervezet', 'nyilvános_jótékonysági', 'kék_csatavirág']
charming	szellemes	Incorrect	['bájos', 'elbűvölő']
clothes	ruhák	Match	['ruházat', 'ruházati_ipar', 'ruha', 'ruhát', 'ruhák', 'hordható', 'ruhadarab', 'öltözet', 'női', 'ruházati', 'viseletben', 'díszes_öltözet', 'felszerelés']
cockroach	csótány	Match	['alrendbe_blattaria', 'svábbogarak', 'csótányok', 'blattaria', 'csótány', 'cockroach', 'alrendbe_blattodea', 'blattodea', 'svábbogár']
code	kód	Match	['törvénykönyv', 'kodifikáció', 'kód', 'számítógépes_kód', 'ütemez', 'rejtjel', 'kodifikációja', 'számítógépes_kódot', 'jogszabálygyűjtemény', 'kódol', 'kódolt', 'kódot', 'kódok', 'kódját', 'kódex']
collection	gyűjtemény	Match	['hawkwind', 'könyvsorozat', 'mazhar_fuat_özkan', 'adatgyűjtés', 'tartozás_kollektor', 'mfö', 'akon', 'tároló', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'összeállítás', 'objektumkapcsolat', 'aliaune_thiam', 'joe_sample', 'gyűjtemény_ügynökség', 'collection', 'művészeti_gyűjtemények', 'csomag', 'gyűjtő', 'the_charlatans', 'behajtási', 'termék_csomagban', 'the_offspring_collection', 'gyűjtemény', 'kollekció', 'aggregálás', 'halmaz', 'betakarítás', 'gyűjtés', 'művészeti_gyűjtemény', 'összeszerelés', 'összesítés']
computer	számítógép	Match	['számítógépes_rendszerek', 'számítástechnikai_eszköz', 'emberi_számítógép', 'általános_célú_számítógép', 'számítógépes_rendszer', 'számítástechnikai_gép', 'becslő', 'információ_feldolgozó_rendszer', 'számítógépek', 'computer', 'számítógép_által_generált_zene', 'elektronikus_számítógép', 'számológép', 'komputer', 'computer_technology', 'számítógép', 'számítógéprendszer', 'digitális_számítógépek', 'figurer', 'adatfeldolgozó', 'számítógépes_zene', 'digitális_számítástechnika']
construction	építése	Found close match: ['építés', 'építési', 'építkezés']	['építés', 'épített_struktúra', 'felépítés', 'runescape', 'építőipar', 'kifejezés', 'építési_projekt', 'építkezés', 'lelki_szintézis', 'bírói_értelmezés', 'építési_munka', 'építési', 'struktúra', 'modell', 'építkezéseken', 'nyelvtani_szerkezet', 'szerkezet']
cook	cook	Match	['frederick_albert_cook', 'főzés', 'james_cook', 'séf', 'captain_cook', 'főz', 'rövid_távú_rend_szakács', 'konyhafőnök', 'alec_empire', 'frederick_cook', 'cook_kapitány', 'rövid_időn_belül_szakács', 'executive_chef', 'souschef', 'szakácsok', 'szakács', 'cook', 'főzni', 'james_cook_kapitány', 'privát_séf', 'házi_szakács']
counting	hatványozás	Incorrect	['számol', 'helyiértékes_számrendszer', 'hármas_számrendszer', 'lista', 'számolom', 'számít', 'számolás', 'megszámlálás', 'számrendszerek', 'felsorolás', 'visszaszámlálás', 'számrendszer', 'hetes_számrendszer', 'számrendszertan']
crazy	kissrác	Incorrect	['bolond', 'crazy', 'because_of_you', 'usher', 'looney', 'elmebaj', 'dilinyós', 'őrület', 'erika_jayne', 'playing_with_fire', 'famous_last_words', 'őrült', 'loca', 'különc', '(you_drive_me)_crazy', 'the_red_album']
damage	károk	Found close match: ['kár', 'árak', 'kárt']	['kár', 'rosszabbodik', 'jogi_kár', 'sérülés', 'kárt', 'ár', 'kiskereskedelmi_ár', 'damage', 'árak', 'végzet', 'berendezések_baleset', 'elcsúfít', 'tönkretesz', 'károsodás', 'árképzés']
dance	tánc	Match	['dancé_orne', 'posztdiszkó', 'dancé_loire', 'dncediszkográfia', 'táncosok', 'tánczene', 'tánc', 'táncolj', 'dancé', 'táncol', 'táncolni', 'waterloo', 'dance_party', 'george_dance', 'dance', 'nathaniel_danceholland', 'táncok', 'postdisco', 'oliver_heldens']
dangerous	veszélyes	Match	['kockázatos', 'dangerous', 'its_hard', 'veszélyes']
deceive	megtéveszteni	Found close match: ['megtévesztő', 'megtévesztés']	['megtévesztés', 'megtévesztő', 'becsapni', 'becstelenség', 'gazság']
dedication	tisztelet	Incorrect	['dedication', 'elkötelezettség', 'elkötelezettsége', 'elkötelezettségét']
deliberately	szándékosan	Match	['szántszándékkal', 'készakarva', 'szándékosan']
delivery	szállítás	Match	['elidegeníthető', 'születés', 'élc', 'tréfás', 'vicc', 'szállítási', 'hecc', 'közlekedés', 'delivery', 'személyszállítás', 'tréfa', 'teljesítés', 'fűződő', 'bizonyos_értelemben', 'kifutófiú', 'szülés', 'tréfát', 'vajúdás_és_a_szülés', 'hüvelyi_szülés', 'szállítás', 'gyermekvállalás', 'közlekedési_infrastruktúra', 'fogamzóképes', 'elidegenedés', 'mentés', 'átruházás', 'poén', 'megszabadítás', 'kínálat', 'házhoz_szállítás', 'közlekedéstudomány', 'mentési', 'viccek', 'kézbesítés']
dessert	sütemény	Incorrect	['desszert_borok', 'desszertek', 'desszert_bor', 'desszertbor', 'desszert']
device	eszköz	Match	['mobil_kommunikációs', 'mobiltelefonok', 'berendezés', 'munkaeszközök', 'szerkezet', 'gépek', 'device', 'hardware', 'személyi_számítógép_hardver', 'hardver', 'gép', 'számítógépes_hardver', 'mobil', 'maroktelefon', 'configsys', 'vezeték_nélküli_telefon', 'készülék', 'mobiltelefónia', 'mobiltelefon', 'eszköz']
dig	ásni	Match	['ás', 'az_ősi_prófécia', 'ásás', 'megragadni', 'andré_dignimont', 'felfog', 'régészeti_lelőhely', 'csúfolódás', 'ásni', 'dig', 'ért']
dinner	vacsorán	Found close match: ['vacsora']	['vacsora', 'délutáni_tea', 'teát', 'ebéd', 'vacsora_meghízott_vendégekkel', 'teatime', 'tiffin', 'dejeuner', 'csésze_tea__was_csésze_teahungarian', 'tea', 'délebéd']
disease	betegség	Match	['kór', 'betegségek', 'megbetegedési_aránya', 'begowal', 'mellhártyagyulladás', 'betegség', 'morbid', 'pleuritis', 'unwellness', 'megbetegedés']
dissolve	feloszlatni	Found close match: ['feloldani', 'felolvaszt']	['áttűnés', 'feloldani', 'feloldódik', 'kiolvaszt', 'felold', 'felolvaszt']
disturb	megzavarni	Found close match: ['zavarni']	['zavarni']
do	próbálod	Not found	[]
doctor	doktor	Match	['orvosok', 'orvosi_segédhologram', 'sebész', 'mészáros', 'kutatási_doktorátus', 'sebészek', 'megjavít', 'szakmai_doktori', 'doctor', 'doktor', 'doktori_fokozat', 'doktor_az_egyház', 'egyháztanító', 'rude_boy', 'helyreállít', 'szakorvos', 'doktori_fokozatot', 'dr', 'orvosi_segéd_hologram', 'eliza', 'tisztiorvosi', 'doktorátus', 'loïc_nottet', 'doctor_of_the_church', 'doctorat', 'magasabb_doktori', 'restaurál', 'doktori', 'orvos', 'orvosok_az_egyház', 'doctor_who', 'ki_vagy_doki', 'doktora', 'egyházdoktor', 'működési_sebész']
dog	kutya	Match	['eb', 'firedog', 'gazember', 'familiaris', 'szuka', 'c_lupus_familiaris', 'kutya_hús', 'zárócsap', 'kutyafélék', 'canis_familiaris', 'hot_dog', 'hajszol', 'kutya', 'virsli', 'canids', 'reteszelődő', 'pecek', 'kutyák', 'csoroszlya', 'űz', 'canidae', 'kutyahús', 'duck_hunt', 'kutyus', 'canis_lupus_familiaris', 'családi_canidae', 'kutyahús_kutyaprém', 'andiron', 'hotdog', 'valódi_kutyaformák', 'hazai_kutya', 'üldöz', 'dogvas', 'bécsi_virsli']
dressing	öltöző	Found close match: ['öltözet']	['kötést', 'salátaöntet', 'ruházat', 'ruházati_ipar', 'ruha', 'ruhák', 'töltelék', 'hordható', 'ruhadarab', 'öltözet', 'női', 'orvosi_öltözködés', 'kötszerész', 'viseletben', 'díszes_öltözet']
driver	versenyző	Incorrect	['teherautósofőr', 'erdők', 'kocsis', 'kamionos', 'összekapcsolt_tengely', 'hajtókerék', 'wälder', 'device_driver', 'eszközillesztő', 'járművezető', 'sofőr', 'rengeteg', 'driver_san_francisco', 'vezetői_kerék', 'fa', 'hardverillesztőprogram', 'autóvezető', 'kamionosoknak', 'cowcatcher', 'erdőben', 'tűlevelű_erdők', 'számú_fa', 'autós', 'kamionosok', 'meghajtó', 'összekapcsolt_tengelyek', 'pilóta', 'vezető', 'driver', 'teherautó_sofőr', 'teherautóvezetés', 'soför', 'illesztőprogram', 'erdő', 'erdős', 'eszközmeghajtó', 'zöldségkertész', 'nyomtatómeghajtó', 'kapcsolt_kerekek']
economy	gazdaság	Match	['walden', 'gazdasági_tevékenység', 'gazdaságok', 'gazdaság', 'megtakarítás', 'gazdasági', 'gazdaságtudomány', 'gazdasági_rendszerek', 'gazdasági_tudomány', 'nemzeti_gazdaság', 'gazdasági_rendszer', 'közgazdaságtan', 'gazdaságos', 'gazdaságilag', 'közgazdaság', 'politikai_gazdaságtan', 'megtakarítási_ráta', 'takarékosság', 'közgazdász', 'a_közgazdaságtan_tárgya_alapkérdései_fő_részei', 'economy', 'politikai_közgazdász', 'vidéki_gazdaság', 'közgazdaságtudomány']
election	választások	Match	['választási_folyamatot', 'újraválasztási', 'election', 'gimiboszi', 'választási', 'népszavazás', 'demokratikusan_megválasztott', 'választás', 'választások', 'választási_politika', 'újraválasztása', 'újraválasztását', 'végzés_választási']
electron	fotoelektron	Found close match: ['elektron', 'elektronok', 'electron']	['electron', 'amitron', 'negatron', 'elektronok', 'bétarészecske', 'elektron']
elegance	elegancia	Match	['gyönyörû', 'szép', 'elegáns', 'matematikai_elegancia', 'klasszikus_szépség', 'szépség', 'karlgeorg_hoefer', 'elegancia', 'dekoratív', 'matematikai_szépség']
emotion	érzelem	Match	['érzelem', 'érzelmek', 'érzelmi', 'emotion', 'maverick_sabre', 'érzés', 'human_after_all']
emotionally	érzelmileg	Match	['érzelem', 'érzelmek', 'érzelmi', 'érzés', 'érzelmileg']
engine	motor	Match	['szoftver_motor', 'mozdony', 'vasúti_motor', 'vasúti_mozdony', 'videojáték_motort', 'motorok', 'játék_motorja', 'videojáték_motor', 'ray_alder', 'videojátékmotor', 'mozdonyok', 'szoftvermotor', 'grafikus_motor', 'engine', 'motor', 'hajtómű']
event	esemény	Match	['végeredmény', 'esetben', 'következménye', 'hatás', 'rendezvény', 'gomb_megnyomásával', 'hallgató', 'eset', 'esemény_kezelése', 'következmény', 'programesemény', 'esemény', 'fülhallgató', 'okozat', 'gombnyomás', 'eseménykezelő']
experiment	kísérlet	Match	['kísérleti_csoport', 'kísérletezés', 'kísérlet', 'the_experiment', 'experiment', 'a_kísérlet', 'tudományos_kísérlet', 'kísérleti', 'kísérletek', 'kipróbál', 'kísérleti_tudomány', 'kísérleti_kutatás']
extremely	rendkívül	Match	['rendkívül']
feeling	érzése	Found close match: ['érzések', 'érzés', 'érzéssel']	['érzelem', 'benyomást', 'érző', 'érezni', 'tapintást', 'együttérző', 'szomatoszenzoros_rendszer', 'a_tapintás', 'érzékelés', 'érzések', 'hang', 'szomatoszenzoros', 'tapintásérzet', 'érzés', 'érzéssel', 'intuitív_érzés', 'szellem', 'fogalma', 'tapintható', 'érzem', 'tapintható_érzés']
fight	harc	Match	['ütközés', 'engedélyezi', 'katonai_szerepvállalás', 'versenyképesség', 'harcolni', 'harcol', 'ütközet', 'harci_képzés', 'verekszik', 'fegyveres_harc', 'harcok', 'harc', 'konfliktus', 'csatározások', 'harci', 'harcoló', 'harcot', 'csata', 'fight']
fish	édesvízi	Incorrect	['tengeri_halak', 'halàszni', 'fish', 'halfauna', 'go_fish', 'halat', 'hal', 'halászik', 'friendly_interactive_shell', 'halak', 'pisces', 'puha_ray', 'pterygiophore', 'fluoreszcens_in_situ_hibridizáció', 'halak_a_halak', 'halszálka', 'megsütjük', 'jasper_fish', 'élelmiszerhal', 'phish', 'úszós_halak', 'fingerling', 'fiatal_angolna']
flow	vízmennyiség	Incorrect	['áramlástan', 'folyadékok_és_gázok_mechanikája', 'folyadék_dinamika', 'rappelés', 'térfogatáram', 'hidraulika', 'folyadék_mechanika', 'rapping', 'folyadék_fizika', 'hidrodinamika', 'rap', 'rapper', 'áramlástani', 'hidraulikusan', 'flowélmény', 'folyadék_dynamicist', 'áram', 'hidraulikus', 'áramlás', 'egyenletes_áramlás', 'áramlási_sebesség', 'hidraulikus_nyomás', 'folyó', 'grail', 'menstruál', 'young_money_entertainment', 'gravity_recovery_and_interior_laboratory', 'florent_mothe', 'flow', 'catamenia', 'menstruáció', 'emceeing', 'rapperek', 'áramlási_hálózat', 'protorap', 'hidrodinamikai', 'áramlását', 'hatásfokozó_utat', 'térfogati_áramlási_sebesség', 'kopogó', 'rap_művész']
food	étel	Match	['táplálék', 'szellemi_táplálékot', 'elgondolkodtató', 'élelmiszeripari_termékek', 'étel', 'tápanyag', 'ennivaló', 'makrotápanyag', 'étek', 'tápanyagok', 'szilárd_élelmiszert', 'kirby', 'élelmiszer', 'élelem', 'élelmiszerek']
garbage	szeméttel	Found close match: ['szemét', 'szemetet']	['hulladék_termék', 'települési_szilárd_hulladék', 'háztartási_hulladék', 'withering_to_death', 'lom', 'hulladék_anyag', 'szemét', 'fémhulladék', 'hulladék', 'élelmiszerhulladék', 'garbage', 'ócskavas', 'szemetet', 'hulladékok', 'szilárd_hulladék', 'települési_hulladék', 'vendégkönyv_bejegyzés', 'törmelék']
gold	ezüst	Found close match: ['ezüst_lemez']	['alfaverzió', 'aurum', 'alpha_szoftver', 'béta_szoftver', 'sandhja', 'szoftver_életciklusa', 'gold', 'a_szoftverkiadás_életciklusa', 'platina_rekord', 'kiad', 'atomszám_79', 'bétaverzió', 'dupla_platina', 'aranyfüst', 'szoftver_kiadása', '4955_gold', 'arany', 'aranyérmet', 'bétateszt', 'au', 'rtm_verzió', 'háromszoros_platina', 'bétaváltozat', 'alfa_verzió', 'olimpiai_aranyérmet', 'beta_teszt', 'natív_arany', 'wanna_one', 'arany_album', 'nyilvános_béta', 'lode_arany', 'aranyérmes', 'prealpha', 'aranylemez', 'arany_egyetlen', 'ezüst_lemez', 'platina', 'nyílt_béta', 'a_szoftverfejlesztés_fázisai', 'arany_rekordot', 'bobby_brown', 'alpha_test', 'release_candidate', 'alpha_verzió', 'the_heist', 'zenei_felvételek_országok_szerinti_minősítési_küszöbszámai', 'arany_lemez', 'multiplatina', 'termésarany', 'platina_lemez', 'aranyérem', 'szoftverkiadás_életciklusa', 'béta_verzió', 'béta_teszt', 'platina_album', 'fejlesztési_szakaszban', 'zárt_béta', 'e175', 'young_lust_the_aerosmith_anthology', 'anthology']
great	nagy	Match	['nagyság', 'nagyszerű', 'illustriousness', 'nagyságát', 'nagy']
gun	géppuska	Found close match: ['puska']	['lőfegyverek', 'pisztoly', 'bérgyilkos', 'bérelt_fegyvert', 'pisztoly_bérlés', 'gunfighter', 'fegyver_bolt', 'nehéz_fegyver', 'hitman', 'fegyvert', 'gázpedál', 'puska', 'gunfighting', 'gunslingers', 'conventional_weapons', 'zsírgun', 'gun', 'kun', 'kézi_lőfegyverekkel', 'kiskar', 'tűzfegyver', 'harcos', 'kis_kar', 'lőfegyver', 'gépfegyver', 'louder_than_love', 'triggerman', 'hit_man', 'fegyver']
hair	szőrzet	Found close match: ['szőr', 'szőrszálakat', 'szőrös']	['szőrszálakat', 'hairsszélesség', 'hair', 'haj', 'szőr', 'szita', 'hairsbreadth', 'haja', 'szőrös', 'emberi_haj', 'fej_haj']
help	segíteni	Match	['asszisztens', 'igénybe', 'helyettes', 'the_help', 'online_súgó', 'a_segítség', 'segíteni', 'szolgálnak', 'segítse', 'humanitáriánus_segély', 'súgó', 'támogatás', 'megkönnyebbülés_munkavállaló', 'csi_new_yorki_helyszínelők', 'segítség', 'segéd', 'szolgálat', 'megkönnyebbülés_munka', 'támogatás_munkavállaló', 'segít', 'help']
hurting	bosszantja	Not found	[]
ignorance	tudatlanság	Match	['avidya', 'tudatlanság', 'avidjá', 'ignorance']
illness	betegsége	Found close match: ['betegségek', 'betegség']	['kór', 'betegségek', 'megbetegedési_aránya', 'betegség', 'morbid', 'unwellness']
impress	elcsábítani	Not found	[]
invention	találmánya	Found close match: ['találmány', 'találmányok', 'feltalálás']	['feltalálni', 'újítások', 'találmányok', 'feltalálás', 'találmány', 'újítás', 'innovatív', 'innováció', 'újdonságművelés', 'invenció', 'technológiai_innováció', 'feltalálók']
investigation	nyomozás	Match	['kivizsgálás', 'vizsgálat', 'tudományos_kutatás', 'kutatási_módszerek', 'kutatók', 'vizsgálóbíró', 'nyomozás', 'kutatás']
invisible	láthatatlan	Match	['láthatatlanság', 'láthatatlanok', 'floored', 'holy_diver', 'elevate', 'invisible', 'evilized', 'metaanyag', 'taylor_swift', 'láthatatlan', 'sound_of_white_noise', 'dream_evil', 'lehetetlen_fizika', 'szintes']
job	munkakört	Found close match: ['munka', 'munkát']	['job_puydedôme', 'napi_munkát', 'elfoglaltság', 'jób_könyve', 'alkalmazás', 'foglalkoztatás', 'baj', 'állás', 'teendő', 'foglalkoztat', 'munkát', 'szakma', 'munka', 'beosztás', 'probléma', 'foglakoztatottság', 'személyzet', 'előzetes_birkózó', 'sorban_a_munka', 'munka_világában', 'meló', 'üresedés', 'munkaviszony', 'házimunka', 'üzlet', 'foglalkozás', 'gond', 'job', 'feladat']
jungle	esőerdőben	Incorrect	['dzsungelben', 'oldschool_dzsungel', 'shine_a_little_love', 'hobo_tábor', 'oldschool_jungle', 'jungle', 'out_of_the_blue', 'dzsungel']
kindness	nagylelkűség	Incorrect	['a_kedvesség_világnapja', 'kedvesség', 'megbocsátás', 'kindness']
