ability	способноста	Found close match: ['способността', 'способност', 'способности']	['кадърност_ло́вкост', 'способността', 'умение', 'способности', 'вещина́', 'способност', 'правоспособност', 'пригодност']
body	тялото	Match	['врата', 'тя́ло', 'цевна_кутия', 'труп', 'приемника', 'coachbuilder', 'пункт', 'физическото_тяло', 'костюм', 'полеви_транзистор', 'polytopes', 'гащиризон', 'баланс', 'полеви_транзистори', 'транзистор_полеви_ефект', 'торсо', 'catsuit', 'основен_текст', 'точка', 'туловище', 'новина', 'телесно', 'торса', 'приемник', 'stypsis', 'тяло', 'котка_костюм', 'леш', 'teairra_mari', 'каросерии', 'статия_с_новини', 'вестникарска_статия', 'мъртвото_тяло', 'органична_структура', 'тялото', 'бнт', 'транзистора_с_полеви_ефект', 'soundbox', 'боди', 'minerality', 'трупове', 'финото_тяло', 'статия', 'авто_тялото', 'точка_размер', 'физическата_структура', 'трико', 'размер_на_точка', 'body', 'ко́рпус', 'багажника', 'торс', 'тялото_костюм', 'порта', 'вестник_статия', 'плодове', 'eubstance', 'трупа', 'polytope', 'unitard']
brain	мозъка	Match	['главата_му', 'човешкия_ум', 'способността_за_учене', 'banks', 'ума', 'интелекта', 'гениалност', 'инспектор_гаджет', 'причина', 'психика', 'brain', 'манталитет', 'разум', 'ра́зум', 'bryan_mantia', 'мозък', 'умнико', 'главен_мозък', 'ум', 'психиката', 'мисъл', 'мозъчен', 'акъл', 'главата', 'гений', 'мозъчната_функция', 'мозъка', 'интелект', 'рационалност', 'умствените_способности', 'мозъка_на_бозайниците', 'nous']
broken	разкъсано	Incorrect	['ms_kelly', 'счупена', 'повреден', '12_stones', 'winterhearts_guild', 'plastic_beach', 'разбито', 'неизправен', 'счупен', 'неправилен', 'the_best_of_bruce_dickinson', 'счупено', 'echo', 'разбити', 'delta_machine', 'грешен', 'broken']
building	сграда	Match	['сградата_на_гърди', 'здание', 'сгра́да', 'зда́ние', 'обществена_сграда', 'стро́ителство', 'къ̀ща', 'сгради', 'строителни_работи', 'строи́телство', 'обществени_сгради', 'строителната_индустрия', 'изгра́ждане', 'строителни_обекти', 'строител', 'дом', 'изграждане', 'сградата', 'постройка', 'строителство', 'постро́йка', 'граде́ж', 'сграда']
burn	изгори	Match	['fc_dallas', 'слънчево_изгаряне', 'горя́', 'огън', 'пламенен', 'горят_марки', 'втора_степен_изгаряне', 'загарям', 'гори', 'обгарям', 'горя', 'речно_корито', 'burn', 'ручей', 'водоток', 'пожари', 'тен', 'пла́мък', 'загар', 'еритема_solare', 'трета_степен_изгаряния', 'поток', 'изгарям', 'изгори', 'пожа́р', 'изгоря', 'ruisseau', 'изгаряне', 'фк_далас', 'изга́рям', 'прекъсващ_поток', 'пламък', 'потоци', 'пожар', 'изгаряния_трета_степен', 'воден_поток']
business	бизнес	Match	['етап_на_бизнес', 'за_печалба', 'ден_работа', 'работа', 'бизнес_линия', 'концерн', 'с_нестопанска_цел', 'професията', 'линия_на_работа', 'business', 'бизнес_науки', 'byplay', 'бизнес_организация', 'занятие', 'търговско_предприятие', 'фирма', 'клиентела', 'бизнес_загриженост', 'занимание', 'бизнес', 'бизнес_маршрут', 'независим_изпълнител', 'окупация', 'поминък', 'независими_изпълнители', 'бизнеса', 'вакантно_място', 'бизнес_сектора', 'едноличен_търговец', 'търговския_закон', 'бизнес_сектор', 'професия', 'търговец', 'стопанско_предприятие', 'предприятие']
camera	фотоапарата	Found close match: ['фотоапарат']	['тв_камера', 'the_back_room', 'професионална_видео_камера', 'камери', 'фотоапарат', 'камерата', 'кинокамера', 'камера', 'телевизионна_камера', 'camera', 'професионална_видеокамера', 'филмова_камера']
carefully	внимателно	Match	['безпокойство', 'тревога', 'притеснявате', 'загриженост', 'внимателно', 'грижа', 'интерес']
challenge	надпреварите	Incorrect	['предизвикателство_отговор_удостоверяване', 'възразявам', 'оспори', 'предизвикателството', 'оспоря', 'оспорване', 'възразя', 'предизвикателство', 'оспорвам', 'предизвикателство_отговор']
charity	благотворителна	Found close match: ['благотворителност', 'благотворителна_дейност', 'благотворителни_организации']	['братска_любов', 'благотворителни_организации', 'милосърдие', 'дарение', 'общественополезна_дейност', 'благотворителна_организация', 'polemonium_caeruleum', 'милостиня', 'polemonium_ван_bruntiae', 'обществен_благотворителност', 'благотворителна_дейност', 'благотворителност', 'регистрирана_благотворителна_организация', 'ван_bruntiae_polymonium_caeruleum']
charming	очарователен	Match	['очарователен', 'очарователно', 'чаровна', 'очарователна', 'чаровен']
clothes	дрехи	Match	['дамска', 'оде́жда', 'облекло', 'дрехи', 'одежда', 'дреха', 'екипировка', 'дре́хи', 'дрехите', 'подходящ_за_носене', 'статия_на_облекло', 'облекла', 'облекло́']
cockroach	насекомоядна	Incorrect	['подразред_blattaria', 'blattaria', 'cockroach', 'blattodea', 'подразред_blattodea', 'хлебарки', 'хлебарка']
code	код	Match	['компютърен_код', 'кодиране', 'задаване_на_график', 'код', 'ко́декс', 'кодекс', 'кодове', 'код_на_закони', 'кодификация']
collection	колекция	Match	['апел', 'сглобяване', 'hawkwind', 'сборник', 'колекция', 'компилация', 'събиране', 'агрегиране', 'akon', 'конспект', 'прибиране_на_реколтата', 'пакет', 'набор', 'призив', 'събиране_на_дългове', 'теглене', 'агенция_за_събиране', 'joe_sample', 'контейнер', 'резюме', 'музеен_фонд', 'художествената_колекция', 'зов', 'collection', 'the_charlatans', 'дълг_колектор', 'сбирка', 'the_offspring_collection', 'ейкън', 'сбор', 'агрегация', 'художествени_колекции']
computer	компютър	Match	['обработващия_лични_данни', 'компютърно_генерирана_музика', 'компютъра', 'електронноизчислителна_техника', 'човек_и_компютър', 'еим', 'електронноизчислително_устройство', 'електронноизчислителна_машина', 'калкулатор', 'система_за_обработка_на_информация', 'компютри', 'компютърните_системи', 'изчислителна_машина', 'изчислител', 'компютърна_музика', 'компютър', 'електронен_компютър', 'електронно_изчислителна_машина', 'компютърна_система', 'компютърни_системи', 'оценител', 'цифрови_компютри', 'figurer', 'изчислително_устройство', 'цифрова_изчислителна']
construction	строителството	Found close match: ['строителство', 'строи́телство', 'стро́ителство']	['конституционно_тълкуване', 'runescape', 'изгра́ждане', 'строителство', 'модел', 'съдебно_тълкуване', 'граматическа_конструкция', 'строителни_работи', 'граде́ж', 'израз', 'конструкция', 'строеж', 'строителни_обекти', 'строител', 'строи́телство', 'изграждане', 'структура', 'психическо_синтез', 'строителната_индустрия', 'стро́ителство']
cook	кук	Match	['готви', 'готвач', 'приготвям', 'варя', 'james_cook', 'captain_cook', 'суготвач', 'го́твя', 'джеймс_кук', 'фалшифицирам', 'главен_готвач', 'ред_готвач', 'кук', 'готвачи', 'кратко_за_готвач', 'готвене', 'готвя', 'приго́твям', 'капитан_джеймс_кук', 'подправям', 'cook', 'готвач_комисията', 'подправя', 'frédérick_cook']
counting	броене	Match	['преброяване', 'броене', 'позиционна_бройна_система', 'бройна_система', 'изброен_тип', 'брой', 'спи́сък', 'списък', 'броя', 'бройни_системи', 'изброяване', 'номерация']
crazy	вярвай	Incorrect	['душевна', 'crazy', 'шантави', 'because_of_you', 'usher', 'побъркан', 'луда', 'erika_jayne', 'playing_with_fire', 'famous_last_words', 'луд', 'лудо', 'лудост', 'loca', 'луди', '(you_drive_me)_crazy', 'the_red_album', 'ненормален', 'умопобъркан']
damage	щети	Match	['правна_нараняване', 'повреда', 'цените', 'вреда', 'съсипвам', 'цената', 'damage', 'вреди', 'влошавам', 'влошавам_се', 'щети', 'цена', 'оборудване_за_спешна', 'увреждане', 'щета', 'влоша', 'повреди']
dance	танци	Match	['танцувай', 'танцьор', 'денс', 'postdisco', 'след_дискотека', 'танцьорка', 'играя', 'танцува', 'waterloo', 'денс_музиката', 'танци', 'dance', 'денс_парти', 'танцу́вам', 'танцьори', 'танц', 'танцувам', 'oliver_heldens']
dangerous	опасни	Match	['опасен', 'тежък', 'риско́ван', 'dangerous', 'опасна', 'опасни', 'рискован', 'its_hard', 'опасно', 'опа́сен']
deceive	заблудят	Found close match: ['заблудя', 'заблуждавам']	['мошеничество', 'измамни', 'измамвам', 'излъгвам', 'измамят', 'заблуждавам', 'мистификации', 'измама', 'мистификация', 'заблудя', 'измамя', 'нечестност', 'излъжа']
dedication	благодарността	Incorrect	['dedication', 'лоялност', 'преданост', 'посвещение', 'вярност', 'отдаденост']
deliberately	неумишлено	Found close match: ['умишлено']	['умишлено', 'съзнателно', 'преднамерено']
delivery	доставяне	Match	['труда_и_доставка', 'акуширане', 'доставка_до_дома', 'блейд_сериалът', 'раждането', 'привеждане', 'за_раждане_на', 'delivery', 'доставка_момче', 'майтап', 'освобождение', 'отчуждение', 'виц', 'предлагане', 'говор', 'шега', 'начин_на_говорене', 'номер', 'превоз', 'вагинално_раждане', 'шеговит', 'транспортната_индустрия', 'детеродна_възраст', 'раждане', 'транспортната_инфраструктура', 'отчуждаем', 'транспортиране', 'доставяне', 'транспорт', 'вицове', 'доставката', 'юридическо_прехвърляне', 'пътнически_транспорт', 'доставка', 'транспортна_инфраструктура', 'шеги', 'транспортни', 'спасяване', 'ражда́не']
dessert	сладкиши	Incorrect	['десерт', 'десерти', 'благородно_сладко_вино', 'десерта', 'десертно_вино', 'десертни_вина', 'afters']
device	сензорен	Incorrect	['клетъчни_комуникационни', 'мобѝлен_телефо̀н', 'device', 'устройството', 'клетъчни_телефони', 'машина', 'капиталово_оборудване', 'мобилна_клетъчна', 'мобилни_телефони', 'хардуер', 'компютърен_хардуер', 'configsys', 'за_мобилни_устройства', 'джиесем', 'машини', 'компютърна_апаратна_част', 'мобифон', 'клетъчна_комуникация', 'gsm', 'мобилен_телефон', 'моби́лен_телефо́н', 'устройство']
dig	изкопаят	Found close match: ['копая', 'изкопаване']	['археологически_разкопки', 'ри́я', 'разбере', 'дълбая', 'археологически_обект', 'копая', 'разкопавам', 'разби́рам', 'подигравка', 'разкопки', 'ровя', 'dig', 'изкопаване']
dinner	вечерята	Match	['банке́т', 'чаша_чай', 'вечеря', 'вечерята', 'обе́д', 'обядвам', 'следобеден_чай', 'време_за_чай', 'обя́д', 'официална_вечеря', 'чай', 'хранене', 'teatime', 'официален_обяд', 'вече́ря', 'дежене', 'обяд']
disease	заболявания	Match	['бо́лест', 'медицинско_състояние', 'begowal', 'плеврит', 'боледуване', 'болест', 'заболеваемостта', 'заболяване', 'болести', 'заболявания', 'неразположение', 'медицински_състояния', 'медицинско_заболяване', 'заболя́ване']
dissolve	разпусне	Incorrect	['разтварят', 'разтварям', 'разтопя', 'разтваряне', 'топя', 'разтопявам']
disturb	плашат	Not found	[]
do	помоля	Not found	[]
doctor	доктор	Match	['професионален_докторска_степен', 'оправям', 'доктор_на_науките', 'докторат', 'лекари', 'лекар', 'доктор', 'доктор_по_икономика', 'поправям', 'доктор_на_техническите_науки', 'лекарите_на_църквата', 'доктор_ху', 'докторски_степени', 'лекувам', 'работа_хирург', 'докторантура', 'rude_boy', 'десети_доктор', 'аспирант', 'докторант', 'ремонтирам', 'поправя', 'люик_ноте', 'eliza', 'лекарка', 'доктор_на_църквата', 'докторе', 'медик', 'аспирантура', 'loïc_nottet', 'doctorat', 'деветия_доктор', 'др', 'доктор_на_селскостопанските_науки', 'първи_доктор', 'оправя', 'девети_доктор', 'doctor_who', 'доктор_на_историческите_науки', 'докторска_степен', 'хирург', 'доктор_на_икономическите_науки', 'медицински_директор', 'лекар_степен', 'лоик_ноте', 'повисока_докторска_степен', 'доктор_кой', 'хирурзи', 'втори_доктор']
dog	куче	Match	['ограничител', 'wienerwurst', 'грозница', 'домашно_куче', 'хот_дог', 'гоня', 'firedog', 'familiaris', 'пес', 'кучета', 'псе', 'кучето', 'canis_familiaris', 'кренвирш', 'куче_месо', 'куче', 'палец', 'кучеви', 'повлекана', 'canids', 'хотдога', 'куче_желязо', 'лупус_familiaris', 'дог', 'canidae', 'd0g', 'семейство_canidae', 'duck_hunt', 'преследвам', 'canis_lupus_familiaris', 'andiron', 'кучка', 'кучешко_месо', 'домашни_кучета', 'грозотия', 'мошеник', 'домашното_куче', 'хотдог']
dressing	престилки	Incorrect	['дамска', 'оде́жда', 'облекло', 'дрехи', 'одежда', 'дреха', 'дресинг_за_салата', 'кайма', 'дресинг', 'екипировка', 'превързочни_материали', 'дре́хи', 'плънка', 'оплождане', 'обличане', 'подходящ_за_носене', 'статия_на_облекло', 'превръзка', 'облекла', 'облекло́']
driver	автомобил	Incorrect	['гора', 'номер_едно_дърво', 'драйвери_на_устройства', 'камиони_шофиране', 'шофьорът', 'драйвер_за_принтер', 'драйвер_на_устройство', 'иглолистна_гора', 'гори', 'гората', 'driver_san_francisco', 'шофьо́р', 'шофьор_камион', 'съчетано_ос', 'cowcatcher', 'шофьори_на_камиони', 'управление_на_тежкотоварни_камиони', 'иглолистни_гори', 'driver', 'лес', 'шофьора', 'шофьор', 'драйвър', 'оси', 'съчетани_колела', 'задвижващо_колело', 'водач', 'пилот', 'драйвер', 'шофьор_на_камион', 'задвижващите_колела']
economy	икономиката	Match	['икономика', 'спестяване', 'walden', 'икономическо', 'икономически_системи', 'икономическата_активност', 'икономикс', 'икономическа_структура', 'пестеливост', 'политическа_икономика', 'икономически', 'спестяванията', 'иконо́мия', 'икономиката', 'икономическата_система', 'политикономист', 'стопанство', 'икономическа_система', 'икономическа_активност', 'стопански_науки', 'политическа_икономия', 'политикономия', 'икономия', 'спестовност', 'икономическа_теория', 'селската_икономика', 'реалната_икономика', 'политически_икономист', 'политически_икономика', 'иконо́мика', 'икономическа', 'икономическата_наука', 'стопанска_наука', 'политическата_икономия', 'икономическите_системи', 'националната_икономика', 'economy', 'икономисване', 'икономики', 'икономическата_теория', 'уолдън', 'стопановед', 'икономическа_наука', 'политикономика']
election	изборите	Match	['и́збори', 'лист_избори', 'изборите', 'договор_за_патентно_коопериране', 'election', 'електоралната_политика', 'изборния_процес', 'избор', 'демократично_избран', 'избори', 'преизбиране', 'съперници', 'лист_на_изборите']
electron	микрочастиците	Incorrect	['negatron', 'електрон', 'електрони', 'electron']
elegance	елегантност	Match	['математическа_елегантност', 'декоративни', 'елегантност', 'изи́сканост', 'елега́нтност', 'karlgeorg_hoefer', 'прелестен', 'класическа_красота', 'красота', 'математически_красота']
emotion	емоция	Match	['чу́вство', 'вълнение', 'емоции', 'емоцията', 'emotion', 'емоция', 'емоционалност', 'емоционалните', 'човешка_емоция', 'human_after_all', 'емо́ция']
emotionally	емоционално	Match	['емоционално', 'чу́вство', 'вълнение', 'емоции', 'емоция', 'емоционалност', 'емоционалните', 'човешка_емоция', 'емо́ция']
engine	двигател	Match	['двигател', 'електровоз', 'двигателя', 'мотор', 'локомотиви', 'компилатор_за_компютърни_игри', 'ray_alder', '3d_двигател', 'двигатели', 'видео_игра_на_двигателя', 'локомотив_на_двигателя', 'engine', 'двигател_жп', 'двигател_видео_игра', 'локомотив', 'motor', 'жп_локомотив']
event	събитието	Match	['следствие', 'последствие', 'резултат', 'удар', 'слушател', 'ефект', 'случай', 'събитието', 'натискане_на_бутон', 'събитие', 'програмно_събитие', 'съби́тие', 'последица', 'манипулатор_на_събитие']
experiment	експеримент	Match	['експериментален_метод', 'опит', 'научен_експеримент', 'експериментирам', 'експерименти', 'the_experiment', 'experiment', 'експериментът', 'експерименталната_наука', 'експериментират', 'експериментална_наука', 'експерименталната_група', 'експеримент', 'експериментални_изследвания', 'експериментиране']
extremely	изключително	Match	['крайно', 'изключително', 'извънредно']
feeling	чувството	Found close match: ['чувство', 'чу́вство', 'чувства']	['усет', 'тактилна_обратна_връзка', 'соматосензорните', 'понятие', 'дух', 'чу́вство', 'чувство', 'впечатление', 'емоция', 'докосване', 'чувства', 'тактилно_усещане', 'чувството_за_допир', 'усещане', 'осеза́ние', 'соматосензорните_система', 'допир', 'усещане_при_допир', 'тон', 'интуитивно_усещане']
fight	битка	Match	['сражение', 'борба́', 'ангажимент', 'борба', 'сраже́ние', 'боря́_се', 'конфликт', 'борбата', 'схватки', 'би́тка', 'противопостави', 'бия_се', 'битки', 'бой', 'битка', 'сбиване', 'бори', 'въоръжена_борба', 'би́я_се', 'конкурентоспособността', 'бойна_подготовка', 'fight']
fish	риба	Match	['рибка', 'fish', 'дерек_уилям_дик_—_фиш', 'фиш', 'видове_риби', 'ихтиофауна', 'рибки', 'риба', 'ловя_риба', 'pisces', 'pterygiophore', 'храна_риба', 'гледай_си_работата', 'отиди_риба', 'дребна_рибка', 'риби', 'дерек_уилям_дик', 'риби_рибите', 'phish', 'флуоресцентна_ин_ситу_хибридизация', 'меки_лъчи', 'fingerling', 'млада_змиорка']
flow	потока	Found close match: ['поток', 'проторап', 'потока_мрежа']	['менструация', 'тека', 'хидравлично', 'хидравлика', 'хидравлични', 'постоянен_поток', 'менструа́ция', 'dynamicist_течност', 'хидродинамични', 'рапиране', 'мензис', 'обемния_дебит', 'механика_на_флуидите', 'рап', 'обемния_поток', 'течност_физика', 'динамиката_на_флуидите', 'young_money_entertainment', 'увеличаване_път', 'gravity_recovery_and_interior_laboratory', 'florent_mothe', 'рапър', 'flow', 'механиката_на_флуидите', 'emceeing', 'менструацията', 'рапъри', 'поток', 'течаща', 'рап_изпълнител', 'потока_мрежа', 'проторап', 'течение', 'скоростта_на_потока', 'ход', 'мрежата', 'хидравлично_налягане', 'дебит']
food	храна	Match	['хранителни_продукти', 'ядене', 'макронутриенти', 'храна_за_размисъл', 'храна́', 'хранителни_вещества', 'твърда_храна', 'kirby', 'хранително_вещество', 'храна', 'интелектуалната_храна', 'храни']
garbage	боклук	Match	['боклук', 'старо_желязо', 'метални_отпадъци', 'гарбидж', 'отпадъци_въпрос', 'отпадъци', 'withering_to_death', 'хранителни_отпадъци', 'смет', 'боклу́к', 'отпа́дък', 'отпадъчните_материали', 'garbage', 'битови_отпадъци', 'твърди_отпадъци', 'отпадък', 'скрап', 'твърди_битови_отпадъци', 'отпадъчен_продукт', 'отказвам']
gold	сребърни	Found close match: ['сребърен_диск']	['тройно_платинен', 'gold', 'златен_сертификат', 'бета_версия', 'бета_софтуер', 'платинен', 'златен_рекорд', 'издание_за_производство', 'кехлибар', 'мултиплатинени', 'позлата', 'етап_на_развитие', 'платинени', 'уона_уан', 'алфа_софтуер', 'златен_албум', 'au', 'златен', 'златист', 'за_запис_на_музика_продажби_сертифициране', 'бета_тест', 'предварително_алфа', 'златна_плоча', 'wanna_one', 'златни', 'бета_тестер', 'атомен_номер_79', 'сребърен_диск', 'затворената_бета', 'сертифициран_златен', 'алфа_версия', 'родния_злато', 'платинен_диск', 'версия_на_софтуера', 'жизнения_цикъл_на_софтуера', 'златен_медалист', 'сандя', 'release_candidate', 'публична_бета_версия', 'златни_медала', 'bobby_brown', 'отворен_бета', 'the_heist', 'тройна_платина', 'златно', 'двойно_платинен', 'златен_медал', 'златен_олимпийски_медал', 'платинен_албум', 'затворена_бета', 'златен_сингъл', 'златен_диск', 'златна', 'e175', 'алфа_тест', 'жила_злато', 'young_lust_the_aerosmith_anthology', 'кехлиба́р', 'anthology', 'злато', 'софтуера_жизнения_цикъл_освобождаване']
great	огромния	Incorrect	['страхотно', 'голям', 'illustriousness', 'велик', 'величие']
gun	скорострелно	Incorrect	['газ', 'стрелецът', 'педала_газта', 'наемен_убиец', 'пистолет', 'педал_за_газта', 'пистолет_за_наем', 'gunfighting', 'gunslingers', 'гън', 'conventional_weapons', 'оръжие', 'gun', 'пушка', 'оръжеен_магазин', 'педала_на_газта', 'малки_рамо', 'обстрелвам', 'грес_пистолет', 'тежко_оръжие', 'огнестрелно_оръжие', 'стрелец', 'louder_than_love', 'малки_оръжия', 'стрелково_оръжие', 'triggerman', 'убиец', 'огнестрелни_оръжия']
hair	косата	Match	['косми_по_главата', 'козина', 'космат', 'hair', 'коса', 'окосмяване', 'косми', 'косъм', 'hairsbreadth', 'коси', 'hairsширочината', 'човешка_коса', 'човешки_косъм', 'косата', 'росер']
help	помогне	Match	['помо́щник', 'хуманитарна_помощ', 'the_help', 'помогне', 'по́мощ', 'асистент', 'съде́йствие', 'богослужение', 'южнячки', 'съдействам', 'хуманитарни_работници', 'помощник', 'подпомагам', 'онлайн_помощ', 'асисте́нт', 'облекчение_работник', 'помогна', 'помощ', 'като', 'помагам', 'полза', 'help', 'служат', 'съдействие']
hurting	съсипе	Not found	[]
