ability	zdolności	Found close match: ['zdolność', 'uzdolnienie']	['umiejętność', 'zdolność', 'uzdolnienie']
bird	ptak	Match	['wygwizdanie', 'bejbe_mała', 'lotka', 'ptak_parker', 'dziewczyna', 'ptasie_dinozaury', 'mikuni_shimokawa', 'charles_parker', 'yardbird_parker', 'ptaki', 'aves', 'avafauna', 'palec_środkowy', 'ptak', 'ptaka', 'charlie_parker', 'wolant', 'palec', 'bird', 'dziewka', 'dziewucha', 'roosting', 'bronx_cheer', 'digitus_impudicus', 'córeczka', 'środkowy_palec', 'charles_christopher_parker', 'gwizdać', 'córka', 'razzing', 'awifauny', 'razz', 'fak', 'fuck_you', 'ptaków', 'ptaszek']
blood	krwi	Match	['blood', 'krew_odtlenowana', 'krew', 'farba', 'linia_krwi', 'wino_bordeaux', 'rakehell', 'dziedziczenie', 'ludzkiej_krwi', 'krew_utlenowana', 'wina_bordeaux', 'bordeaux', 'hematologicznych', 'natlenionej_krwi', 'vs', 'jucha', 'persistence_of_time', 'blood__reign_forever_world', 'rozpustnik', 'linia', 'collective_soul', 'dziedziczności', 'krwi', 'the_black_parade', 'bordo', 'posoka', 'dziedzictwa_genetycznego', 'rodu', 'getting_away_with_murder']
body	ciała	Match	['nadwozi', 'punkt_typograficzny', 'teairra_maria_thomas', 'tranzystor_polowy', 'ścierwo', 'bryła_geometryczna', 'coachbuilder', 'trykot_opinający_ciało', 'zwłok', 'wielotop', 'organizm', 'artykułu', 'tułów', 'polytope', 'tranzystor_polowy_z_izolowaną_bramką', 'polytopes', 'ubranie', 'truchło', 'news', 'trykot', 'struktura_organiczna', 'kadłub', 'tranzystor_unipolarny', 'wonder_showzen', 'pudło', 'artykuł_z_gazety', 'catsuit', 'tors', 'pt', 'korpus', 'artykuł', 'ciała', 'wielokomórka', 'źródło', 'teairra_mari', 'tułowia', 'nadwozia', 'wielkości_punktu', 'fet', 'ciała_fizycznego', 'igfet', 'owoców', 'tranzystora_polowego', 'ciało_fizyczne', 'artykuł_informacyjny', 'odbiornik', 'bryła_stereometryczna', 'treść', 'tamowanie_krwi', 'konsystencja', 'blacharka', 'soundbox', 'mineralności', 'kolegium', 'garnitur_ciała', 'dren', 'drzwi', 'trup', 'zwłoki', 'ciało', 'bodyciało', 'bukiet', 'body', 'karoseria', 'punkt', 'tranzystorów_polowych', 'teairra_marí', 'bramka', 'struktury_fizycznej', 'eubstance', 'góra', 'rezonator', 'historii_wiadomości', 'tułów_człowieka', 'cat_suit', 'unitard']
brain	mózgu	Match	['fenomen', 'mózgu', 'rozsądność', 'logika', 'banks', 'mózgowie', 'głowę', 'doktor_claw', 'serce', 'mózgu_ssaków', 'umysł', 'brain', 'intelektu', 'ludzkiego_umysłu', 'mózg', 'bryan_mantia', 'psychika', 'dusza', 'potencjału_umysłowego', 'psychiki', 'rozum', 'psyche', 'intelekt', 'zdolność_uczenia_się', 'rozsądek', 'psychiczny', 'duch', 'brainiac', 'funkcji_mózgu', 'duchowość', 'móżdżek', 'mózgownica', 'nerwy', 'geniusz', 'inspektor_gadżet', 'nous']
broken	złamaną	Found close match: ['złamany', 'złamane', 'złamana']	['odbicie_zła', 'ms_kelly', 'rozbite', '12_stones', 'winterhearts_guild', 'plastic_beach', 'błędny', 'broken_movie', 'the_best_of_bruce_dickinson', 'złamana', 'złamane', 'echo', 'delta_machine', 'złamany', 'the_broken_movie', 'niepoprawny', 'łamane', 'broken_ep', 'broken', 'comeback']
building	budynek	Match	['projektu_budowlanego', 'branży_budowlanej', 'budynków', 'roboty_budowlane', 'prace_budowlane', 'budynku', 'prace_budowlanokonstrukcyjne', 'budynek', 'budowla', 'budowanie', 'budownictwo', 'budowa', 'gmach', 'budynek_publiczny', 'dom']
burn	spalić	Match	['płomienisty', 'fc_dallas', 'oparzenia_słoneczne', 'palić', 'oparzenie', 'burn_fumetsu_no_face', 'strumieni', 'potok', 'burn', 'poparzenie_się', 'ciek', 'poparzenie', 'ogień', 'tan', 'spalenizna', 'rumień_solare', 'ciek_wodny', 'drugi_stopień_nagrać', 'spalić', 'płomień', 'wypalić_piętno', 'pieczenie', 'płomienie', 'palić_się', 'hamilton', 'trzeciego_stopnia_oparzenia', 'płonąć', 'ruisseau', 'dallas_burn', 'oparzenia', 'żar', 'oparzenie_słoneczne', 'oparzenia_trzeciego_stopnia', 'kruk', 'płonie', 'wikipedystacoka7196artykuły', 'opalenizna', 'queimada', 'przerywany_strumień', 'spal', 'cieki_wodne']
business	biznesową	Found close match: ['biznesowych', 'biznes']	['praca', 'firma_etap', 'klientela', 'sprzedawca', 'przedsiębiorstwo', 'niezależnych_wykonawców', 'organizacja_firmy', 'przedsięwzięcie', 'sektor_biznesu', 'business', 'klient', 'systemu_biznesowego', 'firma', 'prawa_spółek', 'dla_zysku', 'interes', 'nauki_biznesu', 'sektora_biznesowego', 'pracy', 'zatrudnienie', 'zajęcie', 'osoba_fizyczna_wykonująca_działalność_gospodarczą', 'troska_firma', 'pracę', 'linii_pracy', 'interesy', 'zawód', 'zawodzie', 'biznes', 'klienta', 'na_zysk', 'działalność_komercyjna_i_zarobkowa', 'biznesowych', 'lob', 'robota', 'epizod', 'jednoosobowa_działalność_gospodarcza', 'wakat', 'obiekt_organizacja', 'działalności_przedsiębiorstwa', 'koncern', 'zadanie']
camera	kamery	Match	['kamera_tv', 'aparat_filmowy', 'kamer', 'aparat', 'the_back_room', 'kamera', 'aparatu', 'motionobraz_z_kamery', 'kamery', 'kamera_filmowa', 'kamera_telewizyjna', 'cinecamera', 'camera', 'aparat_fotograficzny']
carefully	starannie	Found close match: ['strapienie', 'ostrożnie', 'utrapienie']	['bolenie', 'ostrożnie', 'frasunek', 'obaw', 'zgryzota', 'utrapienie', 'troska', 'strapienie', 'zmartwienie', 'martwić', 'cierpienie', 'martwienie_się']
challenge	wygrać	Incorrect	['challengeresponse', 'wyzwanie', 'osiągnięcie', 'challenge', 'zakwestionować', 'wyzwania', 'próba']
charity	charytatywnej	Found close match: ['charytatywność', 'organizacji_charytatywnej', 'fundacja_charytatywna']	['organizacji_charytatywnych', 'organizacją_charytatywną', 'organizacji_charytatywnej', 'organizacja_opiekuńcza', 'filantropia', 'dobroczynność', 'charity', 'miłości', 'organizacja_charytatywna', 'dilbert', 'organizacja_humanitarna', 'organizacje_pożytku_publicznego', 'filantropijność', 'polemonium_coeruleum', 'polymonium_caeruleum_vanbruntiae', 'wielosił_błękitny', 'braterskiej_miłości', 'dobroczynności_publicznej', 'caritas', 'fundacja_charytatywna', 'polemonium_caeruleum', 'charytatywność', 'instytucja_charytatywna', 'dobrodziejstwo', 'vanbruntiae_polemonium', 'miłość', 'caeruleum_polemonium', 'organizacja_pomocowa', 'miłość_braterska']
charming	zarozumiały	Incorrect	['urocze', 'uroczy']
clothes	ubrania	Match	['strój', 'konfekcja', 'odzieży_damskiej', 'ciuch', 'przemysłu_odzieżowego', 'ubiór', 'zdatny_do_noszenia', 'odzienie', 'ubranie', 'habiliment', 'odzieży', 'odzież', 'szata', 'ubrania']
cockroach	owady	Incorrect	['blattoptera', 'hełmce', 'podrząd_blattaria', 'blattaria', 'cockroach', 'podrząd_blattodea', 'karaluch', 'karaczany', 'blattodea', 'karalucha', 'karaczan']
code	kodu	Match	['programować', 'kod_komputerowy', 'kodyfikacja', 'kody', 'kod_otwarty', 'kod', 'kodowanie', 'kodeks_prawny', 'kod_zamknięty', 'code', 'zaplanować', 'kodu', 'dekodowanie', 'kodeks_praw', 'kodeks', 'kodować', 'szyfrować']
collection	kolekcja	Match	['mazharfuatözkan', 'kolekcji', 'hawkwind', 'mfö', 'zbiorów_sztuki', 'kolekcja_sztuki', 'agregacja', 'akon', 'przyjmować', 'kompletacja', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'agregacji', 'łączenia_produktów', 'aliaune_thiam', 'joe_sample', 'apel', 'windykacja', 'vindicatio', 'kolekcji_sztuki', 'zbiór', 'kompendium', 'collection', 'złożenie', 'kompilacja', 'komornika', 'inkasować', 'windykacji', 'zebranie_konia', 'the_charlatans', 'agregację', 'grupa', 'seria_książek', 'zbieranie', 'the_offspring_collection', 'pakiet', 'zbiórka', 'kontener', 'kolekcja']
computer	komputerowy	Found close match: ['komputery', 'komputer', 'komputer_cyfrowy']	['maszyna_obliczeniowa', 'urządzenie_komputerowe', 'kalkulator', 'rachmistrz', 'mózg_elektronowy', 'procesor_danych', 'komputery', 'komputerów_cyfrowych', 'komputer_cyfrowy', 'komputera', 'elektroniczna_maszyna_cyfrowa', 'elektroniczna_maszyna_licząca', 'komputer', 'komputera_elektronicznego', 'muzyki_komputerowej', 'taksator', 'elektronicznego_komputera', 'wygenerowane_komputerowo_muzyki', 'system_przetwarzania_informacji', 'figurer', 'systemów_komputerowych', 'obliczeniowiec', 'komputerze_ogólnego_przeznaczenia']
construction	budowy	Found close match: ['budowa', 'budowanie']	['prace_budowlanokonstrukcyjne', 'konstrukcja_gramatyczna', 'branży_budowlanej', 'konstrukcja_budowlana', 'prace_budowlane', 'projektu_budowlanego', 'wykładni_sądowej', 'runescape', 'konstrukcja', 'konstytucyjnej_interpretacji', 'struktura', 'budownictwo', 'elvarg', 'model', 'struktury', 'deviousmud', 'wilderness', 'psychicznego_syntezy', 'budowanie', 'roboty_budowlane', 'budowa']
cook	cook	Match	['captain_james_cook', 'frederick_albert_cook', 'james_cook', 'captain_cook', 'alexander_wilke', 'kucharka', 'kucharzy', 'kapitan_cook', 'szef_kuchni_kucharz', 'kucharzem', 'przygotowywać', 'kucharz', 'alec_empire', 'kuchmistrz', 'szef_kuchni', 'frederick_cook', 'okręg_wyborczy_cook', 'souschef', 'gotować', 'kucharza', 'cook', 'uss_donald_cook']
counting	liczenia	Match	['podstawa_systemu_liczbowego', 'wyliczenie', 'system_liczbowy', 'systemie_liczbowym', 'numeracji', 'policzenie', 'kod_pozycyjny', 'liczenia', 'pozycyjny_system_liczbowy', 'system_trójkowy', 'lista', 'liczyć', 'liczę', 'systemy_liczbowe', 'liczenie', 'addytywny_system_liczbowy', 'spis']
crazy	crazy	Match	['nienormalny', 'looney', 'famous_last_words', 'obłąkanie', 'wariatka', 'chory_na_głowę', 'szalone', 'wariat', 'crazy', 'obłęd', 'usher', 'obłąkaniec', 'szaleństwo', '(you_drive_me)_crazy', 'pomyleniec', 'the_red_album', 'szalona', 'because_of_you', 'playing_with_fire', '…famous_last_words…', 'loca', 'szalony', 'dziwak', 'erika_jayne', 'delirium', 'pomylony', 'szaleniec', 'zwariowany']
damage	uszkodzenia	Match	['make_this_your_own', 'the_fantastic_adventures_of_dizzy', 'uszkodzenie', 'oszpecać', 'szkoda', 'szkody_prawne', 'damage', 'skaza', 'fantastic_dizzy', 'znieszczenie', 'cena_brutto', 'cena', 'chłostać', 'zniszczenia', 'szkody', 'sprzęt_wypadek', 'fantastic_adventures_of_dizzy', 'uszkodzenia', 'utarg_marginalny', 'ceny_detalicznej']
dance	dance	Match	['muzyka_dance', 'pląsać', 'tancerz', 'tańczyć', 'tańca', 'tańcz', 'tan', 'dance', 'zabawa', 'dancé', 'utwór_taneczny', 'euro_house', 'tancerzy', 'post_disco', 'taniec', 'dance_dance', 'power_dance', 'tańce', 'oliver_heldens', 'muzyki_tanecznej', 'balety', 'waterloo', 'dance_party', 'potańcówka', 'postdisco', 'tańcować']
dangerous	niebezpiecznie	Match	['niebezpiecznie', 'dangerous', 'kusicielka', 'brawurowy', 'niebezpieczny_groźny', 'niebezpieczne', 'śmiały', 'its_hard', 'groźny', 'niebezpieczny', 'niebezpieczna']
deceive	zwieść	Not found	[]
dedication	poświęcenie	Match	['poświęcenia', 'zadedykowanie', 'poświęcenie_kościoła', 'dedication', 'dedykacja', 'poświęcenie', 'ofiarowanie_niemowląt', 'konsekracja_kościoła', 'oddanie', 'błogosławieństwo_niemowląt']
deliberately	celowo	Match	['umyślnie', 'celowo']
delivery	dostarczenie	Found close match: ['dostarczanie']	['transportu', 'alienacji', 'poród_naturalny', 'ratunek', 'żartobliwy', 'rozrodczym', 'transport_pasażerski', 'dostarczanie', 'poród_u_człowieka', 'dowóz', 'przywózka', 'kawał', 'poród', 'prawo_podaży', 'transport', 'delivery', 'środek_lokomocji', 'zbywalne', 'uratować', 'przynosząc', 'poród_fizjologiczny', 'środek_transportu', 'żartem', 'uwolnienie', 'żartować', 'dowcip', 'porodu', 'urodzenie', 'branży_transportowej', 'żart', 'dostawa', 'dostawy', 'wikipedystarymon_lipinskaii_okres_porodu', 'prawnego_przeniesienia', 'narodziny', 'areszt', 'sposób_mówienia', 'nośnik', 'urodziny', 'dostawa_do_domu', 'przesyłka', 'rzut', 'chłopiec_dostawy', 'sposoby_odklejania_się_łożyska', 'położnicza_dostawy', 'dowcipy', 'infrastruktury_transportowej', 'wieku', 'przywóz', 'dostawy_do_domu', 'podaż']
dessert	desery	Match	['win_deserowych', 'deser', 'wino_deserowe', 'deseru', 'deserów', 'afters', 'desery']
device	urządzenie	Match	['urządzenie', 'urządzenie_komputerowe', 'device', 'telefon', 'osobistego_sprzętu_komputerowego', 'maszyna', 'convent', 'sprzętu_komputerowego', 'telefon_komórkowy', 'telefonów_komórkowych', 'komórkowe', 'narzędzie', 'configsys', 'sprzęt_komputerowy', 'komórkowy', 'nicolai_reedtz', 'urządzenia', 'wyrób', 'urządzenie_techniczne', 'maszyny', 'maszyn', 'mobile', 'telefony_komórkowe', 'hardware', 'sprzęt', 'komórka']
dig	wykopać	Found close match: ['wykopywać', 'wykop', 'kopać']	['przymówka', 'rozumieć', 'być_świadomym_znaczenia', 'dig', 'archeologiczne', 'przytyk', 'wykop', 'wykopalisko', 'przycinek', 'kuksnięcie', 'kopanie', 'wykopaliska', 'pojąć', 'pojmować', 'kpina', 'zgodzić_się', 'ryć', 'wykopywać', 'zrozumieć', 'kopać', 'kop']
dinner	obiad	Match	['podwieczorek', 'podwieczorku', 'kolacja', 'lancz', 'bankiet', 'filiżanka_herbata', 'obiad', 'przyjęcie', 'tiffin', 'wieczerza', 'lunch', 'dejeuner', 'kolację', 'teatime', 'fajf', 'five_oclock']
disease	choroby	Match	['choroba_umysłowa', 'niemoc', 'dolegliwość', 'choroby_somatyczne', 'niedomoga', 'schorzenie', 'schorzeniu', 'zachorowanie', 'patologia', 'niedyspozycja', 'choroba_somatyczna', 'chorób', 'unwellness', 'choroby', 'zapalenie_opłucnej', 'przypadłość', 'chorobliwą', 'choroba', 'zachorowalność', 'syndrom', 'begowal', 'niedomaganie']
dissolve	rozpuszczenie	Found close match: ['rozpuszczać', 'rozpuszczać_się', 'rozpuścić']	['rozpuścić', 'topić', 'roztapiać', 'płynne_przechodzenie', 'rozmrażać', 'rozmrozić', 'rozpuszczać_się', 'roztopić', 'rozpuszczać']
disturb	zakłócać	Incorrect	['przeszkadzać']
do	mogę	Not found	[]
doctor	doktor	Match	['dochtór', 'drugi_doktor', 'doktor_nauk_technicznych', 'studia_doktoranckie', 'third_doctor', 'lekarz_medycyny', 'studia_iii_stopnia', 'dr_who', 'jedenasty_doktor', 'studia_trzeciego_stopnia', 'naprawiać', 'rudeboy', 'piąty_doktor', 'pierwszy_doktor', 'doctor', 'doktor', 'doktor_kościoła', 'doktorzy_kościoła', 'doktór', 'studia_doktorskie', 'lekarz', 'dziewiąty_doktor', 'rude_boy', 'doctorwho', 'second_doctor', 'medyk', 'chirurg', 'rude_boys', 'dr', 'eliza', 'lekarz_specjalista', 'awaryjny_hologram_medyczny', 'studium_doktorskie', 'doktor_who', 'loïc_nottet', 'dochtor', 'doktorze', 'doctorat', 'rudeboys', 'doktor_wojny', 'specjalności_lekarskie', 'władcy_czasu', 'doctor_of_philosophy', 'zabawa_w_doktora', 'lekarka', 'doktor_medycyny', 'doctor_who', 'operator', 'first_doctor', 'lekarzy', 'doktor_kto', 'doktorat', 'trzeci_doktor', 'medical_officer', 'ninth_doctor', 'eleventh_doctor', 'doktorów_kościoła', 'phd']
dog	pies	Match	['ścigać', 'doktor_rosenberg', 'krajowego_pies', 'psa', 'wienerwurst', 'isaac_kleiner', 'gman', 'koczkodan', 'pies', 'psy', 'psie', 'śledzić', 'bydlak', 'pierun', 'firedog', 'familiaris', 'psowate', 'psie_mięso', 'psowatych', 'pies_domowy', 'pieron', 'gonić', 'canis_familiaris', 'bydlę', 'ojciec_grigori', 'hot_dog', 'psy_na_znaczkach_pocztowych', 'weenie', 'barney_calhoun', 'judith_mossman', 'doktor_breen', 'tropić', 'łajdak', 'lista_postaci_ze_świata_halflife', 'dogiron', 'samoblokujący', 'skurczybyk', 'parówka', 'gnać', 'rodzina_canidae', 'udomowienie_psa', 'wallace_breen', 'canidae', 'duck_hunt', 'adrian_shephard', 'canis_lupus_familiaris', 'zapadka', 'father_grigori', 'andiron', 'dog', 'hotdog', 'psa_domowego', 'piesek', 'arne_magnusson', 'richard_keller', 'eli_vance']
dressing	garderoby	Incorrect	['wkładanie', 'użyźnianie', 'opatrywanie', 'sos_sałatkowy', 'bandażowanie', 'ubranie', 'zakładanie', 'strój', 'spongostan', 'opatrunek', 'odzieży_damskiej', 'przemysłu_odzieżowego', 'farsz', 'habiliment', 'szata', 'nakładanie', 'plaster', 'konfekcja', 'ciuch', 'ubiór', 'wdziewanie', 'zdatny_do_noszenia', 'ubieranie', 'ubrania', 'odzienie', 'dressing', 'faszerowanie', 'materiał_opatrunkowy', 'opatrunek_medyczny', 'odzież', 'odzieży', 'opatrunku']
driver	kierowca	Match	['kierowców', 'chauffer', 'wälder', 'kierowców_ciężarówek', 'traker', 'driver_you_are_the_wheelman', 'kierowca_wyścigowy', 'szofer', 'driver_sennyuu_car_chase_daisakusen', 'driver_san_francisco', 'piętra_lasu', 'numer_jeden_drewno', 'sterownik_urządzenia', 'kół_napędowych', 'sterownik', 'lesie', 'kierujący', 'cowcatcher', 'kierowcy', 'kierowca_rajdowy', 'pilota', 'kierowca', 'jazdy_koło', 'zalesiona', 'driver', 'sterowniki_urządzeń', 'driver_the_recruit', 'szoferem', 'trucker', 'kierowca_ciężarówki', 'biocenoza_leśna', 'sterownik_drukarki', 'sterownik_sprzętowy', 'jazdy_ciężarówek', 'las', 'kompleks_leśny', 'lasy']
economy	gospodarki	Match	['ekonomicznie', 'walden', 'ekonomii', 'gospodarki_narodowej', 'nauki_ekonomiczne', 'stopy_oszczędności', 'system_ekonomiczny', 'system_gospodarczy', 'ekonomia', 'ekonomii_politycznej', 'teoria_gospodarcza', 'oszczędności', 'ekonomiczność', 'gospodarka', 'oszczędzanie', 'gospodarki_wiejskiej', 'typ_gospodarki', 'systemów_ekonomicznych', 'ekonomia_polityczna', 'economy', 'gospodarki', 'ekonomista', 'ekonomika', 'oszczędność']
election	wyborach	Found close match: ['nakaz_wyborach', 'wybory', 'wyborów']	['układ_o_współpracy_patentowej', 'election', 'polityki_wyborczej', 'układ_pct', 'wyborów', 'wybory', 'wybieranie', 'hak_se_wui', 'procesu_wyborczego', 'elekcja', 'wybór', 'obieranie', 'wybór_mafii', 'nakaz_wyborach', 'reelekcję']
electron	elektronu	Found close match: ['elektron', 'elektrony', 'elektronów']	['promieniowanie_katodowe', 'electron', 'promienie_katodowe', 'negaton', 'elektrony', 'elektronów', 'negatron', 'elektron', 'elektronowy']
elegance	elegancja	Match	['matematyka_a_estetyka', 'elegancja', 'sznyt', 'elegancji', 'wykwint', 'piękno_matematyki', 'klasycznego_piękna', 'matematycznej_elegancji', 'dystynkcja', 'elegancki', 'piękno_i_matematyka', 'piękno_w_matematyce', 'szyk', 'szykowność', 'dekoracyjne', 'wyszukaność', 'piękno', 'wytworność', 'karlgeorg_hoefer', 'matematyczne_piękno', 'matematycznego_piękna', 'coś_ślicznego', 'wykwintność']
emotion	emocjonalne	Found close match: ['stan_emocjonalny', 'procesy_emocjonalne', 'emocje']	['human_after_all_remixes', 'odczucie', 'emocji', 'emotion', 'maverick_sabre', 'procesy_emocjonalne', 'emocje', 'stan_emocjonalny', 'emocja', 'uczucie', 'human_after_all', 'ludzkich_emocji']
emotionally	emocjonalnie	Match	['odczucie', 'emocji', 'procesy_emocjonalne', 'emocje', 'emocjonalnie', 'stan_emocjonalny', 'emocja', 'uczucie', 'ludzkich_emocji']
engine	silnik	Match	['silnik', 'aparat', 'lokomotywa_kolejowa', 'silnika_gry_wideo', 'silnik_oprogramowania', 'silników', 'silnika_kolejowym', 'engine', 'ray_alder', 'silnik_gier', 'silnik_gry', 'silnika', 'lokomotywa', 'silnik_lokomotywy', 'machina_wojenna', 'silniki', 'lokomotyw', 'motor', 'silnik_3d']
