ability	võimet	Found close match: ['võime']	['sobivus', 'sobivustesti', 'võime', 'oskus']
bear	karu	Match	['tupolev_tu20', 'seista', 'ursidae', 'kanda', 'tupolev_tu95', 'mõmmi', 'karulased', 'bear', 'karud', 'maksma', 'karu', 'mike_brown', 'karu_kogukond', 'võtta', 'asi_see', 'tu20', 'tu95']
beat	finaalis	Incorrect	['meeter', 'biitnik', 'võitma', 'löök', 'poeetilise_meeter', 'rütmiline_ühik', 'rütm', 'siteswap', 'muusikaline_rütm', 'rütmiline', 'beatnik', 'biitnikud', 'offbeat', 'kvantitatiivsed_salm', 'peksid', 'peksa', 'värsimõõt', 'rütmid', 'beat']
bed	voodipesu	Found close match: ['voodis', 'voodipesu_lennuk', 'voodi']	['oja_voodi', 'voodis', 'sugu_tegema', 'keppima', 'voodipesu_lennuk', 'bed', 'nussima', 'panema', 'seksima', 'lade', 'säng', 'peenar', 'streambed', 'voolusäng', 'õmbluse', 'ülesöömine', 'nikkuma', 'jõesängi', 'trukkima', 'jõe_säng', 'põhi', 'liigsöömissööstud_häire', 'voodi', 'jõesäng']
beer	õlu	Match	['ale', 'beer', 'õlut', 'õlts', 'õlle', 'kesvamärjuke', 'õlletööstus', 'pinnakäärimisega_õlu', 'õlu', 'hele_inglise_õlu']
big	suur	Match	['bjarke_ingels_group', 'tasakaalu', 'keha', 'big', 'suure', 'suur', 'stypsis', 'suured', 'kuiv', 'mineraalsust', 'puuviljad', 'puuja', 'norm_nixon']
bird	lind	Match	['sulgpall', 'linnud', 'sõrme', 'kiuslik', 'keskmise_sõrme_žest', 'lind', 'mikuni_shimokawa', 'yardbird_parker', 'aves', 'avafauna', 'linnustik', 'charlie_parker', 'keskmise_sõrme_näitamine', 'bird_parker', 'bird', 'linnu', 'bronx_cheer', 'pähhüüatus', 'charles_christopher_parker', 'razzing', 'linnuke', 'tüdruk']
blood	vere	Match	['geneetilise_pärandi', 'blood', 'vereliini', 'hematoloogiliste', 'elostelija', 'rakehell', 'bordeaux_vein', 'esivanemad', 'veri', 'bordeaux', 'vs', 'vere', 'vere_rida', 'persistence_of_time', 'bordeaux_veini', 'collective_soul', 'pärilikkus', 'sanguis', 'the_black_parade', 'verre', 'pärilik', 'hapnikurikast_verd', 'getting_away_with_murder']
body	keha	Match	['ajakirja_artikkel', 'artikkel', 'torso', 'füüsilise_keha', 'kass_ülikond', 'autokerede_valmistaja', 'punkti', 'füüsilise_struktuuri', 'pihaosa', 'väljatransistor', 'pagasiruumi', 'mineraalsust', 'uudis', 'puuja', 'unipolaartransistor', 'punkti_suurus', 'keha', 'värava', 'polütoopideks', 'sisu', 'wonder_showzen', 'catsuit', 'korjuseid', 'sõidukikere', 'füüsikaline_keha', 'stypsis', 'bodi', 'kuiv', 'ülakeha', 'fet', 'tasakaalu', 'laibad', 'materiaalne_keha', 'vastuvõtja', 'orgaaniline_struktuur', 'keha_ülikond', 'polümatroid', 'soundbox', 'koolnu', 'välja_efekt_transistor', 'auto_kere', 'korjus', 'surnukeha', 'laip', 'väljatransistorid_transistorid', 'kere', 'puuviljad', 'isiku_surnukeha', 'body', 'asi', 'surnukehad', 'punkt', 'uks', 'teairra_marí', 'ajaleheartikli', 'eubstance', 'trikoo', 'väljatransistori', 'unitard']
brain	ajukoe	Found close match: ['aju', 'ajju']	['põhjus', 'banks', 'vaim', 'pea', 'inspektor_gruvi', 'aju', 'geniaalsus', 'intellekt', 'vaimsete_võimete', 'vaimse_sisu', 'inimaju', 'geenius', 'ajju', 'brain', 'teaduslik_kaader', 'inspector_gadget', 'bryan_mantia', 'õppimisvõimet', 'peaaju', 'imetajate_aju', 'nus', 'ajutegevus', 'psüühika', 'inimmõistuse', 'brainiac', 'mõistus', 'nous']
broken	purunenud	Found close match: ['murdunud']	['ms_kelly', 'murdunud', 'katkised', '12_stones', 'winterhearts_guild', 'plastic_beach', 'murtud', 'the_best_of_bruce_dickinson', 'echo', 'delta_machine', 'katki', 'broken']
building	hoone	Match	['ehitusplatsil', 'ehitusala', 'ehitusplatsidel', 'ehitus', 'ehitustööd', 'ehitama', 'ehitamine', 'hoone', 'tits_hoone', 'ehitustöö', 'ehitis', 'avaliku_hoone']
burn	põleda	Found close match: ['põletada', 'põlema', 'põle']	['fc_dallas', 'kolmanda_astme_põletus', 'oja', 'leek', 'vooluveekogu', 'burn', 'teise_astme_põletus', 'vahelduv_vool', 'tan', 'põle', 'ojad', 'tuli', 'tulekahjud', 'tulekahju', 'leegitsev', 'ruisseau', 'põletus', 'päikesepõletus', 'põlema', 'põleng', 'vooluveekogud', 'erüteem_solare', 'põleb', 'põletada_märk', 'põletada', 'päevitus']
business	ettevõtlus	Found close match: ['ettevõtluse', 'ettevõte', 'ettevõtlussektori']	['äriettevõte', 'äri_süsteemi', 'äri', 'kõrvaltegevus', 'elukutse', 'business', 'kutse', 'päev_tööd', 'sõltumatud_töövõtjad', 'kaupmees', 'ettevõtlussektori', 'ettevõtluse', 'sõltumatu_töövõtja', 'liini_töö', 'amet', 'tegevusala', 'okupatsioon', 'klientuur', 'ärisektoris', 'töö', 'äri_mure', 'staadiumis_äri', 'äritegevus', 'äri_silmus', 'äriorganisatsiooni', 'mittetulunduslik', 'ärindus', 'ettevõte', 'äri_teaduse', 'äri_kannus']
camera	kaamera	Match	['professionaalne_videokaamera', 'kaamera', 'the_back_room', 'telekaamerate', 'kinos_kaamera', 'kaamerad', 'fotoaparaat', 'filmikaamera', 'fotokaamera', 'motionpicture_kaamera', 'camera', 'videokaamera', 'telekaamera']
carefully	hoolikalt	Match	['hoolikalt', 'muretse', 'mure', 'ettevaatlikult']
challenge	võistlusprogramm	Incorrect	['väljakutse', 'vaidlustada', 'väljakutsevastuse']
charity	heategevuslik	Found close match: ['heategevus', 'avalik_heategevus', 'avaliku_heategevus']	['heategevusorganisatsioonid', 'charity_staatus', 'avaliku_heategevusega', 'avalik_heategevus', 'heategevus', 'polemonium_vanbruntiae', 'polemonium_caeruleum', 'heategevusorganisatsioonide', 'polymonium_caeruleum_vanbruntiae', 'charity', 'heategevusorganisatsioon', 'registreeritud_heategevusfondi', 'ligimesearmastust', 'heategevusorganisatsiooni', 'avaliku_heategevus']
charming	imekaunis	Incorrect	['võluv', 'võluvad']
clothes	riided	Match	['naisterõivaste', 'riietus', 'riideid', 'kehakate', 'kantav', 'rõivad', 'rõivastus', 'riided', 'habiliment', 'rõivatootmine', 'rõivale', 'rõivas', 'rõivatööstusele']
cockroach	küüsikloomad	Incorrect	['alamseltsi_blattaria', 'alamseltsi_blattodea', 'tarakan', 'prussakad', 'blattaria', 'cockroach', 'prussakalised', 'blattodea', 'prussakas']
code	koode	Found close match: ['kood', 'koodi', 'koodid']	['kodeeritud', 'ajastama', 'koodi', 'code', 'koodimine', 'seadustik', 'kodeerimine', 'kodifitseerimine', 'koodid', 'seadustiku', 'kood', 'arvuti_koodi']
collection	kollektsioon	Match	['hawkwind', 'raamatusari', 'kogumine', 'aliaune_damala_bouga_time_bongo_puru_nacka_lu_lu_lu_badara_akon_thiam', 'kunstikogudest', 'akon', 'koondkogum', 'kogumik', 'seoste_kogum', 'koguda', 'hulk', 'aliaune_damala_bouga_time_puru_nacka_lu_lu_lu_badara_akon_thiam', 'raamat_sarjast', 'kokkupanek', 'toote_komplekteerimine', 'kollektsioon', 'võla_koguja', 'joe_sample', 'võlgade_sissenõudmine', 'collection', 'ümbris', 'kogumiku', 'the_charlatans', 'liitmine', 'aliaune_damala_akon_thiam', 'kunstikogu', 'kogu', 'the_offspring_collection', 'kogumise', 'inkassofirma', 'kogum', 'konteiner']
computer	arvutiriistvara	Incorrect	['arvutisüsteem', 'elektronarvuti', 'arvuti', 'arvuti_masin', 'raal', 'arvuti_seade', 'programmeeritav_andmetöötlusseade', 'arvutisüsteemi', 'arvuti_muusika', 'digitaalne_andmetöötlus', 'üldotstarbeline_arvuti', 'digitaalarvutite', 'infotöötluse_süsteem', 'computer_technology', 'digitaalelektronarvuti', 'andmetöötleja', 'kompuuter', 'arvutid', 'figurer', 'kalkulaator', 'inimese_arvuti', 'eelarvestaja']
construction	ehitamine	Match	['väljend', 'ehitusplatsil', 'struktuur', 'runescape', 'tarind', 'grammatilise_ehituse', 'mudeli', 'ehitusplatsidel', 'ehitusala', 'ehitus', 'ehitustööd', 'mudel', 'ehitama', 'ehitamine', 'konstruktsioon', 'grammatiline_konstruktsioon', 'vaimse_süntees', 'kohtuliku_tõlgenduse', 'ehitustöö']
cook	mccormick	Incorrect	['frederick_cook', 'frederick_albert_cook', 'cook', 'james_cook', 'lühiajaliste_et_kokk', 'kokk', 'peakokk', 'captain_cook', 'souschef', 'süüa', 'kapten_james_cook', 'komisjoni_peakokk', 'kokad', 'lühike_selleks_kokk', 'keittiömestari']
counting	järjestamine	Not found	[]
crazy	ihuüksi	Incorrect	['hull', 'crazy', 'ajukääbik', 'because_of_you', 'usher', 'looney', 'famous_last_words', 'erika_jayne', 'playing_with_fire', 'hullud', 'loca', 'hullumeelsus', 'vaimuhaigus', '(you_drive_me)_crazy', 'the_red_album', 'lollakas']
damage	kahjustus	Match	['kahju', 'kahjustus', 'saatuslik', 'damage', 'õigusliku_kahju', 'kahjustused', 'jaehind', 'seadmed_õnnetus', 'scathe', 'hind', 'välimust']
dance	tantsuõhtu	Match	['tants', 'tantsumuusika', 'tantsida', 'postdisco', 'dancé', 'tantsu', 'waterloo', 'tantsimine', 'dance', 'tantsud', 'tantsuõhtu', 'tantsi', 'tantsima', 'tantsijad', 'oliver_heldens']
dangerous	ohtlik	Match	['dangerous', 'ohtlikud', 'its_hard', 'ohtlik']
deceive	vägistada	Incorrect	['petlik', 'ebaausus', 'petta', 'kelmus', 'pettusega']
dedication	tänulikkus	Incorrect	['dedication', 'pühendumus', 'pühendumist']
deliberately	tahtlikult	Match	['meelega', 'tahtlikult', 'teadlikult']
delivery	koostootmine	Found close match: ['toomine', 'kohaletoimetamine']	['transpordiliigid', 'tarne_poiss', 'ülemineku', 'naljakas', 'sünnitamine', 'nalja', 'sünnitus', 'sünnituse', 'transport', 'võõrandatavad', 'sünnitusega', 'delivery', 'veondus', 'lapseootel', 'kohaletoimetamine', 'rasestuda', 'päästetööd', 'sünd', 'toomine', 'nii_öeldakse', 'võõrandumine', 'päästetöö', 'reisijatevedu', 'jest', 'transpordi_infrastruktuuri', 'tarne', 'vedu', 'kojukanne', 'mõtteavaldus', 'transpordi_tööstuses', 'transpordiliik', 'narrima', 'accouchement', 'nali', 'päästma', 'pakkumine', 'pakkumise', 'tupe_sündi']
dessert	magustoit	Match	['dessert', 'magustoit', 'dessertvein', 'afters', 'dessert_veine']
device	seade	Match	['mobiiltelefone', 'device', 'kärgtelefon', 'raudvara', 'mobiiltelefoni', 'arvuti_riistvara', 'personaalarvuti_riistvara', 'riistvara', 'taskutelefon', 'arvutiriistvara', 'seadis', 'mobiiltelefonides', 'seade', 'configsys', 'mobiiltelefoniteenust', 'tootmisvahendite', 'mobiiltelefonid', 'mobla', 'mobiiltelefon', 'masinad', 'mobiiltelefonivõrgu', 'mobiil', 'masin', 'mobiilside']
dig	uuristada	Incorrect	['arheoloogilised_saidi', 'haarata', 'mõistma', 'kaeva', 'torkima', 'dig', 'kaevata', 'mõnitus', 'kaevamine', 'aru']
dinner	õhtusöögil	Found close match: ['õhtusöök', 'lõunasöögi']	['lõuna', 'einestamine', 'pärastlõunane_tee', 'õhtusöök', 'tiffin', 'tee', 'dejeuner', 'teatime', 'päivälliset', 'lõunasöögi']
disease	haigus	Match	['haigusliku', 'haiguse', 'begowal', 'pleuriit', 'haigusi', 'haigus', 'meditsiiniline_haigus', 'tõbi', 'haigused', 'haigestumuse_tase', 'halva_enesetunde', 'meditsiiniline_seisund']
dissolve	lahustada	Match	['lahustatakse', 'lahustada', 'lahustuma']
disturb	häirida	Not found	[]
do	nojah	Not found	[]
doctor	arsti	Match	['kiriku_õpetaja', 'arst', 'doktor_kirik', 'doktoriõppe', 'tohter', 'kirurgid', 'taastama', 'doktor', 'rude_boy', 'tegutsevad_kirurg', 'kiriku_doktor', 'dr', 'eliza', 'teadus_doktorikraadi', 'professionaalne_doktorikraad', 'loïc_nottet', 'kirurg', 'doktor_kiriku', 'arsti', 'arstid_kiriku', 'arstid', 'doktorikraad', 'doctor_who', 'doktorikraadi', 'kirikudoktor', 'medical_officer', 'phd', 'ennistama']
dog	koer	Match	['kutsu', 'koerraud', 'haakuv', 'koer', 'koerad', 'wienerwurst', 'familiaris', 'raud_sahtel', 'koerlased', 'kuuma_koera', 'koerlane', 'canis_familiaris', 'hot_dog', 'weenie', 'pawl', 'halupukk', 'canids', 'taga_ajama', 'kodukoer', 'kaabaklik', 'perekond_canidae', 'takistuseni', 'canidae', 'koera_liha', 'koera', 'duck_hunt', 'nuhruinen_eukko', 'canis_lupus_familiaris', 'viiner', 'hotdog', 'kodumaiste_koer']
dressing	pükse	Not found	[]
driver	sõitja	Incorrect	['metsad', 'printeridraiver', 'ühendatud_telge', 'chauffer', 'draiver', 'wälder', 'piloot', 'ühendatud_telje', 'rool', 'metsas', 'ohjur', 'driver_san_francisco', 'aednik', 'number_üks_puit', 'seadmedraiver', 'mets', 'veorataste', 'veoautojuht', 'seadme_draiverid', 'ühendatud_rattad', 'tüürel', 'laas', 'veoauto_sõidu', 'autojuht', 'autojuhid', 'veoautojuhid', 'okasmetsad', 'juht', 'metsa', 'tarkvara_juht', 'driver', 'vöötkoodi_lugeja', 'juhtprogramm', 'okaspuumets', 'ajur', 'vedurisahk']
economy	majanduselus	Found close match: ['majanduse', 'majandusteadus', 'majandus']	['walden', 'säästlikkus', 'poliitiline_ökonoomia', 'majanduslikult', 'economy', 'majandussüsteemi', 'majanduse', 'majandussüsteem', 'poliitökonoomia', 'hoius', 'majandus', 'majandusteadus', 'majandusteadlane', 'ökonoomika', 'reaalmajanduse', 'poliitilise_ökonoomika', 'säästumäär', 'maapiirkondade_majandust']
election	valimised	Match	['valimisprotsessi', 'tagasivalimine', 'rahvusvaheline_patendikoostööleping', 'valimine', 'election', 'patendikoostööleping', 'valimine_valimised', 'uuesti_kandideerida', 'demokraatlikult_valitud', 'valimispoliitikat', 'kohtukutse_valimised', 'valitud', 'valimised', 'reelection', 'pct']
electron	elektronide	Match	['electron', 'negatron', 'elektronide', 'elektron', 'elektronid']
elegance	luksuslik	Not found	[]
emotion	emotsioon	Match	['emotsionaalne', 'emotion', 'emotsiooni', 'emotsioon', 'emotsioonid', 'emotsioone', 'human_after_all']
emotionally	emotsionaalselt	Match	['emotsionaalne', 'emotsionaalselt', 'emotsioonid', 'emotsioone', 'emotsioon']
engine	mootoril	Found close match: ['mootorid', 'mootor', 'motor']	['tarkvara_mootor', '3d_mootor', 'mootor', 'mängu_mootor', 'videomängu_mootor', 'mootorid', 'ray_alder', 'veduri_mootori', 'raudtee_mootori', 'engine', 'vedur', 'motor', 'raudteeveduri']
event	suurvõistlus	Incorrect	['võti_insult', 'juhul', 'sündmus', 'klahvivajutuse', 'sündmus_käitlemise', 'mõju', 'üritus', 'sündmuseohjur', 'programmisündmus', 'seik', 'juhuslik_sündmus', 'kuulja', 'tulemus', 'kindel_sündmus', 'lõpptulemus', 'kuulaja', 'võimatu_sündmus']
experiment	mõtteeksperimendi	Found close match: ['eksperiment', 'the_experiment', 'teaduslik_eksperiment']	['katsetada', 'the_experiment', 'experiment', 'eksperimentaalne', 'katserühma', 'eksperiment', 'eksperimentaalteadus', 'katse', 'teaduslik_eksperiment']
extremely	väga	Match	['äärmiselt', 'väga']
feeling	süütunne	Found close match: ['tunne']	['mulje', 'kompimistaju', 'tunne', 'reljeefsete', 'reljeefsete_tagasisidet', 'somatosensory', 'toon', 'meeleolu', 'tunded', 'intuitiivne_tunne', 'tundmus', 'somatosensory_süsteem', 'kompimismeel', 'tundlikkuse_häired']
fight	võitlemas	Found close match: ['võitlema', 'võitle', 'võitlus']	['võitlemine', 'võitlema', 'võidelda_koolitus', 'kokkupõrked', 'kaklema', 'lahing', 'konkurentsivõime', 'sõjaline_tegevus', 'relvastatud_võitluse', 'võitle', 'vastu', 'võitleb', 'võidelda', 'võitlus', 'fight']
fish	kalad	Match	['fish', 'kalad', 'toidu_kala', 'derek_william_dick', 'pterygiophore', 'kalaks', 'kala', 'pisces', 'kalu', 'pehme_ray', 'praadida', 'phish', 'kalad_kalad', 'toit_kala', 'go_fish', 'elver', 'fingerling', 'kalastik', 'fluorestsents_in_situ_hübridisatsioon', 'merekalad']
flow	voolava	Found close match: ['voolav', 'vool', 'voolu']	['pidev', 'hüdrauliliselt', 'vedeliku_voolu', 'menorröa', 'rap', 'voolu', 'vooluhulk', 'menstruatsioon', 'hüdraulilise_surve', 'vedeliku_dynamicist', 'voolav', 'kuupuhastus', 'vool', 'menorraagia', 'räppimine', 'hüdromehhaanika', 'vedelike_dünaamika', 'gravity_recovery_and_interior_laboratory', 'menstrueerima', 'young_money_entertainment', 'florent_mothe', 'flow', 'räppar', 'catamenia', 'vedeliku_füüsika', 'emceeing', 'voo', 'rap_kunstnik', 'võrgu', 'räpp', 'protorap', 'räpparite', 'hüdrauliline_rõhk', 'hüdromehaanika', 'voog', 'voolukiirus', 'hüdrauliline', 'hüdrodünaamiline', 'vedeliku_mehaanika', 'menses', 'voolu_võrku', 'koputamine', 'hüdraulika', 'täiendada_tee']
food	toiduõli	Found close match: ['toidud', 'toiduainete', 'toitu']	['makrotoitainete', 'toit', 'tahket_toitu', 'toiteelement', 'roog', 'toitaineid', 'toitesool', 'toitained', 'taimetoitaine', 'toitu', 'intellektuaalse_toitu', 'makro', 'kirby', 'toiduainete', 'mõtlemisainet', 'toitainete', 'söök', 'toitaine', 'toidud']
garbage	prügikasti	Found close match: ['prügi']	['olmejäätmete', 'jäätmed', 'jääde', 'rämps', 'prügi', 'majapidamisjäätmed', 'olmejäätmed', 'jäätmeid', 'tahkete_jäätmete', 'toidujäätmete', 'sissekannet', 'withering_to_death', 'vanarauda', 'toidujäätmed', 'keelduma', 'praht', 'olmeprügi', 'garbage', 'jäätmete', 'vanametall', 'metallijäätmed']
gold	hõbedale	Incorrect	['sertifitseeritud_kulla', 'plaatina', 'alfa_test', 'sandhja', 'plaatina_sertifitseerimine', 'olümpiakulla', 'gold', 'plaatina_plaadi', 'avalik_beeta', 'kuldmedalit', 'väljaanne', 'kollane', 'lode_gold', 'kulda', 'multiplaatina', 'avatud_beeta', 'suletud_beeta', 'beetatestija', 'beeta_tarkvara', 'wanna_one', 'alfaversioon', 'plaatina_album', 'prealpha', 'tarkvara_väljalaske_elutsükkel', 'alfa_versioon', 'kolmekordne_plaatina', 'tarkvara_elutsükli', 'testversioon', 'aatomi_number_79', 'kuldmedalist', 'beeta_testi', 'topelt_plaatina', 'kuld', 'muusika_müüki_sertifitseerimise', 'kuldse_rekord', 'bobby_brown', 'release_candidate', 'kuldmedal', 'kuldmedali', 'beetaversiooni', 'alfa_tarkvara', 'the_heist', 'kuld_album', 'beta_test', 'arenguetapp', 'plaatina_rekord', 'kulla_rekord', 'kullast', 'kulla', 'emakeelena_kuld', 'young_lust_the_aerosmith_anthology', 'anthology', 'kuldne_rekord', 'väljalase_tootjatele']
great	suur	Match	['ülevus', 'suure', 'suur', 'kuulsus']
gun	kergekuulipilduja	Incorrect	['tulirelva', 'tabanud_mees', 'relvavõitleja', 'püss', 'tulirelv', 'palgamõrtsuka', 'palkkamurhaaja', 'hitman', 'väikearm', 'käsirelvade', 'gaasipedaal', 'gunfighting', 'käsitulirelv', 'gunslingers', 'conventional_weapons', 'gun', 'relvad', 'relv', 'gaasipedaali', 'väike_arm', 'relva_rendi', 'rasvagun', 'louder_than_love', 'raskerelvade', 'väikerelvade', 'triggerman', 'gunslinger', 'tulirelvade', 'tulirelvad']
hair	juuksekarva	Found close match: ['juuksed']	['hair', 'soeng', 'jõhvriie', 'hairsbreadth', 'juuksed', 'karvane', 'hairslaius', 'juustest', 'karvad']
help	aidata	Match	['abiline', 'aidata', 'the_help', 'aidake', 'humanitaarabi', 'assistent', 'abi_töötaja', 'abistama', 'toimeabi', 'aitamine', 'abitöötajate', 'abi', 'spikker', 'online_abi', 'appi', 'abistamine', 'koduabiline', 'aitama', 'kasu', 'aitab', 'abiga', 'help']
hurting	pahandab	Not found	[]
ignorance	moraalimõtlemine	Incorrect	['ignorantsus', 'teadmatus', 'asjatundmatus', 'avidya', 'võhiklikkus', 'ignorance']
illness	haigushoo	Found close match: ['haigus', 'haigusi', 'haiguse']	['haigusliku', 'haiguse', 'haigusi', 'haigus', 'meditsiiniline_haigus', 'tõbi', 'haigestumuse_tase', 'halva_enesetunde', 'meditsiiniline_seisund']
impress	imestada	Incorrect	['ajakirjandusne', 'muljet', 'sundvõõrandamine', 'muljet_avaldama']
invention	leiutamine	Found close match: ['leiutised', 'leiutis', 'leiutas']	['leiutas', 'inventsioon', 'leiutada', 'leiutised', 'leiutajad', 'leiutis', 'uuendusi', 'innovatsioon', 'innovatsiooni', 'uuendus']
investigation	uurimine	Match	['teadlased', 'teadusuuring', 'uurimisel', 'uuring', 'teaduslik_uurimus', 'uurimine', 'akadeemilised', 'uurimus', 'algupäraseid_teadusuuringuid', 'uurimistöö']
invisible	nähtamatu	Match	['holy_diver', 'elevate', 'invisible', 'põrandaga', 'taylor_swift', 'nähtamatus', 'sound_of_white_noise', 'nähtamatu', 'dream_evil', 'nähtamatud', 'evilized']
job	oskustööline	Incorrect	['töökoht', 'tööandjate', 'palkama', 'äri', 'teenistus', 'elukutse', 'personali', 'tööhõive', 'kutse', 'iiob', 'koristustöö', 'liini_töö', 'takistus', 'amet', 'leping_tööjõudu', 'kitsikus', 'tegevusala', 'ülesanne', 'bréville_jacques_onfroy_de', 'okupatsioon', 'iiobi_raamat', 'mure', 'tegemata_töö', 'probleem', 'job', 'töö', 'ärindus', 'küsimus', 'ettevõte', 'tööelus', 'päev_tööd']
jungle	vihmametsadest	Incorrect	['shine_a_little_love', 'oldschool_jungle', 'out_of_the_blue', 'vanakooli_jungle', 'jungle', 'džungel', 'džunglisse', 'hulkur_laagris']
kindness	ligimesearmastus	Not found	[]
king	kuningas	Match	['suurtööstur', 'maailma_parim', 'kroonitud_pea', 'monarhiast', 'riley_b_king', 'magnates', 'reverend_horton_heat', 'tippjuht', 'tööstur', 'rex', 'laevandus_magnaat', 'monarhide', 'ainuvalitseja', 'billie_jean_king', 'bb_king', 'martin_luther_king', 'george_king', 'kunn', 'töösturid', 'magnaat', 'domineeriv', 'billie_jean_moffitti_king', 'monarhiline', 'b_b_king', 'kingcom', 'charles_bird_king', 'martin_luther_king_jr', 'ettevõtte_juht', 'kuningas', 'monarkkinen', 'king_ov_hell', 'king', 'saematerjali_parun', 'suveräänne', 'suur_ärimees', 'monarh', 'kuningavõimu', 'monarhia', 'suurärimees', 'äri_suurärimees', 'mees_monarh']
lady	leedi	Match	['pealkirja_suhtes', 'neitsi', 'püha_maria', 'teos', 'säätyläisnainen', 'püha_maarja', 'leedi', 'neitsi_maarja', 'neiu', 'lady', 'daam', 'vormis_aadress', 'naispeer', 'daamid', 'tiitel', 'püha_neitsi', 'pühima_neitsi', 'pealkiri', 'maarja', 'aadlik', 'proua', 'leedi_ja_lontu', 'the_lady', 'lady_and_the_tramp', 'dame']
