ability	yeteneğin	Found close match: ['yeteneği', 'yetenek']	['yetenek', 'yeteneği']
bird	kuş	Match	['kuş_parker', 'alay_etmek', 'zamparalık_etmek', 'mikuni_shimokawa', 'yardbird_parker', 'civciv', 'afet', 'piliç', 'aves', 'avafauna', 'charlie_parker', 'kuşlar', 'bomba', 'bebek', 'avifauna', 'badminton_topu', 'bird', 'kuş', 'roosting', 'kus', 'charles_christopher_parker', 'fıstık', 'razzing', 'parmak', 'yuhalama']
blood	kan	Match	['kalıtım', 'oksijenli_kan', 'kalıtsal', 'bordo_şarabı', 'genetik_miras', 'bordeaux_şarap', 'kan', 'the_black_parade', 'blood', 'persistence_of_time', 'bordeaux', 'kan_hattı', 'hematolojik', 'zampara', 'kan_doku', 'getting_away_with_murder', 'vs', 'collective_soul', 'rakehell']
body	vücudunun	Incorrect	['cisim', 'kadavra', 'fiziksel_cisim', 'vücut', 'kuru', 'leotard', 'coachbuilder', 'el_cuerpo', 'gövde', 'ceset', 'catsuit', 'tek_parça_streç_giysi', 'gazete_makalesi', 'stypsis', 'cesetleri', 'organik_yapısı', 'alıcı', 'üzerine_gelmek', 'fet', 'denge', 'politop', 'fiziksel_yapı', 'meyve', 'tek_parça_iç_çamaşırı', 'alan_etkili_transistör', 'soundbox', 'naaş', 'punto', 'haber', 'minerality', 'beden', 'beden_takım_elbise', 'heykel_gövdesi', 'alan_etkili_transistörler', 'leş', 'politopunun', 'body', 'makale', 'teairra_marí', 'oto_gövde', 'eubstance', 'kapı', 'bodysuit', 'tulum_şeklinde_daracık_giysi', 'unitard']
brain	beynin	Found close match: ['beyin', 'beyin_gücü']	['banks', 'zihin', 'beyin_gücü', 'başını', 'dahi', 'öğrenme_yeteneği', 'organik_işlemci', 'gerekçe', 'brain', 'ansefal', 'akıl', 'bryan_mantia', 'müfettiş_gadget', 'beyin_anatomisi', 'zihinsel_kapasite', 'dâhi', 'brainiac', 'dedektif_gadget', 'dimağ', 'beyin', 'deha', 'nous']
broken	kırık	Match	['ms_kelly_deluxe', 'ms_kelly', '12_stones', 'winterhearts_guild', 'plastic_beach', 'kırılmış', 'kırgın', 'the_best_of_bruce_dickinson', 'hatalı', 'kırıldı', 'echo', 'kırık', 'delta_machine', 'bozuk', 'broken', 'ms_kelly_diva_deluxe']
building	bina	Match	['yapı_sektörü', 'yapı', 'i̇nşaat', 'şantiye', 'bina', 'inşaat', 'kamu_binaları', 'inşaat_sektöründe', 'kamu_binası', 'inşa']
burn	yakmak	Match	['akarsu', 'eritem_solare', 'fc_dallas', 'işareti_yanık', 'yanmak', 'güneş_yanığı', 'üçüncü_derece_yanık', 'yanık', 'yansın', 'yak', 'yangınlar', 'suyolu', 'burn', 'dere', 'tan', 'yan', 'kanlı_ada', 'yanar', 'ateşin_bulunması', 'yanan', 'yakmak', 'ateş', 'ateşin_icadı', 'od', 'ruisseau', 'bronzlaşmak', 'i̇syan', 'yangın', 'alev', 'üçüncü_derece_yanıklar', 'queimada', 'kıvılcım', 'hysteria']
business	işletme	Match	['iş_kaygısı', 'işletmeler', 'i̇şletme', 'iş_sektörü', 'bağımsız_yüklenici', 'satıcı', 'müşteri', 'business', 'iş_döngü', 'byplay', 'meslek', 'şirket', 'müşteriler', 'kar_için', 'şirketler_hukuku', 'ticaret', 'iş_sistemi', 'işletme', 'iş', 'iş_organizasyonu', 'iş_hat', 'aşamasında_iş']
camera	kameralar	Match	['sinema_filmi_kamera', 'the_back_room', 'sinema_kamerası', 'kamera', 'televizyon_kamerası', 'tv_kamera', 'film_çekme_kamerası', 'kameralar', 'profesyonel_video_kamera', 'camera', 'fotoğraf_makinesi']
carefully	dikkatlice	Match	['dikkatlice', 'dikkatle', 'özen', 'endişe', 'kaygı', 'dikkatli', 'tasa']
challenge	kazananını	Incorrect	['meydan_okumayanıt_kimlik_doğrulama', 'meydan', 'meydan_okumayanıt']
charity	dernek	Incorrect	['sadaka', 'kardeşçe_sevgi', 'polemonium_vanbruntiae', 'polemonium_caeruleum', 'polymonium_caeruleum_vanbruntiae', 'charity', 'yardım_kuruluşudur', 'hayırsever_statüsünü', 'kamu_sadaka', 'hayır_kurumu']
charming	yakışıklı	Incorrect	['etkileyici', 'büyüleyici', 'çekici', 'charming']
clothes	giysileri	Found close match: ['giysiler', 'giysi', 'giyilebilir']	['giyecek', 'giyimkuşam', 'kıyafetler', 'üst', 'giyim_makalede', 'womenswear', 'giysi', 'giyim_eşyası', 'giyim', 'örtüler', 'kılık_kıyafet', 'giysiler', 'kılık_ve_kıyafet', 'habiliment', 'kıyafet', 'giyilebilir', 'kıyafetleri', 'elbise', 'elbiseler', 'giyim_kuşam']
cockroach	hamamböceği	Match	['alttakım_blattaria', 'hamamböceği', 'hamam_böceği', 'blattaria', 'cockroach', 'blattodea', 'kakalak', 'alttakım_blattodea']
code	kodu	Match	['kodifikasyon', 'şifre', 'kodları', 'bilgisayar_kodu', 'kod', 'kodu', 'zamanlamak', 'şifrelemek', 'kodlanmış']
collection	koleksiyonu	Match	['mazharfuatözkan', 'mazhar__fuat__özkan', 'küme', 'borç_tahsildarı', 'kapsayıcı', 'hawkwind', 'mazhar_fuat_özkan', 'özet', 'mfö', 'koleksiyon_ajansı', 'agregasyonu', 'akon', 'antikacılık', 'koleksiyon', 'birleştirme', 'aliaune_thiam', 'joe_sample', 'koleksiyoner', 'sanat_koleksiyonları', 'ürün_donatılacak', 'collection', 'hasat', 'the_charlatans', 'mazhar–fuat–özkan', 'derleme', 'the_offspring_collection', 'kitap_serisi', 'koleksiyonu', 'konteyner', 'paket_satış', 'toplama', 'sanat_koleksiyonu']
computer	bilgisayar	Match	['bilgisayarda_oluşturulan_müzik', 'tahminci', 'bilgisayar_teknolojisi', 'bilgisayar_müzik', 'insan_bilgisayar', 'bi̇lgi̇sayar_nedi̇r', 'bilgi_işleme_sistemi', 'computer', 'ordinatör', 'hesap_makinesi', 'bilgisayar_cihazı', 'bilgisayar_sistemi', 'bilgisayarların_gelişimi', 'genel_amaçlı_bilgisayar', 'bilgisayar', 'figurer', 'bilgsayar', 'bilgisayar_sistemleri', 'bilgisayarlar', 'veri_işlemcisi', 'elektronik_bilgisayar', 'kompüter', 'dijital_bilgisayar', 'örneksel_bilgisayar', 'i̇nsan_bilgisayar', 'bilgiyayar']
construction	inşaatı	Found close match: ['inşaat', 'i̇nşaat', 'inşa']	['dilbilgisel_yapı', 'yapı_sektörü', 'yapı', 'model', 'runescape', 'i̇nşaat', 'şantiye', 'rs', 'modeli', 'inşaat', 'inşaat_sektöründe', 'yapısı', 'zihinsel_sentezi', 'inşa']
cook	cook	Match	['kısasipariş_aşçı', 'komisyonu_şef', 'cook', 'kaptan_james_cook', 'sofra_kurmak', 'aşçı', 'james_cook', 'şef', 'kısa_sipariş_aşçı', 'pişirmek', 'yemek', 'çook', 'captain_cook', 'hazırlamak', 'souschef', 'şefler', 'cook_minnesota', 'executive_şef', 'frédérick_cook']
counting	sayılarına	Found close match: ['sayılandırma', 'sayarak']	['numaralandırma', 'saymak', 'sayılandırma', 'liste', 'sayma', 'saymaya', 'sayısal_sistem', 'sayım', 'sayarak', 'sayıyorum']
crazy	çılgın	Match	['crazy', 'delılıq', 'çılgın', 'usher', 'delilik', 'looney', 'because_of_you', 'famous_last_words', 'erika_jayne', 'playing_with_fire', 'manyak', 'loca', 'deli', 'deliyim', '(you_drive_me)_crazy', 'kaçık', 'the_red_album', 'kuduruk']
damage	hasara	Found close match: ['hasar']	['zarar', 'ziyan', 'fiyat', 'perakende_fiyat', 'adli_haksızlık', 'damage', 'hasar', 'ekipman_kaza', 'prix_de_detail', 'perakende_fiyatı', 'bozulmak']
dance	dans	Match	['dansçı', 'dans_partisi', 'postdisko', 'dancé', 'dans_etmek', 'postdisco', 'dans_müziği', 'waterloo', 'dansçılar', 'dance', 'dans', 'dansları', 'dans_müzik', 'oliver_heldens']
dangerous	tehlikeli	Match	['ultimate_cheska', 'tehlikeli', 'she_drives_me_wild', 'riskli', 'dangerous', 'its_hard', 'tehlikelidir']
deceive	yanıltmak	Not found	[]
dedication	şerefine	Incorrect	['dedication', 'adanmışlık', 'ithaf', 'özveri']
deliberately	kasıtlı	Match	['bilerek', 'kasten', 'kasıtlı']
delivery	teslimat	Match	['vasıta', 'alay_etmek', 'seyrani', 'kurtarmak', 'teslimat', 'doğum', 'delivery', 'ulaşım', 'vatandaslik', 'yasal_aktarımını', 'taşımacılık', 'teslimat_çocuk', 'konuşma_şeklini', 'eve_teslim', 'taşıt', 'araç', 'blade_the_series', 'vajinal_doğum', 'getiren', 'teslim', 'obstetrik_teslimat', 'kurtuluş', 'fikra', 'şaka', 'çocuk_doğurma', 'doğumla', 'nakliyat', 'taşıma', 'kurtarma', 'ulasim', 'fıkra', 'emek_ve_teslimat', 'devredilebilir', 'şakacı', 'yabancılaşma', 'loğusalık']
dessert	peynirli	Incorrect	['tatlılar', 'tatlı_şaraplar', 'tatlı', 'tatlı_şarap']
device	cihazında	Found close match: ['cihaz']	['device', 'donanım', 'telefon', 'mobil', 'aygıt', 'sermaye_ekipmanları', 'cep', 'taşınabilir_telefon', 'hücresel_haberleşme', 'cep_telefonları', 'configsys', 'cihaz', 'kişisel_bilgisayar_donanım', 'bilgisayar_donanım', 'hücresel_telefon', 'cep_telefonlarının_zararları', 'makine', 'cep_telefon', 'mobil_iletişim', 'kablosuz_telefon', 'bilgisayar_donanımı', 'makina', 'cep_telefonu', 'mobil_telefon', 'makineleri']
dig	kazmak	Match	['arkeolojik_sit', 'kaz', 'kazın', 'dokundurmak', 'kazmak', 'uyuşmak', 'anlamak', 'kazma', 'dig', 'kavramak', 'kazı']
dinner	yemeğinde	Found close match: ['öğle_yemeği']	['öğle', 'çay', 'yemekli_toplantı', 'teatime', 'yemek', 'tiffin', 'bardak_çay__was_bardak_çay__assumed_sumofparts_if_an_idiom', 'dejeuner', 'öğle_yemeği', 'akşam_yemeği', 'ikindi_kahvaltısı', 'ikindi_çayı']
disease	hastalık	Match	['begowal', 'huzursuzluk', 'sağlık_sorunu', 'hastalıklar', 'maraza', 'sayrılık', 'morbidite_oranı', 'marazi', 'hastalık', 'marazlık', 'maraz', 'plörezi', 'plörit', 'tıbbi_durumdur', 'zatülcenp']
dissolve	çözeltiyi	Not found	[]
disturb	dengede	Not found	[]
do	bulmadığımı	Not found	[]
doctor	doktor	Match	['bilim_doktoru', 'doktor_kim', 'birinci_doktor', 'savaşçı_doktor', 'fahri_doktora', 'tamir_etmek', 'altıncı_doktor', 'araştırma_doktora', 'savaş_doktoru', 'i̇kinci_doktor', 'doctor', 'doktor', 'sağlık_memuru', 'yüksek_doktora', 'üçüncü_doktor', 'cerrahlar', 'onarmak', 'dr', 'eliza', 'tabip', 'onuncu_doktor', 'yedinci_doktor', 'sekizinci_doktor', 'on_i̇kinci_doktor', 'loïc_nottet', 'ameliyatı_yapan_cerrahın', 'doctorat', 'dokuzuncu_doktor', 'yapmak', 'profesyonel_doktora', 'hekim', 'on_üçüncü_doktor', 'doktora_dereceleri', 'doktora_anlamına', 'doctor_who', 'beşinci_doktor', 'on_birinci_doktor', 'dördüncü_doktor', 'doktora_derecesi', 'kilise_büyüğü', 'doktora', 'on_ikinci_doktor', 'cerrah', 'tıp_doktoru', 'phd']
dog	köpek	Match	['i̇t', 'wienerwurst', 'tetik', 'peşinden_koşmak', 'köpekgil', 'familiaris', 'ocak_ayaklığı', 'canis_familiaris', 'hot_dog', 'canidste', 'weenie', 'kanid', 'köpek', 'ocak_ayağı', 'köpek_demir', 'kuçu_kuçu', 'doktor_wallace_breen', 'yerli_köpek', 'wallace_breen', 'ev_köpeği', 'canidae', 'd0g', 'küfretmek', 'duck_hunt', 'kovalamak', 'canis_lupus_familiaris', 'halflife_karakterleri_listesi', 'father_grigori', 'andiron', 'baharatlı_alman_sosisi', 'kastanyola', 'hotdog', 'dog', 'köpekler', 'kilit', 'sosisli', 'köpek_eti', 'demir_ayakklık', 'aile_canidae', 'arne_magnusson', 'eli_vance', 'sosisli_sandviç', 'köpekgiller', 'kocakarı']
dressing	giyinme	Match	['giyim_makalede', 'kıyafet', 'salata_sosu', 'giyimkuşam', 'giyim', 'dolgu', 'habiliment', 'pansuman', 'kıyafetleri', 'doldurma', 'giyinmek', 'giysi', 'kılık_kıyafet', 'iç', 'kılık_ve_kıyafet', 'giyim_kuşam', 'giyecek', 'üst', 'womenswear', 'bandajlama', 'giyinme', 'giyilebilir']
driver	sürücüsü	Match	['orman', 'şöför', 'orman_formasyonu', 'sürüş_tekerlek', 'kamyon_sürücüleri', 'iğne_yapraklı_orman', 'chauffer', 'ormanın_faydaları', 'device_driver', 'bir_numaralı_ahşap', 'şoför', 'driver_san_francisco', 'aygıt_sürücüleri', 'yazıcı_sürücüsü', 'yazılım_sürücüsü', 'pilot', 'kamyon_sürüş', 'cowcatcher', 'donanım_sürücü', 'donanım_sürücüsü', 'tir_şoförü', 'driver', 'aygıt_sürücü', 'kamyoncu', 'aygıt_sürücüsü', 'ormanda', 'sürücüsü', 'galeri_ormanı', 'ormanlık', 'orman_çeşitleri', 'sürücü', 'ormanlar', 'bostancı']
economy	ekonominin	Found close match: ['ekonomisi', 'ekonomi', 'ekonomik']	['politik_ekonomi', 'ekonomik_sistem', 'ekonomik_sistemler', 'walden', 'tutumluluk', 'i̇ktisadî', 'siyasal_ekonomi', 'ekonomi_politik', 'ekonomik_faaliyet', 'i̇ktisad', 'ekonomi_bilimi', 'siyasi_iktisat', 'tutum', 'i̇ktîsat', 'i̇ktisadi', 'ekonomik', 'iktisat', 'siyasi_ekonomi', 'ekonomisi', 'tasarruf', 'politik_iktisat', 'tasarruf_oranı', 'kaynak_kullanımı', 'ekonomik_aktivite', 'ekonomik_faaliyetler', 'economy', 'i̇ktisât', 'siyasal_iktisat', 'politik_i̇ktisat', 'i̇ktisat', 'ekonomi', 'kaynak_kullanım_bilimi']
election	seçimlerde	Found close match: ['seçimler', 'seçim_emri', 'seçim']	['seçmen', 'seçimler', 'saylav', 'election', 'yeniden_seçilmeyi', 'seçim_yargısı', 'seçim', 'yeniden_seçim', 'demokratik_yollardan_seçilen', 'seçim_emri']
electron	elektronları	Found close match: ['elektronlar', 'elektron', 'electron']	['eksicik', 'electron', 'negatron', 'elektronlar', 'elektron']
elegance	güzellikle	Found close match: ['güzellik', 'güzel', 'klasik_güzellik']	['güzellik', 'zarif', 'dekoratif', 'klasik_güzellik', 'karlgeorg_hoefer', 'nadide_şey', 'güzel', 'zarafet']
emotion	duygudan	Found close match: ['duygu', 'duygusal', 'duygular']	['duygusal', 'emotion', 'duygular', 'duygu', 'his', 'human_after_all']
emotionally	duygusal	Not found	[]
engine	motoru	Match	['lokomotifler', 'motor_silindiri', 'yazılım_motoru', 'otomobil_motorları', 'video_oyun_motoru', 'yazılım_altyapısı', 'yazılım_temeli', 'motorlar', 'otomobil_motoru', 'oyun_motorları', 'demiryolu_lokomotif', 'motoru', 'ray_alder', 'lokomotif', 'oyun_motoru', 'engine', 'binek_araçlarında_güç_üretim_teknolojisi', 'motor', '3d_motoru', 'demiryolu_altyapısı']
event	etkinlikte	Found close match: ['etkinlik', 'etkinliği', 'etkisi']	['tuşlara_basma', 'etkinlik', 'program_olayı', 'hadise', 'tuş', 'kulaklık', 'olay', 'etkinliği', 'sonuç', 'olay_işleme', 'vaka', 'olay_işleyicisi', 'sonucu', 'akıbet', 'etkisi', 'netice', 'dinleyici', 'etki']
experiment	deneyler	Found close match: ['deney', 'deneysel', 'deneme']	['deneysel', 'the_experiment', 'deney_grubu', 'deneysel_bilimin', 'experiment', 'deneme', 'bilimsel_deney', 'deney', 'tecrübe', 'deneysel_araştırma']
extremely	çok	Not found	[]
feeling	duyguları	Found close match: ['duygular', 'duyarlı', 'duygu']	['hissetmek', 'hassas', 'hissediyor', 'his', 'somatosensoriyel', 'sesi', 'duyarlı', 'dokunsal_geribildirim', 'izlenim', 'hissetme', 'duygusal', 'dokunsal', 'duygu', 'somatosensoriyel_sistemi', 'ruhu', 'dokunma', 'duygular', 'sezgisel_hissi', 'dokunma_duyusu', 'dokunma_hissi', 'hissediyorum']
fight	dövüşerek	Found close match: ['dövüşmek', 'dövüş', 'dövüşün']	['savaş', 'çatışma', 'çatışmalar', 'askeri_nişan', 'dövüşmek', 'mücadele', 'rekabet', 'nişan', 'kavga_etmek', 'harp', 'savaşmak', 'muharebe', 'boğuşmak', 'kavga', 'müsademe', 'dövüş', 'dövüşün', 'dramatik_anlaşmazlık', 'çakışma', 'karşı', 'silahlı_mücadele', 'fight']
fish	balık	Match	['fish', 'balik', 'balık_avlamak', 'balıklar', 'yüzgeçli', 'go_fish', 'balıg', 'balýk', 'tablo_balık_edilir', 'balık', 'balık_balıklar', 'balıklar_suda_nasıl_yaşar', 'ichthyofauna', 'pisces', 'pterygiophore', 'balık_eti', '♓', 'balık_yakalamak', 'küçük_balık', 'gıda_balık', 'phish', 'balık_burcu', 'elver', 'deniz_balıkları', 'yavru']
flow	akış	Match	['aybaşı_kanaması', 'akış_hızı', 'akışkan_dinamiği', 'akışkanlar_dinamiği', 'repçi', 'sıvı_mekaniği', 'hidrolik_ana_bilim_dalı', 'hacimsel_akış', 'ritmik_şiir', 'menstrüasyon', 'menstruasyon', 'menstural_siklus', 'akış_kuramı', 'rapper', 'ağ', 'rapçiler', 'hidrolik', 'rap', 'hidrolik_basınç', 'akar', 'akış', 'âdet_kanaması', 'akışkan_hareketi', 'rap_sanatçısı', 'âdet_dönemi', 'hayız', 'akışkanlar_mekaniği', 'hidrolik_mühendisi', 'rep', 'hidrolik_anabilim_dalı', 'gravity_recovery_and_interior_laboratory', 'young_money_entertainment', 'florent_mothe', 'flow', 'catamenia', 'emceeing', 'akışı', 'protorap', 'mensturasyon', 'aybaşı', 'adet', 'âdet', 'akış_ağı', 'adet_kanaması', 'akarsu_debisi', 'artırmada_yolu', 'ağ_akışı', 'rap_müzik', 'hidrodinamik', 'akışkan_fiziği', 'menstürasyon', 'hacimsel_debi', 'regl', 'akan', 'debi', 'rapçi', 'akım', 'sıvı_dinamikçiye']
food	yiyecek	Match	['azık', 'fikrî_gıdayı', 'aş', 'yiyecek', 'besinler', 'katı_gıda', 'düşünce_için_yiyecek', 'yiyecekler', 'gıda', 'yemek', 'yemekler', 'macronutrients', 'kirby', 'gıda_ürünleri', 'gıdalar', 'makrobesin', 'besin']
garbage	çöp	Match	['çöp', 'withering_to_death', 'atıklar', 'evsel_atık', 'madde_atık', 'atık_madde', 'atık', 'yemek_atıkları', 'çöplük', 'atıkların', 'garbage', 'hurda_demir', 'süprüntü', 'çöpler', 'katı_atık', 'hurda', 'kırıntı']
gold	altın	Match	['anthology', 'alfa_testi', 'platin_albüm', 'altin', 'yazılım_sürümü_yaşam_döngüsü', 'sandhja', 'lode_altın', 'platin', 'gold', 'altın_tek', 'altın_sarısı', 'atom_numarası_79', 'olimpiyat_altın_madalya', 'robert_barisford_brown', 'alfa_yazılımı', 'beta_sürümü', 'beta_tester', 'altın_disk', 'platin_plak', 'altın_madalyalı', 'üretici_sürümü', 'nabit_altın', 'çift_platin', 'sürüm_adayı', 'au', 'yayın', 'altın_rengi', 'barisford_brown', 'altın_madalya', 'altınlar', 'wanna_one', 'albüm_satış_sertifikası', 'altunî', 'platin_sertifika', 'yazılım_yaşam_döngüsü', 'multiplatin', 'kehribar_rengi', 'müzik_kayıt_satış_belgesi', 'altın', 'açık_beta', 'sarı', 'bobby_brown', 'beta_yazılım', 'the_heist', 'platin_disk', 'altun', 'altuni', 'geliştirme_aşamasında', 'halka_açık_beta', 'elmas_rekor', 'alfa_sürümü', 'üçlü_platin', 'beta_testi', 'önalfa', 'young_lust_the_aerosmith_anthology', 'kapalı_beta', 'altın_albüm', 'altın_sertifika', 'altın_plak']
great	büyük	Match	['harika', 'büyüklük', 'illustriousness', 'büyük']
gun	makineli	Incorrect	['silah_dükkanı', 'küçük_kol', 'ağır_silah', 'gaz_pedalı', 'silahı', 'kiralık_silah', 'ateşli_silahlar', 'tabanca', 'hitman', 'gunfighting', 'conventional_weapons', 'ateşli_silah', 'silah', 'gun', 'silahşor', 'silahşör', 'tetikçi', 'silâhlı_soyguncu', 'japonyanın_ilçeleri', 'gres_tabancası', 'adam_vurdu', 'louder_than_love', 'küçük_silah']
hair	saç	Match	['tüy', 'kafa_saç', 'hair', 'saç', 'ayva_tüyü', 'keçe', 'bırak_güneş_içeri_girsin', 'saç_dökülmesi', 'hairsgenişliği', 'kıl', 'kıllar', 'saç_bakımı', 'hairsbreadth', 'saçlar', 'sac', 'saç_folikülü', 'saç_rengi']
help	yardımım	Found close match: ['yardımcı', 'yardım', 'yardımcı_olmak']	['yardım_görevlisi', 'yardımcı_olamaz', 'servis_yapmak', 'ministration', 'yardım_etmek', 'the_help', 'muavin', 'yaramak', 'yardımcı', 'asistan', 'yardım_çalışmaları', 'yardım', 'yardımcı_olmak', 'yardim', 'çevrimiçi_yardım', 'duyguların_rengi', 'help', 'insani_yardım', 'imdat']
hurting	alıkoyamaz	Not found	[]
ignorance	inançsızlık	Incorrect	['bilgisizlik', 'cehalet', 'cahillik', 'ignorance']
illness	hastalıktan	Found close match: ['hastalık', 'hastalıklar']	['huzursuzluk', 'sağlık_sorunu', 'hastalıklar', 'sayrılık', 'morbidite_oranı', 'marazi', 'hastalık', 'marazlık', 'maraz', 'maraza', 'tıbbi_durumdur']
impress	kıskandırmak	Incorrect	['basın_çeteler', 'etkilemek', 'basınçete', 'impressment']
invention	mucidi	Found close match: ['mucid', 'mucit']	['yeni_değerleri_oluşturmak', 'yeni_değerler_oluşturmak', 'i̇navasyon', 'i̇cad', 'teknolojik_yenilik', 'mucid', 'buluş', 'yenilikler', 'mucit', 'i̇novatif', 'icat', 'yenileşim', 'yenileşme', 'i̇cat', 'yenilikçi', 'yenilik', 'i̇nnovasyon', 'i̇novasyon', 'mucitler']
investigation	soruşturma	Match	['araştırma_yöntemleri', 'tahkikat', 'araştırmacılar', 'akademik_araştırma', 'soruşturma', 'araştırma']
invisible	görünmez	Match	['görünmeyen', 'görünmezlik', 'elevate', 'katlı', 'holy_diver', 'invisible', 'taylor_swift', 'görünmez', 'sound_of_white_noise', 'dream_evil', 'evilized']
