ability	capacités	Found close match: ['capacité']	['adresse', 'habileté', 'capacité', 'faculté', 'intelligence', 'aptitude', 'habilité', 'pouvoir']
bear	ours	Match	['tu20_bear', 'supporter', 'communauté_de_lours', 'acquitter', 'avoir', 'paul_hoffman', 'se_résigner', 'ours_dans_la_mythologie_nordique', 'tremarctinae', 'bear', 'ours_dans_la_culture', 'ursine', 'rester', 'attendre', 'contenir', 'webelos', 'communaute_bear', 'porter', 'de_force', 'déporter', 'prêter', 'retenir', 'tupolev_tu20', 'produire', 'subir', 'ursidae', 'tu142', 'demeurer', 'résulter', 'se_tenir', 'prendre', 'exercer', 'assumer', 'observer', 'tenir', 'tu20', 'tu95142', 'accoucher', 'payer', 'ourse', 'ailuropodinae', 'baissier', 'mike_brown', 'bears', 'endosser', 'admettre', 'supposer', 'expulser', 'soumettre', 'adopter', 'renfermer', 'accomplir', 'marché_baissier', 'maître_martin', 'tupolev_tu95_bear', 'donner', 'saccorder_avec', 'ursidé', 'tupolev_tu20_bear', 'revêtir', 'mettre_au_monde', 'endurer', 'donner_naissance', 'ours', 'charge', 'avoir_une_brioche_au_four', 'souffrir', 'tupolev_tu95142_bear', 'continuer', 'détenir', 'recevoir', 'aboutir', 'soutenir', 'tupolev_tu95', 'atteindre', 'uss_bear', 'communauté_bear', 'respecter', 'accepter', 'tupolev_tu116', 'tolérer', 'se_comporter', 'ursidés', 'tu95']
beat	battant	Found close match: ['battement', 'battu', 'battre']	['battement', 'rythmes', 'gagner', 'jet_grind_radio', 'tempo_musical', 'heurter', 'fréquence_battement', 'abasourdir', 'beatnik', 'effarer', 'abattre', 'palpiter', 'battu', 'étonner', 'compteur_poétique', 'consterner', 'défaire', 'jet_set_radio', 'faire_la_vaisselle', 'schéma_métrique', 'mètre', 'stupéfier', 'surmonter', 'mesurer', 'beat_records', 'unité_rythmique', 'rhythme', 'rythme_musical', 'méduser', 'temps', 'phénomène_de_battement', 'siteswap', 'poulz', 'rithme', 'éberluer', 'mort', 'pouls', 'battez', 'compteur_quantitative', 'métrique_quantitative', 'tique', 'offbeat', 'ébahir', 'dominer', 'pulsation', 'metrique', 'tambouriner', 'vaincre', 'rythmique', 'frémir', 'mesure', 'rond', 'métrique', 'cadence', 'rythme', 'battre', 'claqué', 'eating_disorders_association', 'ronde', 'ahurir', 'tabasser', 'verset_quantitative', 'pulsation_du_cœur', 'tempo', 'crevé', 'étape', 'beat']
bed	baignoire	Incorrect	['avoir', 'couche', 'planche', 'lit_ordinaire', 'couture', 'avoir_des_relations_sexuelles', 'enculer', 'bed', 'parterre', 'hyperphagie', 'faire_zizipanpan', 'savoir', 'lit_du_ruisseau', 'lit_de_cours_deau', 'jouer_à_zizipanpan', 'syndrome_dhyperphagie_incontrôlée', 'streambed', 'bien', 'litcage', 'forniquer', 'foutre', 'enconner', 'faire_lamour', 'pieuter', 'lit_de_la_rivière', 'massif', 'plaine_inondable', 'lit_mineur', 'faire_craccrac', 'baiser', 'se_coucher', 'veine', 'plan_de_stratification', 'plaines_inondables', 'lit_cage', 'lit', 'lit_de_rivière', 'gisement', 'coucher', 'niquer', 'lever', 'copuler', 'aimer', 'lit_à_barreaux', 'plumard', 'hyperphagie_boulimique', 'connaître', 'fourrer']
beer	bière	Match	['campaign_for_real_ale', 'bière_anglaise', 'ale', 'industrie_brassicole', 'beer', 'binouze', 'biere', 'the_selling_of_america', 'secteur_de_brasserie', 'bières', 'cratère_beer', 'johann_georg_beer', 'bière']
big	big	Match	['supérieur', 'big_the_musical', 'libéral', 'lourd', 'nombreux', 'minéralité', 'magnanime', 'gros', 'astringence', 'grand', 'vantard', 'majeur', 'adulte', 'bjarke_ingels_group', 'large', 'grande', 'grosse', 'beau', 'fruits', 'mr_big', 'stypsis', 'fanfaron', 'grandement', 'sec', 'généreux', 'corps', 'petit_bonhomme', 'orgueilleuse', 'gravide', 'running_on_karma', 'hâbleur', 'big', 'bibliothèque_de_la_place_guisan', 'mûr', 'bibliothèque_am_guisanplatz', 'vaniteux', 'descripteurs_du_vin', 'brassmunk', 'orgueilleux', 'équilibre', 'norm_nixon', 'enceinte']
bird	oiseau	Match	['nourrisson', 'hou', 'oiseau_parker', 'volant', 'doigt_d’honneur', 'yardbird', 'minette', 'ma_belle', 'mikuni_shimokawa', 'repos', 'avifaune', 'yardbird_parker', 'fille', 'jupe', 'edward_bird', 'bébé', 'poupée', 'volatile', '9_que_shimokawa_mikuni_self_cover_album', 'aves', 'volaille', 'lady_bird', 'avafauna', 'oiseaux', 'oiselle', 'navette', 'néornithe', 'sœur', 'doigt_dhonneur', 'néornithes', 'aviaire', 'gonzesse', 'volant_de_badminton', 'the_bird', 'sifflement', 'poule', 'poussin', 'charlie_parker', 'doigt', 'oisel', 'chrome_reflection', 'charles_parker_jr', 'bird', 'jeune_fille', 'zoizeau', 'framboise', 'nana', 'bronx_cheer', 'oiseau', 'mon_beau', 'charles_christopher_parker', 'razzing', 'birds', 'coq', 'razz', 'bispectral_infrared_detection', 'boo', 'oiseaux_modernes', 'huer', 'avien']
blood	sang	Match	['kainawa', 'sanglant', 'transmission_héréditaire', 'blood', 'vin_de_bordeaux', 'heredite', 'akainawa', 'mikoew', 'hello_master', 'sanguin', 'rhye', 'héréditaire', 'débauché', 'sang_total', 'râteau', 'tony_shillitoe', 'káínawa', 'heritage', 'vin_bordeaux', 'rakehell', 'vignoble_bordelais', 'parenté', 'sang', 'kainai', 'sang_du_corps', 'bordeaux', 'appellation_bordeaux', 'tribu_de_sang', 'kainah', 'descendance', 'blood_tribe', 'râteau_de_jardinier', 'ascendance', 'gens_du_sang', 'vs', 'gensdusang', 'unstoppable', 'welcome_to_the_black_parade', 'vins_de_bordeaux', 'stemmate', 'kainais', 'persistence_of_time', 'ligne_de_sang', 'vignoble_de_bordeaux', 'hématocytes', 'héritage_génétique', 'sang_oxygéné', 'collective_soul', 'héritage', 'origine', 'vins_du_bordelais', 'akainai', 'hématologiques', 'the_black_parade', 'constituants_du_sang', 'nation_de_kainai', 'héritage_biologique', 'kainahs', 'kainai_nation', 'hérédité', 'cj', 'getting_away_with_murder', 'sang_humain', 'lignée']
body	corps	Match	['récepteur', 'minéralité', 'costume_de_chat', 'cadavre_humain', 'collant', 'article_nouvelles', 'point', 'solide_geometrique', 'b_o_d_y', 'carrossier', 'taille_point', 'structure_physique', 'cadavres', 'dépouille', 'solide', 'source', 'histoire_de_nouvelles', 'body', 'atteinte_à_lintégrité_du_cadavre', 'eubstance', 'flanc', 'macchabé', 'tronc', 'teairra_maria_thomas', 'cadavérisme', 'corps_subtils', 'mesfet', 'organisation', 'cialo', 'astringence', 'polytopes', 'torse', 'buste', 'fruits', 'corps_physique', 'consistance', 'donner_forme', 'carrosserie', 'cadavérique', 'teairra_mari', 'structure_organique', 'maillot_de_corps', 'objet_tangible', 'caisse_de_résonance', 'huis', 'article_de_journal', 'organe', 'objet_concret', 'polyèdre_convexe', 'transistor_à_effet_de_champ', 'polytope', 'corps_subtil', 'macchabée', 'drain', 'catsuit', 'corps_sans_vie', 'grille', 'stypsis', 'richard_body', 'point_pica', 'fet', 'sec', 'mort', 'porte', 'transistor_a_effet_de_champ', 'léotard', 'justaucorps', 'article_de_nouvelles', 'transistors_à_effet_de_champ', 'cadavre', 'point_typographique', 'groupe', 'descripteurs_du_vin', 'carrosseries', 'cadavériques', 'corps_solide', 'best_night_of_my_life', 'histoire_nouvelles', 'article', 'el_cuerpo', 'teairra_maria_thompson', 'cohérence', 'dreezy', 'corps', 'article_de_presse', 'restes', 'solide_géométrique', 'enveloppe_charnelle', 'carcasse', 'organisme', 'équilibre', 'unitard']
brain	cerveau	Match	['noûs', 'banks', 'esprit', 'intellect', 'ciboulot', 'dr_gang', 'brian_mantia', 'esprits', 'esprit_humain', 'génie', 'cérébral', 'cervelle', 'abord', 'mentalité', 'cérébraux', 'brain', 'la_capacité_dapprentissage', 'bon_sens', 'inspecteur_gadget', 'spirito', 'bryan_mantia', 'cerveaux', 'amjad_farooq_alvi', 'raisonnement', 'cérébrale', 'contenu_mental', 'klinik', 'nouç', 'cerveau_humain', 'cerveau', 'bryan_brain_mantia', 'la_capacité_mentale', 'psyche', 'circulation_du_cerveau', 'matière_grise', 'raison_humaine', 'inspector_gadget_racing', 'le_cerveau', 'raisonnable', 'espírito', 'brainiac', 'tête', 'encéphale', 'docteur_gang', 'âge_de_la_raison', '(c)brain', 'psychisme', 'cerveau_des_mammifères', 'cause', 'raison', 'nous', 'psyché']
broken	déchiré	Incorrect	['welcome_to_the_drama_club', 'ms_kelly', 'the_broken', '12_stones', 'faux', 'the_brøken', 'erroné', 'delta_machine', 'broken', 'bouzillé', 'cassé', 'défectueux', 'brisé', 'plastic_beach', 'begin', 'discontinu', 'effondré', 'slow', 'the_best_of_bruce_dickinson', 'mclean', 'brisée', 'rétamé', 'rugueux', 'erronée', 'humilié', 'winterhearts_guild', 'cassée', 'saison_1_des_experts__miami', 'echo', 'bas', 'glitter_freeze', 'rompu']
building	bâtiment	Match	['bâtiments_publics', 'chantiers_de_construction', 'construction', 'construire', 'bâtiment', 'chantier', 'batiment', 'immeuble', 'contrat_de_construction_dune_maison_individuelle', 'industrie_de_la_construction', 'édifice', 'bâtiments', 'bâtiment_public', 'projet_de_construction', 'maison', 'building', 'chantier_culturel', 'travaux_de_construction', 'chantier_de_construction', 'bâtisse', 'immeuble_de_tits', 'ccmi', 'edilizia']
burn	brûler	Match	['fc_dallas', 'graver', 'cours_d’eau', 'cendre', 'burn_de_dallas', 'propagateur', 'brûlure', 'aval', 'bronzage', 'piquer', 'incendies', 'burn', 'courant', 'coups_de_soleil', 'burn_papa_roach', 'cramer', 'ruisselet', 'se_consumer', 'flamme', 'second_degré_graver', 'ruisseaux', 'bruler', 'incendier', 'érythème_actinique', 'hamilton', 'cours_deau', 'combustion', 'coup_de_soleil', 'brulure', 'incinérer', 'flamme_de_diffusion', 'se_brûler', 'brûlures_au_troisième_degré', 'erythème_actinique', 'brûlures', 'ruisseau', 'super', 'dallas_burn', 'bronzer', 'cautériser', 'flamme_de_prémélange', 'érythème_solare', 'brûler_marque', 'the_crow', 'flamboyant', 'brûler', 'brûlure_du_troisième_degré', 'trancher', 'brûlent', 'cours_deau_intermittent', 'piqûre', 'queimada', 'incendie', 'amont', 'hysteria', 'feu']
business	business	Match	['affaire', 'client', 'commercial', 'travail', 'secteurs_dactivité', 'occupation', 'intérêt', 'profession', 'place', 'vacance', 'entreprises', 'commerçant', 'secteur_dactivité', 'jet_lag_gemini', 'entrepreneur_indépendant', 'business', 'domaine_dactivité', 'the_business', 'entreprise_individuelle', 'affaires', 'secteur_dactivité_économique', 'métier', 'clientèle', 'monde_des_affaires', 'byplay', 'commerce', 'chose', 'sciences_commerciales', 'activité', 'fonction', 'boucle_daffaires', 'organisation_de_lentreprise', 'secteur_dactivite', 'société_commerciale', 'système_dentreprise', 'coeur_de_métier', 'tâche', 'firme', 'société', 'firmes', 'importance', 'secteur_dactivités', 'entreprise_privée', 'entreprise', 'de_scène', 'patronage', 'job', 'entrepreneurs_indépendants', 'problème', 'droit_des_sociétés', 'entreprise_commerciale', 'entreprises_privées', 'emploi', 'but_lucratif', 'emploi_de_jour', 'ligne_de_travail']
camera	caméra	Match	['appareil_photographique', 'cinécaméra', 'the_back_room', 'caméra_autosilencieuse', 'caméra_cinématographique', 'spegeln', 'caméra', 'committee_for_accuracy_in_middle_east_reporting_in_america', 'caméra_de_télévision', 'appareil', 'committee_for_accuracy_in_middle_east_reporting', 'une_caméra_de_cinéma', 'caméra_argentique', 'caméras', 'appareil_photo', 'camera', 'caméra_vidéo_professionnelle']
carefully	soigneusement	Match	['prudemment', 'précautionneusement', 'soigneusement', 'préoccuper', 'emmerde', 'anguise', 'inquiétude', 'attentivement', 'tracas', 'préoccupation', 'souci', 'près', 'ennui', 'soin', 'avec_circonspection', 'avec_précaution', 'angoisse', 'peur']
challenge	challenge	Match	['prouesse', 'réfuter', 'à_armes_égales', 'défiréponse', 'contestation', 'démentir', 'gageure', 'attaquer', 'quereller', 'dispute', 'disputer', 'défi', 'controverser', 'challenge', 'succès', 'enjeu', 'authentification_défiréponse', 'contester', 'exploit', 'contredire']
charity	caritative	Match	['organisations_caritatives', 'charité_ecclésiale', 'œuvre_de_bienfaisance', 'polémoine_bleue', 'charite', 'organisme_de_bienfaisance_enregistré', 'charity', 'charité_évangélique', 'statut_de_bienfaisance', 'caritative', 'dilbert', 'charité_pastorale', 'léchelle_de_jacob', 'organisation_caritative', 'charité_divine', 'organisme_caritatif', 'polymonium_caeruleum_vanbruntiae', 'lamour_fraternel', 'œuvres_caritatives', 'bienfaisance', 'charité_fraternelle', 'charité_apostolique', 'charité_chrétienne', 'activité_caritative', 'caritas_christi', 'polemonium_caeruleum', 'aumône', 'œuvre_caritative', 'oeuvre_caritative', 'caritatif', 'la_charité', 'valériane_grecque', 'maisons_de_charité_au_moyen_âge', 'polemoine_bleue', 'organismes_de_bienfaisance', 'melinda_padovano', 'organisme_de_bienfaisance', 'charité_publique', 'don_de_la_charité', 'association_caritative', 'polemonium_vanbruntiae', 'charité', 'caeruleum_polemonium', 'manque_de_charité', 'charité_du_christ', 'associations_caritatives', 'oeuvre_de_bienfaisance', 'charite_chretienne']
charming	charmant	Match	['charmante', 'magique', 'ravissant', 'magie', 'charmant', 'sorcier', 'merveilleux', 'charmants', 'charming']
clothes	vêtements	Match	['fringue', 'tenue_vestimentaire', 'fringues', 'habit', 'habillement', 'tenue', 'habillé', 'vetement', 'vêtements', 'habiliment', 'portable', 'nippe', 'industrie_vêtement', 'vêtement', 'habits', 'article_de_lhabillement']
cockroach	termites	Incorrect	['blattes', 'cafards', 'sousordre_blattodea', 'cancrelat', 'cafard', 'cancrelats', 'blattaria', 'cockroach', 'coquerelle', 'blattodea', 'blattoptères', 'blatte', 'blatoptère', 'gardon', 'blattoptère', 'sousordre_blattaria']
code	code	Match	['code_de_lois', 'codification', 'encoder', 'liste_des_codes_juridiques', 'planifier', 'coder', 'crypter', 'code_juridique', 'chiffrer', 'codes_juridiques', 'code', 'code_informatique', 'programmer', 'codes', 'codification_juridique']
collection	collections	Found close match: ['collection', 'collections_dart', 'collection_dart']	['conteneur', 'collection_littéraire', 'hawkwind', 'mazhar_fuat_özkan', 'alioune_badara_thiam_viorel', 'mfö', 'paquetage_promotionel', 'bundle', 'collecte', 'paquetage_promotionnel', 'akon', 'ensemble', 'aggrégation', 'ar', 'collection_éditoriale', 'regroupement', 'montage', 'alioune_badara_thiam', 'recouvrement', 'compilation', 'manuel', 'collection_dart', 'joe_sample', 'agrégation', 'offre_groupée', 'recouvrement_de_creances', 'bibliothèque', 'collection', 'composition', 'compendium', 'collections_dart', 'sollicitation', 'recouvrement_de_créances_en_france', 'the_charlatans', 'collection_d’une_maison_dédition', 'série_de_livres', 'the_offspring_collection', 'rassemblement', 'assemblage', 'ramassage', 'série_littéraire', 'appel', 'recueil', 'groupe', 'recouvrement_de_créances']
computer	informatique	Found close match: ['informaticien', 'système_informatique', 'informatique_musicale']	['système_de_traitement_dinformations', 'systèmes_informatiques', 'dispositif_informatique', 'ordinateur', 'technologie_informatique', 'ordinateur_portable', 'calculateur_humain', 'computer', 'architecture_dun_ordinateur', 'ordinateurs', 'calcul_numérique', 'pc', 'calculette', 'ordinateurs_numériques', 'estimateur', 'ordinateur_électronique', 'calculatrice', 'computer_technology', 'babasse', 'ordinateur_à_usage_général', 'calculateur_électronique', 'computer_music', 'machine_à_calculer', 'logiciel_de_calcul', 'musique_générée_par_ordinateur', 'figurer', 'calculateur', 'informaticien', 'système_informatique', 'calculateur_mental', 'informatique_musicale', 'ordinateur_humain']
construction	construction	Match	['schéma', 'chantiers_de_construction', 'construction', 'expression', 'construire', 'bâtiment', 'construction_grammaticale', 'structure_construite', 'immeuble', 'contrat_de_construction_dune_maison_individuelle', 'interprétation_judiciaire', 'modèle', 'industrie_de_la_construction', 'runescape', 'structure', 'projet_de_construction', 'edilizia', 'chantier_culturel', 'travaux_de_construction', 'terme', 'interprétation_constitutionnelle', 'chantier_de_construction', 'ccmi', 'synthèse_mentale']
cook	cook	Match	['grand_chef_cuisinier', 'frederik_cook', 'préparer', 'james_cook', 'prêt', 'captain_cook', 'bouillir', 'comté_de_cook', 'chefs', 'falsifier', 'cuisinière', 'chef_cuisinier', 'chefs_cuisiniers', 'cuire', 'cuisinier', 'shire_of_cook', 'alec_empire', 'simuler', 'frederick_cook', 'grande_chef_cuisinier', 'circonscription_de_cook', 'faire', 'chef_commis', 'cuisiner', 'souschef', 'capitaine_cook', 'le_capitaine_james_cook', 'cuisinier_peu_de_temps', 'chef_de_cuisine', 'philippe_lefebvre', 'cook', 'fausser', 'fermenter', 'apprêter', 'maître_queux', 'chef_exécutif', 'marmiton', 'faire_bouillir', 'cuistot', 'frédérick_cook', 'chef', 'uss_donald_cook']
counting	décompter	Found close match: ['décompte', 'compter', 'compte']	['compte', 'compte_somme', 'décompte', 'érythrocyte', 'liste', 'comptage', 'comptes', 'systèmes_de_numération', 'système_de_numération', 'calculer', 'énumération', 'comte', 'nombre', 'conte', 'système_numéral', 'compter', 'numération']
crazy	flingueur	Found close match: ['dingue']	['synoque', 'fou', 'ouf', 'looney', 'tordu', 'famous_last_words', 'givré', 'sinocque', 'aberration', 'barjot', 'malsain', 'maboul', 'aliénation', 'dingo', 'fous', 'démente', 'hurluberlu', 'toquée', 'crazy', 'démentiel', 'usher', 'schtarbé', 'fêlé', 'gaga', 'barje', 'toqué', 'dingue', 'être_marteau', 'affolement', '(you_drive_me)_crazy', 'neuneu', 'the_red_album', 'cinoque', 'tordue', 'because_of_you', 'loufoque', 'playing_with_fire', '…famous_last_words…', 'saison_1_de_new_york_section_criminelle', 'loca', 'dément', 'chtarbé', 'told_you_so', 'timbrée', 'timbré', 'film_crazy', 'cinglé', 'folie', 'erika_jayne', 'zarbi', 'malade', 'the_red', 'insane', 'folle', 'my_garden', 'dérangeant', 'cinglée', 'aberrant', 'aliéné', 'sinoque', 'zinzin']
damage	dégâts	Match	['dommage', 'rapport_qualitéprix', 'damage', 'prix_à_la_production', 'dégâts', 'estropier', 'détériorer', 'défigurer', 'préjudice_juridique', 'réfuter', 'tarif', 'détérioration', 'fantastic_dizzy', 'prix_nominal', 'abimer', 'équipements_victime', 'dégrader', 'fatale', 'make_this_your_own', 'prix_plafond', 'préjudice', 'prix', 'prix_de_détail', 'endommager', 'the_fantastic_adventures_of_dizzy', 'sendommager', 'dégât', 'folle', 'dégats', 'dommages', 'abîmer', 'cingler']
dance	danse	Match	['paul_mccartneys_liverpool_oratorio', 'danseur', 'musique_entraînante', 'danser', 'shut_out', 'musique_de_danse', 'george_dance_le_jeune', 'danseuse', 'sir_nathaniel_danceholland_1er_baron', 'dance', 'amusement', 'hilo', 'postdisco', 'dancé', 'george_dance_the_younger', 'danse', 'fbln5', 'nathaniel_danceholland', 'dance_dance', 'danseurs', 'oliver_heldens', 'danses', 'saltation', 'waterloo', 'la_danse', 'cavalier', 'discographie_de_dnce']
dangerous	dangereux	Match	['grave', 'peligroso', 'dangereux', 'redoutable', 'sévère', 'lintruse', 'jhud', 'périlleux', 'dangereuses', 'considérable', 'dangerous', 'hasardeux_hazardeux', 'decemberadio', 'risqué', 'hasardeux', 'cant_let_her_get_away', 'its_hard', 'dangereuse', 'sérieux']
deceive	tromper	Match	['mystification', 'tromper', 'imposture', 'rouler', 'avoir', 'tromperie', 'supercherie', 'décevoir', 'duperie', 'trahir', 'trompeuse', 'friponnerie', 'duper', 'imposteur', 'malhonnêteté']
dedication	dédicace	Match	['dévouement', 'dédicaces', 'dedication', 'appartenance', 'présentation_denfant', 'discographie_de_chief_keef', 'fidélité', 'dédicace', 'allégeance', 'loyauté', 'saison_1_de_the_unit__commando_délite', 'attachement', 'spéciale_dédicace', 'kalin_and_myles', 'dedicace', 'engagement', 'inscription']
deliberately	délibérément	Match	['sciemment', 'expressément', 'à_dessein', 'intentionnellement', 'délibérément', 'volontairement', 'exprès', 'de_propos_délibéré']
